time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.7778,-5.8086,84.7751,93.7782,88.0229,94.2732,88.9058,-1.4514,
0.0167,48.7784,-5.8621,84.7751,93.7897,88.0129,94.2691,88.8964,-1.4514,
0.0250,48.7789,-5.9231,84.7740,93.7993,88.0054,94.2648,88.8875,-1.4514,
0.0333,48.7794,-6.0017,84.7719,93.8040,88.0017,94.2602,88.8798,-1.4515,
0.0417,48.7796,-6.1081,84.7699,93.8014,88.0015,94.2559,88.8737,-1.4515,
0.0500,48.7798,-6.2510,84.7687,93.7895,88.0038,94.2522,88.8693,-1.4515,
0.0583,48.7798,-6.4361,84.7682,93.7679,88.0075,94.2494,88.8667,-1.4515,
0.0667,48.7798,-6.6660,84.7684,93.7364,88.0119,94.2480,88.8658,-1.4515,
0.0750,48.7797,-6.9407,84.7692,93.6953,88.0162,94.2478,88.8664,-1.4515,
0.0833,48.7797,-7.2583,84.7705,93.6451,88.0203,94.2486,88.8681,-1.4515,
0.0917,48.7796,-7.6151,84.7721,93.5860,88.0240,94.2500,88.8707,-1.4516,
0.1000,48.7795,-8.0066,84.7736,93.5180,88.0274,94.2516,88.8740,-1.4516,
0.1083,48.7795,-8.4281,84.7752,93.4407,88.0305,94.2532,88.8777,-1.4516,
0.1167,48.7794,-8.8763,84.7766,93.3530,88.0334,94.2547,88.8818,-1.4516,
0.1250,48.7794,-9.3527,84.7776,93.2546,88.0359,94.2564,88.8861,-1.4516,
0.1333,48.7794,-9.8665,84.7783,93.1462,88.0383,94.2588,88.8905,-1.4516,
0.1417,48.7794,-10.4316,84.7786,93.0303,88.0407,94.2623,88.8951,-1.4516,
0.1500,48.7794,-11.0586,84.7786,92.9086,88.0430,94.2669,88.8997,-1.4516,
0.1583,48.7794,-11.7520,84.7783,92.7823,88.0453,94.2725,88.9043,-1.4516,
0.1667,48.7794,-12.5110,84.7782,92.6515,88.0475,94.2787,88.9091,-1.4516,
0.1750,48.7794,-13.3320,84.7782,92.5164,88.0496,94.2851,88.9138,-1.4516,
0.1833,48.7794,-14.2098,84.7781,92.3765,88.0518,94.2914,88.9185,-1.4516,
0.1917,48.7793,-15.1389,84.7778,92.2320,88.0541,94.2972,88.9232,-1.4516,
0.2000,48.7793,-16.1138,84.7771,92.0829,88.0566,94.3027,88.9276,-1.4516,
0.2083,48.7793,-17.1285,84.7761,91.9300,88.0593,94.3076,88.9314,-1.4516,
0.2167,48.7793,-18.1763,84.7749,91.7737,88.0621,94.3122,88.9346,-1.4516,
0.2250,48.7792,-19.2490,84.7735,91.6151,88.0648,94.3169,88.9368,-1.4516,
0.2333,48.7792,-20.3371,84.7721,91.4552,88.0673,94.3219,88.9378,-1.4516,
0.2417,48.7791,-21.4298,84.7706,91.2952,88.0697,94.3274,88.9378,-1.4516,
0.2500,48.7791,-22.5158,84.7690,91.1366,88.0720,94.3330,88.9371,-1.4516,
0.2583,48.7791,-23.5839,84.7673,90.9803,88.0745,94.3386,88.9361,-1.4516,
0.2667,48.7791,-24.6232,84.7652,90.8277,88.0776,94.3442,88.9352,-1.4516,
0.2750,48.7791,-25.6231,84.7626,90.6795,88.0813,94.3500,88.9347,-1.4516,
0.2833,48.7791,-26.5746,84.7592,90.5366,88.0857,94.3566,88.9346,-1.4516,
0.2917,48.7791,-27.4711,84.7546,90.3995,88.0908,94.3648,88.9349,-1.4516,
0.3000,48.7791,-28.3079,84.7485,90.2687,88.0971,94.3754,88.9357,-1.4516,
0.3083,48.7791,-29.0814,84.7403,90.1441,88.1049,94.3894,88.9370,-1.4516,
0.3167,48.7792,-29.7884,84.7292,90.0254,88.1152,94.4076,88.9388,-1.4516,
0.3250,48.7793,-30.4270,84.7138,89.9118,88.1292,94.4310,88.9411,-1.4516,
0.3333,48.7794,-30.9971,84.6927,89.8021,88.1484,94.4605,88.9436,-1.4516,
0.3417,48.7796,-31.5009,84.6639,89.6943,88.1746,94.4972,88.9465,-1.4516,
0.3500,48.7798,-31.9420,84.6261,89.5868,88.2090,94.5422,88.9497,-1.4515,
0.3583,48.7801,-32.3249,84.5784,89.4775,88.2527,94.5963,88.9534,-1.4515,
0.3667,48.7804,-32.6542,84.5204,89.3649,88.3059,94.6600,88.9577,-1.4515,
0.3750,48.7807,-32.9349,84.4525,89.2479,88.3681,94.7333,88.9629,-1.4514,
0.3833,48.7810,-33.1721,84.3754,89.1256,88.4384,94.8157,88.9693,-1.4514,
0.3917,48.7813,-33.3714,84.2903,88.9979,88.5158,94.9062,88.9769,-1.4513,
0.4000,48.7817,-33.5381,84.1988,88.8656,88.5985,95.0030,88.9860,-1.4512,
0.4083,48.7820,-33.6773,84.1036,88.7305,88.6842,95.1038,88.9967,-1.4511,
0.4167,48.7822,-33.7936,84.0086,88.5953,88.7693,95.2054,89.0089,-1.4510,
0.4250,48.7825,-33.8910,83.9182,88.4631,88.8491,95.3041,89.0228,-1.4508,
0.4333,48.7826,-33.9732,83.8373,88.3380,88.9188,95.3958,89.0385,-1.4507,
0.4417,48.7828,-34.0433,83.7698,88.2236,88.9740,95.4764,89.0560,-1.4504,
0.4500,48.7828,-34.1035,83.7176,88.1233,89.0116,95.5422,89.0753,-1.4502,
0.4583,48.7828,-34.1558,83.6810,88.0394,89.0304,95.5906,89.0964,-1.4499,
0.4667,48.7828,-34.2017,83.6586,87.9734,89.0308,95.6197,89.1191,-1.4496,
0.4750,48.7828,-34.2423,83.6486,87.9258,89.0142,95.6280,89.1435,-1.4493,
0.4833,48.7827,-34.2784,83.6488,87.8967,88.9828,95.6148,89.1697,-1.4489,
0.4917,48.7827,-34.3105,83.6572,87.8854,88.9387,95.5801,89.1975,-1.4485,
0.5000,48.7826,-34.3391,83.6714,87.8911,88.8846,95.5248,89.2267,-1.4481,
0.5083,48.7825,-34.3647,83.6890,87.9121,88.8233,95.4506,89.2569,-1.4476,
0.5167,48.7824,-34.3879,83.7072,87.9466,88.7579,95.3597,89.2873,-1.4471,
0.5250,48.7823,-34.4092,83.7232,87.9922,88.6916,95.2554,89.3170,-1.4466,
0.5333,48.7822,-34.4291,83.7347,88.0465,88.6273,95.1410,89.3449,-1.4461,
0.5417,48.7820,-34.4482,83.7399,88.1067,88.5672,95.0201,89.3699,-1.4455,
0.5500,48.7819,-34.4668,83.7379,88.1698,88.5128,94.8967,89.3910,-1.4450,
0.5583,48.7818,-34.4854,83.7281,88.2326,88.4651,94.7742,89.4073,-1.4444,
0.5667,48.7816,-34.5041,83.7105,88.2922,88.4243,94.6556,89.4182,-1.4438,
0.5750,48.7814,-34.5231,83.6857,88.3459,88.3906,94.5434,89.4233,-1.4433,
0.5833,48.7812,-34.5426,83.6548,88.3916,88.3631,94.4397,89.4222,-1.4427,
0.5917,48.7810,-34.5628,83.6194,88.4275,88.3407,94.3461,89.4150,-1.4422,
0.6000,48.7807,-34.5842,83.5814,88.4524,88.3212,94.2642,89.4015,-1.4417,
0.6083,48.7805,-34.6070,83.5433,88.4656,88.3021,94.1950,89.3821,-1.4411,
0.6167,48.7802,-34.6311,83.5068,88.4671,88.2812,94.1389,89.3569,-1.4406,
0.6250,48.7799,-34.6567,83.4731,88.4578,88.2572,94.0955,89.3263,-1.4401,
0.6333,48.7796,-34.6840,83.4431,88.4386,88.2288,94.0638,89.2906,-1.4396,
0.6417,48.7793,-34.7127,83.4172,88.4110,88.1955,94.0419,89.2504,-1.4390,
0.6500,48.7790,-34.7429,83.3955,88.3769,88.1566,94.0276,89.2061,-1.4385,
0.6583,48.7788,-34.7743,83.3776,88.3381,88.1128,94.0181,89.1586,-1.4380,
0.6667,48.7785,-34.8066,83.3624,88.2967,88.0648,94.0101,89.1085,-1.4375,
0.6750,48.7783,-34.8397,83.3492,88.2546,88.0136,94.0009,89.0564,-1.4370,
0.6833,48.7781,-34.8733,83.3372,88.2138,87.9601,93.9882,89.0031,-1.4364,
0.6917,48.7778,-34.9075,83.3254,88.1754,87.9050,93.9702,88.9491,-1.4359,
0.7000,48.7776,-34.9419,83.3132,88.1405,87.8486,93.9459,88.8949,-1.4353,
0.7083,48.7774,-34.9764,83.2998,88.1098,87.7914,93.9151,88.8411,-1.4347,
0.7167,48.7772,-35.0108,83.2845,88.0834,87.7337,93.8778,88.7878,-1.4341,
0.7250,48.7769,-35.0446,83.2669,88.0612,87.6757,93.8345,88.7353,-1.4335,
0.7333,48.7767,-35.0778,83.2466,88.0427,87.6178,93.7858,88.6839,-1.4329,
0.7417,48.7764,-35.1101,83.2227,88.0271,87.5607,93.7324,88.6335,-1.4322,
0.7500,48.7762,-35.1415,83.1946,88.0136,87.5054,93.6747,88.5843,-1.4316,
0.7583,48.7760,-35.1719,83.1617,88.0014,87.4530,93.6134,88.5365,-1.4309,
0.7667,48.7758,-35.2014,83.1234,87.9895,87.4044,93.5496,88.4897,-1.4303,
0.7750,48.7756,-35.2300,83.0796,87.9768,87.3598,93.4849,88.4438,-1.4296,
0.7833,48.7755,-35.2578,83.0305,87.9620,87.3187,93.4208,88.3986,-1.4289,
0.7917,48.7753,-35.2846,82.9767,87.9434,87.2800,93.3592,88.3537,-1.4282,
0.8000,48.7752,-35.3108,82.9191,87.9194,87.2425,93.3021,88.3090,-1.4275,
0.8083,48.7751,-35.3364,82.8589,87.8878,87.2045,93.2514,88.2642,-1.4268,
0.8167,48.7750,-35.3616,82.7975,87.8466,87.1647,93.2087,88.2194,-1.4261,
0.8250,48.7750,-35.3864,82.7353,87.7935,87.1223,93.1753,88.1748,-1.4253,
0.8333,48.7749,-35.4109,82.6721,87.7259,87.0772,93.1527,88.1308,-1.4245,
0.8417,48.7749,-35.4350,82.6073,87.6410,87.0301,93.1424,88.0878,-1.4237,
0.8500,48.7748,-35.4586,82.5396,87.5360,86.9819,93.1465,88.0463,-1.4229,
0.8583,48.7748,-35.4817,82.4673,87.4083,86.9336,93.1671,88.0065,-1.4221,
0.8667,48.7747,-35.5044,82.3888,87.2556,86.8859,93.2064,87.9685,-1.4212,
0.8750,48.7747,-35.5267,82.3022,87.0768,86.8405,93.2656,87.9327,-1.4203,
0.8833,48.7746,-35.5492,82.2051,86.8715,86.7991,93.3452,87.8992,-1.4193,
0.8917,48.7746,-35.5719,82.0948,86.6403,86.7644,93.4445,87.8682,-1.4183,
0.9000,48.7746,-35.5954,81.9692,86.3848,86.7387,93.5616,87.8396,-1.4173,
0.9083,48.7745,-35.6199,81.8267,86.1076,86.7237,93.6941,87.8133,-1.4162,
0.9167,48.7744,-35.6456,81.6669,85.8116,86.7196,93.8391,87.7887,-1.4151,
0.9250,48.7744,-35.6726,81.4902,85.5003,86.7260,93.9931,87.7650,-1.4140,
0.9333,48.7742,-35.7005,81.2971,85.1768,86.7420,94.1527,87.7413,-1.4128,
0.9417,48.7740,-35.7293,81.0885,84.8445,86.7667,94.3140,87.7164,-1.4116,
0.9500,48.7737,-35.7588,80.8652,84.5065,86.7992,94.4733,87.6888,-1.4103,
0.9583,48.7734,-35.7888,80.6284,84.1661,86.8384,94.6268,87.6565,-1.4090,
