time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0092,0.0259,-0.2460,-0.0018,0.0057,0.0518,
0.0033,-0.0092,0.0259,-0.2460,-0.0018,0.0057,0.0518,
0.0050,-0.0092,0.0259,-0.2461,-0.0018,0.0057,0.0518,
0.0067,-0.0092,0.0259,-0.2461,-0.0018,0.0057,0.0518,
0.0083,-0.0092,0.0259,-0.2461,-0.0018,0.0057,0.0518,
0.0100,-0.0092,0.0259,-0.2461,-0.0018,0.0057,0.0518,
0.0117,-0.0092,0.0259,-0.2462,-0.0018,0.0057,0.0518,
0.0133,-0.0092,0.0259,-0.2462,-0.0018,0.0057,0.0518,
0.0150,-0.0092,0.0259,-0.2462,-0.0018,0.0057,0.0518,
0.0167,-0.0092,0.0259,-0.2463,-0.0018,0.0057,0.0518,
0.0183,-0.0092,0.0259,-0.2463,-0.0018,0.0057,0.0518,
0.0200,-0.0092,0.0259,-0.2463,-0.0018,0.0057,0.0518,
0.0217,-0.0092,0.0259,-0.2463,-0.0018,0.0057,0.0518,
0.0233,-0.0092,0.0259,-0.2463,-0.0018,0.0057,0.0519,
0.0250,-0.0091,0.0258,-0.2464,-0.0018,0.0057,0.0519,
0.0267,-0.0091,0.0258,-0.2464,-0.0018,0.0058,0.0519,
0.0283,-0.0091,0.0258,-0.2464,-0.0018,0.0058,0.0519,
0.0300,-0.0091,0.0258,-0.2463,-0.0018,0.0058,0.0519,
0.0317,-0.0091,0.0258,-0.2463,-0.0018,0.0058,0.0519,
0.0333,-0.0090,0.0258,-0.2463,-0.0018,0.0058,0.0520,
0.0350,-0.0090,0.0258,-0.2462,-0.0018,0.0059,0.0520,
0.0367,-0.0090,0.0258,-0.2462,-0.0018,0.0059,0.0520,
0.0383,-0.0090,0.0258,-0.2461,-0.0018,0.0059,0.0520,
0.0400,-0.0089,0.0258,-0.2460,-0.0018,0.0059,0.0520,
0.0417,-0.0089,0.0257,-0.2460,-0.0018,0.0060,0.0520,
0.0433,-0.0089,0.0257,-0.2459,-0.0018,0.0060,0.0520,
0.0450,-0.0089,0.0257,-0.2458,-0.0017,0.0060,0.0520,
0.0467,-0.0089,0.0257,-0.2456,-0.0017,0.0060,0.0519,
