time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-8.1303,-4.1574,89.6351,93.9997,75.9858,79.0532,95.3273,-1.1742,
0.0167,-8.0573,-4.2803,89.6383,93.9718,75.9855,79.1055,95.3660,-1.1742,
0.0250,-7.9905,-4.3965,89.6418,93.9448,75.9858,79.1564,95.4027,-1.1743,
0.0333,-7.9348,-4.4971,89.6456,93.9198,75.9872,79.2032,95.4354,-1.1744,
0.0417,-7.8936,-4.5750,89.6496,93.8979,75.9899,79.2434,95.4624,-1.1744,
0.0500,-7.8664,-4.6283,89.6536,93.8802,75.9940,79.2754,95.4832,-1.1745,
0.0583,-7.8505,-4.6602,89.6572,93.8668,75.9992,79.2990,95.4981,-1.1745,
0.0667,-7.8420,-4.6752,89.6602,93.8575,76.0052,79.3152,95.5078,-1.1746,
0.0750,-7.8378,-4.6786,89.6627,93.8516,76.0117,79.3256,95.5136,-1.1746,
0.0833,-7.8360,-4.6754,89.6644,93.8484,76.0186,79.3315,95.5165,-1.1747,
0.0917,-7.8360,-4.6696,89.6654,93.8473,76.0256,79.3342,95.5176,-1.1747,
0.1000,-7.8372,-4.6634,89.6659,93.8478,76.0325,79.3344,95.5175,-1.1748,
0.1083,-7.8390,-4.6575,89.6660,93.8494,76.0394,79.3332,95.5168,-1.1748,
0.1167,-7.8403,-4.6518,89.6657,93.8513,76.0460,79.3315,95.5158,-1.1748,
0.1250,-7.8409,-4.6462,89.6652,93.8530,76.0525,79.3301,95.5150,-1.1749,
0.1333,-7.8406,-4.6414,89.6643,93.8543,76.0587,79.3293,95.5143,-1.1749,
0.1417,-7.8394,-4.6372,89.6630,93.8551,76.0647,79.3292,95.5138,-1.1749,
0.1500,-7.8373,-4.6334,89.6614,93.8558,76.0705,79.3296,95.5135,-1.1749,
0.1583,-7.8347,-4.6297,89.6595,93.8565,76.0760,79.3304,95.5133,-1.1749,
0.1667,-7.8320,-4.6268,89.6575,93.8572,76.0812,79.3313,95.5131,-1.1749,
0.1750,-7.8299,-4.6247,89.6556,93.8581,76.0858,79.3317,95.5127,-1.1750,
0.1833,-7.8287,-4.6228,89.6539,93.8593,76.0899,79.3314,95.5118,-1.1750,
0.1917,-7.8277,-4.6193,89.6523,93.8608,76.0932,79.3299,95.5104,-1.1750,
0.2000,-7.8262,-4.6125,89.6510,93.8625,76.0956,79.3273,95.5082,-1.1750,
0.2083,-7.8229,-4.6010,89.6498,93.8647,76.0970,79.3232,95.5049,-1.1750,
0.2167,-7.8173,-4.5837,89.6482,93.8674,76.0975,79.3172,95.5002,-1.1750,
0.2250,-7.8082,-4.5590,89.6454,93.8708,76.0979,79.3088,95.4939,-1.1750,
0.2333,-7.7946,-4.5256,89.6406,93.8749,76.0988,79.2983,95.4857,-1.1750,
0.2417,-7.7755,-4.4853,89.6328,93.8788,76.1009,79.2867,95.4753,-1.1750,
