time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0100,0.0028,-0.1545,-0.0332,-0.0389,0.0246,
0.0033,0.0100,0.0028,-0.1545,-0.0332,-0.0389,0.0246,
0.0050,0.0101,0.0028,-0.1545,-0.0332,-0.0390,0.0246,
0.0067,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0083,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0100,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0117,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0133,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0150,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0167,0.0101,0.0028,-0.1546,-0.0332,-0.0390,0.0247,
0.0183,0.0101,0.0028,-0.1547,-0.0333,-0.0390,0.0247,
0.0200,0.0100,0.0028,-0.1547,-0.0333,-0.0390,0.0247,
0.0217,0.0100,0.0028,-0.1547,-0.0333,-0.0390,0.0247,
0.0233,0.0100,0.0028,-0.1547,-0.0333,-0.0391,0.0247,
0.0250,0.0100,0.0028,-0.1547,-0.0333,-0.0391,0.0247,
0.0267,0.0100,0.0028,-0.1547,-0.0333,-0.0390,0.0247,
0.0283,0.0100,0.0028,-0.1547,-0.0333,-0.0390,0.0247,
0.0300,0.0100,0.0028,-0.1547,-0.0333,-0.0390,0.0247,
0.0317,0.0100,0.0027,-0.1547,-0.0333,-0.0390,0.0246,
0.0333,0.0100,0.0027,-0.1546,-0.0333,-0.0390,0.0246,
0.0350,0.0100,0.0027,-0.1546,-0.0333,-0.0390,0.0245,
0.0367,0.0100,0.0027,-0.1546,-0.0333,-0.0390,0.0245,
0.0383,0.0100,0.0027,-0.1546,-0.0333,-0.0389,0.0245,
0.0400,0.0100,0.0027,-0.1545,-0.0333,-0.0389,0.0244,
0.0417,0.0100,0.0027,-0.1545,-0.0333,-0.0389,0.0244,
0.0433,0.0100,0.0026,-0.1544,-0.0333,-0.0388,0.0243,
0.0450,0.0100,0.0026,-0.1544,-0.0332,-0.0388,0.0242,
0.0467,0.0100,0.0026,-0.1544,-0.0332,-0.0387,0.0242,
0.0483,0.0100,0.0026,-0.1543,-0.0332,-0.0387,0.0242,
0.0500,0.0100,0.0026,-0.1542,-0.0332,-0.0387,0.0241,
0.0517,0.0100,0.0026,-0.1542,-0.0332,-0.0386,0.0241,
0.0533,0.0100,0.0026,-0.1541,-0.0332,-0.0386,0.0241,
0.0550,0.0100,0.0026,-0.1541,-0.0332,-0.0386,0.0241,
0.0567,0.0100,0.0026,-0.1541,-0.0332,-0.0385,0.0241,
0.0583,0.0100,0.0026,-0.1540,-0.0332,-0.0385,0.0241,
0.0600,0.0100,0.0027,-0.1540,-0.0331,-0.0385,0.0241,
0.0617,0.0100,0.0027,-0.1540,-0.0331,-0.0385,0.0242,
0.0633,0.0101,0.0027,-0.1540,-0.0331,-0.0385,0.0242,
0.0650,0.0101,0.0027,-0.1540,-0.0331,-0.0385,0.0243,
0.0667,0.0101,0.0028,-0.1541,-0.0331,-0.0386,0.0244,
0.0683,0.0101,0.0028,-0.1541,-0.0331,-0.0386,0.0245,
0.0700,0.0101,0.0029,-0.1542,-0.0331,-0.0387,0.0247,
0.0717,0.0101,0.0029,-0.1542,-0.0331,-0.0388,0.0248,
0.0733,0.0101,0.0030,-0.1544,-0.0331,-0.0389,0.0250,
0.0750,0.0101,0.0030,-0.1545,-0.0331,-0.0390,0.0252,
0.0767,0.0102,0.0031,-0.1546,-0.0331,-0.0391,0.0253,
0.0783,0.0102,0.0031,-0.1548,-0.0332,-0.0393,0.0255,
0.0800,0.0102,0.0032,-0.1549,-0.0332,-0.0394,0.0257,
0.0817,0.0102,0.0032,-0.1551,-0.0332,-0.0396,0.0259,
0.0833,0.0102,0.0033,-0.1553,-0.0333,-0.0397,0.0261,
0.0850,0.0102,0.0033,-0.1555,-0.0333,-0.0399,0.0262,
0.0867,0.0102,0.0033,-0.1557,-0.0333,-0.0400,0.0264,
0.0883,0.0102,0.0033,-0.1559,-0.0334,-0.0401,0.0265,
0.0900,0.0102,0.0033,-0.1560,-0.0334,-0.0403,0.0265,
0.0917,0.0101,0.0033,-0.1562,-0.0335,-0.0404,0.0265,
0.0933,0.0101,0.0032,-0.1563,-0.0335,-0.0404,0.0265,
0.0950,0.0101,0.0032,-0.1564,-0.0336,-0.0405,0.0264,
0.0967,0.0101,0.0031,-0.1565,-0.0336,-0.0405,0.0263,
0.0983,0.0100,0.0030,-0.1565,-0.0336,-0.0405,0.0261,
0.1000,0.0100,0.0029,-0.1565,-0.0337,-0.0404,0.0258,
0.1017,0.0099,0.0028,-0.1564,-0.0337,-0.0403,0.0255,
0.1033,0.0099,0.0026,-0.1563,-0.0337,-0.0402,0.0251,
0.1050,0.0099,0.0025,-0.1561,-0.0337,-0.0399,0.0247,
0.1067,0.0098,0.0023,-0.1558,-0.0337,-0.0397,0.0241,
0.1083,0.0098,0.0021,-0.1555,-0.0337,-0.0393,0.0236,
0.1100,0.0097,0.0019,-0.1551,-0.0337,-0.0390,0.0230,
0.1117,0.0097,0.0017,-0.1546,-0.0336,-0.0385,0.0223,
0.1133,0.0096,0.0015,-0.1541,-0.0335,-0.0381,0.0216,
0.1150,0.0096,0.0013,-0.1536,-0.0335,-0.0376,0.0209,
0.1167,0.0096,0.0012,-0.1529,-0.0334,-0.0370,0.0203,
0.1183,0.0096,0.0010,-0.1523,-0.0333,-0.0365,0.0196,
0.1200,0.0096,0.0009,-0.1516,-0.0331,-0.0359,0.0190,
0.1217,0.0096,0.0008,-0.1509,-0.0330,-0.0354,0.0185,
0.1233,0.0096,0.0008,-0.1503,-0.0328,-0.0349,0.0181,
0.1250,0.0096,0.0008,-0.1496,-0.0327,-0.0344,0.0178,
0.1267,0.0097,0.0008,-0.1490,-0.0325,-0.0340,0.0176,
0.1283,0.0097,0.0010,-0.1485,-0.0323,-0.0336,0.0176,
0.1300,0.0098,0.0011,-0.1481,-0.0322,-0.0334,0.0178,
0.1317,0.0099,0.0014,-0.1478,-0.0320,-0.0333,0.0181,
0.1333,0.0101,0.0017,-0.1476,-0.0319,-0.0333,0.0187,
0.1350,0.0102,0.0021,-0.1476,-0.0318,-0.0334,0.0196,
0.1367,0.0104,0.0025,-0.1478,-0.0316,-0.0337,0.0206,
0.1383,0.0105,0.0030,-0.1482,-0.0316,-0.0342,0.0219,
0.1400,0.0107,0.0036,-0.1488,-0.0315,-0.0349,0.0235,
0.1417,0.0109,0.0042,-0.1496,-0.0315,-0.0358,0.0252,
0.1433,0.0110,0.0049,-0.1507,-0.0316,-0.0369,0.0272,
0.1450,0.0112,0.0056,-0.1520,-0.0317,-0.0381,0.0294,
0.1467,0.0114,0.0063,-0.1535,-0.0318,-0.0396,0.0317,
0.1483,0.0115,0.0070,-0.1553,-0.0320,-0.0412,0.0341,
0.1500,0.0117,0.0076,-0.1573,-0.0323,-0.0429,0.0365,
0.1517,0.0118,0.0083,-0.1594,-0.0326,-0.0448,0.0390,
0.1533,0.0118,0.0089,-0.1617,-0.0330,-0.0468,0.0413,
0.1550,0.0119,0.0094,-0.1641,-0.0334,-0.0487,0.0435,
0.1567,0.0118,0.0097,-0.1665,-0.0339,-0.0507,0.0455,
0.1583,0.0118,0.0100,-0.1689,-0.0344,-0.0526,0.0472,
0.1600,0.0116,0.0100,-0.1712,-0.0350,-0.0544,0.0484,
0.1617,0.0114,0.0099,-0.1733,-0.0355,-0.0559,0.0491,
0.1633,0.0111,0.0096,-0.1752,-0.0361,-0.0572,0.0493,
0.1650,0.0108,0.0090,-0.1766,-0.0367,-0.0582,0.0487,
0.1667,0.0103,0.0082,-0.1776,-0.0372,-0.0587,0.0474,
0.1683,0.0098,0.0071,-0.1781,-0.0377,-0.0587,0.0452,
0.1700,0.0091,0.0057,-0.1778,-0.0381,-0.0581,0.0420,
0.1717,0.0084,0.0040,-0.1768,-0.0384,-0.0569,0.0379,
0.1733,0.0076,0.0021,-0.1749,-0.0386,-0.0549,0.0327,
0.1750,0.0067,-0.0002,-0.1720,-0.0386,-0.0522,0.0265,
0.1767,0.0057,-0.0027,-0.1681,-0.0385,-0.0486,0.0192,
0.1783,0.0047,-0.0054,-0.1629,-0.0381,-0.0442,0.0108,
0.1800,0.0035,-0.0084,-0.1566,-0.0376,-0.0389,0.0015,
0.1817,0.0023,-0.0115,-0.1490,-0.0368,-0.0326,-0.0088,
0.1833,0.0010,-0.0149,-0.1400,-0.0357,-0.0255,-0.0200,
0.1850,-0.0003,-0.0183,-0.1297,-0.0343,-0.0175,-0.0319,
0.1867,-0.0017,-0.0217,-0.1181,-0.0326,-0.0087,-0.0444,
0.1883,-0.0031,-0.0252,-0.1052,-0.0305,0.0008,-0.0574,
0.1900,-0.0045,-0.0286,-0.0909,-0.0282,0.0111,-0.0706,
0.1917,-0.0060,-0.0318,-0.0755,-0.0255,0.0219,-0.0838,
0.1933,-0.0075,-0.0349,-0.0589,-0.0224,0.0331,-0.0969,
0.1950,-0.0091,-0.0378,-0.0413,-0.0190,0.0446,-0.1095,
0.1967,-0.0107,-0.0403,-0.0228,-0.0153,0.0562,-0.1214,
0.1983,-0.0123,-0.0425,-0.0035,-0.0113,0.0677,-0.1324,
0.2000,-0.0140,-0.0442,0.0163,-0.0070,0.0790,-0.1423,
0.2017,-0.0157,-0.0456,0.0366,-0.0024,0.0899,-0.1508,
0.2033,-0.0176,-0.0465,0.0572,0.0023,0.1002,-0.1576,
0.2050,-0.0195,-0.0470,0.0779,0.0073,0.1097,-0.1627,
0.2067,-0.0216,-0.0471,0.0985,0.0124,0.1181,-0.1658,
0.2083,-0.0239,-0.0468,0.1188,0.0175,0.1255,-0.1668,
0.2100,-0.0263,-0.0462,0.1387,0.0227,0.1314,-0.1655,
0.2117,-0.0290,-0.0453,0.1580,0.0278,0.1360,-0.1620,
0.2133,-0.0319,-0.0443,0.1766,0.0329,0.1389,-0.1562,
0.2150,-0.0351,-0.0433,0.1943,0.0377,0.1401,-0.1481,
0.2167,-0.0385,-0.0422,0.2110,0.0424,0.1396,-0.1378,
0.2183,-0.0422,-0.0414,0.2267,0.0468,0.1372,-0.1255,
0.2200,-0.0462,-0.0408,0.2411,0.0508,0.1329,-0.1111,
0.2217,-0.0504,-0.0405,0.2543,0.0544,0.1267,-0.0951,
0.2233,-0.0549,-0.0408,0.2663,0.0575,0.1186,-0.0775,
0.2250,-0.0596,-0.0415,0.2769,0.0602,0.1086,-0.0586,
0.2267,-0.0645,-0.0428,0.2862,0.0622,0.0967,-0.0389,
0.2283,-0.0695,-0.0447,0.2942,0.0637,0.0831,-0.0184,
0.2300,-0.0746,-0.0472,0.3009,0.0646,0.0678,0.0024,
0.2317,-0.0798,-0.0502,0.3063,0.0649,0.0510,0.0232,
0.2333,-0.0850,-0.0536,0.3105,0.0646,0.0327,0.0438,
0.2350,-0.0900,-0.0574,0.3135,0.0637,0.0131,0.0639,
0.2367,-0.0950,-0.0614,0.3154,0.0623,-0.0074,0.0832,
0.2383,-0.0997,-0.0654,0.3162,0.0603,-0.0288,0.1015,
0.2400,-0.1042,-0.0694,0.3160,0.0578,-0.0506,0.1185,
0.2417,-0.1083,-0.0732,0.3148,0.0548,-0.0726,0.1342,
0.2433,-0.1120,-0.0766,0.3128,0.0514,-0.0945,0.1484,
0.2450,-0.1153,-0.0795,0.3100,0.0477,-0.1159,0.1610,
0.2467,-0.1179,-0.0817,0.3064,0.0437,-0.1363,0.1719,
0.2483,-0.1198,-0.0831,0.3021,0.0394,-0.1556,0.1812,
0.2500,-0.1210,-0.0836,0.2972,0.0349,-0.1731,0.1886,
0.2517,-0.1214,-0.0832,0.2918,0.0302,-0.1887,0.1944,
0.2533,-0.1209,-0.0818,0.2859,0.0254,-0.2020,0.1984,
0.2550,-0.1194,-0.0795,0.2796,0.0205,-0.2125,0.2008,
0.2567,-0.1169,-0.0762,0.2730,0.0155,-0.2201,0.2015,
0.2583,-0.1134,-0.0721,0.2661,0.0104,-0.2245,0.2005,
0.2600,-0.1088,-0.0672,0.2590,0.0053,-0.2254,0.1980,
0.2617,-0.1030,-0.0616,0.2518,0.0001,-0.2228,0.1938,
0.2633,-0.0962,-0.0554,0.2446,-0.0050,-0.2165,0.1880,
