time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.0887,2.3621,73.4229,89.2133,110.1541,118.1538,71.5037,-1.3238,
0.0167,48.0885,2.3703,73.6450,89.1986,110.0272,118.1570,71.4986,-1.3238,
0.0250,48.0884,2.3737,73.8573,89.1854,109.9060,118.1592,71.4950,-1.3238,
0.0333,48.0882,2.3687,74.0402,89.1744,109.8017,118.1600,71.4939,-1.3238,
0.0417,48.0881,2.3553,74.1790,89.1652,109.7231,118.1597,71.4954,-1.3238,
0.0500,48.0880,2.3370,74.2684,89.1574,109.6735,118.1593,71.4986,-1.3238,
0.0583,48.0879,2.3191,74.3126,89.1503,109.6505,118.1594,71.5029,-1.3238,
0.0667,48.0879,2.3065,74.3213,89.1435,109.6486,118.1607,71.5073,-1.3238,
0.0750,48.0878,2.3031,74.3067,89.1364,109.6606,118.1639,71.5116,-1.3238,
0.0833,48.0878,2.3126,74.2813,89.1288,109.6796,118.1690,71.5155,-1.3238,
0.0917,48.0878,2.3373,74.2550,89.1204,109.6997,118.1762,71.5193,-1.3238,
0.1000,48.0878,2.3765,74.2333,89.1109,109.7177,118.1853,71.5236,-1.3239,
0.1083,48.0878,2.4239,74.2167,89.1002,109.7331,118.1962,71.5293,-1.3239,
0.1167,48.0878,2.4701,74.2048,89.0883,109.7459,118.2085,71.5375,-1.3239,
0.1250,48.0878,2.5070,74.1971,89.0752,109.7562,118.2220,71.5498,-1.3240,
0.1333,48.0878,2.5320,74.1906,89.0609,109.7656,118.2362,71.5672,-1.3240,
0.1417,48.0879,2.5459,74.1797,89.0458,109.7767,118.2509,71.5906,-1.3240,
0.1500,48.0879,2.5511,74.1594,89.0299,109.7922,118.2660,71.6194,-1.3241,
0.1583,48.0880,2.5497,74.1279,89.0135,109.8130,118.2811,71.6516,-1.3241,
0.1667,48.0880,2.5440,74.0858,88.9962,109.8392,118.2963,71.6838,-1.3241,
0.1750,48.0880,2.5365,74.0348,88.9771,109.8701,118.3120,71.7126,-1.3242,
0.1833,48.0879,2.5301,73.9790,88.9547,109.9042,118.3285,71.7366,-1.3242,
0.1917,48.0877,2.5282,73.9242,88.9265,109.9386,118.3467,71.7565,-1.3242,
0.2000,48.0874,2.5341,73.8759,88.8897,109.9704,118.3671,71.7747,-1.3242,
0.2083,48.0871,2.5502,73.8386,88.8404,109.9967,118.3907,71.7932,-1.3242,
0.2167,48.0867,2.5776,73.8163,88.7746,110.0137,118.4188,71.8129,-1.3241,
0.2250,48.0863,2.6156,73.8120,88.6875,110.0177,118.4528,71.8333,-1.3241,
0.2333,48.0860,2.6627,73.8271,88.5743,110.0052,118.4948,71.8541,-1.3240,
0.2417,48.0859,2.7169,73.8624,88.4299,109.9733,118.5471,71.8753,-1.3239,
0.2500,48.0860,2.7762,73.9178,88.2495,109.9192,118.6124,71.8966,-1.3238,
0.2583,48.0866,2.8406,73.9932,88.0288,109.8412,118.6934,71.9174,-1.3237,
0.2667,48.0876,2.9134,74.0876,87.7648,109.7382,118.7920,71.9372,-1.3235,
0.2750,48.0891,3.0016,74.1999,87.4567,109.6102,118.9094,71.9549,-1.3233,
0.2833,48.0909,3.1129,74.3293,87.1061,109.4578,119.0456,71.9695,-1.3230,
0.2917,48.0928,3.2505,74.4755,86.7167,109.2827,119.1999,71.9796,-1.3228,
0.3000,48.0943,3.4116,74.6386,86.2945,109.0873,119.3696,71.9845,-1.3225,
0.3083,48.0953,3.5887,74.8178,85.8476,108.8747,119.5508,71.9840,-1.3221,
0.3167,48.0958,3.7724,75.0101,85.3865,108.6484,119.7379,71.9785,-1.3217,
0.3250,48.0961,3.9547,75.2103,84.9227,108.4127,119.9241,71.9682,-1.3213,
0.3333,48.0965,4.1302,75.4114,84.4683,108.1719,120.1021,71.9527,-1.3209,
0.3417,48.0974,4.2959,75.6052,84.0348,107.9303,120.2647,71.9312,-1.3204,
0.3500,48.0986,4.4504,75.7839,83.6305,107.6925,120.4063,71.9020,-1.3199,
0.3583,48.1001,4.5929,75.9411,83.2594,107.4633,120.5243,71.8631,-1.3193,
0.3667,48.1018,4.7238,76.0725,82.9201,89.0865,99.6390,92.5221,-1.1765,
0.3750,48.1033,4.8445,76.1749,82.6098,88.8319,99.7429,92.4559,-1.1758,
