time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.1884,48.2376,77.1305,92.1184,86.2715,90.4396,96.6529,-1.3052,
0.0167,48.1885,48.2369,77.1769,92.1292,86.1985,90.4076,96.6717,-1.3049,
0.0250,48.1887,48.2363,77.2193,92.1388,86.1294,90.3765,96.6899,-1.3046,
0.0333,48.1887,48.2357,77.2555,92.1458,86.0672,90.3474,96.7067,-1.3044,
0.0417,48.1888,48.2354,77.2840,92.1487,86.0142,90.3216,96.7216,-1.3041,
0.0500,48.1888,48.2351,77.3040,92.1468,85.9713,90.2998,96.7343,-1.3039,
0.0583,48.1888,48.2350,77.3159,92.1405,85.9380,90.2823,96.7451,-1.3037,
0.0667,48.1888,48.2350,77.3210,92.1308,85.9129,90.2685,96.7538,-1.3035,
0.0750,48.1888,48.2351,77.3212,92.1193,85.8937,90.2577,96.7608,-1.3033,
0.0833,48.1888,48.2351,77.3181,92.1070,85.8788,90.2489,96.7662,-1.3032,
0.0917,48.1888,48.2351,77.3132,92.0952,85.8664,90.2410,96.7701,-1.3031,
0.1000,48.1889,48.2352,77.3072,92.0844,85.8555,90.2333,96.7729,-1.3029,
0.1083,48.1889,48.2352,77.3011,92.0750,85.8451,90.2250,96.7748,-1.3028,
0.1167,48.1889,48.2352,77.2950,92.0673,85.8347,90.2157,96.7760,-1.3027,
0.1250,48.1889,48.2353,77.2892,92.0613,85.8243,90.2051,96.7767,-1.3025,
0.1333,48.1889,48.2353,77.2836,92.0568,85.8138,90.1932,96.7771,-1.3024,
0.1417,48.1889,48.2353,77.2786,92.0538,85.8030,90.1801,96.7772,-1.3023,
0.1500,48.1889,48.2354,77.2745,92.0520,85.7917,90.1658,96.7769,-1.3021,
0.1583,48.1889,48.2354,77.2712,92.0508,85.7798,90.1509,96.7761,-1.3020,
0.1667,48.1888,48.2355,77.2685,92.0498,85.7671,90.1355,96.7745,-1.3019,
0.1750,48.1888,48.2355,77.2663,92.0483,85.7534,90.1201,96.7721,-1.3018,
0.1833,48.1887,48.2356,77.2646,92.0461,85.7382,90.1049,96.7686,-1.3016,
0.1917,48.1887,48.2358,77.2637,92.0428,85.7212,90.0900,96.7643,-1.3015,
0.2000,48.1886,48.2359,77.2638,92.0381,85.7023,90.0755,96.7590,-1.3014,
0.2083,48.1886,48.2361,77.2644,92.0318,85.6822,90.0615,96.7529,-1.3013,
0.2167,48.1885,48.2364,77.2641,92.0236,85.6619,90.0481,96.7461,-1.3011,
0.2250,48.1885,48.2366,77.2614,92.0134,85.6430,90.0354,96.7385,-1.3010,
0.2333,48.1884,48.2369,77.2543,92.0017,85.6271,90.0233,96.7299,-1.3009,
0.2417,48.1884,48.2372,77.2411,91.9891,85.6158,90.0112,96.7203,-1.3007,
0.2500,48.1883,48.2375,77.2199,91.9767,85.6108,89.9985,96.7093,-1.3006,
0.2583,48.1883,48.2376,77.1896,91.9653,85.6132,89.9848,96.6970,-1.3004,
0.2667,48.1882,48.2377,77.1497,91.9557,85.6237,89.9694,96.6830,-1.3003,
0.2750,48.1881,48.2378,77.1008,91.9482,85.6419,89.9519,96.6672,-1.3002,
0.2833,48.1880,48.2378,77.0437,91.9427,85.6673,89.9318,96.6495,-1.3000,
0.2917,48.1880,48.2377,76.9794,91.9390,85.6991,89.9088,96.6297,-1.2999,
0.3000,48.1880,48.2377,76.9092,91.9368,85.7367,89.8831,96.6075,-1.2997,
0.3083,48.1880,48.2377,76.8341,91.9354,85.7797,89.8548,96.5829,-1.2996,
0.3167,48.1880,48.2377,76.7545,91.9342,85.8284,89.8246,96.5556,-1.2994,
0.3250,48.1881,48.2378,76.6705,91.9326,85.8829,89.7935,96.5255,-1.2993,
0.3333,48.1882,48.2379,76.5828,91.9298,85.9426,89.7628,96.4925,-1.2991,
0.3417,48.1883,48.2380,76.4936,91.9249,86.0061,89.7335,96.4564,-1.2990,
0.3500,48.1884,48.2381,76.4063,91.9171,86.0712,89.7072,96.4173,-1.2989,
0.3583,48.1884,48.2383,76.3251,91.9047,86.1354,89.6854,96.3753,-1.2987,
0.3667,48.1884,48.2384,76.2540,91.8863,86.1963,89.6696,96.3302,-1.2986,
0.3750,48.1884,48.2385,76.1957,91.8607,86.2522,89.6612,96.2819,-1.2984,
0.3833,48.1883,48.2385,76.1506,91.8266,86.3026,89.6619,96.2302,-1.2983,
0.3917,48.1882,48.2385,76.1174,91.7831,86.3478,89.6728,96.1746,-1.2982,
0.4000,48.1881,48.2385,76.0940,91.7301,86.3880,89.6947,96.1146,-1.2981,
0.4083,48.1881,48.2386,76.0790,91.6679,86.4224,89.7279,96.0494,-1.2980,
0.4167,48.1880,48.2386,76.0730,91.5975,86.4490,89.7717,95.9784,-1.2979,
0.4250,48.1880,48.2386,76.0777,91.5199,86.4643,89.8247,95.9010,-1.2978,
0.4333,48.1879,48.2386,76.0952,91.4364,86.4653,89.8853,95.8167,-1.2978,
0.4417,48.1879,48.2387,76.1264,91.3481,86.4508,89.9523,95.7249,-1.2977,
0.4500,48.1879,48.2386,76.1707,91.2559,86.4220,90.0251,95.6248,-1.2977,
0.4583,48.1880,48.2385,76.2260,91.1609,86.3821,90.1037,95.5156,-1.2977,
0.4667,48.1881,48.2382,76.2895,91.0642,86.3356,90.1879,95.3967,-1.2977,
0.4750,48.1883,48.2379,76.3578,90.9671,86.2874,90.2767,95.2676,-1.2977,
0.4833,48.1886,48.2374,76.4276,90.8707,86.2418,90.3693,95.1283,-1.2977,
0.4917,48.1889,48.2370,76.4958,90.7757,86.2027,90.4648,94.9785,-1.2978,
0.5000,48.1891,48.2365,76.5600,90.6816,86.1724,90.5632,94.8181,-1.2979,
0.5083,48.1892,48.2361,76.6184,90.5875,86.1523,90.6659,94.6469,-1.2981,
0.5167,48.1890,48.2357,76.6705,90.4911,86.1426,90.7749,94.4647,-1.2983,
0.5250,48.1882,48.2354,76.7167,90.3896,86.1426,90.8927,94.2717,-1.2985,
0.5333,48.1865,48.2352,76.7583,90.2800,86.1513,91.0219,94.0681,-1.2988,
0.5417,48.1839,48.2350,76.7967,90.1592,86.1674,91.1645,93.8546,-1.2991,
0.5500,48.1803,48.2349,76.8330,90.0252,86.1893,91.3223,93.6319,-1.2995,
0.5583,48.1760,48.2347,76.8676,89.8776,86.2151,91.4957,93.4013,-1.2999,
0.5667,48.1716,48.2344,76.9001,89.7175,86.2421,91.6846,93.1642,-1.3003,
0.5750,48.1678,48.2340,76.9303,89.5471,86.2677,91.8879,92.9223,-1.3007,
0.5833,48.1648,48.2334,76.9584,89.3683,86.2890,92.1040,92.6769,-1.3011,
0.5917,48.1628,48.2326,76.9857,89.1822,86.3035,92.3311,92.4299,-1.3015,
0.6000,48.1615,48.2317,77.0134,88.9900,86.3091,92.5663,92.1829,-1.3018,
0.6083,48.1608,48.2307,77.0429,88.7932,86.3040,92.8058,91.9379,-1.3022,
0.6167,48.1605,48.2297,77.0752,88.5934,86.2870,93.0448,91.6970,-1.3025,
0.6250,48.1602,48.2287,77.1109,88.3933,86.2574,93.2777,91.4623,-1.3027,
0.6333,48.1601,48.2276,77.1497,88.1958,86.2153,93.4986,91.2358,-1.3029,
0.6417,48.1599,48.2266,77.1904,88.0039,86.1610,93.7021,91.0196,-1.3030,
0.6500,48.1596,48.2256,77.2315,87.8203,86.0947,93.8836,90.8154,-1.3030,
0.6583,48.1592,48.2246,77.2717,87.6466,86.0161,94.0396,90.6248,-1.3028,
0.6667,48.1588,48.2235,77.3103,87.4846,85.9244,94.1676,90.4491,-1.3026,
0.6750,48.1583,48.2225,77.3477,87.3356,85.8187,94.2657,90.2893,-1.3023,
0.6833,48.1579,48.2214,77.3842,87.2016,85.6982,94.3319,90.1461,-1.3018,
