time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.0722,-3.0173,80.4389,85.3644,83.0814,89.8055,94.9170,-1.1329,
0.0167,48.0719,-3.0105,80.2964,85.3475,83.2347,89.7981,94.9175,-1.1329,
0.0250,48.0715,-2.9768,80.1571,85.3197,83.3835,89.7897,94.9176,-1.1328,
0.0333,48.0713,-2.9137,80.0274,85.2813,83.5198,89.7799,94.9169,-1.1327,
0.0417,48.0711,-2.8390,79.9160,85.2410,83.6339,89.7689,94.9155,-1.1327,
0.0500,48.0711,-2.7713,79.8292,85.2067,83.7192,89.7574,94.9133,-1.1326,
0.0583,48.0711,-2.7200,79.7686,85.1815,83.7751,89.7459,94.9103,-1.1325,
0.0667,48.0711,-2.6865,79.7312,85.1652,83.8060,89.7347,94.9069,-1.1325,
0.0750,48.0711,-2.6677,79.7118,85.1563,83.8177,89.7241,94.9034,-1.1324,
0.0833,48.0712,-2.6592,79.7048,85.1527,83.8167,89.7141,94.9003,-1.1324,
0.0917,48.0712,-2.6567,79.7052,85.1526,83.8081,89.7045,94.8982,-1.1323,
0.1000,48.0712,-2.6569,79.7092,85.1543,83.7961,89.6954,94.8978,-1.1322,
0.1083,48.0713,-2.6577,79.7140,85.1567,83.7834,89.6867,94.8997,-1.1322,
0.1167,48.0713,-2.6579,79.7181,85.1587,83.7716,89.6787,94.9046,-1.1321,
0.1250,48.0713,-2.6576,79.7205,85.1597,83.7614,89.6712,94.9128,-1.1321,
0.1333,48.0713,-2.6572,79.7211,85.1593,83.7528,89.6643,94.9246,-1.1320,
0.1417,48.0713,-2.6571,79.7200,85.1575,83.7454,89.6581,94.9392,-1.1319,
0.1500,48.0713,-2.6573,79.7176,85.1543,83.7389,89.6524,94.9551,-1.1319,
0.1583,48.0713,-2.6576,79.7143,85.1498,83.7327,89.6471,94.9705,-1.1318,
0.1667,48.0714,-2.6578,79.7103,85.1441,83.7264,89.6420,94.9837,-1.1317,
0.1750,48.0714,-2.6575,79.7062,85.1375,83.7199,89.6370,94.9941,-1.1316,
0.1833,48.0714,-2.6563,79.7023,85.1299,83.7129,89.6320,95.0017,-1.1316,
0.1917,48.0714,-2.6539,79.6986,85.1212,83.7052,89.6273,95.0069,-1.1315,
0.2000,48.0715,-2.6505,79.6956,85.1110,83.6970,89.6235,95.0102,-1.1314,
0.2083,48.0715,-2.6467,79.6934,85.0981,83.6881,89.6214,95.0121,-1.1313,
0.2167,48.0715,-2.6432,79.6924,85.0809,83.6783,89.6228,95.0130,-1.1312,
0.2250,48.0715,-2.6401,79.6928,85.0571,83.6672,89.6297,95.0131,-1.1311,
0.2333,48.0715,-2.6368,79.6953,85.0240,83.6542,89.6447,95.0123,-1.1310,
0.2417,48.0714,-2.6322,79.7004,84.9787,83.6386,89.6709,95.0104,-1.1310,
0.2500,48.0713,-2.6246,79.7091,84.9180,83.6195,89.7115,95.0066,-1.1309,
0.2583,48.0712,-2.6124,79.7221,84.8389,83.5963,89.7699,95.0002,-1.1308,
0.2667,48.0711,-2.5941,79.7403,84.7381,83.5683,89.8495,94.9902,-1.1308,
0.2750,48.0710,-2.5689,79.7642,84.6124,83.5352,89.9538,94.9753,-1.1308,
0.2833,48.0708,-2.5365,79.7941,84.4577,83.4970,90.0869,94.9542,-1.1308,
0.2917,48.0707,-2.4979,79.8298,84.2700,83.4546,90.2528,94.9257,-1.1308,
0.3000,48.0705,-2.4552,79.8709,84.0450,83.4089,90.4554,94.8885,-1.1309,
