time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0435,0.0047,-0.2681,-0.4936,-0.0436,-0.0337,
0.0033,-0.0435,0.0046,-0.2681,-0.4936,-0.0436,-0.0337,
0.0050,-0.0435,0.0046,-0.2682,-0.4937,-0.0436,-0.0337,
0.0067,-0.0435,0.0046,-0.2682,-0.4937,-0.0436,-0.0338,
0.0083,-0.0435,0.0046,-0.2682,-0.4937,-0.0436,-0.0338,
0.0100,-0.0435,0.0046,-0.2683,-0.4938,-0.0436,-0.0338,
0.0117,-0.0435,0.0046,-0.2683,-0.4938,-0.0436,-0.0338,
0.0133,-0.0435,0.0046,-0.2683,-0.4939,-0.0436,-0.0338,
0.0150,-0.0435,0.0046,-0.2684,-0.4939,-0.0437,-0.0338,
0.0167,-0.0435,0.0046,-0.2684,-0.4939,-0.0437,-0.0339,
0.0183,-0.0435,0.0046,-0.2684,-0.4940,-0.0437,-0.0339,
0.0200,-0.0435,0.0046,-0.2684,-0.4940,-0.0437,-0.0339,
0.0217,-0.0435,0.0046,-0.2685,-0.4940,-0.0437,-0.0339,
0.0233,-0.0436,0.0046,-0.2685,-0.4940,-0.0437,-0.0339,
0.0250,-0.0436,0.0046,-0.2685,-0.4940,-0.0437,-0.0339,
0.0267,-0.0436,0.0046,-0.2685,-0.4940,-0.0437,-0.0339,
0.0283,-0.0436,0.0046,-0.2685,-0.4940,-0.0438,-0.0339,
0.0300,-0.0436,0.0046,-0.2684,-0.4940,-0.0438,-0.0339,
0.0317,-0.0436,0.0046,-0.2684,-0.4939,-0.0438,-0.0339,
0.0333,-0.0436,0.0047,-0.2684,-0.4939,-0.0438,-0.0339,
0.0350,-0.0436,0.0047,-0.2683,-0.4938,-0.0438,-0.0339,
0.0367,-0.0436,0.0047,-0.2682,-0.4937,-0.0438,-0.0338,
0.0383,-0.0436,0.0047,-0.2682,-0.4936,-0.0437,-0.0338,
0.0400,-0.0436,0.0047,-0.2681,-0.4935,-0.0437,-0.0338,
0.0417,-0.0436,0.0047,-0.2680,-0.4934,-0.0437,-0.0337,
0.0433,-0.0436,0.0047,-0.2679,-0.4933,-0.0437,-0.0337,
0.0450,-0.0436,0.0047,-0.2678,-0.4931,-0.0436,-0.0336,
0.0467,-0.0436,0.0047,-0.2676,-0.4930,-0.0436,-0.0335,
0.0483,-0.0436,0.0047,-0.2675,-0.4929,-0.0436,-0.0335,
0.0500,-0.0436,0.0047,-0.2674,-0.4927,-0.0435,-0.0334,
0.0517,-0.0436,0.0048,-0.2673,-0.4926,-0.0435,-0.0333,
0.0533,-0.0436,0.0048,-0.2672,-0.4924,-0.0434,-0.0333,
0.0550,-0.0436,0.0048,-0.2671,-0.4923,-0.0434,-0.0332,
0.0567,-0.0435,0.0048,-0.2670,-0.4922,-0.0433,-0.0332,
0.0583,-0.0435,0.0048,-0.2669,-0.4922,-0.0433,-0.0331,
0.0600,-0.0435,0.0048,-0.2669,-0.4921,-0.0432,-0.0331,
0.0617,-0.0434,0.0047,-0.2669,-0.4921,-0.0432,-0.0331,
0.0633,-0.0434,0.0047,-0.2669,-0.4922,-0.0431,-0.0331,
0.0650,-0.0433,0.0047,-0.2670,-0.4922,-0.0431,-0.0331,
0.0667,-0.0433,0.0047,-0.2670,-0.4923,-0.0431,-0.0331,
0.0683,-0.0433,0.0047,-0.2672,-0.4925,-0.0431,-0.0331,
0.0700,-0.0432,0.0047,-0.2674,-0.4927,-0.0431,-0.0332,
0.0717,-0.0432,0.0046,-0.2676,-0.4930,-0.0431,-0.0333,
0.0733,-0.0432,0.0046,-0.2678,-0.4933,-0.0431,-0.0334,
0.0750,-0.0431,0.0046,-0.2681,-0.4937,-0.0432,-0.0336,
0.0767,-0.0431,0.0045,-0.2685,-0.4941,-0.0433,-0.0337,
0.0783,-0.0431,0.0045,-0.2688,-0.4946,-0.0434,-0.0339,
0.0800,-0.0431,0.0044,-0.2692,-0.4951,-0.0435,-0.0341,
0.0817,-0.0431,0.0044,-0.2697,-0.4956,-0.0436,-0.0343,
0.0833,-0.0432,0.0044,-0.2701,-0.4961,-0.0437,-0.0345,
0.0850,-0.0432,0.0043,-0.2706,-0.4966,-0.0439,-0.0348,
0.0867,-0.0433,0.0043,-0.2710,-0.4971,-0.0441,-0.0350,
0.0883,-0.0433,0.0043,-0.2714,-0.4976,-0.0442,-0.0353,
0.0900,-0.0434,0.0043,-0.2718,-0.4981,-0.0444,-0.0355,
0.0917,-0.0435,0.0043,-0.2721,-0.4985,-0.0446,-0.0357,
0.0933,-0.0436,0.0043,-0.2724,-0.4988,-0.0448,-0.0359,
0.0950,-0.0437,0.0043,-0.2726,-0.4990,-0.0450,-0.0360,
0.0967,-0.0439,0.0043,-0.2727,-0.4991,-0.0452,-0.0361,
0.0983,-0.0440,0.0043,-0.2727,-0.4991,-0.0453,-0.0362,
0.1000,-0.0441,0.0044,-0.2726,-0.4989,-0.0454,-0.0362,
0.1017,-0.0443,0.0045,-0.2723,-0.4986,-0.0455,-0.0362,
0.1033,-0.0444,0.0045,-0.2720,-0.4981,-0.0456,-0.0360,
0.1050,-0.0446,0.0046,-0.2714,-0.4974,-0.0456,-0.0358,
0.1067,-0.0447,0.0047,-0.2707,-0.4966,-0.0456,-0.0356,
0.1083,-0.0448,0.0048,-0.2699,-0.4955,-0.0455,-0.0352,
0.1100,-0.0449,0.0049,-0.2689,-0.4943,-0.0453,-0.0348,
0.1117,-0.0450,0.0051,-0.2677,-0.4929,-0.0451,-0.0342,
0.1133,-0.0450,0.0052,-0.2665,-0.4914,-0.0448,-0.0336,
0.1150,-0.0450,0.0053,-0.2651,-0.4897,-0.0445,-0.0329,
0.1167,-0.0450,0.0055,-0.2636,-0.4879,-0.0440,-0.0322,
0.1183,-0.0450,0.0056,-0.2621,-0.4860,-0.0436,-0.0314,
0.1200,-0.0448,0.0057,-0.2605,-0.4841,-0.0430,-0.0305,
0.1217,-0.0447,0.0058,-0.2589,-0.4822,-0.0424,-0.0297,
0.1233,-0.0445,0.0059,-0.2573,-0.4804,-0.0418,-0.0288,
0.1250,-0.0442,0.0060,-0.2559,-0.4787,-0.0411,-0.0280,
0.1267,-0.0439,0.0060,-0.2546,-0.4771,-0.0404,-0.0272,
0.1283,-0.0435,0.0060,-0.2535,-0.4759,-0.0397,-0.0264,
0.1300,-0.0431,0.0060,-0.2526,-0.4749,-0.0391,-0.0258,
0.1317,-0.0426,0.0059,-0.2521,-0.4743,-0.0384,-0.0253,
0.1333,-0.0421,0.0058,-0.2519,-0.4741,-0.0379,-0.0250,
0.1350,-0.0416,0.0057,-0.2521,-0.4745,-0.0373,-0.0248,
0.1367,-0.0411,0.0055,-0.2527,-0.4754,-0.0369,-0.0249,
0.1383,-0.0406,0.0053,-0.2539,-0.4769,-0.0367,-0.0252,
0.1400,-0.0400,0.0050,-0.2556,-0.4790,-0.0365,-0.0258,
0.1417,-0.0395,0.0046,-0.2578,-0.4818,-0.0366,-0.0266,
0.1433,-0.0391,0.0043,-0.2606,-0.4853,-0.0368,-0.0278,
0.1450,-0.0387,0.0038,-0.2640,-0.4894,-0.0373,-0.0292,
0.1467,-0.0384,0.0034,-0.2679,-0.4942,-0.0379,-0.0310,
0.1483,-0.0382,0.0029,-0.2723,-0.4996,-0.0388,-0.0330,
0.1500,-0.0381,0.0024,-0.2771,-0.5054,-0.0400,-0.0354,
0.1517,-0.0381,0.0020,-0.2823,-0.5118,-0.0414,-0.0380,
0.1533,-0.0383,0.0015,-0.2878,-0.5184,-0.0430,-0.0408,
0.1550,-0.0386,0.0010,-0.2935,-0.5252,-0.0448,-0.0437,
0.1567,-0.0392,0.0006,-0.2991,-0.5320,-0.0469,-0.0468,
0.1583,-0.0399,0.0002,-0.3047,-0.5386,-0.0491,-0.0499,
0.1600,-0.0408,-0.0000,-0.3099,-0.5448,-0.0514,-0.0530,
0.1617,-0.0420,-0.0002,-0.3147,-0.5503,-0.0539,-0.0559,
0.1633,-0.0433,-0.0003,-0.3187,-0.5550,-0.0563,-0.0586,
0.1650,-0.0448,-0.0003,-0.3218,-0.5584,-0.0587,-0.0609,
0.1667,-0.0465,-0.0001,-0.3237,-0.5604,-0.0611,-0.0628,
0.1683,-0.0484,0.0003,-0.3242,-0.5606,-0.0632,-0.0641,
0.1700,-0.0504,0.0008,-0.3231,-0.5589,-0.0650,-0.0647,
0.1717,-0.0525,0.0015,-0.3201,-0.5548,-0.0665,-0.0645,
0.1733,-0.0547,0.0024,-0.3150,-0.5481,-0.0675,-0.0633,
0.1750,-0.0570,0.0035,-0.3075,-0.5386,-0.0679,-0.0611,
0.1767,-0.0592,0.0048,-0.2976,-0.5260,-0.0677,-0.0578,
0.1783,-0.0614,0.0063,-0.2850,-0.5102,-0.0667,-0.0532,
0.1800,-0.0634,0.0080,-0.2697,-0.4911,-0.0648,-0.0473,
0.1817,-0.0652,0.0099,-0.2514,-0.4684,-0.0621,-0.0400,
0.1833,-0.0669,0.0119,-0.2303,-0.4421,-0.0583,-0.0314,
0.1850,-0.0682,0.0141,-0.2062,-0.4124,-0.0534,-0.0213,
0.1867,-0.0691,0.0164,-0.1792,-0.3791,-0.0474,-0.0099,
0.1883,-0.0696,0.0188,-0.1495,-0.3425,-0.0402,0.0027,
0.1900,-0.0697,0.0213,-0.1171,-0.3028,-0.0319,0.0166,
0.1917,-0.0692,0.0237,-0.0823,-0.2601,-0.0225,0.0316,
0.1933,-0.0682,0.0262,-0.0454,-0.2148,-0.0119,0.0475,
0.1950,-0.0666,0.0285,-0.0066,-0.1673,-0.0003,0.0642,
0.1967,-0.0643,0.0308,0.0338,-0.1180,0.0123,0.0814,
0.1983,-0.0615,0.0328,0.0752,-0.0673,0.0257,0.0988,
0.2000,-0.0581,0.0347,0.1174,-0.0157,0.0399,0.1162,
0.2017,-0.0541,0.0364,0.1599,0.0363,0.0546,0.1333,
0.2033,-0.0495,0.0377,0.2023,0.0882,0.0697,0.1498,
0.2050,-0.0445,0.0388,0.2442,0.1394,0.0849,0.1653,
0.2067,-0.0391,0.0395,0.2851,0.1895,0.1001,0.1795,
0.2083,-0.0333,0.0399,0.3246,0.2380,0.1150,0.1922,
0.2100,-0.0273,0.0399,0.3624,0.2845,0.1294,0.2029,
0.2117,-0.0212,0.0396,0.3982,0.3286,0.1430,0.2114,
0.2133,-0.0150,0.0389,0.4316,0.3700,0.1556,0.2174,
0.2150,-0.0089,0.0379,0.4625,0.4084,0.1671,0.2207,
0.2167,-0.0029,0.0367,0.4906,0.4436,0.1771,0.2211,
0.2183,0.0028,0.0351,0.5157,0.4754,0.1856,0.2185,
0.2200,0.0082,0.0334,0.5379,0.5037,0.1924,0.2127,
0.2217,0.0131,0.0314,0.5570,0.5286,0.1975,0.2037,
0.2233,0.0175,0.0292,0.5730,0.5501,0.2009,0.1916,
0.2250,0.0213,0.0268,0.5860,0.5682,0.2026,0.1765,
0.2267,0.0245,0.0243,0.5960,0.5831,0.2027,0.1585,
0.2283,0.0270,0.0216,0.6031,0.5951,0.2013,0.1378,
0.2300,0.0289,0.0187,0.6075,0.6043,0.1986,0.1146,
0.2317,0.0301,0.0157,0.6092,0.6111,0.1948,0.0895,
0.2333,0.0306,0.0125,0.6085,0.6158,0.1902,0.0625,
0.2350,0.0305,0.0091,0.6054,0.6187,0.1848,0.0343,
0.2367,0.0299,0.0055,0.6002,0.6203,0.1791,0.0053,
0.2383,0.0287,0.0017,0.5932,0.6207,0.1731,-0.0241,
0.2400,0.0271,-0.0023,0.5844,0.6205,0.1671,-0.0535,
0.2417,0.0252,-0.0064,0.5741,0.6199,0.1613,-0.0822,
0.2433,0.0229,-0.0107,0.5626,0.6193,0.1558,-0.1098,
0.2450,0.0205,-0.0152,0.5500,0.6190,0.1507,-0.1359,
0.2467,0.0179,-0.0197,0.5366,0.6194,0.1461,-0.1601,
0.2483,0.0154,-0.0243,0.5226,0.6207,0.1420,-0.1818,
0.2500,0.0129,-0.0289,0.5082,0.6230,0.1385,-0.2007,
0.2517,0.0106,-0.0333,0.4938,0.6267,0.1354,-0.2165,
0.2533,0.0086,-0.0376,0.4794,0.6318,0.1328,-0.2289,
0.2550,0.0069,-0.0416,0.4654,0.6385,0.1304,-0.2378,
0.2567,0.0057,-0.0452,0.4520,0.6469,0.1284,-0.2429,
0.2583,0.0049,-0.0484,0.4393,0.6569,0.1264,-0.2442,
0.2600,0.0048,-0.0510,0.4276,0.6686,0.1244,-0.2416,
0.2617,0.0052,-0.0530,0.4169,0.6818,0.1222,-0.2353,
0.2633,0.0064,-0.0543,0.4075,0.6966,0.1197,-0.2253,
0.2650,0.0083,-0.0548,0.3993,0.7128,0.1169,-0.2118,
0.2667,0.0109,-0.0547,0.3926,0.7302,0.1135,-0.1951,
0.2683,0.0142,-0.0537,0.3872,0.7486,0.1095,-0.1755,
0.2700,0.0183,-0.0520,0.3831,0.7679,0.1049,-0.1533,
0.2717,0.0230,-0.0496,0.3804,0.7877,0.0996,-0.1289,
0.2733,0.0284,-0.0466,0.3789,0.8080,0.0935,-0.1028,
0.2750,0.0345,-0.0429,0.3783,0.8283,0.0867,-0.0754,
0.2767,0.0410,-0.0387,0.3787,0.8485,0.0792,-0.0472,
0.2783,0.0479,-0.0341,0.3797,0.8682,0.0712,-0.0187,
0.2800,0.0552,-0.0292,0.3811,0.8873,0.0625,0.0095,
0.2817,0.0626,-0.0241,0.3826,0.9054,0.0535,0.0371,
0.2833,0.0702,-0.0188,0.3840,0.9224,0.0443,0.0635,
0.2850,0.0777,-0.0136,0.3851,0.9379,0.0349,0.0883,
0.2867,0.0851,-0.0084,0.3856,0.9519,0.0255,0.1111,
0.2883,0.0923,-0.0035,0.3851,0.9642,0.0164,0.1317,
0.2900,0.0991,0.0010,0.3836,0.9745,0.0077,0.1497,
0.2917,0.1056,0.0052,0.3809,0.9830,-0.0005,0.1649,
0.2933,0.1116,0.0089,0.3767,0.9894,-0.0081,0.1771,
0.2950,0.1172,0.0121,0.3710,0.9937,-0.0149,0.1864,
0.2967,0.1222,0.0146,0.3636,0.9961,-0.0209,0.1927,
0.2983,0.1268,0.0166,0.3546,0.9965,-0.0260,0.1960,
0.3000,0.1308,0.0178,0.3439,0.9952,-0.0303,0.1965,
0.3017,0.1344,0.0185,0.3316,0.9921,-0.0337,0.1944,
