time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,50.0816,50.1794,84.7876,86.1306,-127.9495,-128.0433,54.3383,-9.9350,
0.0167,50.0811,50.1787,84.7757,86.1078,-127.9502,-128.0434,54.3396,-9.9350,
0.0250,50.0806,50.1779,84.7634,86.0871,-127.9510,-128.0435,54.3408,-9.9350,
0.0333,50.0803,50.1772,84.7493,86.0697,-127.9517,-128.0436,54.3417,-9.9350,
0.0417,50.0800,50.1766,84.7311,86.0559,-127.9524,-128.0438,54.3424,-9.9350,
0.0500,50.0800,50.1762,84.7083,86.0445,-127.9532,-128.0440,54.3428,-9.9350,
0.0583,50.0801,50.1759,84.6828,86.0341,-127.9540,-128.0442,54.3432,-9.9350,
0.0667,50.0802,50.1758,84.6581,86.0235,-127.9548,-128.0446,54.3434,-9.9350,
0.0750,50.0804,50.1758,84.6372,86.0122,-127.9555,-128.0449,54.3434,-9.9350,
0.0833,50.0805,50.1757,84.6221,86.0002,-127.9560,-128.0453,54.3434,-9.9350,
0.0917,50.0807,50.1756,84.6132,85.9877,-127.9565,-128.0457,54.3433,-9.9350,
0.1000,50.0807,50.1756,84.6101,85.9744,-127.9568,-128.0461,54.3431,-9.9350,
0.1083,50.0808,50.1755,84.6122,85.9604,-127.9570,-128.0465,54.3428,-9.9350,
0.1167,50.0809,50.1754,84.6177,85.9459,-127.9572,-128.0468,54.3425,-9.9350,
0.1250,50.0809,50.1753,84.6235,85.9314,-127.9574,-128.0471,54.3420,-9.9350,
0.1333,50.0809,50.1752,84.6264,85.9178,-127.9576,-128.0474,54.3415,-9.9350,
0.1417,50.0809,50.1751,84.6243,85.9064,-127.9579,-128.0476,54.3408,-9.9350,
0.1500,50.0808,50.1750,84.6174,85.8989,-127.9583,-128.0478,54.3400,-9.9350,
0.1583,50.0807,50.1749,84.6060,85.8966,-127.9589,-128.0479,54.3393,-9.9350,
0.1667,50.0805,50.1747,84.5895,85.8998,-127.9595,-128.0480,54.3385,-9.9350,
0.1750,50.0804,50.1745,84.5676,85.9081,-127.9603,-128.0481,54.3379,-9.9350,
0.1833,50.0804,50.1743,84.5418,85.9193,-127.9611,-128.0483,54.3372,-9.9350,
0.1917,50.0804,50.1740,84.5161,85.9300,-127.9619,-128.0485,54.3366,-9.9350,
0.2000,50.0804,50.1739,84.4973,85.9362,-127.9625,-128.0488,54.3359,-9.9350,
0.2083,50.0805,50.1738,84.4945,85.9336,-127.9628,-128.0494,54.3353,-9.9350,
0.2167,50.0803,50.1739,84.5175,85.9191,-127.9625,-128.0501,54.3345,-9.9350,
0.2250,50.0800,50.1742,84.5733,85.8901,-127.9614,-128.0512,54.3337,-9.9350,
0.2333,50.0794,50.1746,84.6630,85.8443,-127.9595,-128.0526,54.3329,-9.9350,
0.2417,50.0787,50.1752,84.7792,85.7797,-127.9568,-128.0544,54.3319,-9.9350,
0.2500,50.0778,50.1760,84.9068,85.6942,-127.9535,-128.0567,54.3308,-9.9350,
0.2583,50.0769,50.1771,85.0251,85.5870,-127.9498,-128.0595,54.3296,-9.9350,
0.2667,50.0763,50.1783,85.1138,85.4587,-127.9463,-128.0627,54.3283,-9.9350,
0.2750,50.0761,50.1797,85.1599,85.3117,-127.9431,-128.0664,54.3269,-9.9350,
0.2833,50.0764,50.1813,85.1618,85.1488,-127.9403,-128.0705,54.3253,-9.9350,
0.2917,50.0771,50.1831,85.1291,84.9728,-127.9381,-128.0749,54.3237,-9.9350,
0.3000,50.0782,50.1849,85.0774,84.7866,-127.9364,-128.0796,54.3220,-9.9350,
0.3083,50.0793,50.1867,85.0237,84.5924,-127.9349,-128.0846,54.3203,-9.9350,
0.3167,50.0806,50.1887,84.9813,84.3920,-127.9338,-128.0898,54.3186,-9.9350,
0.3250,50.0820,50.1906,84.9556,84.1867,-127.9330,-128.0951,54.3171,-9.9350,
