time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0128,0.0657,-0.2306,-0.4477,0.0034,0.1137,
0.0033,-0.0128,0.0658,-0.2306,-0.4477,0.0034,0.1137,
0.0050,-0.0128,0.0658,-0.2307,-0.4477,0.0034,0.1137,
0.0067,-0.0128,0.0658,-0.2307,-0.4478,0.0035,0.1137,
0.0083,-0.0128,0.0658,-0.2307,-0.4478,0.0035,0.1138,
0.0100,-0.0128,0.0658,-0.2307,-0.4479,0.0034,0.1138,
0.0117,-0.0128,0.0658,-0.2307,-0.4479,0.0034,0.1138,
0.0133,-0.0128,0.0658,-0.2308,-0.4480,0.0034,0.1138,
0.0150,-0.0128,0.0658,-0.2308,-0.4480,0.0034,0.1138,
0.0167,-0.0128,0.0658,-0.2308,-0.4480,0.0034,0.1138,
0.0183,-0.0128,0.0658,-0.2308,-0.4481,0.0034,0.1138,
0.0200,-0.0128,0.0658,-0.2308,-0.4481,0.0034,0.1138,
0.0217,-0.0128,0.0658,-0.2308,-0.4481,0.0034,0.1137,
0.0233,-0.0128,0.0658,-0.2308,-0.4482,0.0034,0.1137,
0.0250,-0.0128,0.0658,-0.2308,-0.4482,0.0034,0.1137,
0.0267,-0.0128,0.0658,-0.2308,-0.4482,0.0034,0.1137,
0.0283,-0.0128,0.0658,-0.2308,-0.4482,0.0033,0.1137,
0.0300,-0.0128,0.0659,-0.2308,-0.4481,0.0033,0.1137,
0.0317,-0.0128,0.0659,-0.2308,-0.4481,0.0033,0.1136,
0.0333,-0.0128,0.0659,-0.2307,-0.4480,0.0033,0.1136,
0.0350,-0.0128,0.0659,-0.2307,-0.4480,0.0033,0.1136,
0.0367,-0.0128,0.0659,-0.2307,-0.4479,0.0033,0.1136,
0.0383,-0.0128,0.0659,-0.2306,-0.4478,0.0033,0.1135,
0.0400,-0.0128,0.0659,-0.2305,-0.4477,0.0032,0.1135,
0.0417,-0.0128,0.0658,-0.2305,-0.4475,0.0032,0.1135,
0.0433,-0.0128,0.0658,-0.2304,-0.4474,0.0032,0.1135,
0.0450,-0.0128,0.0658,-0.2304,-0.4472,0.0032,0.1134,
0.0467,-0.0128,0.0658,-0.2303,-0.4471,0.0032,0.1134,
