time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-2.7724,-5.8337,79.8765,83.7029,82.9701,93.0244,87.5033,-0.9853,
0.0167,-2.8324,-5.8615,79.8615,83.7185,82.9655,92.8978,87.5946,-0.9849,
0.0250,-2.8850,-5.8829,79.8522,83.7344,82.9591,92.7804,87.6816,-0.9844,
0.0333,-2.9265,-5.8936,79.8503,83.7508,82.9510,92.6775,87.7608,-0.9840,
0.0417,-2.9572,-5.8918,79.8539,83.7688,82.9425,92.5897,87.8308,-0.9837,
0.0500,-2.9786,-5.8781,79.8611,83.7895,82.9343,92.5147,87.8915,-0.9835,
0.0583,-2.9924,-5.8544,79.8708,83.8139,82.9260,92.4488,87.9437,-0.9833,
0.0667,-2.9994,-5.8229,79.8825,83.8427,82.9171,92.3881,87.9886,-0.9832,
0.0750,-3.0007,-5.7858,79.8957,83.8767,82.9071,92.3293,88.0270,-0.9831,
0.0833,-2.9972,-5.7446,79.9103,83.9164,82.8960,92.2701,88.0594,-0.9830,
0.0917,-2.9897,-5.7007,79.9256,83.9613,82.8840,92.2094,88.0861,-0.9830,
0.1000,-2.9793,-5.6550,79.9411,84.0102,82.8719,92.1475,88.1069,-0.9829,
0.1083,-2.9667,-5.6083,79.9558,84.0604,82.8605,92.0864,88.1217,-0.9829,
0.1167,-2.9521,-5.5609,79.9688,84.1090,82.8511,92.0287,88.1300,-0.9829,
0.1250,-2.9361,-5.5131,79.9791,84.1541,82.8448,91.9761,88.1313,-0.9829,
0.1333,-2.9194,-5.4652,79.9862,84.1955,82.8423,91.9291,88.1254,-0.9830,
0.1417,-2.9034,-5.4175,79.9898,84.2339,82.8443,91.8874,88.1121,-0.9830,
0.1500,-2.8889,-5.3705,79.9901,84.2704,82.8503,91.8498,88.0914,-0.9831,
0.1583,-2.8764,-5.3247,79.9877,84.3061,82.8596,91.8152,88.0637,-0.9832,
0.1667,-2.8653,-5.2810,79.9835,84.3420,82.8710,91.7823,88.0297,-0.9832,
0.1750,-2.8548,-5.2397,79.9787,84.3788,82.8828,91.7500,87.9905,-0.9833,
0.1833,-2.8440,-5.2007,79.9745,84.4164,82.8933,91.7176,87.9471,-0.9834,
0.1917,-2.8321,-5.1639,79.9721,84.4544,82.9010,91.6848,87.9008,-0.9835,
0.2000,-2.8187,-5.1289,79.9720,84.4920,82.9049,91.6515,87.8530,-0.9835,
0.2083,-2.8035,-5.0959,79.9742,84.5287,82.9046,91.6179,87.8048,-0.9836,
0.2167,-2.7865,-5.0650,79.9781,84.5638,82.9003,91.5841,87.7574,-0.9836,
0.2250,-2.7683,-5.0361,79.9837,84.5974,82.8917,91.5502,87.7116,-0.9836,
0.2333,-2.7492,-5.0090,79.9909,84.6295,82.8789,91.5160,87.6684,-0.9836,
0.2417,-2.7298,-4.9830,79.9997,84.6607,82.8614,91.4813,87.6285,-0.9836,
0.2500,-2.7105,-4.9578,80.0104,84.6915,82.8392,91.4457,87.5923,-0.9836,
0.2583,-2.6913,-4.9331,80.0229,84.7224,82.8121,91.4091,87.5605,-0.9835,
0.2667,-2.6719,-4.9089,80.0375,84.7535,82.7802,91.3713,87.5333,-0.9835,
0.2750,-2.6515,-4.8852,80.0542,84.7849,82.7437,91.3323,87.5107,-0.9834,
0.2833,-2.6294,-4.8616,80.0731,84.8161,82.7025,91.2922,87.4926,-0.9833,
0.2917,-2.6055,-4.8380,80.0941,84.8467,82.6571,91.2511,87.4787,-0.9832,
0.3000,-2.5804,-4.8139,80.1172,84.8761,82.6075,91.2097,87.4684,-0.9830,
0.3083,-2.5546,-4.7894,80.1425,84.9032,82.5542,91.1689,87.4609,-0.9829,
0.3167,-2.5284,-4.7647,80.1697,84.9272,82.4973,91.1298,87.4554,-0.9827,
0.3250,-2.5014,-4.7404,80.1988,84.9472,82.4372,91.0936,87.4509,-0.9825,
0.3333,-2.4733,-4.7169,80.2296,84.9621,82.3744,91.0616,87.4465,-0.9824,
0.3417,-2.4433,-4.6941,80.2618,84.9713,82.3093,91.0349,87.4413,-0.9822,
0.3500,-2.4108,-4.6721,80.2948,84.9742,82.2429,91.0142,87.4345,-0.9820,
0.3583,-2.3753,-4.6509,80.3280,84.9708,82.1760,90.9996,87.4254,-0.9819,
0.3667,-2.3365,-4.6304,80.3604,84.9612,82.1096,90.9911,87.4133,-0.9817,
0.3750,-2.2948,-4.6107,80.3913,84.9458,82.0444,90.9882,87.3977,-0.9815,
0.3833,-2.2504,-4.5916,80.4203,84.9248,81.9804,90.9903,87.3784,-0.9814,
0.3917,-2.2041,-4.5732,80.4476,84.8986,81.9169,90.9968,87.3551,-0.9812,
0.4000,-2.1565,-4.5556,80.4740,84.8675,81.8528,91.0072,87.3281,-0.9811,
0.4083,-2.1082,-4.5389,80.5005,84.8317,81.7867,91.0211,87.2972,-0.9809,
0.4167,-2.0597,-4.5234,80.5282,84.7916,81.7172,91.0381,87.2625,-0.9807,
0.4250,-2.0114,-4.5090,80.5581,84.7475,81.6435,91.0577,87.2238,-0.9805,
0.4333,-1.9641,-4.4959,80.5910,84.6998,81.5649,91.0795,87.1807,-0.9803,
0.4417,-1.9182,-4.4843,80.6276,84.6485,81.4810,91.1034,87.1328,-0.9801,
0.4500,-1.8742,-4.4743,80.6684,84.5935,81.3916,91.1293,87.0795,-0.9798,
0.4583,-1.8327,-4.4660,80.7134,84.5347,81.2969,91.1577,87.0201,-0.9796,
0.4667,-1.7944,-4.4595,80.7623,84.4717,81.1973,91.1889,86.9541,-0.9793,
0.4750,-1.7594,-4.4549,80.8140,84.4043,81.0940,91.2232,86.8810,-0.9790,
0.4833,-1.7275,-4.4525,80.8663,84.3327,80.9887,91.2608,86.8008,-0.9787,
0.4917,-1.6981,-4.4524,80.9168,84.2568,80.8835,91.3015,86.7133,-0.9784,
0.5000,-1.6704,-4.4545,80.9630,84.1766,80.7805,91.3453,86.6188,-0.9780,
0.5083,-1.6433,-4.4583,81.0032,84.0919,80.6809,91.3922,86.5178,-0.9777,
0.5167,-1.6161,-4.4641,81.0362,84.0023,80.5856,91.4422,86.4106,-0.9773,
0.5250,-1.5885,-4.4720,81.0610,83.9076,80.4947,91.4953,86.2979,-0.9770,
0.5333,-1.5608,-4.4823,81.0775,83.8078,80.4083,91.5510,86.1803,-0.9766,
0.5417,-1.5340,-4.4948,81.0854,83.7034,80.3261,91.6082,86.0587,-0.9761,
0.5500,-1.5096,-4.5084,81.0848,83.5951,80.2476,91.6656,85.9340,-0.9757,
0.5583,-1.4889,-4.5219,81.0755,83.4836,80.1728,91.7214,85.8071,-0.9751,
0.5667,-1.4730,-4.5334,81.0569,83.3698,80.1020,91.7742,85.6793,-0.9746,
0.5750,-1.4625,-4.5415,81.0281,83.2539,80.0354,91.8225,85.5516,-0.9740,
0.5833,-1.4574,-4.5456,80.9882,83.1365,79.9737,91.8652,85.4253,-0.9733,
0.5917,-1.4582,-4.5459,80.9364,83.0174,79.9169,91.9015,85.3015,-0.9726,
0.6000,-1.4653,-4.5434,80.8716,82.8963,79.8652,91.9305,85.1811,-0.9718,
0.6083,-1.4790,-4.5389,80.7922,82.7732,79.8194,91.9513,85.0644,-0.9709,
0.6167,-1.4994,-4.5328,80.6956,82.6485,79.7812,91.9629,84.9520,-0.9700,
0.6250,-1.5270,-4.5249,80.5785,82.5235,79.7533,91.9638,84.8446,-0.9690,
0.6333,-1.5623,-4.5141,80.4371,82.4001,79.7392,91.9520,84.7433,-0.9679,
0.6417,-1.6063,-4.4988,80.2676,82.2806,79.7426,91.9252,84.6498,-0.9667,
0.6500,-1.6599,-4.4777,80.0663,82.1667,79.7669,91.8813,84.5657,-0.9654,
0.6583,-1.7235,-4.4491,79.8297,82.0594,79.8160,91.8193,84.4924,-0.9640,
0.6667,-1.7979,-4.4119,79.5547,81.9584,79.8936,91.7390,84.4311,-0.9625,
0.6750,-1.8849,-4.3654,79.2385,81.8631,80.0030,91.6414,84.3822,-0.9610,
0.6833,-1.9875,-4.3093,78.8795,81.7734,80.1474,91.5269,84.3459,-0.9593,
0.6917,-2.1090,-4.2439,78.4772,81.6897,80.3288,91.3954,84.3224,-0.9576,
0.7000,-2.2542,-4.1698,78.0321,81.6133,80.5488,91.2467,84.3114,-0.9558,
0.7083,-2.4297,-4.0885,77.5462,81.5457,80.8077,91.0804,84.3128,-0.9539,
0.7167,-2.6451,-4.0020,77.0220,81.4879,81.1059,90.8971,84.3259,-0.9520,
0.7250,-2.9125,-3.9126,76.4629,81.4402,81.4432,90.6979,84.3502,-0.9500,
0.7333,-3.2471,-3.8221,75.8724,81.4019,81.8195,90.4842,84.3853,-0.9479,
0.7417,-3.6656,-3.7322,75.2545,81.3714,82.2347,90.2585,84.4304,-0.9458,
0.7500,-4.1861,-3.6455,74.6129,81.3463,82.6890,90.0240,84.4850,-0.9437,
0.7583,-4.8258,-3.5649,73.9505,81.3240,83.1831,89.7844,84.5484,-0.9415,
0.7667,-5.5984,-3.4922,73.2694,81.3021,83.7186,89.5430,84.6202,-0.9392,
0.7750,-6.5097,-3.4280,72.5715,81.2800,84.2966,89.3012,84.7001,-0.9370,
