time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-1.6115,-5.9636,80.9965,77.0848,114.3295,120.4310,71.9273,-1.2877,
0.0167,-1.6848,-6.0140,80.9829,77.0397,114.3642,120.4531,72.0138,-1.2875,
0.0250,-1.7572,-6.0641,80.9694,76.9942,114.3975,120.4757,72.0960,-1.2874,
0.0333,-1.8255,-6.1129,80.9562,76.9483,114.4275,120.4993,72.1690,-1.2872,
0.0417,-1.8859,-6.1596,80.9428,76.9016,114.4526,120.5244,72.2293,-1.2870,
0.0500,-1.9366,-6.2031,80.9292,76.8541,114.4722,120.5508,72.2752,-1.2868,
0.0583,-1.9784,-6.2428,80.9152,76.8055,114.4862,120.5780,72.3072,-1.2867,
0.0667,-2.0129,-6.2786,80.9010,76.7560,114.4953,120.6050,72.3274,-1.2865,
0.0750,-2.0416,-6.3108,80.8863,76.7059,114.5001,120.6310,72.3382,-1.2863,
0.0833,-2.0659,-6.3401,80.8711,76.6563,114.5011,120.6548,72.3426,-1.2861,
0.0917,-2.0868,-6.3676,80.8552,76.6082,114.4987,120.6754,72.3432,-1.2859,
0.1000,-2.1046,-6.3940,80.8385,76.5628,114.4930,120.6919,72.3421,-1.2857,
0.1083,-2.1197,-6.4194,80.8211,76.5207,114.4842,120.7041,72.3409,-1.2855,
0.1167,-2.1322,-6.4438,80.8032,76.4824,114.4727,120.7119,72.3404,-1.2852,
0.1250,-2.1430,-6.4672,80.7850,76.4484,114.4593,120.7159,72.3409,-1.2850,
0.1333,-2.1529,-6.4899,80.7670,76.4185,114.4453,120.7170,72.3421,-1.2847,
0.1417,-2.1625,-6.5114,80.7492,76.3929,114.4320,120.7159,72.3437,-1.2845,
0.1500,-2.1721,-6.5316,80.7318,76.3712,114.4203,120.7135,72.3452,-1.2843,
0.1583,-2.1816,-6.5506,80.7147,76.3531,114.4105,120.7102,72.3463,-1.2841,
0.1667,-2.1906,-6.5680,80.6978,76.3381,114.4028,120.7065,72.3471,-1.2839,
0.1750,-2.1990,-6.5837,80.6807,76.3257,114.3971,120.7023,72.3474,-1.2837,
0.1833,-2.2063,-6.5976,80.6630,76.3154,114.3934,120.6977,72.3476,-1.2835,
0.1917,-2.2125,-6.6096,80.6444,76.3070,114.3915,120.6926,72.3479,-1.2833,
0.2000,-2.2175,-6.6197,80.6250,76.2999,114.3912,120.6872,72.3484,-1.2832,
0.2083,-2.2216,-6.6277,80.6047,76.2937,114.3922,120.6816,72.3495,-1.2831,
0.2167,-2.2247,-6.6340,80.5840,76.2880,114.3940,120.6760,72.3512,-1.2829,
0.2250,-2.2270,-6.6393,80.5630,76.2824,114.3964,120.6707,72.3535,-1.2828,
0.2333,-2.2284,-6.6440,80.5425,76.2766,114.3988,120.6658,72.3562,-1.2827,
0.2417,-2.2288,-6.6482,80.5228,76.2704,114.4006,120.6615,72.3590,-1.2826,
0.2500,-2.2283,-6.6519,80.5046,76.2637,80.9661,92.4061,98.6168,-1.0438,
