time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0325,-0.0191,-0.2337,0.0387,-0.0754,-0.0420,
0.0033,-0.0325,-0.0191,-0.2337,0.0387,-0.0754,-0.0420,
0.0050,-0.0326,-0.0191,-0.2337,0.0387,-0.0754,-0.0420,
0.0067,-0.0326,-0.0191,-0.2338,0.0387,-0.0754,-0.0420,
0.0083,-0.0326,-0.0191,-0.2338,0.0387,-0.0754,-0.0420,
0.0100,-0.0326,-0.0191,-0.2338,0.0388,-0.0755,-0.0420,
0.0117,-0.0326,-0.0191,-0.2338,0.0388,-0.0755,-0.0420,
0.0133,-0.0326,-0.0191,-0.2338,0.0388,-0.0755,-0.0420,
0.0150,-0.0326,-0.0191,-0.2338,0.0388,-0.0755,-0.0420,
0.0167,-0.0326,-0.0191,-0.2339,0.0388,-0.0756,-0.0419,
0.0183,-0.0326,-0.0191,-0.2339,0.0388,-0.0756,-0.0419,
0.0200,-0.0326,-0.0191,-0.2339,0.0388,-0.0756,-0.0419,
0.0217,-0.0326,-0.0191,-0.2339,0.0388,-0.0756,-0.0419,
0.0233,-0.0326,-0.0191,-0.2339,0.0388,-0.0757,-0.0419,
0.0250,-0.0326,-0.0191,-0.2339,0.0388,-0.0757,-0.0419,
0.0267,-0.0326,-0.0191,-0.2339,0.0388,-0.0757,-0.0419,
0.0283,-0.0325,-0.0191,-0.2339,0.0388,-0.0757,-0.0419,
0.0300,-0.0325,-0.0191,-0.2339,0.0387,-0.0757,-0.0419,
0.0317,-0.0325,-0.0191,-0.2339,0.0387,-0.0757,-0.0419,
0.0333,-0.0325,-0.0191,-0.2339,0.0387,-0.0756,-0.0419,
0.0350,-0.0325,-0.0191,-0.2338,0.0387,-0.0756,-0.0419,
0.0367,-0.0324,-0.0191,-0.2338,0.0387,-0.0756,-0.0419,
0.0383,-0.0324,-0.0191,-0.2337,0.0386,-0.0755,-0.0419,
0.0400,-0.0324,-0.0191,-0.2337,0.0386,-0.0755,-0.0419,
0.0417,-0.0323,-0.0191,-0.2336,0.0386,-0.0754,-0.0419,
0.0433,-0.0323,-0.0191,-0.2336,0.0386,-0.0753,-0.0419,
0.0450,-0.0323,-0.0191,-0.2335,0.0386,-0.0752,-0.0420,
0.0467,-0.0323,-0.0191,-0.2334,0.0385,-0.0751,-0.0420,
0.0483,-0.0322,-0.0191,-0.2334,0.0385,-0.0750,-0.0421,
0.0500,-0.0322,-0.0191,-0.2333,0.0385,-0.0750,-0.0421,
