time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0123,-0.0798,-0.1818,-0.4868,-0.0647,0.0092,
0.0033,-0.0123,-0.0798,-0.1818,-0.4869,-0.0647,0.0092,
0.0050,-0.0123,-0.0798,-0.1818,-0.4869,-0.0647,0.0092,
0.0067,-0.0123,-0.0798,-0.1818,-0.4870,-0.0647,0.0092,
0.0083,-0.0123,-0.0798,-0.1818,-0.4870,-0.0647,0.0092,
0.0100,-0.0123,-0.0798,-0.1819,-0.4871,-0.0648,0.0092,
0.0117,-0.0123,-0.0798,-0.1819,-0.4871,-0.0648,0.0092,
0.0133,-0.0123,-0.0798,-0.1819,-0.4872,-0.0648,0.0091,
0.0150,-0.0123,-0.0798,-0.1819,-0.4872,-0.0648,0.0091,
0.0167,-0.0123,-0.0799,-0.1820,-0.4873,-0.0648,0.0091,
0.0183,-0.0123,-0.0799,-0.1820,-0.4873,-0.0648,0.0091,
0.0200,-0.0123,-0.0799,-0.1820,-0.4873,-0.0648,0.0091,
0.0217,-0.0123,-0.0799,-0.1820,-0.4874,-0.0648,0.0091,
0.0233,-0.0123,-0.0799,-0.1821,-0.4874,-0.0648,0.0091,
0.0250,-0.0123,-0.0799,-0.1821,-0.4874,-0.0648,0.0091,
0.0267,-0.0123,-0.0799,-0.1821,-0.4874,-0.0647,0.0091,
0.0283,-0.0123,-0.0799,-0.1821,-0.4874,-0.0647,0.0091,
0.0300,-0.0123,-0.0799,-0.1821,-0.4873,-0.0647,0.0091,
0.0317,-0.0123,-0.0799,-0.1821,-0.4873,-0.0647,0.0091,
0.0333,-0.0123,-0.0799,-0.1821,-0.4872,-0.0647,0.0091,
0.0350,-0.0123,-0.0799,-0.1820,-0.4871,-0.0647,0.0091,
0.0367,-0.0123,-0.0799,-0.1820,-0.4870,-0.0646,0.0092,
0.0383,-0.0123,-0.0799,-0.1820,-0.4869,-0.0646,0.0092,
0.0400,-0.0123,-0.0799,-0.1819,-0.4868,-0.0646,0.0092,
0.0417,-0.0123,-0.0799,-0.1819,-0.4866,-0.0646,0.0093,
0.0433,-0.0123,-0.0799,-0.1818,-0.4864,-0.0645,0.0093,
0.0450,-0.0123,-0.0799,-0.1817,-0.4863,-0.0645,0.0094,
