time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-3.1630,-3.7382,86.1038,73.7835,83.5795,89.6169,90.1883,-0.9270,
0.0167,-3.1741,-3.7672,86.0927,73.7759,83.5652,89.5974,90.2324,-0.9268,
0.0250,-3.1786,-3.7953,86.0833,73.7679,83.5487,89.5786,90.2735,-0.9266,
0.0333,-3.1723,-3.8212,86.0766,73.7588,83.5293,89.5618,90.3090,-0.9264,
0.0417,-3.1556,-3.8432,86.0723,73.7482,83.5077,89.5481,90.3377,-0.9262,
0.0500,-3.1327,-3.8602,86.0690,73.7362,83.4861,89.5383,90.3593,-0.9261,
0.0583,-3.1089,-3.8720,86.0653,73.7238,83.4660,89.5321,90.3744,-0.9259,
0.0667,-3.0877,-3.8796,86.0604,73.7118,83.4485,89.5290,90.3842,-0.9258,
0.0750,-3.0707,-3.8841,86.0542,73.7009,83.4334,89.5282,90.3900,-0.9257,
0.0833,-3.0578,-3.8868,86.0467,73.6911,83.4208,89.5293,90.3930,-0.9256,
0.0917,-3.0482,-3.8886,86.0385,73.6825,83.4103,89.5318,90.3942,-0.9255,
0.1000,-3.0411,-3.8909,86.0294,73.6750,83.4016,89.5352,90.3944,-0.9254,
0.1083,-3.0361,-3.8941,86.0198,73.6684,83.3945,89.5393,90.3943,-0.9253,
0.1167,-3.0326,-3.8985,86.0096,73.6627,83.3888,89.5436,90.3944,-0.9252,
0.1250,-3.0299,-3.9037,85.9991,73.6579,83.3842,89.5478,90.3950,-0.9252,
0.1333,-3.0276,-3.9096,85.9884,73.6539,83.3806,89.5514,90.3962,-0.9251,
0.1417,-3.0257,-3.9156,85.9773,73.6507,83.3778,89.5546,90.3983,-0.9251,
0.1500,-3.0243,-3.9209,85.9659,73.6477,83.3757,89.5574,90.4011,-0.9250,
0.1583,-3.0233,-3.9245,85.9542,73.6446,83.3740,89.5602,90.4049,-0.9249,
0.1667,-3.0228,-3.9252,85.9425,73.6406,83.3725,89.5635,90.4096,-0.9249,
0.1750,-3.0232,-3.9216,85.9307,73.6353,83.3712,89.5678,90.4152,-0.9249,
0.1833,-3.0248,-3.9120,85.9183,73.6279,83.3704,89.5734,90.4218,-0.9248,
0.1917,-3.0278,-3.8950,85.9044,73.6182,83.3711,89.5806,90.4291,-0.9248,
0.2000,-3.0323,-3.8697,85.8880,73.6058,83.3743,89.5893,90.4369,-0.9247,
0.2083,-3.0379,-3.8356,85.8678,73.5905,83.3816,89.5996,90.4450,-0.9247,
0.2167,-3.0442,-3.7919,85.8426,73.5727,83.3943,89.6107,90.4530,-0.9246,
0.2250,-3.0507,-3.7380,85.8106,73.5530,83.4139,89.6218,90.4607,-0.9246,
0.2333,-3.0573,-3.6742,85.7701,73.5326,83.4421,89.6313,90.4678,-0.9246,
0.2417,-3.0638,-3.6010,85.7194,73.5130,83.4796,89.6376,90.4739,-0.9245,
0.2500,-3.0699,-3.5197,85.6578,73.4952,83.5271,89.6394,90.4791,-0.9245,
0.2583,-3.0746,-3.4321,85.5854,73.4797,83.5841,89.6354,90.4836,-0.9244,
0.2667,-3.0768,-3.3408,85.5032,73.4664,83.6494,89.6250,90.4880,-0.9243,
0.2750,-3.0760,-3.2485,85.4130,73.4550,83.7212,89.6078,90.4929,-0.9242,
0.2833,-3.0721,-3.1578,85.3167,73.4452,83.7972,89.5838,90.4991,-0.9241,
0.2917,-3.0652,-3.0702,85.2166,73.4366,83.8746,89.5534,90.5075,-0.9240,
0.3000,-3.0557,-2.9862,85.1149,73.4281,83.9508,89.5178,90.5185,-0.9238,
0.3083,-3.0442,-2.9053,85.0140,73.4187,84.0231,89.4783,90.5325,-0.9236,
0.3167,-3.0315,-2.8269,84.9163,73.4072,84.0885,89.4364,90.5493,-0.9233,
0.3250,-3.0186,-2.7507,84.8240,73.3924,84.1446,89.3939,90.5687,-0.9230,
0.3333,-3.0069,-2.6768,84.7392,73.3730,84.1890,89.3527,90.5899,-0.9226,
0.3417,-2.9973,-2.6051,84.6641,73.3475,84.2201,89.3150,90.6122,-0.9223,
