time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-0.4830,2.1636,82.8432,79.5681,84.9340,91.2118,91.2300,-1.1566,
0.0167,-0.4362,2.1628,82.8733,79.5750,84.9141,91.2125,91.2230,-1.1566,
0.0250,-0.3923,2.1617,82.9027,79.5809,84.8953,91.2132,91.2164,-1.1567,
0.0333,-0.3547,2.1596,82.9292,79.5854,84.8794,91.2137,91.2106,-1.1567,
0.0417,-0.3263,2.1567,82.9506,79.5883,84.8678,91.2136,91.2056,-1.1567,
0.0500,-0.3072,2.1535,82.9659,79.5896,84.8611,91.2133,91.2015,-1.1568,
0.0583,-0.2960,2.1509,82.9756,79.5898,84.8585,91.2130,91.1981,-1.1568,
0.0667,-0.2901,2.1493,82.9812,79.5895,84.8591,91.2131,91.1949,-1.1568,
0.0750,-0.2878,2.1486,82.9842,79.5893,84.8619,91.2138,91.1918,-1.1569,
0.0833,-0.2878,2.1487,82.9858,79.5895,84.8661,91.2149,91.1883,-1.1569,
0.0917,-0.2892,2.1498,82.9866,79.5905,84.8717,91.2164,91.1839,-1.1570,
0.1000,-0.2913,2.1517,82.9871,79.5923,84.8787,91.2181,91.1784,-1.1570,
0.1083,-0.2937,2.1544,82.9872,79.5947,84.8873,91.2203,91.1716,-1.1571,
0.1167,-0.2959,2.1570,82.9872,79.5972,84.8976,91.2230,91.1635,-1.1572,
0.1250,-0.2975,2.1592,82.9876,79.5996,84.9088,91.2261,91.1549,-1.1572,
0.1333,-0.2984,2.1605,82.9888,79.6015,84.9199,91.2296,91.1465,-1.1573,
0.1417,-0.2987,2.1609,82.9907,79.6030,84.9299,91.2331,91.1392,-1.1574,
0.1500,-0.2989,2.1608,82.9930,79.6041,84.9380,91.2366,91.1337,-1.1575,
0.1583,-0.2990,2.1604,82.9950,79.6050,84.9444,91.2400,91.1300,-1.1575,
0.1667,-0.2989,2.1602,82.9963,79.6058,84.9492,91.2432,91.1281,-1.1576,
0.1750,-0.2984,2.1598,82.9968,79.6064,84.9529,91.2463,91.1274,-1.1576,
0.1833,-0.2976,2.1592,82.9964,79.6067,84.9561,91.2495,91.1277,-1.1576,
0.1917,-0.2971,2.1584,82.9951,79.6067,84.9588,91.2527,91.1287,-1.1576,
0.2000,-0.2970,2.1573,82.9932,79.6063,84.9613,91.2560,91.1299,-1.1576,
0.2083,-0.2976,2.1558,82.9908,79.6053,84.9637,91.2593,91.1309,-1.1576,
0.2167,-0.2988,2.1537,82.9883,79.6040,84.9658,91.2625,91.1316,-1.1576,
0.2250,-0.3007,2.1513,82.9860,79.6024,84.9673,91.2657,91.1319,-1.1577,
0.2333,-0.3026,2.1488,82.9846,79.6005,84.9676,91.2689,91.1317,-1.1577,
0.2417,-0.3038,2.1466,82.9856,79.5986,84.9656,91.2720,91.1312,-1.1577,
0.2500,-0.3027,2.1446,82.9903,79.5966,84.9595,91.2748,91.1304,-1.1577,
0.2583,-0.2967,2.1430,83.0004,79.5948,84.9474,91.2772,91.1295,-1.1577,
0.2667,-0.2833,2.1415,83.0179,79.5930,84.9269,91.2790,91.1288,-1.1576,
0.2750,-0.2600,2.1403,83.0448,79.5910,84.8952,91.2801,91.1284,-1.1576,
0.2833,-0.2246,2.1396,83.0828,79.5887,84.8501,91.2804,91.1284,-1.1576,
0.2917,-0.1753,2.1395,83.1331,79.5858,84.7897,91.2798,91.1293,-1.1575,
0.3000,-0.1114,2.1402,83.1965,79.5825,84.7128,91.2784,91.1312,-1.1575,
0.3083,-0.0332,2.1420,83.2725,79.5786,84.6196,91.2762,91.1347,-1.1574,
0.3167,0.0577,2.1450,83.3600,79.5743,84.5108,91.2732,91.1401,-1.1574,
0.3250,0.1602,2.1492,83.4569,79.5697,84.3883,91.2692,91.1480,-1.1573,
0.3333,0.2735,2.1545,83.5609,79.5649,84.2544,91.2640,91.1587,-1.1572,
0.3417,0.3976,2.1608,83.6697,79.5599,84.1117,91.2575,91.1727,-1.1571,
0.3500,0.5319,2.1678,83.7815,79.5549,83.9630,91.2494,91.1896,-1.1570,
0.3583,0.6744,2.1756,83.8944,79.5504,83.8109,91.2393,91.2084,-1.1568,
0.3667,0.8219,2.1844,84.0072,79.5466,83.6577,91.2271,91.2267,-1.1567,
0.3750,0.9712,2.1945,84.1182,79.5436,83.5054,91.2127,91.2413,-1.1566,
0.3833,1.1204,2.2065,84.2260,79.5411,83.3563,91.1962,91.2491,-1.1565,
0.3917,1.2685,2.2211,84.3288,79.5392,83.2120,91.1778,91.2481,-1.1563,
0.4000,1.4143,2.2392,84.4257,79.5373,83.0743,91.1577,91.2375,-1.1562,
0.4083,1.5563,2.2606,84.5159,79.5350,82.9443,91.1366,91.2170,-1.1560,
0.4167,1.6925,2.2848,84.5995,79.5319,82.8227,91.1150,91.1870,-1.1559,
0.4250,1.8213,2.3102,84.6769,79.5274,82.7094,91.0938,91.1480,-1.1558,
0.4333,1.9418,2.3349,84.7481,79.5207,82.6044,91.0737,91.1006,-1.1556,
0.4417,2.0546,2.3573,84.8132,79.5114,82.5069,91.0554,91.0451,-1.1555,
0.4500,2.1597,2.3765,84.8721,79.4990,82.4163,91.0390,90.9817,-1.1553,
0.4583,2.2569,2.3925,84.9246,79.4838,82.3319,91.0245,90.9104,-1.1551,
0.4667,2.3458,2.4063,84.9708,79.4659,82.2530,91.0115,90.8313,-1.1549,
0.4750,2.4258,2.4184,85.0111,79.4458,82.1786,90.9993,90.7446,-1.1547,
0.4833,2.4959,2.4291,85.0462,79.4236,82.1081,90.9872,90.6512,-1.1545,
0.4917,2.5561,2.4383,85.0771,79.3996,82.0405,90.9742,90.5531,-1.1542,
0.5000,2.6065,2.4468,85.1044,79.3744,81.9751,90.9592,90.4533,-1.1539,
0.5083,2.6483,2.4553,85.1286,79.3485,81.9108,90.9413,90.3559,-1.1536,
0.5167,2.6829,2.4651,85.1498,79.3223,81.8468,90.9192,90.2644,-1.1533,
0.5250,2.7120,2.4771,85.1679,79.2964,81.7820,90.8920,90.1806,-1.1529,
0.5333,2.7372,2.4918,85.1830,79.2716,81.7157,90.8586,90.1042,-1.1525,
0.5417,2.7591,2.5090,85.1954,79.2482,81.6470,90.8179,90.0329,-1.1520,
0.5500,2.7781,2.5281,85.2051,79.2265,81.5752,90.7693,89.9625,-1.1515,
0.5583,2.7942,2.5486,85.2127,79.2061,81.4999,90.7127,89.8883,-1.1509,
0.5667,2.8070,2.5709,85.2180,79.1862,81.4208,90.6483,89.8077,-1.1503,
0.5750,2.8162,2.5963,85.2208,79.1654,81.3387,90.5774,89.7216,-1.1496,
0.5833,2.8217,2.6254,85.2198,79.1426,81.2546,90.5012,89.6334,-1.1489,
0.5917,2.8236,2.6574,85.2137,79.1173,81.1706,90.4212,89.5466,-1.1481,
0.6000,2.8224,2.6909,85.2005,79.0898,81.0888,90.3383,89.4637,-1.1473,
0.6083,2.8180,2.7247,85.1785,79.0604,81.0110,90.2528,89.3862,-1.1464,
0.6167,2.8101,2.7584,85.1466,79.0294,80.9385,90.1645,89.3149,-1.1455,
0.6250,2.7977,2.7917,85.1034,78.9973,80.8729,90.0726,89.2499,-1.1446,
0.6333,2.7790,2.8242,85.0479,78.9649,80.8154,89.9763,89.1909,-1.1436,
0.6417,2.7510,2.8553,84.9790,78.9332,80.7679,89.8741,89.1373,-1.1426,
0.6500,2.7089,2.8843,84.8951,78.9036,80.7323,89.7651,89.0881,-1.1416,
0.6583,2.6474,2.9111,84.7947,78.8770,80.7110,89.6482,89.0422,-1.1405,
0.6667,2.5613,2.9357,84.6758,78.8543,80.7069,89.5230,88.9985,-1.1394,
0.6750,2.4477,2.9587,84.5356,78.8356,80.7234,89.3896,88.9564,-1.1382,
0.6833,2.3058,2.9809,84.3704,78.8200,80.7650,89.2486,88.9153,-1.1370,
0.6917,2.1364,3.0033,84.1757,78.8061,80.8369,89.1008,88.8753,-1.1357,
0.7000,1.9402,3.0272,83.9466,78.7928,80.9449,88.9469,88.8359,-1.1344,
0.7083,1.7162,3.0535,83.6777,78.7799,81.0954,88.7867,88.7970,-1.1331,
0.7167,1.4610,3.0836,83.3634,78.7674,81.2955,88.6195,88.7584,-1.1317,
0.7250,1.1695,3.1193,82.9984,78.7555,81.5519,88.4449,88.7201,-1.1303,
0.7333,0.8361,3.1626,82.5784,78.7441,81.8710,88.2627,88.6823,-1.1289,
0.7417,0.4556,3.2144,82.1003,78.7333,82.2577,88.0727,88.6449,-1.1275,
0.7500,0.0215,3.2751,81.5629,78.7229,82.7157,87.8747,88.6084,-1.1260,
0.7583,-0.4772,3.3447,80.9661,78.7124,83.2478,87.6695,88.5729,-1.1245,
0.7667,-1.0604,3.4226,80.3109,78.7006,83.8557,87.4583,88.5389,-1.1230,
0.7750,-1.7568,3.5071,79.5987,78.6864,84.5401,87.2430,88.5071,-1.1215,
0.7833,-2.5976,3.5956,78.8315,78.6688,85.3010,87.0253,88.4785,-1.1200,
0.7917,-3.6073,3.6855,78.0132,78.6479,86.1369,86.8056,88.4544,-1.1184,
0.8000,-4.7962,3.7751,77.1497,78.6245,87.0445,86.5833,88.4364,-1.1168,
0.8083,-6.1560,3.8642,76.2503,78.6008,88.0171,86.3558,88.4259,-1.1152,
0.8167,-7.6580,3.9531,75.3280,78.5786,89.0444,86.1202,88.4238,-1.1135,
0.8250,-9.2528,4.0424,74.3989,78.5583,90.1120,85.8751,88.4307,-1.1118,
0.8333,-10.8738,4.1320,73.4817,78.5380,91.2021,85.6208,88.4469,-1.1100,
0.8417,-12.4438,4.2210,72.5974,78.5156,92.2943,85.3591,88.4723,-1.1081,
0.8500,-13.8839,4.3085,71.7680,78.4893,93.3680,85.0912,88.5055,-1.1061,
0.8583,-15.1240,4.3934,71.0150,78.4591,94.4045,84.8178,88.5442,-1.1041,
0.8667,-16.1143,4.4747,70.3584,78.4257,95.3898,84.5385,88.5855,-1.1019,
0.8750,-16.8320,4.5511,69.8163,78.3905,96.3150,84.2534,88.6262,-1.0996,
0.8833,-17.2831,4.6206,69.4038,78.3543,97.1769,83.9638,88.6626,-1.0973,
0.8917,-17.4944,4.6808,69.1324,78.3174,97.9767,83.6723,88.6905,-1.0949,
0.9000,-17.4990,4.7292,69.0108,78.2794,98.7180,83.3819,88.7057,-1.0925,
0.9083,-17.3250,4.7640,69.0441,78.2404,99.4054,83.0938,88.7051,-1.0900,
0.9167,-16.9915,4.7846,69.2342,78.2018,100.0426,82.8064,88.6865,-1.0876,
0.9250,-16.5097,4.7920,69.5802,78.1663,100.6320,82.5157,88.6491,-1.0851,
0.9333,-15.8876,4.7878,70.0783,78.1370,101.1741,82.2174,88.5928,-1.0826,
0.9417,-15.1342,4.7744,70.7225,78.1156,101.6684,81.9086,88.5181,-1.0801,
0.9500,-14.2613,4.7545,71.5048,78.1019,102.1145,81.5884,88.4261,-1.0776,
0.9583,-13.2827,4.7308,72.4150,78.0941,102.5124,81.2578,88.3177,-1.0750,
0.9667,-12.2114,4.7062,73.4424,78.0898,102.8639,80.9192,88.1934,-1.0724,
0.9750,-11.0577,4.6826,74.5756,78.0863,103.1729,80.5757,88.0532,-1.0698,
0.9833,-9.8262,4.6616,75.8034,78.0805,103.4457,80.2310,87.8963,-1.0672,
0.9917,-8.5184,4.6438,77.1143,78.0690,103.6894,79.8899,87.7219,-1.0645,
1.0000,-7.1400,4.6291,78.4972,78.0481,103.9088,79.5566,87.5304,-1.0619,
1.0083,-5.7040,4.6168,79.9406,78.0150,104.1058,79.2341,87.3234,-1.0593,
1.0167,-4.2259,4.6054,81.4328,77.9679,104.2796,78.9231,87.1038,-1.0567,
1.0250,-2.7211,4.5930,82.9636,77.9059,104.4276,78.6232,86.8746,-1.0540,
1.0333,-1.2048,4.5780,84.5249,77.8288,104.5474,78.3336,86.6385,-1.0514,
1.0417,0.3098,4.5590,86.1106,77.7366,104.6370,78.0538,86.3972,-1.0487,
1.0500,1.8154,4.5353,87.7139,77.6299,104.6973,77.7834,86.1522,-1.0460,
1.0583,3.3102,4.5070,89.3250,77.5098,104.7315,77.5218,85.9045,-1.0432,
1.0667,4.7921,4.4741,90.9313,77.3779,104.7458,77.2677,85.6552,-1.0404,
1.0750,6.2515,4.4363,92.5193,77.2357,104.7461,77.0200,85.4059,-1.0375,
1.0833,7.6715,4.3926,94.0770,77.0843,104.7367,76.7769,85.1586,-1.0346,
1.0917,9.0390,4.3419,95.5944,76.9248,104.7191,76.5359,84.9162,-1.0316,
1.1000,10.3516,4.2830,97.0627,76.7582,104.6923,76.2943,84.6822,-1.0285,
1.1083,11.6152,4.2152,98.4740,76.5844,104.6541,76.0497,84.4592,-1.0253,
1.1167,12.8378,4.1387,99.8210,76.4028,104.6012,75.8009,84.2495,-1.0220,
1.1250,14.0248,4.0536,101.0963,76.2119,104.5305,75.5480,84.0542,-1.0185,
1.1333,15.1753,3.9601,102.2917,76.0108,104.4396,75.2911,83.8733,-1.0148,
1.1417,16.2805,3.8577,103.3970,75.7998,104.3272,75.0302,83.7062,-1.0110,
1.1500,17.3230,3.7457,104.4012,75.5817,104.1929,74.7633,83.5516,-1.0070,
1.1583,18.2764,3.6235,105.2937,75.3605,104.0361,74.4873,83.4085,-1.0029,
1.1667,19.1050,3.4904,106.0660,75.1389,103.8566,74.2010,83.2763,-0.9987,
1.1750,19.7644,3.3456,106.7103,74.9149,103.6551,73.9069,83.1546,-0.9942,
1.1833,20.2061,3.1891,107.2176,74.6831,103.4335,73.6109,83.0429,-0.9896,
1.1917,20.3883,3.0221,107.5787,74.4364,103.1953,73.3198,82.9405,-0.9849,
1.2000,20.2912,2.8463,107.7888,74.1704,102.9448,73.0384,82.8467,-0.9800,
1.2083,19.9299,2.6620,107.8527,73.8852,102.6872,72.7668,82.7605,-0.9749,
1.2167,19.3544,2.4678,107.7851,73.5854,102.4286,72.5009,82.6808,-0.9697,
