time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,180.0000,180.0000,180.0000,180.0000,-128.3897,-128.9080,53.9757,-9.9247,
0.0167,180.0000,180.0000,180.0000,180.0000,-128.3892,-128.9009,53.9764,-9.9247,
0.0250,180.0000,180.0000,180.0000,180.0000,-128.3886,-128.8941,53.9771,-9.9247,
0.0333,180.0000,180.0000,180.0000,180.0000,-128.3882,-128.8880,53.9776,-9.9247,
0.0417,180.0000,180.0000,180.0000,180.0000,-128.3878,-128.8828,53.9780,-9.9247,
0.0500,180.0000,180.0000,180.0000,180.0000,-128.3876,-128.8786,53.9783,-9.9247,
0.0583,180.0000,180.0000,180.0000,180.0000,-128.3874,-128.8753,53.9784,-9.9247,
0.0667,180.0000,180.0000,180.0000,180.0000,-128.3873,-128.8729,53.9784,-9.9247,
0.0750,180.0000,180.0000,180.0000,180.0000,-128.3872,-128.8711,53.9782,-9.9247,
0.0833,180.0000,180.0000,180.0000,180.0000,-128.3872,-128.8699,53.9779,-9.9247,
0.0917,180.0000,180.0000,180.0000,180.0000,-128.3872,-128.8692,53.9775,-9.9247,
0.1000,180.0000,180.0000,180.0000,180.0000,-128.3872,-128.8687,53.9771,-9.9247,
0.1083,180.0000,180.0000,180.0000,180.0000,-128.3872,-128.8684,53.9767,-9.9247,
0.1167,180.0000,180.0000,180.0000,180.0000,-128.3871,-128.8683,53.9764,-9.9247,
0.1250,180.0000,180.0000,180.0000,180.0000,-128.3871,-128.8682,53.9761,-9.9247,
0.1333,180.0000,180.0000,180.0000,180.0000,-128.3871,-128.8682,53.9760,-9.9247,
0.1417,180.0000,180.0000,180.0000,180.0000,-128.3870,-128.8681,53.9759,-9.9247,
0.1500,180.0000,180.0000,180.0000,180.0000,-128.3870,-128.8681,53.9758,-9.9247,
0.1583,180.0000,180.0000,180.0000,180.0000,-128.3869,-128.8681,53.9759,-9.9247,
0.1667,180.0000,180.0000,180.0000,180.0000,-128.3868,-128.8682,53.9760,-9.9247,
0.1750,180.0000,180.0000,180.0000,180.0000,-128.3867,-128.8681,53.9761,-9.9247,
0.1833,180.0000,180.0000,180.0000,180.0000,-128.3867,-128.8681,53.9762,-9.9247,
0.1917,180.0000,180.0000,180.0000,180.0000,-128.3866,-128.8681,53.9764,-9.9247,
0.2000,180.0000,180.0000,180.0000,180.0000,-128.3866,-128.8680,53.9766,-9.9247,
0.2083,180.0000,180.0000,180.0000,180.0000,-128.3865,-128.8679,53.9768,-9.9247,
