time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0444,-0.0417,-0.2307,-0.0048,0.0608,0.0085,
0.0033,0.0444,-0.0417,-0.2307,-0.0048,0.0608,0.0085,
0.0050,0.0444,-0.0417,-0.2307,-0.0048,0.0608,0.0085,
0.0067,0.0444,-0.0417,-0.2307,-0.0048,0.0608,0.0085,
0.0083,0.0444,-0.0417,-0.2308,-0.0048,0.0608,0.0085,
0.0100,0.0444,-0.0417,-0.2308,-0.0048,0.0608,0.0085,
0.0117,0.0444,-0.0417,-0.2308,-0.0048,0.0608,0.0085,
0.0133,0.0444,-0.0417,-0.2308,-0.0048,0.0609,0.0085,
0.0150,0.0444,-0.0417,-0.2308,-0.0048,0.0609,0.0085,
0.0167,0.0444,-0.0417,-0.2308,-0.0048,0.0609,0.0085,
0.0183,0.0444,-0.0417,-0.2309,-0.0048,0.0609,0.0085,
0.0200,0.0444,-0.0417,-0.2309,-0.0048,0.0609,0.0085,
0.0217,0.0444,-0.0417,-0.2309,-0.0048,0.0609,0.0085,
0.0233,0.0444,-0.0417,-0.2309,-0.0047,0.0609,0.0085,
0.0250,0.0444,-0.0417,-0.2309,-0.0047,0.0609,0.0085,
0.0267,0.0444,-0.0417,-0.2309,-0.0047,0.0609,0.0085,
0.0283,0.0444,-0.0417,-0.2309,-0.0047,0.0609,0.0085,
0.0300,0.0444,-0.0417,-0.2309,-0.0047,0.0608,0.0085,
0.0317,0.0444,-0.0417,-0.2309,-0.0047,0.0608,0.0086,
0.0333,0.0444,-0.0417,-0.2308,-0.0047,0.0608,0.0086,
0.0350,0.0444,-0.0417,-0.2308,-0.0047,0.0608,0.0086,
0.0367,0.0444,-0.0417,-0.2308,-0.0047,0.0608,0.0086,
0.0383,0.0444,-0.0417,-0.2307,-0.0047,0.0607,0.0086,
0.0400,0.0444,-0.0417,-0.2307,-0.0047,0.0607,0.0085,
0.0417,0.0443,-0.0417,-0.2306,-0.0047,0.0607,0.0085,
0.0433,0.0443,-0.0417,-0.2306,-0.0047,0.0606,0.0085,
0.0450,0.0443,-0.0417,-0.2305,-0.0047,0.0606,0.0085,
0.0467,0.0443,-0.0417,-0.2304,-0.0047,0.0606,0.0085,
0.0483,0.0443,-0.0417,-0.2304,-0.0047,0.0605,0.0085,
0.0500,0.0443,-0.0417,-0.2303,-0.0048,0.0605,0.0085,
0.0517,0.0443,-0.0416,-0.2302,-0.0048,0.0605,0.0085,
0.0533,0.0442,-0.0416,-0.2302,-0.0048,0.0605,0.0085,
0.0550,0.0442,-0.0416,-0.2301,-0.0049,0.0605,0.0085,
0.0567,0.0442,-0.0416,-0.2301,-0.0049,0.0605,0.0085,
0.0583,0.0442,-0.0416,-0.2300,-0.0049,0.0605,0.0084,
0.0600,0.0442,-0.0416,-0.2300,-0.0050,0.0605,0.0084,
0.0617,0.0442,-0.0416,-0.2300,-0.0050,0.0605,0.0084,
0.0633,0.0442,-0.0416,-0.2300,-0.0051,0.0605,0.0084,
0.0650,0.0442,-0.0416,-0.2300,-0.0051,0.0606,0.0084,
0.0667,0.0442,-0.0415,-0.2301,-0.0052,0.0606,0.0084,
0.0683,0.0442,-0.0415,-0.2301,-0.0052,0.0607,0.0084,
0.0700,0.0442,-0.0415,-0.2302,-0.0052,0.0608,0.0084,
0.0717,0.0443,-0.0415,-0.2303,-0.0053,0.0608,0.0084,
0.0733,0.0443,-0.0415,-0.2305,-0.0053,0.0609,0.0084,
0.0750,0.0443,-0.0416,-0.2306,-0.0053,0.0610,0.0084,
0.0767,0.0444,-0.0416,-0.2308,-0.0053,0.0612,0.0084,
0.0783,0.0444,-0.0416,-0.2310,-0.0052,0.0613,0.0084,
0.0800,0.0445,-0.0416,-0.2313,-0.0052,0.0614,0.0084,
0.0817,0.0446,-0.0416,-0.2315,-0.0052,0.0615,0.0084,
0.0833,0.0446,-0.0417,-0.2318,-0.0051,0.0616,0.0085,
0.0850,0.0447,-0.0417,-0.2320,-0.0050,0.0617,0.0085,
0.0867,0.0447,-0.0417,-0.2323,-0.0049,0.0618,0.0086,
0.0883,0.0448,-0.0418,-0.2325,-0.0048,0.0619,0.0086,
0.0900,0.0448,-0.0418,-0.2327,-0.0047,0.0620,0.0087,
0.0917,0.0449,-0.0419,-0.2329,-0.0045,0.0620,0.0087,
0.0933,0.0449,-0.0419,-0.2331,-0.0044,0.0620,0.0088,
0.0950,0.0450,-0.0420,-0.2332,-0.0042,0.0620,0.0088,
0.0967,0.0450,-0.0420,-0.2333,-0.0040,0.0619,0.0089,
0.0983,0.0450,-0.0420,-0.2333,-0.0039,0.0618,0.0089,
0.1000,0.0450,-0.0421,-0.2333,-0.0037,0.0617,0.0090,
0.1017,0.0450,-0.0421,-0.2332,-0.0035,0.0615,0.0090,
0.1033,0.0449,-0.0421,-0.2330,-0.0034,0.0613,0.0090,
0.1050,0.0448,-0.0421,-0.2327,-0.0033,0.0611,0.0090,
0.1067,0.0448,-0.0421,-0.2324,-0.0032,0.0608,0.0091,
0.1083,0.0446,-0.0421,-0.2319,-0.0031,0.0605,0.0091,
0.1100,0.0445,-0.0421,-0.2314,-0.0031,0.0601,0.0090,
0.1117,0.0444,-0.0421,-0.2307,-0.0031,0.0597,0.0090,
0.1133,0.0442,-0.0420,-0.2300,-0.0031,0.0593,0.0090,
0.1150,0.0440,-0.0419,-0.2293,-0.0032,0.0589,0.0089,
0.1167,0.0438,-0.0419,-0.2284,-0.0034,0.0585,0.0088,
0.1183,0.0436,-0.0418,-0.2275,-0.0036,0.0581,0.0087,
0.1200,0.0434,-0.0416,-0.2266,-0.0039,0.0577,0.0086,
0.1217,0.0432,-0.0415,-0.2257,-0.0042,0.0573,0.0085,
0.1233,0.0430,-0.0414,-0.2248,-0.0046,0.0570,0.0083,
0.1250,0.0428,-0.0412,-0.2240,-0.0050,0.0567,0.0081,
0.1267,0.0426,-0.0411,-0.2232,-0.0055,0.0565,0.0080,
0.1283,0.0424,-0.0409,-0.2225,-0.0061,0.0564,0.0078,
0.1300,0.0423,-0.0407,-0.2220,-0.0066,0.0565,0.0076,
0.1317,0.0422,-0.0406,-0.2216,-0.0072,0.0566,0.0074,
0.1333,0.0422,-0.0404,-0.2214,-0.0078,0.0568,0.0072,
0.1350,0.0422,-0.0403,-0.2214,-0.0084,0.0572,0.0070,
0.1367,0.0422,-0.0402,-0.2217,-0.0090,0.0578,0.0069,
0.1383,0.0424,-0.0401,-0.2223,-0.0096,0.0585,0.0068,
0.1400,0.0426,-0.0400,-0.2232,-0.0101,0.0593,0.0067,
0.1417,0.0428,-0.0400,-0.2243,-0.0105,0.0603,0.0066,
0.1433,0.0432,-0.0400,-0.2258,-0.0108,0.0614,0.0066,
0.1450,0.0436,-0.0401,-0.2277,-0.0110,0.0627,0.0066,
0.1467,0.0441,-0.0402,-0.2298,-0.0111,0.0640,0.0067,
0.1483,0.0447,-0.0404,-0.2322,-0.0110,0.0655,0.0068,
0.1500,0.0453,-0.0406,-0.2349,-0.0107,0.0670,0.0070,
0.1517,0.0460,-0.0409,-0.2378,-0.0103,0.0685,0.0073,
0.1533,0.0468,-0.0412,-0.2409,-0.0096,0.0700,0.0076,
