time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-1.0478,8.1087,86.1093,81.3271,88.7076,84.7441,97.3399,-1.2422,
0.0167,-1.0103,7.2322,86.0824,81.2674,88.7391,84.7628,97.3524,-1.2421,
0.0250,-0.9740,6.1885,86.0557,81.2026,88.7697,84.7810,97.3646,-1.2421,
0.0333,-0.9409,4.8501,86.0300,81.1293,88.7982,84.7975,97.3758,-1.2421,
0.0417,-0.9132,3.1504,86.0066,81.0452,88.8233,84.8118,97.3858,-1.2421,
0.0500,-0.8927,1.0989,85.9864,80.9499,88.8442,84.8232,97.3942,-1.2421,
0.0583,-0.8793,-1.2252,85.9698,80.8452,88.8608,84.8320,97.4012,-1.2421,
0.0667,-0.8721,-3.6978,85.9566,80.7350,88.8734,84.8388,97.4069,-1.2421,
0.0750,-0.8695,-6.1818,85.9462,80.6246,88.8825,84.8447,97.4114,-1.2421,
0.0833,-0.8701,-8.5553,85.9382,80.5192,88.8886,84.8510,97.4146,-1.2421,
0.0917,-0.8725,-10.7319,85.9316,80.4232,88.8921,84.8585,97.4166,-1.2421,
0.1000,-0.8758,-12.6607,85.9257,80.3395,88.8933,84.8679,97.4171,-1.2421,
0.1083,-0.8793,-14.3237,85.9201,80.2697,88.8926,84.8796,97.4160,-1.2422,
0.1167,-0.8826,-15.7240,85.9143,80.2144,88.8903,84.8930,97.4134,-1.2422,
0.1250,-0.8858,-16.8787,85.9082,80.1737,88.8873,84.9069,97.4096,-1.2422,
0.1333,-0.8888,-17.8100,85.9016,80.1472,88.8844,84.9196,97.4054,-1.2422,
0.1417,-0.8918,-18.5402,85.8942,80.1344,88.8825,84.9289,97.4015,-1.2422,
0.1500,-0.8950,-19.0915,85.8859,80.1345,88.8821,84.9338,97.3985,-1.2422,
0.1583,-0.8981,-19.4849,85.8767,80.1466,88.8833,84.9341,97.3965,-1.2422,
0.1667,-0.9009,-19.7402,85.8667,80.1693,88.8858,84.9303,97.3957,-1.2422,
0.1750,-0.9035,-19.8748,85.8560,80.2012,88.8893,84.9230,97.3961,-1.2421,
0.1833,-0.9061,-19.9049,85.8451,80.2410,88.8932,84.9133,97.3976,-1.2421,
0.1917,-0.9085,-19.8443,85.8342,80.2872,88.8969,84.9022,97.4001,-1.2420,
0.2000,-0.9106,-19.7051,85.8236,80.3381,88.9003,84.8906,97.4035,-1.2420,
0.2083,-0.9123,-19.4989,85.8133,80.3925,88.9029,84.8793,97.4078,-1.2419,
0.2167,-0.9137,-19.2361,85.8034,80.4490,88.9048,84.8691,97.4128,-1.2419,
0.2250,-0.9146,-18.9259,85.7940,80.5069,88.9060,84.8605,97.4184,-1.2418,
0.2333,-0.9152,-18.5766,85.7849,80.5655,88.9066,84.8538,97.4243,-1.2417,
0.2417,-0.9158,-18.1954,85.7761,80.6246,88.9070,84.8488,97.4304,-1.2417,
0.2500,-0.9165,-17.7883,85.7674,80.6840,88.9074,84.8458,97.4365,-1.2416,
0.2583,-0.9176,-17.3594,85.7585,80.7428,88.9082,84.8448,97.4425,-1.2415,
0.2667,-0.9193,-16.9106,85.7490,80.8005,88.9099,84.8461,97.4481,-1.2415,
0.2750,-0.9218,-16.4416,85.7387,80.8570,88.9130,84.8492,97.4531,-1.2414,
0.2833,-0.9251,-15.9515,85.7274,80.9121,88.9180,84.8534,97.4574,-1.2413,
0.2917,-0.9290,-15.4395,85.7149,80.9657,88.9252,84.8584,97.4606,-1.2413,
0.3000,-0.9332,-14.9063,85.7008,81.0177,88.9352,84.8635,97.4627,-1.2412,
0.3083,-0.9374,-14.3532,85.6848,81.0677,88.9485,84.8685,97.4633,-1.2411,
0.3167,-0.9417,-13.7819,85.6665,81.1155,88.9657,84.8733,97.4622,-1.2411,
0.3250,-0.9466,-13.1941,85.6455,81.1605,88.9875,84.8782,97.4590,-1.2410,
0.3333,-0.9523,-12.5911,85.6214,81.2019,89.0143,84.8838,97.4531,-1.2410,
0.3417,-0.9593,-11.9749,85.5934,81.2384,89.0469,84.8909,97.4441,-1.2409,
0.3500,-0.9680,-11.3476,85.5612,81.2686,89.0859,84.9011,97.4313,-1.2409,
0.3583,-0.9786,-10.7128,85.5241,81.2913,89.1318,84.9160,97.4137,-1.2409,
0.3667,-0.9910,-10.0757,85.4814,81.3056,89.1851,84.9378,97.3905,-1.2409,
0.3750,-1.0049,-9.4437,85.4328,81.3112,89.2457,84.9684,97.3606,-1.2410,
