time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0029,0.0123,-0.2046,-0.3259,0.0236,0.0406,
0.0033,0.0029,0.0123,-0.2046,-0.3260,0.0236,0.0406,
0.0050,0.0029,0.0123,-0.2047,-0.3260,0.0236,0.0406,
0.0067,0.0029,0.0123,-0.2047,-0.3260,0.0236,0.0406,
0.0083,0.0029,0.0123,-0.2047,-0.3260,0.0236,0.0406,
0.0100,0.0029,0.0123,-0.2047,-0.3261,0.0236,0.0406,
0.0117,0.0029,0.0123,-0.2047,-0.3261,0.0236,0.0407,
0.0133,0.0029,0.0123,-0.2047,-0.3261,0.0236,0.0407,
0.0150,0.0029,0.0123,-0.2047,-0.3262,0.0236,0.0407,
0.0167,0.0029,0.0123,-0.2047,-0.3262,0.0236,0.0407,
0.0183,0.0029,0.0123,-0.2048,-0.3262,0.0236,0.0407,
0.0200,0.0029,0.0123,-0.2048,-0.3262,0.0236,0.0407,
0.0217,0.0029,0.0123,-0.2048,-0.3262,0.0237,0.0407,
0.0233,0.0029,0.0123,-0.2048,-0.3262,0.0237,0.0407,
0.0250,0.0029,0.0123,-0.2048,-0.3262,0.0237,0.0408,
0.0267,0.0029,0.0123,-0.2048,-0.3262,0.0237,0.0408,
0.0283,0.0029,0.0123,-0.2048,-0.3262,0.0237,0.0408,
0.0300,0.0029,0.0123,-0.2048,-0.3262,0.0237,0.0408,
0.0317,0.0029,0.0123,-0.2048,-0.3261,0.0237,0.0408,
0.0333,0.0029,0.0123,-0.2047,-0.3261,0.0237,0.0409,
0.0350,0.0029,0.0123,-0.2047,-0.3260,0.0238,0.0409,
0.0367,0.0029,0.0123,-0.2047,-0.3259,0.0238,0.0409,
0.0383,0.0029,0.0124,-0.2047,-0.3258,0.0238,0.0409,
0.0400,0.0029,0.0124,-0.2046,-0.3258,0.0238,0.0409,
0.0417,0.0029,0.0124,-0.2046,-0.3257,0.0238,0.0409,
0.0433,0.0029,0.0124,-0.2045,-0.3256,0.0238,0.0409,
0.0450,0.0029,0.0124,-0.2045,-0.3255,0.0238,0.0409,
0.0467,0.0029,0.0125,-0.2044,-0.3254,0.0238,0.0409,
0.0483,0.0029,0.0125,-0.2044,-0.3252,0.0238,0.0409,
0.0500,0.0029,0.0125,-0.2043,-0.3252,0.0238,0.0408,
0.0517,0.0029,0.0125,-0.2043,-0.3251,0.0238,0.0408,
0.0533,0.0029,0.0125,-0.2043,-0.3250,0.0238,0.0407,
0.0550,0.0029,0.0125,-0.2042,-0.3249,0.0238,0.0407,
0.0567,0.0029,0.0125,-0.2042,-0.3249,0.0238,0.0406,
