time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,47.7003,0.2940,90.1180,91.3635,105.8822,118.0557,69.4871,-1.2340,
0.0167,47.7003,0.3392,90.1748,91.4449,105.9544,118.0757,69.3785,-1.2349,
0.0250,47.7003,0.4018,90.2257,91.5145,106.0263,118.0958,69.2734,-1.2358,
0.0333,47.7003,0.4758,90.2650,91.5657,106.0971,118.1178,69.1758,-1.2367,
0.0417,47.7003,0.5420,90.2892,91.5972,106.1652,118.1443,69.0891,-1.2374,
0.0500,47.7003,0.5874,90.2992,91.6117,106.2285,118.1754,69.0154,-1.2381,
0.0583,47.7004,0.6105,90.2989,91.6143,106.2853,118.2087,68.9557,-1.2386,
0.0667,47.7004,0.6160,90.2928,91.6103,106.3345,118.2412,68.9094,-1.2390,
0.0750,47.7004,0.6106,90.2844,91.6038,106.3756,118.2708,68.8755,-1.2394,
0.0833,47.7004,0.6002,90.2760,91.5975,106.4089,118.2957,68.8522,-1.2396,
0.0917,47.7004,0.5893,90.2687,91.5928,106.4352,118.3154,68.8379,-1.2398,
0.1000,47.7005,0.5800,90.2627,91.5908,106.4557,118.3295,68.8306,-1.2400,
0.1083,47.7005,0.5730,90.2578,91.5911,106.4717,118.3389,68.8286,-1.2401,
0.1167,47.7005,0.5678,90.2534,91.5931,106.4846,118.3448,68.8304,-1.2401,
0.1250,47.7006,0.5633,90.2489,91.5962,106.4956,118.3484,68.8347,-1.2402,
0.1333,47.7006,0.5588,90.2439,91.6002,106.5056,118.3505,68.8406,-1.2402,
0.1417,47.7006,0.5539,90.2385,91.6053,106.5149,118.3514,68.8472,-1.2402,
0.1500,47.7006,0.5486,90.2330,91.6115,106.5237,118.3515,68.8541,-1.2402,
0.1583,47.7006,0.5431,90.2278,91.6184,106.5322,118.3510,68.8606,-1.2402,
0.1667,47.7007,0.5375,90.2231,91.6259,106.5402,118.3499,68.8666,-1.2402,
0.1750,47.7007,0.5315,90.2188,91.6342,106.5478,118.3483,68.8716,-1.2403,
0.1833,47.7007,0.5242,90.2152,91.6430,106.5549,118.3464,68.8757,-1.2403,
0.1917,47.7008,0.5143,90.2121,91.6522,106.5613,118.3441,68.8787,-1.2403,
0.2000,47.7008,0.5010,90.2085,91.6612,106.5677,118.3417,68.8808,-1.2403,
0.2083,47.7009,0.4844,90.2026,91.6688,106.5753,118.3397,68.8823,-1.2404,
0.2167,47.7010,0.4656,90.1918,91.6743,106.5863,118.3383,68.8833,-1.2404,
0.2250,47.7010,0.4472,90.1734,91.6773,106.6030,118.3375,68.8845,-1.2404,
0.2333,47.7011,0.4319,90.1455,91.6775,106.6271,118.3373,68.8862,-1.2404,
0.2417,47.7012,0.4219,90.1066,91.6742,106.6599,118.3380,68.8889,-1.2404,
0.2500,47.7013,0.4179,90.0566,91.6668,106.7016,118.3399,68.8929,-1.2404,
0.2583,47.7014,0.4202,89.9959,91.6549,106.7512,118.3432,68.8983,-1.2404,
0.2667,47.7016,0.4276,89.9257,91.6394,106.8075,118.3472,68.9051,-1.2404,
0.2750,47.7017,0.4385,89.8473,91.6224,106.8691,118.3507,68.9132,-1.2404,
0.2833,47.7018,0.4514,89.7619,91.6063,106.9346,118.3521,68.9224,-1.2403,
0.2917,47.7020,0.4650,89.6708,91.5936,107.0033,118.3498,68.9323,-1.2403,
0.3000,47.7021,0.4786,89.5749,91.5864,107.0744,118.3425,68.9424,-1.2402,
0.3083,47.7023,0.4915,89.4750,91.5864,107.1475,118.3289,68.9525,-1.2401,
0.3167,47.7024,0.5032,89.3725,91.5954,107.2219,118.3076,68.9620,-1.2400,
0.3250,47.7026,0.5145,89.2688,91.6147,107.2967,118.2775,68.9707,-1.2399,
0.3333,47.7028,0.5269,89.1657,91.6453,107.3708,118.2375,68.9779,-1.2398,
0.3417,47.7029,0.5415,89.0646,91.6880,107.4432,118.1870,68.9833,-1.2397,
0.3500,47.7031,0.5585,88.9663,91.7426,107.5141,118.1259,68.9863,-1.2396,
0.3583,47.7033,0.5768,88.8692,91.8076,107.5850,118.0560,68.9863,-1.2395,
0.3667,47.7035,0.5940,88.7699,91.8778,107.6582,117.9815,68.9828,-1.2393,
0.3750,47.7038,0.6075,88.6642,91.9435,107.7358,117.9106,68.9746,-1.2392,
0.3833,47.7040,0.6156,88.5489,91.9934,107.8195,117.8524,68.9609,-1.2391,
0.3917,47.7043,0.6177,88.4221,92.0185,107.9103,117.8139,68.9404,-1.2390,
0.4000,47.7046,0.6144,88.2823,92.0142,108.0092,117.7985,68.9120,-1.2388,
0.4083,47.7049,0.6067,88.1290,91.9786,108.1167,117.8070,68.8746,-1.2387,
0.4167,47.7052,0.5955,87.9631,91.9117,108.2332,117.8391,68.8275,-1.2386,
0.4250,47.7056,0.5819,87.7861,91.8166,108.3587,117.8916,68.7699,-1.2384,
0.4333,47.7060,0.5670,87.5995,91.7017,108.4930,117.9577,68.7019,-1.2383,
0.4417,47.7063,0.5512,87.4038,91.5814,108.6357,118.0259,68.6240,-1.2381,
0.4500,47.7066,0.5346,87.1990,91.4740,108.7863,118.0823,68.5372,-1.2380,
0.4583,47.7070,0.5172,86.9843,91.3946,108.9437,118.1156,68.4431,-1.2378,
0.4667,47.7072,0.4992,86.7598,91.3506,109.1069,118.1206,68.3441,-1.2376,
0.4750,47.7075,0.4803,86.5266,91.3426,109.2739,118.0976,68.2429,-1.2374,
0.4833,47.7077,0.4605,86.2876,91.3668,109.4416,118.0500,68.1428,-1.2372,
0.4917,47.7079,0.4391,86.0471,91.4164,109.6065,117.9831,68.0478,-1.2370,
0.5000,47.7080,0.4155,85.8108,91.4817,109.7645,117.9043,67.9620,-1.2368,
0.5083,47.7080,0.3891,85.5845,91.5502,109.9116,117.8222,67.8895,-1.2365,
0.5167,47.7080,0.3601,85.3735,91.6083,110.0441,117.7463,67.8345,-1.2362,
0.5250,47.7078,0.3289,85.1814,91.6417,110.1585,117.6863,67.7986,-1.2359,
0.5333,47.7075,0.2964,85.0104,91.6381,110.2522,117.6501,67.7804,-1.2356,
0.5417,47.7071,0.2631,84.8617,91.5931,110.3237,117.6404,67.7730,-1.2352,
0.5500,47.7066,0.2287,84.7352,91.5146,110.3726,117.6514,67.7658,-1.2348,
0.5583,47.7060,0.1922,84.6302,91.4199,110.3999,117.6705,67.7477,-1.2344,
0.5667,47.7055,0.1528,84.5441,91.3274,110.4082,117.6846,67.7117,-1.2339,
0.5750,47.7051,0.1101,84.4726,91.2486,110.4013,117.6860,67.6551,-1.2335,
0.5833,47.7047,0.0640,84.4100,91.1858,110.3842,117.6735,67.5781,-1.2330,
0.5917,47.7044,0.0139,84.3505,91.1326,110.3612,117.6525,67.4830,-1.2325,
0.6000,47.7043,-0.0412,84.2899,91.0767,110.3351,117.6321,67.3728,-1.2320,
0.6083,47.7042,-0.1025,84.2274,91.0029,110.3062,117.6238,67.2510,-1.2315,
0.6167,47.7043,-0.1711,84.1650,90.8987,110.2732,117.6366,67.1210,-1.2310,
0.6250,47.7044,-0.2482,84.1058,90.7610,110.2339,117.6723,66.9863,-1.2305,
0.6333,47.7046,-0.3356,84.0531,90.5973,110.1869,117.7246,66.8496,-1.2300,
0.6417,47.7048,-0.4356,84.0095,90.4184,110.1304,117.7842,66.7135,-1.2295,
0.6500,47.7049,-0.5514,83.9770,90.2291,110.0632,117.8462,66.5797,-1.2290,
0.6583,47.7050,-0.6859,83.9563,90.0262,109.9843,117.9120,66.4491,-1.2284,
0.6667,47.7051,-0.8425,83.9471,89.8039,109.8938,117.9866,66.3220,-1.2278,
0.6750,47.7051,-1.0257,83.9483,89.5581,109.7931,118.0751,66.1976,-1.2272,
0.6833,47.7050,-1.2406,83.9582,89.2851,109.6842,118.1828,66.0747,-1.2266,
0.6917,47.7049,-1.4912,83.9759,88.9772,109.5690,118.3173,65.9523,-1.2260,
0.7000,47.7048,-1.7755,84.0003,88.6263,109.4488,118.4853,65.8296,-1.2254,
0.7083,47.7046,-2.0828,84.0307,88.2318,109.3243,118.6873,65.7066,-1.2248,
0.7167,47.7045,-2.3961,84.0663,87.8031,109.1959,118.9163,65.5834,-1.2241,
0.7250,47.7044,-2.6958,84.1064,87.3508,109.0636,119.1649,65.4604,-1.2235,
0.7333,47.7044,-2.9623,84.1501,86.8821,108.9276,119.4291,65.3379,-1.2229,
0.7417,47.7044,-3.1764,84.1968,86.4026,108.7886,119.7081,65.2164,-1.2223,
0.7500,47.7045,-3.3199,84.2456,85.9169,108.6475,120.0030,65.0967,-1.2216,
0.7583,47.7046,-3.3786,84.2962,85.4270,108.5047,120.3179,64.9802,-1.2210,
0.7667,47.7048,-3.3468,84.3485,84.9378,108.3604,120.6548,64.8686,-1.2203,
