time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0238,-0.0044,-0.1843,-0.3733,0.0374,0.0814,
0.0033,-0.0239,-0.0044,-0.1844,-0.3733,0.0374,0.0814,
0.0050,-0.0239,-0.0044,-0.1844,-0.3734,0.0374,0.0814,
0.0067,-0.0239,-0.0044,-0.1844,-0.3734,0.0374,0.0814,
0.0083,-0.0239,-0.0044,-0.1844,-0.3734,0.0374,0.0815,
0.0100,-0.0239,-0.0044,-0.1844,-0.3735,0.0375,0.0815,
0.0117,-0.0239,-0.0044,-0.1845,-0.3735,0.0375,0.0815,
0.0133,-0.0239,-0.0044,-0.1845,-0.3735,0.0375,0.0815,
0.0150,-0.0239,-0.0044,-0.1845,-0.3736,0.0375,0.0816,
0.0167,-0.0239,-0.0044,-0.1845,-0.3736,0.0375,0.0816,
0.0183,-0.0239,-0.0044,-0.1845,-0.3737,0.0375,0.0816,
0.0200,-0.0239,-0.0044,-0.1845,-0.3737,0.0375,0.0816,
0.0217,-0.0239,-0.0044,-0.1845,-0.3737,0.0375,0.0817,
0.0233,-0.0239,-0.0044,-0.1845,-0.3737,0.0375,0.0817,
0.0250,-0.0239,-0.0044,-0.1845,-0.3737,0.0375,0.0817,
0.0267,-0.0239,-0.0044,-0.1845,-0.3737,0.0375,0.0817,
0.0283,-0.0239,-0.0043,-0.1845,-0.3737,0.0375,0.0817,
0.0300,-0.0239,-0.0043,-0.1844,-0.3737,0.0375,0.0817,
0.0317,-0.0239,-0.0043,-0.1844,-0.3737,0.0375,0.0817,
0.0333,-0.0239,-0.0043,-0.1844,-0.3736,0.0375,0.0817,
0.0350,-0.0239,-0.0043,-0.1843,-0.3735,0.0375,0.0817,
0.0367,-0.0239,-0.0043,-0.1843,-0.3735,0.0375,0.0816,
0.0383,-0.0239,-0.0043,-0.1842,-0.3734,0.0374,0.0816,
0.0400,-0.0239,-0.0043,-0.1841,-0.3733,0.0374,0.0816,
0.0417,-0.0239,-0.0043,-0.1841,-0.3732,0.0374,0.0815,
0.0433,-0.0239,-0.0043,-0.1840,-0.3730,0.0374,0.0814,
0.0450,-0.0239,-0.0043,-0.1839,-0.3729,0.0373,0.0814,
0.0467,-0.0239,-0.0044,-0.1839,-0.3727,0.0373,0.0813,
0.0483,-0.0239,-0.0044,-0.1838,-0.3726,0.0373,0.0812,
0.0500,-0.0239,-0.0044,-0.1837,-0.3725,0.0372,0.0811,
0.0517,-0.0239,-0.0044,-0.1837,-0.3723,0.0372,0.0810,
0.0533,-0.0238,-0.0044,-0.1836,-0.3722,0.0372,0.0809,
0.0550,-0.0238,-0.0044,-0.1836,-0.3721,0.0371,0.0808,
0.0567,-0.0238,-0.0044,-0.1836,-0.3720,0.0371,0.0807,
0.0583,-0.0238,-0.0044,-0.1836,-0.3719,0.0371,0.0806,
0.0600,-0.0238,-0.0044,-0.1836,-0.3718,0.0371,0.0806,
0.0617,-0.0238,-0.0045,-0.1837,-0.3718,0.0371,0.0805,
0.0633,-0.0237,-0.0045,-0.1837,-0.3718,0.0371,0.0805,
0.0650,-0.0237,-0.0045,-0.1838,-0.3719,0.0371,0.0805,
0.0667,-0.0237,-0.0045,-0.1839,-0.3720,0.0371,0.0805,
0.0683,-0.0237,-0.0045,-0.1841,-0.3721,0.0372,0.0805,
0.0700,-0.0237,-0.0045,-0.1842,-0.3723,0.0372,0.0806,
0.0717,-0.0237,-0.0045,-0.1844,-0.3726,0.0373,0.0807,
0.0733,-0.0237,-0.0045,-0.1846,-0.3729,0.0373,0.0808,
0.0750,-0.0237,-0.0045,-0.1848,-0.3733,0.0374,0.0809,
0.0767,-0.0237,-0.0045,-0.1851,-0.3737,0.0375,0.0811,
0.0783,-0.0237,-0.0045,-0.1853,-0.3741,0.0376,0.0814,
0.0800,-0.0237,-0.0045,-0.1856,-0.3746,0.0377,0.0816,
0.0817,-0.0238,-0.0045,-0.1858,-0.3751,0.0378,0.0819,
0.0833,-0.0238,-0.0044,-0.1861,-0.3756,0.0379,0.0822,
0.0850,-0.0238,-0.0044,-0.1863,-0.3761,0.0381,0.0825,
0.0867,-0.0239,-0.0044,-0.1866,-0.3767,0.0382,0.0829,
0.0883,-0.0239,-0.0043,-0.1867,-0.3772,0.0383,0.0832,
0.0900,-0.0240,-0.0043,-0.1869,-0.3777,0.0384,0.0836,
0.0917,-0.0240,-0.0043,-0.1870,-0.3781,0.0385,0.0839,
0.0933,-0.0241,-0.0042,-0.1870,-0.3784,0.0386,0.0842,
0.0950,-0.0241,-0.0042,-0.1870,-0.3787,0.0387,0.0845,
0.0967,-0.0242,-0.0041,-0.1869,-0.3788,0.0387,0.0847,
0.0983,-0.0243,-0.0041,-0.1867,-0.3789,0.0387,0.0849,
0.1000,-0.0243,-0.0040,-0.1865,-0.3787,0.0387,0.0850,
0.1017,-0.0244,-0.0040,-0.1861,-0.3785,0.0386,0.0851,
0.1033,-0.0244,-0.0039,-0.1857,-0.3780,0.0385,0.0850,
0.1050,-0.0245,-0.0039,-0.1851,-0.3774,0.0384,0.0849,
0.1067,-0.0245,-0.0039,-0.1845,-0.3766,0.0382,0.0846,
