time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.1088,48.2122,87.3333,89.6838,84.1206,87.7825,90.4951,-1.2489,
0.0167,48.1082,48.2119,87.4631,89.6822,84.0458,87.7595,90.5117,-1.2487,
0.0250,48.1077,48.2117,87.5770,89.6803,83.9814,87.7382,90.5258,-1.2486,
0.0333,48.1072,48.2115,87.6627,89.6779,83.9346,87.7200,90.5361,-1.2485,
0.0417,48.1069,48.2113,87.7154,89.6745,83.9073,87.7062,90.5416,-1.2484,
0.0500,48.1068,48.2112,87.7389,89.6700,83.8958,87.6968,90.5427,-1.2483,
0.0583,48.1067,48.2111,87.7416,89.6647,83.8946,87.6913,90.5401,-1.2482,
0.0667,48.1067,48.2110,87.7321,89.6590,83.8984,87.6886,90.5348,-1.2482,
0.0750,48.1068,48.2109,87.7173,89.6533,83.9035,87.6875,90.5276,-1.2481,
0.0833,48.1068,48.2109,87.7015,89.6477,83.9076,87.6870,90.5192,-1.2481,
0.0917,48.1069,48.2109,87.6872,89.6425,83.9097,87.6863,90.5104,-1.2480,
0.1000,48.1069,48.2108,87.6754,89.6378,83.9097,87.6850,90.5013,-1.2479,
0.1083,48.1070,48.2108,87.6660,89.6336,83.9077,87.6826,90.4923,-1.2479,
0.1167,48.1070,48.2108,87.6587,89.6298,83.9042,87.6791,90.4835,-1.2478,
0.1250,48.1070,48.2108,87.6528,89.6264,83.8997,87.6745,90.4749,-1.2478,
0.1333,48.1070,48.2108,87.6476,89.6233,83.8947,87.6691,90.4666,-1.2477,
0.1417,48.1071,48.2108,87.6427,89.6205,83.8894,87.6630,90.4588,-1.2476,
0.1500,48.1071,48.2108,87.6380,89.6179,83.8840,87.6565,90.4514,-1.2475,
0.1583,48.1071,48.2108,87.6337,89.6154,83.8781,87.6498,90.4445,-1.2474,
0.1667,48.1071,48.2107,87.6300,89.6130,83.8717,87.6432,90.4379,-1.2474,
0.1750,48.1071,48.2107,87.6272,89.6102,83.8646,87.6368,90.4315,-1.2473,
0.1833,48.1071,48.2107,87.6252,89.6070,83.8569,87.6308,90.4250,-1.2472,
0.1917,48.1071,48.2107,87.6238,89.6033,83.8487,87.6253,90.4185,-1.2471,
0.2000,48.1071,48.2107,87.6225,89.5992,83.8404,87.6200,90.4121,-1.2470,
0.2083,48.1071,48.2107,87.6211,89.5953,83.8324,87.6146,90.4057,-1.2469,
