time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0131,0.0022,-0.1995,-0.5485,0.0008,0.0656,
0.0033,-0.0131,0.0023,-0.1995,-0.5485,0.0008,0.0656,
0.0050,-0.0131,0.0023,-0.1996,-0.5486,0.0008,0.0656,
0.0067,-0.0131,0.0023,-0.1996,-0.5486,0.0009,0.0656,
0.0083,-0.0131,0.0023,-0.1996,-0.5487,0.0009,0.0656,
0.0100,-0.0131,0.0023,-0.1996,-0.5487,0.0009,0.0656,
0.0117,-0.0131,0.0023,-0.1996,-0.5488,0.0009,0.0656,
0.0133,-0.0131,0.0023,-0.1997,-0.5489,0.0009,0.0656,
0.0150,-0.0131,0.0023,-0.1997,-0.5489,0.0009,0.0657,
0.0167,-0.0131,0.0023,-0.1997,-0.5490,0.0009,0.0657,
0.0183,-0.0131,0.0023,-0.1997,-0.5490,0.0009,0.0657,
0.0200,-0.0131,0.0023,-0.1998,-0.5490,0.0010,0.0656,
0.0217,-0.0131,0.0022,-0.1998,-0.5491,0.0010,0.0656,
0.0233,-0.0131,0.0022,-0.1998,-0.5491,0.0010,0.0656,
0.0250,-0.0131,0.0022,-0.1998,-0.5491,0.0010,0.0656,
0.0267,-0.0131,0.0022,-0.1998,-0.5491,0.0010,0.0656,
0.0283,-0.0131,0.0022,-0.1998,-0.5490,0.0010,0.0656,
0.0300,-0.0131,0.0021,-0.1998,-0.5490,0.0009,0.0656,
0.0317,-0.0131,0.0021,-0.1997,-0.5489,0.0009,0.0655,
0.0333,-0.0131,0.0021,-0.1997,-0.5488,0.0009,0.0655,
0.0350,-0.0131,0.0021,-0.1997,-0.5488,0.0009,0.0655,
0.0367,-0.0131,0.0020,-0.1996,-0.5486,0.0009,0.0654,
0.0383,-0.0131,0.0020,-0.1996,-0.5485,0.0008,0.0654,
0.0400,-0.0131,0.0020,-0.1995,-0.5483,0.0008,0.0654,
0.0417,-0.0131,0.0020,-0.1994,-0.5482,0.0008,0.0653,
0.0433,-0.0131,0.0019,-0.1994,-0.5480,0.0007,0.0653,
0.0450,-0.0131,0.0019,-0.1993,-0.5478,0.0007,0.0653,
0.0467,-0.0131,0.0019,-0.1992,-0.5476,0.0006,0.0652,
0.0483,-0.0131,0.0019,-0.1991,-0.5474,0.0006,0.0652,
0.0500,-0.0131,0.0019,-0.1990,-0.5472,0.0006,0.0652,
0.0517,-0.0131,0.0019,-0.1989,-0.5470,0.0005,0.0652,
0.0533,-0.0131,0.0019,-0.1989,-0.5469,0.0005,0.0652,
0.0550,-0.0131,0.0020,-0.1988,-0.5467,0.0004,0.0652,
0.0567,-0.0131,0.0020,-0.1987,-0.5466,0.0004,0.0652,
0.0583,-0.0131,0.0021,-0.1987,-0.5465,0.0004,0.0652,
0.0600,-0.0130,0.0021,-0.1987,-0.5465,0.0004,0.0653,
0.0617,-0.0130,0.0022,-0.1986,-0.5465,0.0004,0.0653,
0.0633,-0.0130,0.0023,-0.1987,-0.5466,0.0004,0.0654,
0.0650,-0.0130,0.0023,-0.1987,-0.5467,0.0004,0.0655,
0.0667,-0.0130,0.0024,-0.1988,-0.5469,0.0004,0.0656,
0.0683,-0.0130,0.0025,-0.1988,-0.5471,0.0005,0.0657,
0.0700,-0.0130,0.0026,-0.1990,-0.5474,0.0006,0.0658,
0.0717,-0.0130,0.0027,-0.1991,-0.5478,0.0006,0.0659,
0.0733,-0.0130,0.0028,-0.1993,-0.5483,0.0007,0.0660,
0.0750,-0.0130,0.0029,-0.1995,-0.5488,0.0009,0.0662,
0.0767,-0.0130,0.0030,-0.1998,-0.5494,0.0010,0.0663,
0.0783,-0.0130,0.0031,-0.2000,-0.5500,0.0011,0.0664,
0.0800,-0.0130,0.0032,-0.2003,-0.5507,0.0013,0.0665,
0.0817,-0.0130,0.0032,-0.2006,-0.5514,0.0014,0.0666,
0.0833,-0.0131,0.0032,-0.2009,-0.5521,0.0016,0.0667,
0.0850,-0.0131,0.0032,-0.2012,-0.5528,0.0018,0.0668,
0.0867,-0.0131,0.0032,-0.2015,-0.5535,0.0019,0.0669,
0.0883,-0.0132,0.0032,-0.2018,-0.5542,0.0021,0.0669,
0.0900,-0.0132,0.0031,-0.2021,-0.5548,0.0022,0.0669,
0.0917,-0.0132,0.0030,-0.2024,-0.5553,0.0023,0.0668,
0.0933,-0.0133,0.0028,-0.2026,-0.5556,0.0024,0.0668,
0.0950,-0.0133,0.0026,-0.2027,-0.5559,0.0025,0.0666,
0.0967,-0.0134,0.0024,-0.2028,-0.5560,0.0026,0.0665,
0.0983,-0.0134,0.0021,-0.2028,-0.5559,0.0025,0.0663,
0.1000,-0.0135,0.0018,-0.2027,-0.5556,0.0025,0.0660,
0.1017,-0.0135,0.0015,-0.2026,-0.5551,0.0024,0.0657,
0.1033,-0.0135,0.0012,-0.2023,-0.5543,0.0022,0.0654,
0.1050,-0.0135,0.0008,-0.2019,-0.5533,0.0020,0.0650,
0.1067,-0.0136,0.0005,-0.2015,-0.5521,0.0018,0.0646,
0.1083,-0.0136,0.0001,-0.2009,-0.5506,0.0014,0.0641,
0.1100,-0.0136,-0.0002,-0.2002,-0.5488,0.0011,0.0637,
0.1117,-0.0135,-0.0006,-0.1994,-0.5469,0.0006,0.0632,
0.1133,-0.0135,-0.0009,-0.1985,-0.5447,0.0001,0.0627,
0.1150,-0.0135,-0.0011,-0.1975,-0.5423,-0.0004,0.0623,
0.1167,-0.0134,-0.0013,-0.1964,-0.5399,-0.0010,0.0619,
0.1183,-0.0133,-0.0015,-0.1953,-0.5373,-0.0016,0.0615,
0.1200,-0.0132,-0.0015,-0.1942,-0.5347,-0.0022,0.0612,
0.1217,-0.0131,-0.0015,-0.1930,-0.5322,-0.0028,0.0609,
0.1233,-0.0130,-0.0014,-0.1919,-0.5298,-0.0034,0.0608,
0.1250,-0.0129,-0.0011,-0.1909,-0.5275,-0.0039,0.0607,
0.1267,-0.0127,-0.0008,-0.1900,-0.5255,-0.0044,0.0608,
0.1283,-0.0126,-0.0003,-0.1891,-0.5239,-0.0048,0.0610,
0.1300,-0.0124,0.0003,-0.1885,-0.5228,-0.0051,0.0614,
0.1317,-0.0123,0.0010,-0.1881,-0.5222,-0.0053,0.0619,
0.1333,-0.0121,0.0019,-0.1879,-0.5222,-0.0054,0.0626,
0.1350,-0.0120,0.0029,-0.1880,-0.5229,-0.0053,0.0635,
0.1367,-0.0118,0.0040,-0.1884,-0.5244,-0.0051,0.0645,
0.1383,-0.0117,0.0052,-0.1892,-0.5267,-0.0046,0.0657,
0.1400,-0.0116,0.0064,-0.1904,-0.5299,-0.0040,0.0670,
0.1417,-0.0116,0.0077,-0.1919,-0.5340,-0.0031,0.0684,
0.1433,-0.0115,0.0090,-0.1939,-0.5390,-0.0021,0.0700,
0.1450,-0.0115,0.0103,-0.1962,-0.5449,-0.0008,0.0716,
0.1467,-0.0116,0.0116,-0.1990,-0.5517,0.0007,0.0733,
0.1483,-0.0117,0.0127,-0.2021,-0.5592,0.0024,0.0750,
0.1500,-0.0118,0.0138,-0.2055,-0.5674,0.0043,0.0767,
0.1517,-0.0120,0.0146,-0.2092,-0.5762,0.0063,0.0782,
0.1533,-0.0122,0.0152,-0.2132,-0.5853,0.0084,0.0797,
0.1550,-0.0125,0.0156,-0.2172,-0.5946,0.0106,0.0809,
