time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.2943,48.1487,90.4434,98.1649,76.0962,81.7882,93.3767,-1.2772,
0.0167,48.2941,48.1484,90.4300,98.1459,76.0958,81.8012,93.3910,-1.2771,
0.0250,48.2939,48.1481,90.4184,98.1290,76.0947,81.8123,93.4049,-1.2771,
0.0333,48.2938,48.1478,90.4105,98.1162,76.0920,81.8197,93.4179,-1.2770,
0.0417,48.2938,48.1477,90.4073,98.1087,76.0873,81.8229,93.4296,-1.2770,
0.0500,48.2939,48.1476,90.4083,98.1061,76.0812,81.8226,93.4395,-1.2770,
0.0583,48.2940,48.1476,90.4122,98.1072,76.0748,81.8207,93.4473,-1.2770,
0.0667,48.2941,48.1476,90.4175,98.1104,76.0692,81.8191,93.4532,-1.2770,
0.0750,48.2942,48.1476,90.4229,98.1145,76.0648,81.8192,93.4571,-1.2770,
0.0833,48.2943,48.1475,90.4279,98.1186,76.0620,81.8215,93.4594,-1.2771,
0.0917,48.2944,48.1475,90.4323,98.1222,76.0606,81.8260,93.4604,-1.2771,
0.1000,48.2944,48.1475,90.4363,98.1250,76.0605,81.8321,93.4605,-1.2772,
0.1083,48.2944,48.1475,90.4402,98.1272,76.0615,81.8397,93.4603,-1.2773,
0.1167,48.2944,48.1475,90.4440,98.1289,76.0632,81.8482,93.4598,-1.2773,
0.1250,48.2944,48.1475,90.4479,98.1301,76.0656,81.8572,93.4595,-1.2774,
0.1333,48.2944,48.1475,90.4519,98.1309,76.0684,81.8662,93.4594,-1.2775,
0.1417,48.2944,48.1476,90.4559,98.1316,76.0715,81.8747,93.4598,-1.2776,
0.1500,48.2944,48.1476,90.4602,98.1322,76.0748,81.8825,93.4607,-1.2776,
0.1583,48.2945,48.1476,90.4646,98.1332,76.0782,81.8896,93.4619,-1.2777,
0.1667,48.2945,48.1477,90.4692,98.1348,76.0815,81.8960,93.4632,-1.2778,
0.1750,48.2945,48.1478,90.4739,98.1369,76.0846,81.9023,93.4645,-1.2779,
0.1833,48.2945,48.1479,90.4783,98.1395,76.0875,81.9084,93.4656,-1.2779,
0.1917,48.2945,48.1480,90.4825,98.1425,76.0903,81.9147,93.4664,-1.2780,
0.2000,48.2945,48.1482,90.4864,98.1454,76.0931,81.9215,93.4668,-1.2781,
0.2083,48.2945,48.1483,90.4900,98.1481,76.0957,81.9289,93.4669,-1.2782,
0.2167,48.2945,48.1483,90.4936,98.1504,76.0983,81.9372,93.4668,-1.2782,
0.2250,48.2945,48.1484,90.4971,98.1519,76.1010,81.9461,93.4667,-1.2783,
0.2333,48.2945,48.1485,90.5004,98.1529,76.1038,81.9553,93.4670,-1.2784,
0.2417,48.2945,48.1485,90.5033,98.1533,76.1068,81.9641,93.4680,-1.2785,
0.2500,48.2946,48.1486,90.5056,98.1533,76.1099,81.9722,93.4700,-1.2785,
0.2583,48.2946,48.1486,90.5074,98.1531,76.1133,81.9792,93.4732,-1.2786,
0.2667,48.2946,48.1487,90.5084,98.1529,76.1167,81.9855,93.4773,-1.2786,
0.2750,48.2946,48.1488,90.5087,98.1527,76.1200,81.9915,93.4820,-1.2787,
0.2833,48.2946,48.1489,90.5085,98.1523,76.1232,81.9984,93.4868,-1.2787,
0.2917,48.2946,48.1490,90.5076,98.1514,76.1260,82.0069,93.4914,-1.2788,
0.3000,48.2946,48.1491,90.5063,98.1494,76.1283,82.0178,93.4958,-1.2788,
0.3083,48.2946,48.1493,90.5048,98.1459,76.1302,82.0312,93.5004,-1.2789,
0.3167,48.2946,48.1494,90.5034,98.1405,76.1315,82.0468,93.5056,-1.2790,
0.3250,48.2946,48.1495,90.5020,98.1327,76.1325,82.0645,93.5122,-1.2790,
0.3333,48.2946,48.1496,90.5005,98.1220,76.1332,82.0839,93.5208,-1.2791,
0.3417,48.2946,48.1497,90.4983,98.1076,76.1340,82.1050,93.5322,-1.2792,
0.3500,48.2946,48.1499,90.4952,98.0888,76.1351,82.1279,93.5469,-1.2792,
0.3583,48.2946,48.1500,90.4906,98.0651,76.1370,82.1535,93.5649,-1.2792,
0.3667,48.2946,48.1502,90.4842,98.0360,76.1400,82.1830,93.5866,-1.2792,
0.3750,48.2946,48.1503,90.4761,98.0011,76.1446,82.2176,93.6118,-1.2793,
0.3833,48.2945,48.1504,90.4663,97.9595,76.1509,82.2590,93.6405,-1.2793,
0.3917,48.2945,48.1506,90.4548,97.9103,76.1595,82.3088,93.6722,-1.2793,
0.4000,48.2945,48.1508,90.4416,97.8521,76.1706,82.3694,93.7062,-1.2794,
0.4083,48.2945,48.1509,90.4269,97.7827,76.1848,82.4433,93.7414,-1.2794,
0.4167,48.2945,48.1511,90.4107,97.6993,76.2027,82.5335,93.7766,-1.2795,
0.4250,48.2945,48.1513,90.3930,97.5993,76.2247,82.6431,93.8105,-1.2796,
0.4333,48.2945,48.1515,90.3734,97.4802,76.2515,82.7755,93.8413,-1.2798,
0.4417,48.2945,48.1517,90.3517,97.3394,76.2835,82.9344,93.8673,-1.2800,
0.4500,48.2945,48.1519,90.3279,97.1743,76.3214,83.1234,93.8866,-1.2802,
0.4583,48.2945,48.1521,90.3021,96.9815,76.3656,83.3470,93.8973,-1.2805,
