time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0341,0.0100,-0.1971,-0.4013,-0.0508,0.0565,
0.0033,-0.0341,0.0100,-0.1972,-0.4013,-0.0508,0.0565,
0.0050,-0.0341,0.0100,-0.1972,-0.4013,-0.0508,0.0565,
0.0067,-0.0341,0.0100,-0.1972,-0.4014,-0.0508,0.0565,
0.0083,-0.0341,0.0100,-0.1972,-0.4014,-0.0508,0.0565,
0.0100,-0.0341,0.0100,-0.1972,-0.4015,-0.0508,0.0565,
0.0117,-0.0341,0.0100,-0.1972,-0.4015,-0.0508,0.0565,
0.0133,-0.0341,0.0100,-0.1973,-0.4015,-0.0508,0.0565,
0.0150,-0.0341,0.0100,-0.1973,-0.4016,-0.0508,0.0565,
0.0167,-0.0341,0.0100,-0.1973,-0.4016,-0.0508,0.0565,
0.0183,-0.0341,0.0100,-0.1973,-0.4016,-0.0508,0.0565,
0.0200,-0.0341,0.0100,-0.1973,-0.4016,-0.0509,0.0565,
0.0217,-0.0341,0.0100,-0.1973,-0.4016,-0.0509,0.0565,
0.0233,-0.0341,0.0100,-0.1973,-0.4016,-0.0509,0.0565,
0.0250,-0.0341,0.0100,-0.1973,-0.4016,-0.0509,0.0565,
0.0267,-0.0340,0.0100,-0.1973,-0.4016,-0.0509,0.0565,
0.0283,-0.0340,0.0100,-0.1973,-0.4016,-0.0509,0.0566,
0.0300,-0.0340,0.0100,-0.1973,-0.4015,-0.0509,0.0566,
0.0317,-0.0340,0.0100,-0.1972,-0.4015,-0.0510,0.0566,
0.0333,-0.0340,0.0100,-0.1972,-0.4014,-0.0510,0.0565,
0.0350,-0.0340,0.0100,-0.1972,-0.4013,-0.0510,0.0565,
0.0367,-0.0340,0.0100,-0.1971,-0.4012,-0.0510,0.0565,
0.0383,-0.0340,0.0100,-0.1971,-0.4011,-0.0510,0.0565,
0.0400,-0.0339,0.0100,-0.1970,-0.4010,-0.0511,0.0565,
0.0417,-0.0339,0.0100,-0.1969,-0.4009,-0.0511,0.0565,
0.0433,-0.0339,0.0100,-0.1969,-0.4008,-0.0511,0.0565,
