time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.7274,180.0000,86.6242,180.0000,84.4396,85.1156,94.8744,-1.3788,
0.0167,48.7251,180.0000,86.5823,180.0000,84.4667,85.1024,94.8790,-1.3787,
0.0250,48.7229,180.0000,86.5456,180.0000,84.4889,85.0903,94.8837,-1.3787,
0.0333,48.7212,180.0000,86.5160,180.0000,84.5055,85.0798,94.8881,-1.3786,
0.0417,48.7201,180.0000,86.4935,180.0000,84.5177,85.0711,94.8921,-1.3785,
0.0500,48.7195,180.0000,86.4772,180.0000,84.5265,85.0641,94.8952,-1.3785,
0.0583,48.7193,180.0000,86.4658,180.0000,84.5323,85.0584,94.8975,-1.3784,
0.0667,48.7194,180.0000,86.4580,180.0000,84.5357,85.0536,94.8987,-1.3784,
0.0750,48.7196,180.0000,86.4528,180.0000,84.5371,85.0494,94.8991,-1.3783,
0.0833,48.7198,180.0000,86.4491,180.0000,84.5370,85.0452,94.8986,-1.3783,
0.0917,48.7200,180.0000,86.4467,180.0000,84.5357,85.0412,94.8973,-1.3782,
0.1000,48.7202,180.0000,86.4452,180.0000,84.5336,85.0373,94.8954,-1.3782,
0.1083,48.7203,180.0000,86.4442,180.0000,84.5309,85.0336,94.8931,-1.3781,
0.1167,48.7203,180.0000,86.4434,180.0000,84.5278,85.0300,94.8906,-1.3781,
0.1250,48.7204,180.0000,86.4427,180.0000,84.5244,85.0266,94.8879,-1.3780,
0.1333,48.7204,180.0000,86.4419,180.0000,84.5210,85.0233,94.8852,-1.3780,
0.1417,48.7203,180.0000,86.4409,180.0000,84.5176,85.0200,94.8825,-1.3779,
0.1500,48.7203,180.0000,86.4397,180.0000,84.5143,85.0169,94.8796,-1.3779,
0.1583,48.7203,180.0000,86.4386,180.0000,84.5112,85.0141,94.8767,-1.3779,
0.1667,48.7203,180.0000,86.4374,180.0000,84.5081,85.0115,94.8737,-1.3778,
0.1750,48.7203,180.0000,86.4361,180.0000,84.5052,85.0092,94.8707,-1.3778,
0.1833,48.7203,180.0000,86.4349,180.0000,84.5025,85.0069,94.8676,-1.3777,
0.1917,48.7203,180.0000,86.4332,180.0000,84.5002,85.0043,94.8644,-1.3777,
0.2000,48.7203,180.0000,86.4309,180.0000,84.4984,85.0011,94.8611,-1.3776,
0.2083,48.7204,180.0000,86.4280,180.0000,84.4974,84.9973,94.8575,-1.3776,
0.2167,48.7204,180.0000,86.4246,180.0000,84.4972,84.9928,94.8537,-1.3776,
0.2250,48.7204,180.0000,86.4204,180.0000,84.4979,84.9878,94.8495,-1.3775,
0.2333,48.7204,180.0000,86.4154,180.0000,84.4997,84.9823,94.8450,-1.3775,
0.2417,48.7205,180.0000,86.4095,180.0000,84.5029,84.9762,94.8399,-1.3774,
0.2500,48.7205,180.0000,86.4024,180.0000,84.5078,84.9696,94.8343,-1.3774,
0.2583,48.7205,180.0000,86.3937,180.0000,84.5148,84.9625,94.8282,-1.3774,
0.2667,48.7205,180.0000,86.3831,180.0000,84.5243,84.9551,94.8215,-1.3774,
0.2750,48.7206,180.0000,86.3702,180.0000,84.5368,84.9473,94.8144,-1.3773,
0.2833,48.7206,180.0000,86.3549,180.0000,84.5525,84.9391,94.8069,-1.3773,
0.2917,48.7206,180.0000,86.3370,180.0000,84.5715,84.9306,94.7994,-1.3773,
0.3000,48.7207,180.0000,86.3166,180.0000,84.5938,84.9217,94.7921,-1.3773,
0.3083,48.7207,180.0000,86.2936,180.0000,84.6192,84.9124,94.7854,-1.3773,
0.3167,48.7207,180.0000,86.2681,180.0000,84.6474,84.9028,94.7796,-1.3773,
0.3250,48.7207,180.0000,86.2403,180.0000,84.6782,84.8931,94.7748,-1.3772,
0.3333,48.7207,180.0000,86.2102,180.0000,84.7112,84.8838,94.7713,-1.3772,
0.3417,48.7207,180.0000,86.1781,180.0000,84.7461,84.8753,94.7690,-1.3772,
0.3500,48.7207,180.0000,86.1439,180.0000,84.7828,84.8686,94.7679,-1.3772,
0.3583,48.7207,180.0000,86.1077,180.0000,84.8213,84.8648,94.7680,-1.3772,
0.3667,48.7207,180.0000,86.0696,180.0000,84.8615,84.8649,94.7691,-1.3771,
0.3750,48.7208,180.0000,86.0295,180.0000,84.9036,84.8703,94.7712,-1.3771,
0.3833,48.7208,180.0000,85.9876,180.0000,84.9473,84.8816,94.7742,-1.3771,
0.3917,48.7209,180.0000,85.9444,180.0000,84.9921,84.8991,94.7781,-1.3770,
0.4000,48.7210,180.0000,85.9007,180.0000,85.0371,84.9226,94.7830,-1.3770,
0.4083,48.7211,180.0000,85.8576,180.0000,85.0812,84.9517,94.7888,-1.3770,
0.4167,48.7212,180.0000,85.8157,180.0000,85.1231,84.9857,94.7957,-1.3769,
0.4250,48.7213,180.0000,85.7756,180.0000,85.1619,85.0235,94.8038,-1.3769,
0.4333,48.7213,180.0000,85.7371,180.0000,85.1971,85.0644,94.8133,-1.3768,
0.4417,48.7214,180.0000,85.6999,180.0000,85.2287,85.1075,94.8244,-1.3767,
