time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0216,0.0021,-0.1808,-0.4307,0.0559,0.0486,
0.0033,0.0216,0.0021,-0.1808,-0.4308,0.0559,0.0486,
0.0050,0.0216,0.0021,-0.1808,-0.4308,0.0559,0.0486,
0.0067,0.0216,0.0021,-0.1808,-0.4308,0.0559,0.0486,
0.0083,0.0216,0.0021,-0.1809,-0.4309,0.0559,0.0486,
0.0100,0.0216,0.0021,-0.1809,-0.4309,0.0559,0.0486,
0.0117,0.0216,0.0021,-0.1809,-0.4310,0.0560,0.0486,
0.0133,0.0216,0.0021,-0.1809,-0.4310,0.0560,0.0486,
0.0150,0.0216,0.0021,-0.1809,-0.4310,0.0560,0.0486,
0.0167,0.0216,0.0021,-0.1809,-0.4311,0.0560,0.0487,
0.0183,0.0216,0.0021,-0.1810,-0.4311,0.0560,0.0487,
0.0200,0.0216,0.0021,-0.1810,-0.4311,0.0560,0.0487,
0.0217,0.0216,0.0021,-0.1810,-0.4312,0.0560,0.0487,
0.0233,0.0216,0.0021,-0.1810,-0.4312,0.0560,0.0487,
0.0250,0.0216,0.0021,-0.1810,-0.4312,0.0560,0.0487,
0.0267,0.0217,0.0021,-0.1810,-0.4312,0.0560,0.0487,
0.0283,0.0217,0.0021,-0.1810,-0.4312,0.0560,0.0487,
0.0300,0.0217,0.0021,-0.1810,-0.4311,0.0560,0.0487,
0.0317,0.0217,0.0021,-0.1809,-0.4311,0.0560,0.0487,
0.0333,0.0217,0.0022,-0.1809,-0.4310,0.0560,0.0487,
0.0350,0.0218,0.0022,-0.1809,-0.4310,0.0559,0.0487,
0.0367,0.0218,0.0022,-0.1808,-0.4309,0.0559,0.0487,
0.0383,0.0218,0.0022,-0.1808,-0.4308,0.0559,0.0487,
0.0400,0.0218,0.0022,-0.1808,-0.4307,0.0559,0.0486,
0.0417,0.0218,0.0022,-0.1807,-0.4305,0.0558,0.0486,
0.0433,0.0219,0.0022,-0.1806,-0.4304,0.0558,0.0486,
0.0450,0.0219,0.0022,-0.1806,-0.4302,0.0557,0.0486,
0.0467,0.0219,0.0023,-0.1805,-0.4301,0.0557,0.0485,
0.0483,0.0219,0.0023,-0.1805,-0.4299,0.0556,0.0485,
0.0500,0.0219,0.0023,-0.1804,-0.4298,0.0556,0.0485,
0.0517,0.0219,0.0023,-0.1803,-0.4296,0.0556,0.0484,
