time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,2.2287,0.1619,93.4959,86.2095,87.3669,87.0565,94.3720,-1.2546,
0.0167,2.2828,0.2298,93.4979,86.1556,87.3593,87.0759,94.3668,-1.2544,
0.0250,2.3302,0.2888,93.5000,86.1022,87.3518,87.0956,94.3612,-1.2543,
0.0333,2.3670,0.3338,93.5014,86.0518,87.3447,87.1146,94.3548,-1.2542,
0.0417,2.3922,0.3634,93.5009,86.0082,87.3385,87.1308,94.3471,-1.2541,
0.0500,2.4069,0.3795,93.4977,85.9738,87.3332,87.1432,94.3377,-1.2540,
0.0583,2.4129,0.3855,93.4926,85.9484,87.3287,87.1519,94.3261,-1.2539,
0.0667,2.4118,0.3851,93.4868,85.9309,87.3246,87.1573,94.3125,-1.2539,
0.0750,2.4049,0.3810,93.4815,85.9190,87.3205,87.1605,94.2970,-1.2538,
0.0833,2.3932,0.3750,93.4776,85.9112,87.3162,87.1620,94.2801,-1.2538,
0.0917,2.3774,0.3680,93.4759,85.9057,87.3112,87.1621,94.2624,-1.2537,
0.1000,2.3587,0.3607,93.4767,85.9014,87.3053,87.1608,94.2447,-1.2537,
0.1083,2.3384,0.3528,93.4801,85.8977,87.2982,87.1580,94.2277,-1.2536,
0.1167,2.3176,0.3442,93.4859,85.8942,87.2896,87.1537,94.2119,-1.2535,
0.1250,2.2975,0.3348,93.4936,85.8908,87.2794,87.1478,94.1978,-1.2535,
0.1333,2.2785,0.3251,93.5025,85.8876,87.2676,87.1407,94.1854,-1.2534,
0.1417,2.2606,0.3155,93.5121,85.8846,87.2541,87.1324,94.1750,-1.2533,
0.1500,2.2436,0.3060,93.5217,85.8817,87.2393,87.1233,94.1665,-1.2532,
0.1583,2.2274,0.2966,93.5305,85.8787,87.2236,87.1137,94.1601,-1.2531,
0.1667,2.2119,0.2869,93.5377,85.8755,87.2077,87.1036,94.1557,-1.2529,
0.1750,2.1979,0.2771,93.5419,85.8720,87.1922,87.0932,94.1533,-1.2528,
0.1833,2.1864,0.2676,93.5419,85.8682,87.1781,87.0827,94.1525,-1.2527,
0.1917,2.1792,0.2593,93.5362,85.8641,87.1665,87.0722,94.1530,-1.2526,
0.2000,2.1782,0.2531,93.5238,85.8593,87.1582,87.0619,94.1547,-1.2524,
0.2083,2.1856,0.2495,93.5039,85.8537,87.1543,87.0520,94.1574,-1.2523,
0.2167,2.2025,0.2489,93.4758,85.8470,87.1556,87.0424,94.1611,-1.2522,
0.2250,2.2292,0.2519,93.4390,85.8390,87.1629,87.0334,94.1656,-1.2520,
0.2333,2.2648,0.2589,93.3934,85.8296,87.1765,87.0249,94.1713,-1.2519,
0.2417,2.3078,0.2702,93.3389,85.8186,87.1967,87.0168,94.1785,-1.2518,
0.2500,2.3550,0.2856,93.2757,85.8057,87.2234,87.0090,94.1876,-1.2516,
0.2583,2.4030,0.3043,93.2039,85.7909,87.2564,87.0010,94.1991,-1.2514,
0.2667,2.4483,0.3254,93.1237,85.7748,87.2953,86.9922,94.2132,-1.2513,
0.2750,2.4887,0.3485,93.0351,85.7582,87.3397,86.9822,94.2298,-1.2511,
0.2833,2.5244,0.3735,92.9378,85.7424,87.3891,86.9702,94.2487,-1.2509,
0.2917,2.5571,0.4004,92.8311,85.7282,87.4432,86.9558,94.2692,-1.2507,
0.3000,2.5893,0.4290,92.7143,85.7163,87.5021,86.9389,94.2904,-1.2504,
0.3083,2.6233,0.4588,92.5859,85.7070,87.5664,86.9196,94.3114,-1.2502,
0.3167,2.6612,0.4891,92.4444,85.6999,87.6373,86.8987,94.3308,-1.2500,
0.3250,2.7038,0.5190,92.2881,85.6948,87.7163,86.8766,94.3477,-1.2497,
0.3333,2.7504,0.5474,92.1155,85.6908,87.8052,86.8540,94.3612,-1.2494,
0.3417,2.7997,0.5738,91.9257,85.6869,87.9054,86.8316,94.3709,-1.2492,
0.3500,2.8498,0.5976,91.7185,85.6819,88.0176,86.8100,94.3767,-1.2489,
0.3583,2.8995,0.6178,91.4953,85.6745,88.1415,86.7897,94.3787,-1.2486,
0.3667,2.9479,0.6327,91.2584,85.6636,88.2758,86.7711,94.3778,-1.2484,
0.3750,2.9949,0.6404,91.0112,85.6476,88.4179,86.7544,94.3746,-1.2481,
0.3833,3.0415,0.6392,90.7583,85.6249,88.5639,86.7399,94.3704,-1.2477,
0.3917,3.0892,0.6281,90.5050,85.5934,88.7091,86.7284,94.3663,-1.2474,
0.4000,3.1400,0.6077,90.2571,85.5510,88.8488,86.7204,94.3635,-1.2470,
0.4083,3.1958,0.5795,90.0200,85.4958,88.9782,86.7167,94.3633,-1.2466,
0.4167,3.2587,0.5451,89.7977,85.4264,89.0938,86.7174,94.3670,-1.2462,
0.4250,3.3307,0.5051,89.5921,85.3417,89.1938,86.7223,94.3763,-1.2457,
0.4333,3.4134,0.4591,89.4033,85.2408,89.2778,86.7309,94.3924,-1.2452,
0.4417,3.5077,0.4057,89.2309,85.1228,89.3458,86.7434,94.4163,-1.2446,
0.4500,3.6136,0.3427,89.0744,84.9863,89.3981,86.7614,94.4481,-1.2440,
0.4583,3.7308,0.2679,88.9332,84.8298,89.4344,86.7885,94.4869,-1.2434,
0.4667,3.8589,0.1789,88.8067,84.6505,89.4544,86.8299,94.5317,-1.2427,
0.4750,3.9966,0.0738,88.6930,84.4449,89.4583,86.8913,94.5810,-1.2420,
0.4833,4.1416,-0.0495,88.5899,84.2081,89.4471,86.9783,94.6340,-1.2412,
0.4917,4.2912,-0.1935,88.4948,83.9345,89.4228,87.0958,94.6897,-1.2405,
0.5000,4.4421,-0.3607,88.4053,83.6187,89.3876,87.2480,94.7469,-1.2397,
0.5083,4.5922,-0.5532,88.3197,83.2555,89.3436,87.4386,94.8044,-1.2389,
0.5167,4.7405,-0.7730,88.2375,82.8414,89.2921,87.6702,94.8602,-1.2381,
0.5250,4.8870,-1.0224,88.1596,82.3752,89.2337,87.9437,94.9121,-1.2373,
0.5333,5.0319,-1.3046,88.0876,81.8586,89.1685,88.2578,94.9573,-1.2365,
0.5417,5.1755,-1.6241,88.0224,81.2972,89.0970,88.6090,94.9926,-1.2357,
0.5500,5.3169,-1.9856,87.9643,80.7000,89.0203,88.9925,95.0149,-1.2349,
0.5583,5.4539,-2.3927,87.9126,80.0786,88.9393,89.4022,95.0212,-1.2342,
0.5667,5.5813,-2.8475,87.8669,79.4450,88.8547,89.8321,95.0093,-1.2334,
0.5750,5.6917,-3.3510,87.8266,78.8093,88.7664,90.2762,94.9789,-1.2327,
0.5833,5.7767,-3.9042,87.7912,78.1780,88.6739,90.7290,94.9324,-1.2320,
0.5917,5.8295,-4.5079,87.7599,77.5542,88.5765,91.1862,94.8754,-1.2313,
0.6000,5.8482,-5.1615,87.7316,76.9372,88.4732,91.6445,94.8163,-1.2306,
0.6083,5.8404,-5.8607,87.7050,76.3243,88.3639,92.1012,94.7630,-1.2300,
0.6167,5.8254,-6.5968,87.6791,75.7126,88.2491,92.5545,94.7199,-1.2293,
0.6250,5.8271,-7.3568,87.6526,75.0999,88.1308,93.0036,94.6882,-1.2287,
0.6333,5.8608,-8.1280,87.6238,74.4872,88.0118,93.4494,94.6657,-1.2280,
0.6417,5.9282,-8.9079,87.5910,73.8790,87.8948,93.8952,94.6471,-1.2274,
0.6500,6.0211,-9.7087,87.5527,73.2811,87.7811,94.3461,94.6253,-1.2267,
