time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0319,0.0261,-0.1920,-0.4347,0.0327,0.0749,
0.0033,-0.0319,0.0261,-0.1920,-0.4348,0.0327,0.0750,
0.0050,-0.0319,0.0261,-0.1920,-0.4348,0.0327,0.0750,
0.0067,-0.0319,0.0261,-0.1921,-0.4348,0.0327,0.0750,
0.0083,-0.0319,0.0261,-0.1921,-0.4349,0.0327,0.0750,
0.0100,-0.0319,0.0261,-0.1921,-0.4349,0.0327,0.0750,
0.0117,-0.0319,0.0261,-0.1921,-0.4350,0.0327,0.0751,
0.0133,-0.0319,0.0261,-0.1921,-0.4350,0.0327,0.0751,
0.0150,-0.0319,0.0261,-0.1922,-0.4351,0.0327,0.0751,
0.0167,-0.0319,0.0261,-0.1922,-0.4351,0.0327,0.0751,
0.0183,-0.0319,0.0261,-0.1922,-0.4352,0.0327,0.0752,
0.0200,-0.0319,0.0261,-0.1922,-0.4352,0.0327,0.0752,
0.0217,-0.0319,0.0261,-0.1922,-0.4352,0.0327,0.0752,
0.0233,-0.0319,0.0261,-0.1922,-0.4352,0.0327,0.0752,
0.0250,-0.0319,0.0261,-0.1922,-0.4352,0.0327,0.0752,
0.0267,-0.0319,0.0261,-0.1922,-0.4352,0.0327,0.0752,
0.0283,-0.0319,0.0262,-0.1922,-0.4352,0.0327,0.0752,
0.0300,-0.0319,0.0262,-0.1922,-0.4352,0.0327,0.0752,
0.0317,-0.0319,0.0262,-0.1922,-0.4352,0.0327,0.0752,
0.0333,-0.0318,0.0262,-0.1922,-0.4351,0.0327,0.0752,
0.0350,-0.0318,0.0262,-0.1921,-0.4350,0.0327,0.0751,
0.0367,-0.0318,0.0262,-0.1921,-0.4349,0.0327,0.0751,
0.0383,-0.0318,0.0262,-0.1920,-0.4348,0.0327,0.0750,
0.0400,-0.0318,0.0262,-0.1920,-0.4347,0.0327,0.0749,
0.0417,-0.0317,0.0262,-0.1919,-0.4346,0.0327,0.0749,
0.0433,-0.0317,0.0262,-0.1918,-0.4344,0.0327,0.0748,
0.0450,-0.0317,0.0262,-0.1918,-0.4342,0.0327,0.0747,
0.0467,-0.0317,0.0262,-0.1917,-0.4341,0.0327,0.0746,
0.0483,-0.0317,0.0262,-0.1916,-0.4339,0.0327,0.0745,
0.0500,-0.0317,0.0262,-0.1915,-0.4337,0.0327,0.0744,
0.0517,-0.0316,0.0262,-0.1914,-0.4336,0.0327,0.0743,
0.0533,-0.0316,0.0262,-0.1914,-0.4334,0.0327,0.0742,
0.0550,-0.0317,0.0262,-0.1913,-0.4333,0.0327,0.0741,
0.0567,-0.0317,0.0261,-0.1913,-0.4332,0.0327,0.0741,
0.0583,-0.0317,0.0261,-0.1912,-0.4331,0.0327,0.0740,
0.0600,-0.0317,0.0261,-0.1912,-0.4330,0.0327,0.0740,
0.0617,-0.0318,0.0260,-0.1912,-0.4330,0.0327,0.0739,
0.0633,-0.0318,0.0260,-0.1912,-0.4330,0.0327,0.0740,
0.0650,-0.0318,0.0259,-0.1912,-0.4331,0.0327,0.0740,
0.0667,-0.0319,0.0259,-0.1913,-0.4332,0.0327,0.0740,
0.0683,-0.0320,0.0259,-0.1914,-0.4334,0.0327,0.0741,
0.0700,-0.0320,0.0258,-0.1915,-0.4336,0.0326,0.0743,
0.0717,-0.0321,0.0258,-0.1917,-0.4339,0.0326,0.0744,
0.0733,-0.0322,0.0257,-0.1918,-0.4343,0.0326,0.0746,
0.0750,-0.0323,0.0257,-0.1920,-0.4347,0.0326,0.0749,
0.0767,-0.0324,0.0257,-0.1923,-0.4352,0.0326,0.0751,
0.0783,-0.0325,0.0257,-0.1925,-0.4357,0.0326,0.0754,
0.0800,-0.0325,0.0257,-0.1928,-0.4363,0.0326,0.0757,
0.0817,-0.0326,0.0257,-0.1931,-0.4369,0.0326,0.0761,
0.0833,-0.0327,0.0257,-0.1933,-0.4375,0.0326,0.0764,
0.0850,-0.0327,0.0257,-0.1936,-0.4381,0.0326,0.0768,
0.0867,-0.0327,0.0258,-0.1939,-0.4387,0.0326,0.0771,
0.0883,-0.0327,0.0258,-0.1942,-0.4393,0.0326,0.0775,
0.0900,-0.0327,0.0259,-0.1945,-0.4399,0.0326,0.0778,
0.0917,-0.0327,0.0260,-0.1947,-0.4404,0.0326,0.0781,
0.0933,-0.0326,0.0261,-0.1949,-0.4408,0.0326,0.0783,
0.0950,-0.0326,0.0262,-0.1950,-0.4411,0.0326,0.0785,
0.0967,-0.0324,0.0264,-0.1950,-0.4412,0.0327,0.0786,
0.0983,-0.0323,0.0265,-0.1950,-0.4413,0.0327,0.0787,
0.1000,-0.0321,0.0267,-0.1950,-0.4411,0.0327,0.0786,
0.1017,-0.0319,0.0268,-0.1948,-0.4408,0.0328,0.0784,
0.1033,-0.0317,0.0270,-0.1945,-0.4403,0.0328,0.0782,
0.1050,-0.0314,0.0271,-0.1942,-0.4395,0.0329,0.0778,
0.1067,-0.0312,0.0273,-0.1937,-0.4386,0.0329,0.0773,
0.1083,-0.0309,0.0274,-0.1931,-0.4374,0.0330,0.0766,
0.1100,-0.0306,0.0275,-0.1925,-0.4360,0.0330,0.0759,
0.1117,-0.0303,0.0276,-0.1917,-0.4344,0.0331,0.0750,
0.1133,-0.0300,0.0277,-0.1909,-0.4326,0.0331,0.0740,
0.1150,-0.0297,0.0277,-0.1899,-0.4307,0.0331,0.0729,
0.1167,-0.0294,0.0277,-0.1889,-0.4286,0.0332,0.0718,
0.1183,-0.0292,0.0277,-0.1879,-0.4264,0.0332,0.0705,
0.1200,-0.0290,0.0276,-0.1869,-0.4241,0.0332,0.0692,
0.1217,-0.0289,0.0274,-0.1858,-0.4219,0.0332,0.0680,
0.1233,-0.0288,0.0273,-0.1848,-0.4197,0.0332,0.0667,
0.1250,-0.0288,0.0270,-0.1838,-0.4176,0.0332,0.0655,
0.1267,-0.0289,0.0267,-0.1830,-0.4158,0.0332,0.0644,
0.1283,-0.0290,0.0264,-0.1823,-0.4142,0.0331,0.0634,
0.1300,-0.0293,0.0260,-0.1817,-0.4129,0.0330,0.0626,
0.1317,-0.0296,0.0255,-0.1814,-0.4120,0.0329,0.0621,
0.1333,-0.0301,0.0250,-0.1812,-0.4117,0.0328,0.0618,
0.1350,-0.0307,0.0245,-0.1814,-0.4119,0.0327,0.0618,
0.1367,-0.0313,0.0240,-0.1818,-0.4128,0.0326,0.0622,
0.1383,-0.0321,0.0234,-0.1826,-0.4143,0.0324,0.0630,
0.1400,-0.0330,0.0229,-0.1838,-0.4167,0.0323,0.0642,
0.1417,-0.0340,0.0223,-0.1853,-0.4197,0.0321,0.0658,
0.1433,-0.0350,0.0218,-0.1872,-0.4236,0.0319,0.0678,
0.1450,-0.0361,0.0214,-0.1894,-0.4283,0.0317,0.0704,
0.1467,-0.0371,0.0210,-0.1920,-0.4337,0.0315,0.0733,
0.1483,-0.0382,0.0207,-0.1949,-0.4399,0.0314,0.0767,
0.1500,-0.0393,0.0205,-0.1982,-0.4467,0.0312,0.0805,
0.1517,-0.0403,0.0204,-0.2016,-0.4540,0.0311,0.0846,
0.1533,-0.0412,0.0205,-0.2053,-0.4617,0.0310,0.0889,
0.1550,-0.0420,0.0207,-0.2090,-0.4698,0.0309,0.0935,
0.1567,-0.0426,0.0211,-0.2128,-0.4778,0.0309,0.0981,
0.1583,-0.0430,0.0217,-0.2165,-0.4857,0.0309,0.1026,
