time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0059,0.0771,-0.1808,-0.4345,0.0319,0.0161,
0.0033,0.0060,0.0771,-0.1809,-0.4346,0.0319,0.0161,
0.0050,0.0060,0.0771,-0.1809,-0.4346,0.0319,0.0161,
0.0067,0.0060,0.0771,-0.1809,-0.4346,0.0319,0.0161,
0.0083,0.0060,0.0771,-0.1809,-0.4347,0.0319,0.0161,
0.0100,0.0060,0.0771,-0.1809,-0.4347,0.0319,0.0161,
0.0117,0.0060,0.0771,-0.1809,-0.4347,0.0319,0.0161,
0.0133,0.0060,0.0771,-0.1810,-0.4348,0.0319,0.0162,
0.0150,0.0060,0.0771,-0.1810,-0.4348,0.0319,0.0162,
0.0167,0.0060,0.0771,-0.1810,-0.4349,0.0319,0.0162,
0.0183,0.0060,0.0771,-0.1810,-0.4349,0.0319,0.0162,
0.0200,0.0059,0.0771,-0.1810,-0.4350,0.0319,0.0162,
0.0217,0.0059,0.0771,-0.1810,-0.4350,0.0319,0.0162,
0.0233,0.0059,0.0771,-0.1810,-0.4350,0.0319,0.0162,
0.0250,0.0059,0.0771,-0.1810,-0.4350,0.0320,0.0163,
0.0267,0.0059,0.0771,-0.1810,-0.4350,0.0320,0.0163,
0.0283,0.0059,0.0771,-0.1810,-0.4350,0.0320,0.0163,
0.0300,0.0059,0.0772,-0.1810,-0.4350,0.0320,0.0163,
0.0317,0.0059,0.0772,-0.1810,-0.4350,0.0320,0.0162,
0.0333,0.0059,0.0772,-0.1810,-0.4350,0.0320,0.0162,
0.0350,0.0059,0.0772,-0.1809,-0.4349,0.0320,0.0162,
0.0367,0.0058,0.0772,-0.1809,-0.4348,0.0320,0.0162,
0.0383,0.0058,0.0772,-0.1809,-0.4347,0.0321,0.0162,
0.0400,0.0058,0.0772,-0.1808,-0.4346,0.0321,0.0161,
0.0417,0.0058,0.0772,-0.1808,-0.4345,0.0321,0.0161,
0.0433,0.0058,0.0772,-0.1807,-0.4344,0.0321,0.0160,
0.0450,0.0058,0.0772,-0.1806,-0.4343,0.0321,0.0160,
0.0467,0.0058,0.0772,-0.1806,-0.4341,0.0321,0.0159,
0.0483,0.0058,0.0772,-0.1805,-0.4339,0.0321,0.0159,
0.0500,0.0058,0.0772,-0.1804,-0.4338,0.0321,0.0158,
0.0517,0.0058,0.0772,-0.1804,-0.4336,0.0321,0.0157,
0.0533,0.0058,0.0772,-0.1803,-0.4335,0.0321,0.0157,
0.0550,0.0058,0.0772,-0.1802,-0.4333,0.0321,0.0156,
0.0567,0.0059,0.0771,-0.1802,-0.4332,0.0321,0.0156,
0.0583,0.0059,0.0771,-0.1802,-0.4331,0.0320,0.0155,
0.0600,0.0059,0.0771,-0.1801,-0.4330,0.0320,0.0155,
0.0617,0.0059,0.0770,-0.1801,-0.4330,0.0320,0.0155,
0.0633,0.0060,0.0770,-0.1802,-0.4329,0.0319,0.0155,
0.0650,0.0060,0.0770,-0.1802,-0.4330,0.0319,0.0155,
0.0667,0.0061,0.0769,-0.1803,-0.4330,0.0318,0.0155,
0.0683,0.0061,0.0769,-0.1803,-0.4332,0.0318,0.0155,
0.0700,0.0061,0.0768,-0.1804,-0.4333,0.0317,0.0156,
0.0717,0.0062,0.0768,-0.1806,-0.4335,0.0317,0.0157,
0.0733,0.0062,0.0768,-0.1807,-0.4338,0.0316,0.0158,
0.0750,0.0063,0.0767,-0.1809,-0.4342,0.0316,0.0159,
0.0767,0.0063,0.0767,-0.1811,-0.4346,0.0315,0.0160,
0.0783,0.0063,0.0767,-0.1813,-0.4350,0.0315,0.0162,
0.0800,0.0064,0.0767,-0.1815,-0.4355,0.0314,0.0164,
0.0817,0.0064,0.0767,-0.1818,-0.4360,0.0314,0.0166,
0.0833,0.0064,0.0767,-0.1820,-0.4366,0.0314,0.0168,
0.0850,0.0064,0.0767,-0.1823,-0.4372,0.0314,0.0170,
0.0867,0.0063,0.0767,-0.1825,-0.4377,0.0314,0.0172,
0.0883,0.0063,0.0768,-0.1827,-0.4383,0.0314,0.0174,
