time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-0.5260,1.7993,81.8383,85.8974,81.7613,82.5550,90.2175,-1.1277,
0.0167,-0.5256,1.8002,81.8508,85.9742,81.7648,82.5166,90.2686,-1.1278,
0.0250,-0.5241,1.8004,81.8622,86.0463,81.7690,82.4809,90.3163,-1.1279,
0.0333,-0.5200,1.7991,81.8714,86.1092,81.7742,82.4508,90.3569,-1.1281,
0.0417,-0.5125,1.7954,81.8780,86.1595,81.7806,82.4285,90.3877,-1.1282,
0.0500,-0.5028,1.7898,81.8820,86.1968,81.7875,82.4143,90.4079,-1.1283,
0.0583,-0.4933,1.7836,81.8847,86.2232,81.7944,82.4066,90.4189,-1.1284,
0.0667,-0.4857,1.7774,81.8871,86.2414,81.8008,82.4033,90.4230,-1.1286,
0.0750,-0.4808,1.7719,81.8898,86.2543,81.8064,82.4025,90.4226,-1.1287,
0.0833,-0.4783,1.7677,81.8932,86.2641,81.8113,82.4027,90.4196,-1.1287,
0.0917,-0.4775,1.7650,81.8970,86.2724,81.8158,82.4032,90.4155,-1.1288,
0.1000,-0.4775,1.7636,81.9007,86.2801,81.8205,82.4036,90.4116,-1.1289,
0.1083,-0.4777,1.7631,81.9037,86.2877,81.8260,82.4037,90.4082,-1.1290,
0.1167,-0.4777,1.7635,81.9054,86.2952,81.8329,82.4039,90.4057,-1.1290,
0.1250,-0.4774,1.7647,81.9054,86.3022,81.8415,82.4046,90.4038,-1.1291,
0.1333,-0.4766,1.7669,81.9034,86.3083,81.8521,82.4063,90.4022,-1.1291,
0.1417,-0.4750,1.7704,81.8993,86.3134,81.8646,82.4095,90.4006,-1.1292,
0.1500,-0.4724,1.7754,81.8932,86.3175,81.8789,82.4144,90.3988,-1.1293,
0.1583,-0.4684,1.7815,81.8853,86.3208,81.8946,82.4209,90.3966,-1.1294,
0.1667,-0.4625,1.7880,81.8760,86.3234,81.9115,82.4290,90.3939,-1.1295,
0.1750,-0.4546,1.7942,81.8656,86.3256,81.9292,82.4383,90.3910,-1.1296,
0.1833,-0.4447,1.7995,81.8545,86.3275,81.9476,82.4481,90.3879,-1.1297,
0.1917,-0.4330,1.8037,81.8429,86.3290,81.9665,82.4583,90.3843,-1.1297,
0.2000,-0.4192,1.8065,81.8309,86.3296,81.9860,82.4685,90.3804,-1.1298,
0.2083,-0.4033,1.8082,81.8190,86.3287,82.0060,82.4789,90.3757,-1.1299,
0.2167,-0.3849,1.8090,81.8074,86.3256,82.0264,82.4900,90.3700,-1.1300,
0.2250,-0.3638,1.8092,81.7963,86.3195,82.0472,82.5021,90.3628,-1.1301,
0.2333,-0.3400,1.8090,81.7856,86.3098,82.0688,82.5162,90.3538,-1.1302,
0.2417,-0.3131,1.8087,81.7753,86.2954,82.0915,82.5329,90.3422,-1.1303,
0.2500,-0.2826,1.8089,81.7651,86.2753,82.1161,82.5534,90.3274,-1.1304,
0.2583,-0.2485,1.8104,81.7545,86.2487,82.1427,82.5786,90.3088,-1.1305,
0.2667,-0.2110,1.8138,81.7432,86.2155,82.1717,82.6091,90.2863,-1.1307,
0.2750,-0.1709,1.8192,81.7305,86.1767,82.2030,82.6445,90.2596,-1.1308,
0.2833,-0.1288,1.8266,81.7160,86.1351,82.2367,82.6832,90.2288,-1.1310,
0.2917,-0.0857,1.8359,81.6994,86.0935,82.2727,82.7230,90.1941,-1.1312,
0.3000,-0.0427,1.8470,81.6804,86.0543,82.3114,82.7621,90.1554,-1.1313,
0.3083,-0.0012,1.8601,81.6591,86.0177,82.3527,82.7996,90.1128,-1.1315,
0.3167,0.0377,1.8750,81.6360,85.9837,82.3964,82.8353,90.0666,-1.1317,
0.3250,0.0735,1.8905,81.6122,85.9515,82.4414,82.8691,90.0170,-1.1319,
0.3333,0.1059,1.9053,81.5888,85.9209,82.4867,82.9009,89.9646,-1.1321,
0.3417,0.1351,1.9180,81.5671,85.8917,82.5304,82.9300,89.9101,-1.1323,
0.3500,0.1616,1.9286,81.5487,85.8638,82.5711,82.9561,89.8545,-1.1325,
0.3583,0.1869,1.9378,81.5343,85.8375,82.6073,82.9784,89.7985,-1.1326,
0.3667,0.2126,1.9463,81.5246,85.8128,82.6386,82.9966,89.7424,-1.1327,
0.3750,0.2407,1.9547,81.5193,85.7898,82.6648,83.0110,89.6859,-1.1328,
0.3833,0.2725,1.9640,81.5179,85.7683,82.6866,83.0224,89.6279,-1.1329,
0.3917,0.3087,1.9754,81.5195,85.7474,82.7045,83.0325,89.5672,-1.1330,
0.4000,0.3491,1.9904,81.5229,85.7245,82.7193,83.0440,89.5030,-1.1330,
0.4083,0.3938,2.0096,81.5273,85.6956,82.7314,83.0599,89.4350,-1.1331,
0.4167,0.4436,2.0326,81.5322,85.6574,82.7409,83.0819,89.3637,-1.1332,
0.4250,0.4979,2.0582,81.5369,85.6088,82.7483,83.1097,89.2899,-1.1332,
0.4333,0.5535,2.0852,81.5403,85.5522,82.7537,83.1404,89.2142,-1.1332,
0.4417,0.6056,2.1120,81.5410,85.4922,82.7577,83.1703,89.1369,-1.1332,
0.4500,0.6509,2.1378,81.5375,85.4348,82.7607,83.1950,89.0576,-1.1331,
