time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0025,0.0079,-0.2487,0.0295,0.0387,0.0158,
0.0033,0.0025,0.0079,-0.2487,0.0295,0.0387,0.0158,
0.0050,0.0025,0.0079,-0.2487,0.0295,0.0387,0.0158,
0.0067,0.0025,0.0079,-0.2488,0.0295,0.0387,0.0158,
0.0083,0.0025,0.0079,-0.2488,0.0295,0.0387,0.0158,
0.0100,0.0025,0.0079,-0.2488,0.0294,0.0387,0.0158,
0.0117,0.0025,0.0079,-0.2488,0.0294,0.0387,0.0158,
0.0133,0.0025,0.0079,-0.2489,0.0294,0.0387,0.0158,
0.0150,0.0025,0.0079,-0.2489,0.0294,0.0387,0.0158,
0.0167,0.0026,0.0079,-0.2489,0.0294,0.0387,0.0158,
0.0183,0.0026,0.0079,-0.2489,0.0294,0.0387,0.0158,
0.0200,0.0026,0.0079,-0.2490,0.0294,0.0387,0.0158,
0.0217,0.0026,0.0079,-0.2490,0.0294,0.0387,0.0158,
0.0233,0.0026,0.0079,-0.2490,0.0294,0.0387,0.0158,
0.0250,0.0026,0.0079,-0.2490,0.0294,0.0387,0.0158,
0.0267,0.0026,0.0079,-0.2490,0.0294,0.0387,0.0158,
0.0283,0.0026,0.0079,-0.2490,0.0295,0.0386,0.0159,
0.0300,0.0026,0.0079,-0.2490,0.0295,0.0386,0.0159,
0.0317,0.0026,0.0079,-0.2489,0.0295,0.0386,0.0159,
0.0333,0.0026,0.0079,-0.2489,0.0295,0.0386,0.0159,
0.0350,0.0026,0.0079,-0.2488,0.0296,0.0386,0.0159,
0.0367,0.0026,0.0079,-0.2488,0.0296,0.0385,0.0159,
0.0383,0.0026,0.0079,-0.2487,0.0296,0.0385,0.0160,
0.0400,0.0026,0.0079,-0.2487,0.0296,0.0385,0.0160,
0.0417,0.0026,0.0079,-0.2486,0.0297,0.0385,0.0160,
0.0433,0.0026,0.0079,-0.2485,0.0297,0.0385,0.0160,
0.0450,0.0026,0.0079,-0.2484,0.0297,0.0385,0.0160,
0.0467,0.0026,0.0079,-0.2483,0.0298,0.0385,0.0160,
0.0483,0.0025,0.0079,-0.2482,0.0298,0.0385,0.0160,
0.0500,0.0025,0.0079,-0.2481,0.0298,0.0385,0.0160,
0.0517,0.0025,0.0079,-0.2480,0.0298,0.0385,0.0159,
0.0533,0.0025,0.0079,-0.2479,0.0299,0.0385,0.0159,
0.0550,0.0025,0.0079,-0.2478,0.0299,0.0385,0.0159,
0.0567,0.0025,0.0079,-0.2478,0.0299,0.0386,0.0158,
0.0583,0.0025,0.0079,-0.2477,0.0298,0.0386,0.0158,
0.0600,0.0024,0.0078,-0.2477,0.0298,0.0387,0.0158,
0.0617,0.0024,0.0078,-0.2477,0.0298,0.0387,0.0157,
0.0633,0.0024,0.0078,-0.2477,0.0297,0.0388,0.0157,
0.0650,0.0024,0.0078,-0.2478,0.0297,0.0388,0.0156,
0.0667,0.0024,0.0078,-0.2478,0.0296,0.0389,0.0155,
0.0683,0.0024,0.0078,-0.2480,0.0295,0.0390,0.0155,
0.0700,0.0024,0.0078,-0.2481,0.0294,0.0391,0.0154,
0.0717,0.0024,0.0078,-0.2483,0.0293,0.0391,0.0153,
0.0733,0.0024,0.0078,-0.2485,0.0292,0.0392,0.0153,
0.0750,0.0024,0.0078,-0.2487,0.0291,0.0393,0.0152,
0.0767,0.0024,0.0078,-0.2490,0.0290,0.0393,0.0152,
0.0783,0.0024,0.0078,-0.2493,0.0289,0.0394,0.0152,
0.0800,0.0024,0.0078,-0.2497,0.0287,0.0394,0.0152,
0.0817,0.0025,0.0078,-0.2500,0.0286,0.0395,0.0152,
0.0833,0.0025,0.0078,-0.2504,0.0285,0.0395,0.0152,
0.0850,0.0025,0.0079,-0.2507,0.0284,0.0395,0.0152,
0.0867,0.0026,0.0079,-0.2511,0.0283,0.0394,0.0153,
0.0883,0.0027,0.0079,-0.2514,0.0283,0.0394,0.0153,
0.0900,0.0027,0.0079,-0.2517,0.0282,0.0393,0.0154,
0.0917,0.0028,0.0079,-0.2520,0.0282,0.0392,0.0156,
0.0933,0.0028,0.0080,-0.2522,0.0283,0.0391,0.0157,
0.0950,0.0029,0.0080,-0.2523,0.0283,0.0389,0.0159,
0.0967,0.0030,0.0080,-0.2524,0.0284,0.0387,0.0160,
0.0983,0.0030,0.0080,-0.2524,0.0286,0.0385,0.0162,
0.1000,0.0031,0.0081,-0.2523,0.0288,0.0383,0.0164,
0.1017,0.0032,0.0081,-0.2521,0.0290,0.0380,0.0167,
0.1033,0.0032,0.0081,-0.2517,0.0293,0.0378,0.0169,
0.1050,0.0032,0.0081,-0.2513,0.0296,0.0375,0.0171,
0.1067,0.0032,0.0081,-0.2507,0.0300,0.0372,0.0173,
0.1083,0.0032,0.0081,-0.2500,0.0303,0.0369,0.0175,
0.1100,0.0032,0.0081,-0.2492,0.0308,0.0367,0.0177,
0.1117,0.0032,0.0081,-0.2483,0.0312,0.0364,0.0179,
0.1133,0.0031,0.0081,-0.2472,0.0316,0.0362,0.0180,
0.1150,0.0031,0.0081,-0.2461,0.0321,0.0360,0.0181,
0.1167,0.0029,0.0081,-0.2449,0.0325,0.0359,0.0181,
0.1183,0.0028,0.0080,-0.2436,0.0329,0.0358,0.0181,
0.1200,0.0027,0.0080,-0.2423,0.0333,0.0358,0.0180,
0.1217,0.0025,0.0079,-0.2411,0.0336,0.0359,0.0179,
0.1233,0.0023,0.0079,-0.2398,0.0338,0.0360,0.0176,
0.1250,0.0021,0.0078,-0.2387,0.0340,0.0363,0.0173,
0.1267,0.0019,0.0077,-0.2376,0.0341,0.0366,0.0170,
0.1283,0.0016,0.0076,-0.2368,0.0340,0.0370,0.0165,
0.1300,0.0014,0.0076,-0.2361,0.0339,0.0376,0.0159,
0.1317,0.0012,0.0075,-0.2357,0.0336,0.0382,0.0153,
0.1333,0.0009,0.0074,-0.2356,0.0331,0.0389,0.0146,
0.1350,0.0007,0.0073,-0.2358,0.0325,0.0397,0.0139,
0.1367,0.0005,0.0072,-0.2363,0.0317,0.0406,0.0131,
0.1383,0.0003,0.0071,-0.2373,0.0308,0.0416,0.0123,
0.1400,0.0002,0.0071,-0.2388,0.0297,0.0426,0.0115,
0.1417,0.0001,0.0070,-0.2406,0.0285,0.0436,0.0107,
0.1433,0.0001,0.0070,-0.2429,0.0272,0.0446,0.0099,
0.1450,0.0001,0.0070,-0.2457,0.0257,0.0456,0.0092,
0.1467,0.0002,0.0070,-0.2489,0.0242,0.0466,0.0085,
0.1483,0.0004,0.0070,-0.2525,0.0226,0.0474,0.0080,
0.1500,0.0006,0.0071,-0.2565,0.0210,0.0481,0.0076,
0.1517,0.0009,0.0072,-0.2608,0.0194,0.0487,0.0074,
0.1533,0.0014,0.0073,-0.2652,0.0179,0.0491,0.0074,
0.1550,0.0019,0.0074,-0.2699,0.0165,0.0492,0.0076,
0.1567,0.0024,0.0076,-0.2745,0.0152,0.0491,0.0081,
0.1583,0.0031,0.0079,-0.2790,0.0142,0.0486,0.0089,
0.1600,0.0038,0.0081,-0.2832,0.0135,0.0479,0.0099,
0.1617,0.0046,0.0084,-0.2870,0.0132,0.0467,0.0113,
0.1633,0.0054,0.0087,-0.2903,0.0133,0.0452,0.0130,
0.1650,0.0062,0.0091,-0.2927,0.0138,0.0432,0.0150,
0.1667,0.0070,0.0094,-0.2943,0.0149,0.0409,0.0174,
0.1683,0.0079,0.0098,-0.2946,0.0166,0.0381,0.0201,
