time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,180.0000,48.3688,180.0000,99.2711,94.0289,103.0356,72.7526,-1.4873,
0.0167,180.0000,48.3665,180.0000,99.3058,94.0370,102.9675,72.7371,-1.4871,
0.0250,180.0000,48.3644,180.0000,99.3430,94.0433,102.8979,72.7204,-1.4870,
0.0333,180.0000,48.3626,180.0000,99.3838,94.0467,102.8271,72.7015,-1.4868,
0.0417,180.0000,48.3612,180.0000,99.4274,94.0465,102.7571,72.6799,-1.4866,
0.0500,180.0000,48.3602,180.0000,99.4715,94.0429,102.6905,72.6562,-1.4865,
0.0583,180.0000,48.3595,180.0000,99.5135,94.0365,102.6298,72.6310,-1.4863,
0.0667,180.0000,48.3591,180.0000,99.5513,94.0282,102.5764,72.6051,-1.4862,
0.0750,180.0000,48.3588,180.0000,99.5845,94.0187,102.5304,72.5786,-1.4860,
0.0833,180.0000,48.3585,180.0000,99.6131,94.0087,102.4912,72.5518,-1.4859,
0.0917,180.0000,48.3584,180.0000,99.6381,93.9983,102.4577,72.5248,-1.4858,
0.1000,180.0000,48.3582,180.0000,99.6604,93.9878,102.4289,72.4975,-1.4857,
0.1083,180.0000,48.3580,180.0000,99.6807,93.9773,102.4039,72.4703,-1.4856,
0.1167,180.0000,48.3577,180.0000,99.6995,93.9668,102.3821,72.4430,-1.4855,
0.1250,180.0000,48.3575,180.0000,99.7171,93.9562,102.3629,72.4159,-1.4854,
0.1333,180.0000,48.3573,180.0000,99.7332,93.9455,102.3463,72.3892,-1.4853,
0.1417,180.0000,48.3570,180.0000,99.7474,93.9348,102.3324,72.3630,-1.4853,
0.1500,180.0000,48.3568,180.0000,99.7592,93.9242,102.3213,72.3379,-1.4852,
0.1583,180.0000,48.3567,180.0000,99.7679,93.9138,102.3136,72.3142,-1.4851,
0.1667,180.0000,48.3565,180.0000,99.7729,93.9036,102.3093,72.2924,-1.4851,
0.1750,180.0000,48.3564,180.0000,99.7737,93.8936,102.3087,72.2727,-1.4850,
0.1833,180.0000,48.3564,180.0000,99.7701,93.8839,102.3120,72.2553,-1.4850,
0.1917,180.0000,48.3563,180.0000,99.7623,93.8744,102.3191,72.2405,-1.4850,
0.2000,180.0000,48.3563,180.0000,99.7507,93.8651,102.3296,72.2283,-1.4849,
0.2083,180.0000,48.3563,180.0000,99.7359,93.8563,102.3432,72.2186,-1.4849,
0.2167,180.0000,48.3563,180.0000,99.7191,93.8480,102.3591,72.2116,-1.4849,
0.2250,180.0000,48.3563,180.0000,99.7012,93.8403,102.3766,72.2069,-1.4848,
0.2333,180.0000,48.3563,180.0000,99.6833,93.8335,102.3947,72.2042,-1.4848,
0.2417,180.0000,48.3564,180.0000,99.6662,93.8273,102.4126,72.2031,-1.4848,
0.2500,180.0000,48.3564,180.0000,99.6506,93.8219,102.4298,72.2032,-1.4848,
0.2583,180.0000,48.3565,180.0000,99.6368,93.8170,102.4457,72.2041,-1.4848,
0.2667,180.0000,48.3565,180.0000,99.6250,93.8126,102.4602,72.2052,-1.4848,
0.2750,180.0000,48.3566,180.0000,99.6157,93.8084,102.4730,72.2063,-1.4848,
0.2833,180.0000,48.3567,180.0000,99.6087,93.8045,102.4843,72.2069,-1.4848,
0.2917,180.0000,48.3567,180.0000,99.6042,93.8009,102.4941,72.2069,-1.4848,
0.3000,180.0000,48.3567,180.0000,99.6020,93.7976,102.5027,72.2063,-1.4848,
0.3083,180.0000,48.3568,180.0000,99.6014,93.7948,102.5103,72.2051,-1.4848,
0.3167,180.0000,48.3568,180.0000,99.6019,93.7923,102.5173,72.2034,-1.4848,
0.3250,180.0000,48.3569,180.0000,99.6031,93.7903,102.5241,72.2014,-1.4848,
0.3333,180.0000,48.3569,180.0000,99.6045,93.7887,102.5306,72.1993,-1.4848,
0.3417,180.0000,48.3570,180.0000,99.6060,93.7873,102.5372,72.1972,-1.4849,
0.3500,180.0000,48.3571,180.0000,99.6075,93.7863,102.5440,72.1954,-1.4849,
0.3583,180.0000,48.3573,180.0000,99.6088,93.7855,102.5511,72.1938,-1.4850,
0.3667,180.0000,48.3574,180.0000,99.6101,93.7849,102.5588,72.1924,-1.4850,
0.3750,180.0000,48.3575,180.0000,99.6114,93.7844,102.5669,72.1910,-1.4851,
0.3833,180.0000,48.3576,180.0000,99.6128,93.7840,102.5754,72.1894,-1.4851,
0.3917,180.0000,48.3577,180.0000,99.6146,93.7839,102.5842,72.1873,-1.4852,
0.4000,180.0000,48.3578,180.0000,99.6167,93.7840,102.5931,72.1846,-1.4853,
0.4083,180.0000,48.3579,180.0000,99.6192,93.7844,102.6021,72.1811,-1.4854,
0.4167,180.0000,48.3580,180.0000,99.6220,93.7850,102.6111,72.1769,-1.4855,
0.4250,180.0000,48.3582,180.0000,99.6250,93.7858,102.6199,72.1718,-1.4856,
0.4333,180.0000,48.3583,180.0000,99.6280,93.7869,102.6285,72.1662,-1.4856,
0.4417,180.0000,48.3584,180.0000,99.6311,93.7880,102.6369,72.1600,-1.4857,
0.4500,180.0000,48.3585,180.0000,99.6342,93.7894,102.6451,72.1534,-1.4858,
0.4583,180.0000,48.3586,180.0000,99.6372,93.7909,102.6532,72.1465,-1.4860,
0.4667,180.0000,48.3587,180.0000,99.6403,93.7927,102.6610,72.1394,-1.4861,
0.4750,180.0000,48.3588,180.0000,99.6435,93.7947,102.6687,72.1322,-1.4862,
0.4833,180.0000,48.3590,180.0000,99.6471,93.7971,102.6763,72.1250,-1.4863,
0.4917,180.0000,48.3591,180.0000,99.6509,93.7998,102.6839,72.1179,-1.4864,
0.5000,180.0000,48.3592,180.0000,99.6550,93.8029,102.6915,72.1110,-1.4865,
0.5083,180.0000,48.3593,180.0000,99.6591,93.8064,102.6992,72.1044,-1.4866,
0.5167,180.0000,48.3595,180.0000,99.6632,93.8102,102.7072,72.0982,-1.4867,
0.5250,180.0000,48.3596,180.0000,99.6672,93.8142,102.7153,72.0923,-1.4868,
0.5333,180.0000,48.3597,180.0000,99.6708,93.8182,102.7236,72.0870,-1.4869,
0.5417,180.0000,48.3599,180.0000,99.6737,93.8223,102.7322,72.0823,-1.4870,
0.5500,180.0000,48.3600,180.0000,99.6757,93.8264,102.7412,72.0781,-1.4871,
0.5583,180.0000,48.3602,180.0000,99.6762,93.8306,102.7508,72.0747,-1.4872,
0.5667,180.0000,48.3605,180.0000,99.6744,93.8351,102.7612,72.0722,-1.4873,
0.5750,180.0000,48.3608,180.0000,99.6697,93.8397,102.7728,72.0706,-1.4874,
0.5833,180.0000,48.3611,180.0000,99.6612,93.8448,102.7859,72.0702,-1.4875,
0.5917,180.0000,48.3615,180.0000,99.6482,93.8501,102.8008,72.0712,-1.4876,
0.6000,180.0000,48.3620,180.0000,99.6299,93.8559,102.8179,72.0737,-1.4876,
0.6083,180.0000,48.3626,180.0000,99.6058,93.8622,102.8373,72.0781,-1.4877,
0.6167,180.0000,48.3633,180.0000,99.5758,93.8690,102.8592,72.0847,-1.4878,
0.6250,180.0000,48.3640,180.0000,99.5400,93.8765,102.8835,72.0940,-1.4878,
0.6333,180.0000,48.3648,180.0000,99.4995,93.8847,102.9097,72.1065,-1.4879,
0.6417,180.0000,48.3656,180.0000,99.4551,93.8937,102.9371,72.1224,-1.4879,
0.6500,180.0000,48.3664,180.0000,99.4082,93.9036,102.9650,72.1423,-1.4879,
0.6583,180.0000,48.3672,180.0000,99.3593,93.9145,102.9932,72.1662,-1.4879,
0.6667,180.0000,48.3681,180.0000,99.3079,93.9265,103.0223,72.1942,-1.4879,
0.6750,180.0000,48.3689,180.0000,99.2520,93.9397,103.0545,72.2260,-1.4879,
0.6833,180.0000,48.3698,180.0000,99.1874,93.9540,103.0939,72.2608,-1.4879,
0.6917,180.0000,48.3708,180.0000,99.1077,93.9697,103.1470,72.2977,-1.4879,
0.7000,180.0000,48.3719,180.0000,99.0043,93.9864,103.2224,72.3352,-1.4879,
0.7083,180.0000,48.3730,180.0000,98.8661,94.0042,103.3310,72.3713,-1.4879,
0.7167,180.0000,48.3743,180.0000,98.6802,94.0226,103.4857,72.4040,-1.4880,
0.7250,180.0000,48.3756,180.0000,98.4328,94.0410,103.7000,72.4308,-1.4880,
0.7333,180.0000,48.3770,180.0000,98.1117,94.0589,103.9858,72.4492,-1.4881,
0.7417,180.0000,48.3786,180.0000,97.7097,74.8855,84.4813,93.1360,-1.3263,
0.7500,180.0000,48.3802,180.0000,97.2282,74.8853,84.8669,93.1510,-1.3263,
0.7583,180.0000,48.3820,180.0000,96.6745,74.8777,85.3218,93.1510,-1.3263,
0.7667,180.0000,48.3839,180.0000,96.0571,74.8646,85.8430,93.1301,-1.3263,
0.7750,180.0000,48.3856,180.0000,95.3823,74.8466,86.4285,93.0841,-1.3265,
0.7833,180.0000,48.3869,180.0000,94.6572,74.8234,87.0755,93.0107,-1.3267,
0.7917,180.0000,48.3876,180.0000,93.8924,74.7942,87.7777,92.9091,-1.3270,
0.8000,180.0000,48.3874,180.0000,93.1036,74.7580,88.5244,92.7800,-1.3275,
0.8083,180.0000,48.3863,180.0000,92.3113,74.7140,89.2992,92.6261,-1.3279,
0.8167,180.0000,48.3846,180.0000,91.5387,74.6610,90.0809,92.4515,-1.3285,
0.8250,180.0000,48.3823,180.0000,90.8088,74.5989,90.8453,92.2612,-1.3291,
0.8333,180.0000,48.3797,180.0000,90.1402,74.5277,91.5684,92.0606,-1.3297,
0.8417,180.0000,48.3770,180.0000,89.5458,74.4485,92.2289,91.8542,-1.3302,
0.8500,180.0000,48.3743,180.0000,89.0322,74.3630,92.8104,91.6456,-1.3308,
0.8583,180.0000,48.3719,180.0000,88.6020,74.2736,93.3008,91.4370,-1.3312,
0.8667,180.0000,48.3699,180.0000,88.2556,74.1825,93.6938,91.2299,-1.3315,
0.8750,180.0000,48.3683,180.0000,87.9902,74.0926,93.9887,91.0267,-1.3317,
0.8833,180.0000,48.3671,180.0000,87.8000,74.0066,94.1916,90.8303,-1.3318,
0.8917,180.0000,48.3665,180.0000,87.6759,73.9274,94.3145,90.6435,-1.3318,
0.9000,180.0000,48.3663,180.0000,87.6062,73.8579,94.3732,90.4661,-1.3317,
0.9083,180.0000,48.3666,180.0000,87.5781,73.8009,94.3853,90.2949,-1.3315,
0.9167,180.0000,48.3673,180.0000,87.5800,73.7588,94.3674,90.1244,-1.3313,
0.9250,180.0000,48.3684,180.0000,87.6024,73.7341,94.3330,89.9487,-1.3311,
0.9333,180.0000,48.3697,180.0000,87.6392,73.7281,94.2918,89.7639,-1.3309,
0.9417,180.0000,48.3712,180.0000,87.6876,73.7408,94.2488,89.5691,-1.3307,
0.9500,180.0000,48.3726,180.0000,87.7469,73.7712,94.2050,89.3671,-1.3306,
0.9583,180.0000,48.3739,180.0000,87.8178,73.8174,94.1584,89.1635,-1.3304,
0.9667,180.0000,48.3751,180.0000,87.9006,73.8779,94.1056,88.9655,-1.3303,
0.9750,180.0000,48.3760,180.0000,87.9953,73.9514,94.0435,88.7807,-1.3301,
0.9833,180.0000,48.3767,180.0000,88.1003,74.0374,93.9702,88.6157,-1.3299,
0.9917,180.0000,48.3772,180.0000,88.2132,74.1365,93.8852,88.4752,-1.3297,
1.0000,180.0000,48.3774,180.0000,88.3306,74.2502,93.7889,88.3611,-1.3294,
1.0083,180.0000,48.3776,180.0000,88.4486,74.3808,93.6829,88.2724,-1.3290,
1.0167,180.0000,48.3777,180.0000,88.5638,74.5312,93.5689,88.2071,-1.3285,
1.0250,180.0000,48.3778,180.0000,88.6737,74.7048,93.4480,88.1626,-1.3280,
1.0333,180.0000,48.3780,180.0000,88.7782,74.9047,93.3203,88.1367,-1.3274,
1.0417,180.0000,48.3783,180.0000,88.8792,75.1338,93.1845,88.1275,-1.3268,
1.0500,180.0000,48.3787,180.0000,88.9807,75.3943,93.0381,88.1330,-1.3261,
1.0583,180.0000,48.3791,180.0000,89.0880,75.6879,92.8777,88.1513,-1.3253,
1.0667,180.0000,48.3795,180.0000,89.2065,76.0160,92.6998,88.1809,-1.3245,
1.0750,180.0000,48.3801,180.0000,89.3410,76.3801,92.5017,88.2204,-1.3237,
1.0833,180.0000,48.3806,180.0000,89.4946,76.7824,92.2813,88.2684,-1.3228,
1.0917,180.0000,48.3813,180.0000,89.6683,77.2265,92.0383,88.3232,-1.3219,
1.1000,180.0000,48.3820,180.0000,89.8608,77.7163,91.7735,88.3828,-1.3209,
