time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0511,0.0142,-0.2607,0.0486,0.0406,0.0136,
0.0033,0.0511,0.0142,-0.2608,0.0486,0.0405,0.0136,
0.0050,0.0511,0.0142,-0.2608,0.0486,0.0405,0.0136,
0.0067,0.0511,0.0142,-0.2608,0.0486,0.0405,0.0136,
0.0083,0.0511,0.0142,-0.2608,0.0486,0.0405,0.0137,
0.0100,0.0511,0.0142,-0.2608,0.0486,0.0405,0.0137,
0.0117,0.0512,0.0142,-0.2609,0.0486,0.0405,0.0137,
0.0133,0.0512,0.0142,-0.2609,0.0486,0.0404,0.0137,
0.0150,0.0512,0.0143,-0.2609,0.0486,0.0404,0.0137,
0.0167,0.0512,0.0143,-0.2610,0.0486,0.0404,0.0137,
0.0183,0.0512,0.0143,-0.2610,0.0486,0.0404,0.0137,
0.0200,0.0512,0.0143,-0.2610,0.0486,0.0404,0.0137,
0.0217,0.0512,0.0143,-0.2610,0.0486,0.0404,0.0137,
0.0233,0.0512,0.0143,-0.2610,0.0486,0.0403,0.0137,
0.0250,0.0512,0.0143,-0.2611,0.0486,0.0403,0.0137,
0.0267,0.0512,0.0143,-0.2611,0.0486,0.0403,0.0137,
0.0283,0.0512,0.0143,-0.2611,0.0487,0.0403,0.0137,
0.0300,0.0512,0.0143,-0.2610,0.0487,0.0403,0.0137,
0.0317,0.0512,0.0143,-0.2610,0.0487,0.0404,0.0137,
0.0333,0.0511,0.0143,-0.2610,0.0487,0.0404,0.0137,
0.0350,0.0511,0.0143,-0.2610,0.0487,0.0404,0.0137,
0.0367,0.0511,0.0143,-0.2609,0.0487,0.0404,0.0137,
0.0383,0.0511,0.0143,-0.2608,0.0487,0.0405,0.0137,
0.0400,0.0510,0.0142,-0.2608,0.0487,0.0405,0.0137,
0.0417,0.0510,0.0142,-0.2607,0.0487,0.0406,0.0137,
0.0433,0.0509,0.0142,-0.2606,0.0487,0.0406,0.0137,
0.0450,0.0509,0.0142,-0.2605,0.0486,0.0407,0.0136,
0.0467,0.0509,0.0142,-0.2604,0.0486,0.0408,0.0136,
0.0483,0.0508,0.0141,-0.2603,0.0486,0.0408,0.0136,
0.0500,0.0508,0.0141,-0.2602,0.0486,0.0409,0.0136,
0.0517,0.0507,0.0141,-0.2601,0.0486,0.0410,0.0136,
0.0533,0.0507,0.0141,-0.2600,0.0485,0.0410,0.0136,
0.0550,0.0507,0.0141,-0.2599,0.0485,0.0411,0.0135,
0.0567,0.0507,0.0140,-0.2598,0.0485,0.0411,0.0135,
0.0583,0.0506,0.0140,-0.2598,0.0485,0.0412,0.0135,
0.0600,0.0506,0.0140,-0.2597,0.0484,0.0412,0.0135,
0.0617,0.0507,0.0140,-0.2597,0.0484,0.0412,0.0135,
0.0633,0.0507,0.0140,-0.2597,0.0484,0.0412,0.0135,
0.0650,0.0507,0.0140,-0.2597,0.0483,0.0412,0.0135,
0.0667,0.0508,0.0140,-0.2598,0.0483,0.0412,0.0135,
0.0683,0.0508,0.0140,-0.2599,0.0483,0.0411,0.0135,
0.0700,0.0509,0.0140,-0.2600,0.0483,0.0411,0.0135,
0.0717,0.0510,0.0141,-0.2601,0.0483,0.0409,0.0135,
0.0733,0.0511,0.0141,-0.2603,0.0483,0.0408,0.0135,
0.0750,0.0512,0.0141,-0.2606,0.0483,0.0407,0.0135,
0.0767,0.0514,0.0142,-0.2608,0.0483,0.0405,0.0136,
0.0783,0.0515,0.0142,-0.2611,0.0483,0.0403,0.0136,
0.0800,0.0517,0.0143,-0.2614,0.0484,0.0401,0.0136,
0.0817,0.0518,0.0144,-0.2618,0.0484,0.0398,0.0137,
0.0833,0.0520,0.0145,-0.2622,0.0485,0.0396,0.0138,
0.0850,0.0521,0.0145,-0.2625,0.0485,0.0393,0.0138,
0.0867,0.0523,0.0146,-0.2629,0.0486,0.0391,0.0139,
0.0883,0.0524,0.0147,-0.2633,0.0487,0.0388,0.0139,
0.0900,0.0525,0.0148,-0.2636,0.0488,0.0386,0.0140,
0.0917,0.0526,0.0148,-0.2640,0.0489,0.0384,0.0141,
0.0933,0.0527,0.0149,-0.2642,0.0490,0.0382,0.0141,
0.0950,0.0527,0.0150,-0.2645,0.0491,0.0381,0.0142,
0.0967,0.0527,0.0150,-0.2646,0.0492,0.0380,0.0142,
0.0983,0.0526,0.0150,-0.2647,0.0493,0.0379,0.0143,
0.1000,0.0525,0.0150,-0.2647,0.0494,0.0379,0.0143,
0.1017,0.0524,0.0150,-0.2646,0.0495,0.0380,0.0143,
0.1033,0.0522,0.0150,-0.2643,0.0496,0.0382,0.0143,
0.1050,0.0519,0.0150,-0.2640,0.0496,0.0384,0.0143,
0.1067,0.0516,0.0149,-0.2635,0.0497,0.0388,0.0143,
0.1083,0.0513,0.0148,-0.2629,0.0497,0.0392,0.0142,
0.1100,0.0508,0.0146,-0.2621,0.0497,0.0397,0.0142,
0.1117,0.0504,0.0145,-0.2612,0.0497,0.0403,0.0141,
0.1133,0.0499,0.0143,-0.2602,0.0496,0.0410,0.0139,
0.1150,0.0494,0.0141,-0.2591,0.0495,0.0417,0.0138,
0.1167,0.0488,0.0138,-0.2579,0.0493,0.0425,0.0136,
0.1183,0.0482,0.0136,-0.2566,0.0492,0.0434,0.0134,
0.1200,0.0477,0.0133,-0.2553,0.0490,0.0443,0.0132,
0.1217,0.0471,0.0130,-0.2539,0.0487,0.0452,0.0130,
0.1233,0.0466,0.0127,-0.2526,0.0484,0.0461,0.0128,
0.1250,0.0462,0.0124,-0.2513,0.0481,0.0470,0.0125,
0.1267,0.0458,0.0122,-0.2500,0.0478,0.0478,0.0123,
0.1283,0.0455,0.0119,-0.2489,0.0474,0.0485,0.0121,
0.1300,0.0453,0.0117,-0.2480,0.0470,0.0492,0.0118,
0.1317,0.0453,0.0115,-0.2473,0.0466,0.0496,0.0116,
0.1333,0.0454,0.0114,-0.2469,0.0462,0.0499,0.0115,
0.1350,0.0457,0.0113,-0.2468,0.0459,0.0500,0.0113,
0.1367,0.0461,0.0113,-0.2470,0.0455,0.0498,0.0112,
0.1383,0.0467,0.0114,-0.2477,0.0452,0.0494,0.0112,
0.1400,0.0476,0.0115,-0.2487,0.0450,0.0487,0.0112,
0.1417,0.0486,0.0117,-0.2503,0.0448,0.0476,0.0113,
0.1433,0.0498,0.0121,-0.2523,0.0447,0.0463,0.0115,
0.1450,0.0512,0.0125,-0.2548,0.0446,0.0446,0.0117,
0.1467,0.0528,0.0131,-0.2577,0.0447,0.0426,0.0120,
0.1483,0.0546,0.0137,-0.2611,0.0449,0.0403,0.0124,
