time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.7730,48.8085,81.2324,91.3332,90.2425,92.5541,87.6165,-1.4388,
0.0167,48.7725,48.8082,81.2398,91.3375,90.2607,92.5403,87.6821,-1.4387,
0.0250,48.7720,48.8080,81.2465,91.3407,90.2758,92.5275,87.7440,-1.4387,
0.0333,48.7716,48.8078,81.2527,91.3418,90.2861,92.5167,87.7983,-1.4386,
0.0417,48.7714,48.8077,81.2586,91.3405,90.2911,92.5080,87.8420,-1.4385,
0.0500,48.7712,48.8077,81.2639,91.3374,90.2916,92.5013,87.8737,-1.4385,
0.0583,48.7711,48.8077,81.2679,91.3330,90.2889,92.4961,87.8942,-1.4384,
0.0667,48.7710,48.8077,81.2704,91.3281,90.2843,92.4921,87.9050,-1.4384,
0.0750,48.7710,48.8078,81.2714,91.3230,90.2790,92.4890,87.9084,-1.4383,
0.0833,48.7710,48.8078,81.2710,91.3179,90.2740,92.4867,87.9065,-1.4383,
0.0917,48.7710,48.8078,81.2693,91.3129,90.2698,92.4849,87.9011,-1.4382,
0.1000,48.7711,48.8078,81.2667,91.3080,90.2665,92.4835,87.8939,-1.4382,
0.1083,48.7711,48.8077,81.2636,91.3033,90.2640,92.4825,87.8859,-1.4382,
0.1167,48.7711,48.8077,81.2603,91.2986,90.2621,92.4817,87.8780,-1.4381,
0.1250,48.7711,48.8077,81.2571,91.2937,90.2605,92.4809,87.8704,-1.4381,
0.1333,48.7711,48.8076,81.2541,91.2885,90.2594,92.4803,87.8635,-1.4381,
0.1417,48.7711,48.8076,81.2512,91.2823,90.2587,92.4799,87.8571,-1.4380,
0.1500,48.7712,48.8076,81.2483,91.2746,90.2585,92.4797,87.8512,-1.4380,
0.1583,48.7712,48.8076,81.2453,91.2644,90.2587,92.4801,87.8456,-1.4380,
0.1667,48.7711,48.8076,81.2422,91.2514,90.2594,92.4808,87.8401,-1.4379,
0.1750,48.7711,48.8077,81.2388,91.2349,90.2607,92.4818,87.8346,-1.4379,
0.1833,48.7711,48.8078,81.2348,91.2152,90.2633,92.4831,87.8289,-1.4379,
0.1917,48.7711,48.8079,81.2296,91.1931,90.2676,92.4847,87.8228,-1.4379,
0.2000,48.7711,48.8080,81.2228,91.1704,90.2737,92.4871,87.8164,-1.4378,
0.2083,48.7711,48.8081,81.2150,91.1489,90.2812,92.4904,87.8096,-1.4378,
0.2167,48.7710,48.8082,81.2064,91.1298,90.2897,92.4946,87.8025,-1.4378,
0.2250,48.7710,48.8082,81.1977,91.1135,90.2988,92.4996,87.7949,-1.4378,
0.2333,48.7710,48.8082,81.1889,91.0997,90.3082,92.5051,87.7871,-1.4377,
0.2417,48.7710,48.8081,81.1796,91.0878,90.3182,92.5106,87.7790,-1.4377,
0.2500,48.7710,48.8080,81.1701,91.0775,90.3284,92.5158,87.7708,-1.4377,
0.2583,48.7710,48.8080,81.1611,91.0682,90.3383,92.5204,87.7626,-1.4377,
0.2667,48.7710,48.8079,81.1535,91.0598,90.3466,92.5241,87.7548,-1.4377,
0.2750,48.7710,48.8078,81.1482,91.0521,90.3526,92.5270,87.7474,-1.4377,
