time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0351,0.0136,-0.2044,-0.3754,-0.0823,0.0130,
0.0033,0.0351,0.0136,-0.2045,-0.3754,-0.0823,0.0130,
0.0050,0.0351,0.0136,-0.2045,-0.3755,-0.0823,0.0130,
0.0067,0.0351,0.0136,-0.2045,-0.3755,-0.0824,0.0130,
0.0083,0.0351,0.0136,-0.2045,-0.3756,-0.0824,0.0131,
0.0100,0.0351,0.0136,-0.2045,-0.3756,-0.0824,0.0131,
0.0117,0.0351,0.0136,-0.2045,-0.3756,-0.0824,0.0131,
0.0133,0.0351,0.0136,-0.2046,-0.3757,-0.0824,0.0131,
0.0150,0.0351,0.0136,-0.2046,-0.3757,-0.0824,0.0131,
0.0167,0.0351,0.0136,-0.2046,-0.3758,-0.0824,0.0131,
0.0183,0.0351,0.0136,-0.2046,-0.3758,-0.0824,0.0132,
0.0200,0.0351,0.0136,-0.2046,-0.3758,-0.0824,0.0132,
0.0217,0.0352,0.0136,-0.2046,-0.3758,-0.0824,0.0132,
0.0233,0.0352,0.0136,-0.2046,-0.3759,-0.0824,0.0132,
0.0250,0.0352,0.0136,-0.2046,-0.3759,-0.0823,0.0132,
0.0267,0.0352,0.0136,-0.2046,-0.3759,-0.0823,0.0132,
0.0283,0.0352,0.0136,-0.2046,-0.3758,-0.0823,0.0132,
0.0300,0.0352,0.0136,-0.2046,-0.3758,-0.0822,0.0132,
0.0317,0.0352,0.0136,-0.2046,-0.3757,-0.0822,0.0132,
0.0333,0.0353,0.0136,-0.2045,-0.3757,-0.0821,0.0132,
0.0350,0.0353,0.0136,-0.2045,-0.3756,-0.0821,0.0132,
0.0367,0.0353,0.0136,-0.2045,-0.3755,-0.0820,0.0132,
0.0383,0.0353,0.0136,-0.2044,-0.3754,-0.0820,0.0131,
0.0400,0.0353,0.0136,-0.2043,-0.3753,-0.0819,0.0131,
0.0417,0.0353,0.0136,-0.2043,-0.3751,-0.0819,0.0131,
0.0433,0.0353,0.0136,-0.2042,-0.3750,-0.0818,0.0130,
0.0450,0.0353,0.0137,-0.2042,-0.3749,-0.0818,0.0130,
0.0467,0.0353,0.0137,-0.2041,-0.3747,-0.0817,0.0129,
0.0483,0.0353,0.0137,-0.2040,-0.3745,-0.0817,0.0129,
0.0500,0.0353,0.0137,-0.2040,-0.3744,-0.0817,0.0128,
0.0517,0.0353,0.0137,-0.2039,-0.3742,-0.0817,0.0128,
0.0533,0.0353,0.0137,-0.2039,-0.3741,-0.0817,0.0127,
0.0550,0.0353,0.0137,-0.2038,-0.3740,-0.0817,0.0126,
0.0567,0.0352,0.0137,-0.2038,-0.3739,-0.0817,0.0126,
0.0583,0.0352,0.0137,-0.2038,-0.3738,-0.0818,0.0125,
0.0600,0.0352,0.0137,-0.2038,-0.3738,-0.0819,0.0125,
0.0617,0.0351,0.0136,-0.2038,-0.3738,-0.0820,0.0124,
0.0633,0.0351,0.0136,-0.2038,-0.3739,-0.0821,0.0124,
0.0650,0.0350,0.0136,-0.2039,-0.3739,-0.0822,0.0124,
0.0667,0.0350,0.0136,-0.2039,-0.3741,-0.0824,0.0124,
0.0683,0.0349,0.0136,-0.2040,-0.3743,-0.0825,0.0124,
0.0700,0.0348,0.0135,-0.2042,-0.3746,-0.0827,0.0125,
0.0717,0.0348,0.0135,-0.2043,-0.3749,-0.0829,0.0126,
0.0733,0.0347,0.0135,-0.2045,-0.3752,-0.0831,0.0126,
0.0750,0.0347,0.0134,-0.2047,-0.3756,-0.0833,0.0127,
0.0767,0.0346,0.0134,-0.2049,-0.3761,-0.0835,0.0129,
0.0783,0.0346,0.0134,-0.2051,-0.3766,-0.0837,0.0130,
0.0800,0.0346,0.0133,-0.2053,-0.3771,-0.0839,0.0132,
0.0817,0.0345,0.0133,-0.2056,-0.3777,-0.0841,0.0134,
0.0833,0.0345,0.0133,-0.2058,-0.3783,-0.0842,0.0136,
0.0850,0.0346,0.0132,-0.2060,-0.3788,-0.0843,0.0138,
0.0867,0.0346,0.0132,-0.2063,-0.3794,-0.0844,0.0140,
0.0883,0.0346,0.0132,-0.2065,-0.3799,-0.0844,0.0142,
0.0900,0.0347,0.0132,-0.2067,-0.3804,-0.0843,0.0144,
0.0917,0.0348,0.0132,-0.2068,-0.3808,-0.0842,0.0146,
0.0933,0.0349,0.0133,-0.2069,-0.3811,-0.0841,0.0148,
