time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0058,0.0515,-0.2225,-0.4792,-0.0124,0.0220,
0.0033,-0.0058,0.0515,-0.2225,-0.4792,-0.0124,0.0219,
0.0050,-0.0058,0.0515,-0.2226,-0.4793,-0.0124,0.0219,
0.0067,-0.0058,0.0515,-0.2226,-0.4793,-0.0124,0.0219,
0.0083,-0.0058,0.0515,-0.2226,-0.4794,-0.0124,0.0219,
0.0100,-0.0058,0.0515,-0.2226,-0.4794,-0.0124,0.0219,
0.0117,-0.0058,0.0515,-0.2226,-0.4794,-0.0124,0.0219,
0.0133,-0.0058,0.0515,-0.2226,-0.4795,-0.0124,0.0219,
0.0150,-0.0058,0.0515,-0.2227,-0.4795,-0.0124,0.0219,
0.0167,-0.0058,0.0515,-0.2227,-0.4796,-0.0124,0.0219,
0.0183,-0.0058,0.0515,-0.2227,-0.4796,-0.0124,0.0219,
0.0200,-0.0058,0.0515,-0.2227,-0.4797,-0.0125,0.0219,
0.0217,-0.0058,0.0515,-0.2228,-0.4797,-0.0125,0.0219,
0.0233,-0.0058,0.0515,-0.2228,-0.4797,-0.0125,0.0219,
0.0250,-0.0058,0.0515,-0.2228,-0.4797,-0.0125,0.0219,
0.0267,-0.0058,0.0515,-0.2228,-0.4797,-0.0126,0.0219,
0.0283,-0.0058,0.0515,-0.2228,-0.4797,-0.0126,0.0220,
0.0300,-0.0058,0.0515,-0.2228,-0.4797,-0.0126,0.0220,
0.0317,-0.0058,0.0515,-0.2228,-0.4797,-0.0127,0.0220,
0.0333,-0.0057,0.0516,-0.2228,-0.4796,-0.0127,0.0221,
0.0350,-0.0057,0.0516,-0.2228,-0.4795,-0.0127,0.0221,
0.0367,-0.0057,0.0516,-0.2227,-0.4795,-0.0127,0.0222,
0.0383,-0.0057,0.0516,-0.2227,-0.4793,-0.0127,0.0222,
0.0400,-0.0057,0.0516,-0.2227,-0.4792,-0.0128,0.0223,
0.0417,-0.0057,0.0517,-0.2226,-0.4791,-0.0128,0.0223,
0.0433,-0.0056,0.0517,-0.2226,-0.4789,-0.0128,0.0223,
0.0450,-0.0056,0.0517,-0.2225,-0.4788,-0.0127,0.0224,
0.0467,-0.0056,0.0517,-0.2224,-0.4786,-0.0127,0.0224,
0.0483,-0.0056,0.0517,-0.2223,-0.4784,-0.0127,0.0225,
0.0500,-0.0056,0.0517,-0.2223,-0.4783,-0.0126,0.0225,
0.0517,-0.0056,0.0517,-0.2222,-0.4781,-0.0126,0.0225,
0.0533,-0.0056,0.0517,-0.2221,-0.4779,-0.0125,0.0225,
0.0550,-0.0056,0.0517,-0.2220,-0.4778,-0.0125,0.0225,
0.0567,-0.0056,0.0517,-0.2219,-0.4776,-0.0124,0.0225,
0.0583,-0.0056,0.0517,-0.2218,-0.4775,-0.0123,0.0224,
0.0600,-0.0056,0.0517,-0.2218,-0.4775,-0.0122,0.0224,
0.0617,-0.0057,0.0516,-0.2217,-0.4774,-0.0121,0.0223,
0.0633,-0.0057,0.0516,-0.2217,-0.4774,-0.0120,0.0222,
0.0650,-0.0057,0.0516,-0.2217,-0.4775,-0.0119,0.0221,
0.0667,-0.0058,0.0515,-0.2217,-0.4776,-0.0118,0.0220,
0.0683,-0.0058,0.0515,-0.2217,-0.4777,-0.0117,0.0218,
0.0700,-0.0059,0.0514,-0.2218,-0.4780,-0.0116,0.0217,
0.0717,-0.0060,0.0513,-0.2219,-0.4783,-0.0115,0.0215,
0.0733,-0.0060,0.0512,-0.2220,-0.4786,-0.0114,0.0214,
0.0750,-0.0061,0.0512,-0.2221,-0.4790,-0.0114,0.0212,
0.0767,-0.0062,0.0511,-0.2223,-0.4795,-0.0113,0.0210,
0.0783,-0.0062,0.0510,-0.2225,-0.4800,-0.0113,0.0209,
0.0800,-0.0063,0.0510,-0.2227,-0.4806,-0.0114,0.0207,
0.0817,-0.0063,0.0509,-0.2230,-0.4812,-0.0114,0.0205,
0.0833,-0.0064,0.0508,-0.2232,-0.4818,-0.0115,0.0204,
0.0850,-0.0064,0.0508,-0.2235,-0.4825,-0.0116,0.0203,
0.0867,-0.0065,0.0508,-0.2238,-0.4831,-0.0118,0.0202,
0.0883,-0.0065,0.0508,-0.2242,-0.4837,-0.0120,0.0202,
0.0900,-0.0065,0.0508,-0.2245,-0.4843,-0.0123,0.0202,
0.0917,-0.0064,0.0508,-0.2248,-0.4848,-0.0125,0.0203,
0.0933,-0.0064,0.0508,-0.2250,-0.4853,-0.0128,0.0204,
0.0950,-0.0063,0.0509,-0.2253,-0.4856,-0.0132,0.0205,
0.0967,-0.0062,0.0510,-0.2255,-0.4859,-0.0136,0.0207,
0.0983,-0.0061,0.0511,-0.2257,-0.4859,-0.0139,0.0210,
0.1000,-0.0060,0.0513,-0.2258,-0.4859,-0.0143,0.0214,
0.1017,-0.0058,0.0514,-0.2258,-0.4856,-0.0147,0.0218,
0.1033,-0.0057,0.0516,-0.2258,-0.4851,-0.0151,0.0222,
0.1050,-0.0055,0.0519,-0.2256,-0.4845,-0.0155,0.0227,
0.1067,-0.0052,0.0521,-0.2254,-0.4836,-0.0158,0.0233,
0.1083,-0.0050,0.0524,-0.2250,-0.4825,-0.0161,0.0239,
0.1100,-0.0048,0.0526,-0.2246,-0.4811,-0.0163,0.0245,
0.1117,-0.0045,0.0529,-0.2240,-0.4796,-0.0165,0.0252,
0.1133,-0.0043,0.0532,-0.2234,-0.4778,-0.0165,0.0258,
0.1150,-0.0041,0.0534,-0.2226,-0.4758,-0.0165,0.0264,
0.1167,-0.0038,0.0537,-0.2218,-0.4737,-0.0164,0.0270,
0.1183,-0.0036,0.0539,-0.2208,-0.4715,-0.0161,0.0275,
0.1200,-0.0035,0.0541,-0.2198,-0.4692,-0.0157,0.0279,
0.1217,-0.0034,0.0542,-0.2187,-0.4669,-0.0152,0.0283,
0.1233,-0.0033,0.0543,-0.2176,-0.4646,-0.0145,0.0285,
0.1250,-0.0033,0.0543,-0.2165,-0.4624,-0.0137,0.0285,
0.1267,-0.0033,0.0543,-0.2154,-0.4604,-0.0128,0.0285,
0.1283,-0.0034,0.0541,-0.2143,-0.4587,-0.0117,0.0282,
0.1300,-0.0036,0.0539,-0.2134,-0.4572,-0.0105,0.0277,
0.1317,-0.0039,0.0536,-0.2125,-0.4562,-0.0092,0.0270,
0.1333,-0.0043,0.0532,-0.2118,-0.4556,-0.0079,0.0261,
0.1350,-0.0047,0.0528,-0.2114,-0.4556,-0.0064,0.0250,
0.1367,-0.0053,0.0522,-0.2111,-0.4562,-0.0050,0.0237,
0.1383,-0.0059,0.0515,-0.2111,-0.4575,-0.0036,0.0221,
0.1400,-0.0066,0.0507,-0.2115,-0.4596,-0.0022,0.0204,
0.1417,-0.0073,0.0499,-0.2122,-0.4624,-0.0009,0.0184,
0.1433,-0.0081,0.0490,-0.2132,-0.4661,0.0002,0.0163,
0.1450,-0.0090,0.0481,-0.2146,-0.4706,0.0012,0.0141,
0.1467,-0.0099,0.0471,-0.2164,-0.4759,0.0019,0.0119,
0.1483,-0.0107,0.0461,-0.2187,-0.4819,0.0023,0.0096,
0.1500,-0.0116,0.0452,-0.2213,-0.4886,0.0024,0.0073,
0.1517,-0.0124,0.0443,-0.2242,-0.4960,0.0021,0.0052,
0.1533,-0.0132,0.0435,-0.2275,-0.5038,0.0014,0.0032,
0.1550,-0.0138,0.0427,-0.2311,-0.5120,0.0002,0.0015,
0.1567,-0.0143,0.0422,-0.2349,-0.5203,-0.0015,0.0001,
0.1583,-0.0146,0.0418,-0.2389,-0.5285,-0.0037,-0.0009,
0.1600,-0.0148,0.0417,-0.2430,-0.5364,-0.0065,-0.0013,
0.1617,-0.0146,0.0418,-0.2469,-0.5437,-0.0097,-0.0012,
0.1633,-0.0143,0.0421,-0.2508,-0.5501,-0.0135,-0.0004,
0.1650,-0.0136,0.0429,-0.2543,-0.5554,-0.0178,0.0011,
0.1667,-0.0126,0.0439,-0.2574,-0.5590,-0.0225,0.0034,
0.1683,-0.0113,0.0453,-0.2599,-0.5608,-0.0276,0.0066,
0.1700,-0.0096,0.0472,-0.2617,-0.5604,-0.0331,0.0106,
0.1717,-0.0076,0.0494,-0.2626,-0.5574,-0.0387,0.0155,
0.1733,-0.0051,0.0520,-0.2624,-0.5515,-0.0444,0.0214,
0.1750,-0.0023,0.0550,-0.2609,-0.5423,-0.0501,0.0281,
0.1767,0.0008,0.0583,-0.2581,-0.5296,-0.0557,0.0357,
0.1783,0.0043,0.0621,-0.2537,-0.5132,-0.0609,0.0440,
0.1800,0.0080,0.0661,-0.2476,-0.4927,-0.0657,0.0530,
0.1817,0.0120,0.0704,-0.2398,-0.4681,-0.0698,0.0626,
0.1833,0.0163,0.0748,-0.2300,-0.4392,-0.0731,0.0726,
0.1850,0.0207,0.0794,-0.2183,-0.4060,-0.0755,0.0829,
0.1867,0.0251,0.0841,-0.2046,-0.3685,-0.0767,0.0932,
0.1883,0.0296,0.0887,-0.1889,-0.3268,-0.0766,0.1034,
0.1900,0.0340,0.0932,-0.1712,-0.2812,-0.0750,0.1131,
0.1917,0.0383,0.0974,-0.1516,-0.2318,-0.0720,0.1222,
0.1933,0.0423,0.1013,-0.1302,-0.1790,-0.0673,0.1304,
0.1950,0.0461,0.1047,-0.1072,-0.1232,-0.0609,0.1374,
0.1967,0.0494,0.1076,-0.0826,-0.0649,-0.0529,0.1430,
0.1983,0.0522,0.1098,-0.0567,-0.0045,-0.0432,0.1470,
0.2000,0.0545,0.1112,-0.0298,0.0572,-0.0318,0.1490,
0.2017,0.0562,0.1118,-0.0021,0.1198,-0.0191,0.1488,
0.2033,0.0573,0.1114,0.0261,0.1827,-0.0050,0.1464,
0.2050,0.0577,0.1101,0.0546,0.2451,0.0102,0.1414,
0.2067,0.0573,0.1077,0.0829,0.3064,0.0262,0.1339,
0.2083,0.0563,0.1042,0.1108,0.3662,0.0427,0.1237,
0.2100,0.0546,0.0997,0.1380,0.4237,0.0594,0.1108,
0.2117,0.0523,0.0940,0.1643,0.4786,0.0758,0.0953,
0.2133,0.0494,0.0873,0.1893,0.5303,0.0917,0.0773,
0.2150,0.0459,0.0795,0.2129,0.5784,0.1065,0.0568,
0.2167,0.0420,0.0708,0.2349,0.6227,0.1200,0.0343,
0.2183,0.0377,0.0612,0.2551,0.6630,0.1316,0.0099,
0.2200,0.0331,0.0507,0.2735,0.6989,0.1412,-0.0161,
0.2217,0.0283,0.0395,0.2899,0.7306,0.1482,-0.0432,
0.2233,0.0235,0.0277,0.3043,0.7578,0.1526,-0.0710,
0.2250,0.0186,0.0153,0.3168,0.7808,0.1540,-0.0991,
0.2267,0.0139,0.0025,0.3274,0.7996,0.1523,-0.1270,
0.2283,0.0093,-0.0105,0.3361,0.8143,0.1475,-0.1542,
0.2300,0.0050,-0.0238,0.3431,0.8253,0.1395,-0.1802,
0.2317,0.0010,-0.0372,0.3484,0.8328,0.1284,-0.2046,
0.2333,-0.0026,-0.0505,0.3522,0.8371,0.1144,-0.2269,
0.2350,-0.0058,-0.0638,0.3547,0.8385,0.0976,-0.2468,
0.2367,-0.0086,-0.0767,0.3559,0.8374,0.0785,-0.2641,
0.2383,-0.0109,-0.0894,0.3561,0.8341,0.0572,-0.2783,
0.2400,-0.0127,-0.1017,0.3555,0.8291,0.0342,-0.2895,
0.2417,-0.0142,-0.1134,0.3541,0.8226,0.0101,-0.2975,
0.2433,-0.0152,-0.1246,0.3522,0.8151,-0.0149,-0.3022,
0.2450,-0.0158,-0.1352,0.3498,0.8068,-0.0402,-0.3037,
0.2467,-0.0162,-0.1450,0.3472,0.7981,-0.0652,-0.3022,
0.2483,-0.0163,-0.1540,0.3444,0.7893,-0.0896,-0.2977,
0.2500,-0.0162,-0.1622,0.3416,0.7806,-0.1129,-0.2906,
0.2517,-0.0160,-0.1694,0.3389,0.7723,-0.1346,-0.2811,
0.2533,-0.0158,-0.1758,0.3363,0.7645,-0.1543,-0.2694,
0.2550,-0.0156,-0.1812,0.3338,0.7574,-0.1718,-0.2559,
0.2567,-0.0155,-0.1857,0.3317,0.7512,-0.1868,-0.2409,
0.2583,-0.0155,-0.1892,0.3298,0.7459,-0.1991,-0.2247,
0.2600,-0.0158,-0.1919,0.3283,0.7415,-0.2086,-0.2076,
0.2617,-0.0164,-0.1936,0.3272,0.7382,-0.2152,-0.1899,
0.2633,-0.0172,-0.1945,0.3264,0.7358,-0.2189,-0.1719,
0.2650,-0.0183,-0.1946,0.3261,0.7343,-0.2197,-0.1540,
0.2667,-0.0198,-0.1940,0.3261,0.7338,-0.2177,-0.1362,
0.2683,-0.0215,-0.1926,0.3266,0.7340,-0.2132,-0.1189,
0.2700,-0.0236,-0.1907,0.3276,0.7349,-0.2063,-0.1022,
0.2717,-0.0259,-0.1881,0.3290,0.7362,-0.1971,-0.0863,
0.2733,-0.0284,-0.1851,0.3308,0.7380,-0.1860,-0.0714,
0.2750,-0.0311,-0.1815,0.3330,0.7400,-0.1732,-0.0575,
0.2767,-0.0339,-0.1774,0.3356,0.7421,-0.1590,-0.0448,
0.2783,-0.0367,-0.1729,0.3387,0.7440,-0.1436,-0.0333,
0.2800,-0.0395,-0.1680,0.3421,0.7457,-0.1274,-0.0230,
0.2817,-0.0420,-0.1626,0.3458,0.7470,-0.1107,-0.0140,
0.2833,-0.0443,-0.1569,0.3498,0.7477,-0.0936,-0.0062,
0.2850,-0.0462,-0.1508,0.3540,0.7478,-0.0765,0.0003,
0.2867,-0.0476,-0.1444,0.3583,0.7472,-0.0595,0.0056,
0.2883,-0.0484,-0.1377,0.3627,0.7457,-0.0430,0.0099,
0.2900,-0.0485,-0.1307,0.3672,0.7434,-0.0271,0.0131,
0.2917,-0.0479,-0.1236,0.3715,0.7403,-0.0119,0.0155,
0.2933,-0.0464,-0.1163,0.3758,0.7362,0.0025,0.0171,
0.2950,-0.0442,-0.1090,0.3798,0.7314,0.0159,0.0181,
0.2967,-0.0411,-0.1018,0.3835,0.7258,0.0283,0.0187,
0.2983,-0.0371,-0.0947,0.3870,0.7196,0.0396,0.0190,
0.3000,-0.0324,-0.0878,0.3901,0.7128,0.0500,0.0191,
0.3017,-0.0270,-0.0814,0.3929,0.7056,0.0593,0.0193,
0.3033,-0.0210,-0.0755,0.3954,0.6980,0.0676,0.0198,
0.3050,-0.0146,-0.0702,0.3976,0.6904,0.0750,0.0206,
0.3067,-0.0078,-0.0656,0.3996,0.6828,0.0815,0.0219,
0.3083,-0.0008,-0.0618,0.4013,0.6754,0.0871,0.0238,
0.3100,0.0062,-0.0590,0.4030,0.6683,0.0918,0.0265,
0.3117,0.0129,-0.0572,0.4047,0.6617,0.0956,0.0300,
0.3133,0.0194,-0.0564,0.4064,0.6558,0.0985,0.0345,
0.3150,0.0253,-0.0567,0.4082,0.6507,0.1005,0.0398,
0.3167,0.0305,-0.0582,0.4103,0.6465,0.1014,0.0460,
0.3183,0.0349,-0.0607,0.4126,0.6434,0.1012,0.0530,
0.3200,0.0383,-0.0642,0.4152,0.6413,0.0997,0.0608,
0.3217,0.0407,-0.0687,0.4182,0.6403,0.0969,0.0691,
0.3233,0.0418,-0.0741,0.4215,0.6404,0.0927,0.0777,
0.3250,0.0418,-0.0803,0.4253,0.6417,0.0868,0.0866,
0.3267,0.0404,-0.0871,0.4294,0.6440,0.0794,0.0954,
0.3283,0.0378,-0.0944,0.4338,0.6474,0.0702,0.1039,
0.3300,0.0340,-0.1020,0.4385,0.6516,0.0594,0.1118,
0.3317,0.0289,-0.1099,0.4435,0.6566,0.0470,0.1189,
0.3333,0.0228,-0.1179,0.4486,0.6623,0.0331,0.1250,
0.3350,0.0157,-0.1259,0.4539,0.6684,0.0177,0.1299,
0.3367,0.0077,-0.1337,0.4593,0.6747,0.0012,0.1335,
0.3383,-0.0009,-0.1413,0.4646,0.6811,-0.0162,0.1356,
0.3400,-0.0101,-0.1486,0.4700,0.6874,-0.0344,0.1361,
0.3417,-0.0196,-0.1554,0.4753,0.6933,-0.0529,0.1352,
0.3433,-0.0292,-0.1619,0.4805,0.6986,-0.0715,0.1327,
0.3450,-0.0388,-0.1678,0.4857,0.7031,-0.0899,0.1289,
0.3467,-0.0482,-0.1732,0.4907,0.7066,-0.1077,0.1238,
0.3483,-0.0573,-0.1781,0.4956,0.7090,-0.1247,0.1176,
0.3500,-0.0658,-0.1824,0.5004,0.7101,-0.1407,0.1106,
0.3517,-0.0737,-0.1860,0.5052,0.7098,-0.1553,0.1030,
0.3533,-0.0808,-0.1889,0.5099,0.7080,-0.1684,0.0950,
0.3550,-0.0871,-0.1911,0.5147,0.7047,-0.1799,0.0869,
0.3567,-0.0926,-0.1925,0.5194,0.6997,-0.1896,0.0788,
0.3583,-0.0971,-0.1931,0.5243,0.6933,-0.1975,0.0712,
0.3600,-0.1008,-0.1928,0.5292,0.6854,-0.2036,0.0640,
0.3617,-0.1036,-0.1916,0.5342,0.6762,-0.2080,0.0576,
0.3633,-0.1057,-0.1893,0.5393,0.6658,-0.2106,0.0520,
0.3650,-0.1070,-0.1860,0.5445,0.6545,-0.2117,0.0475,
0.3667,-0.1076,-0.1816,0.5499,0.6423,-0.2114,0.0439,
0.3683,-0.1077,-0.1761,0.5552,0.6297,-0.2097,0.0415,
0.3700,-0.1073,-0.1696,0.5606,0.6168,-0.2070,0.0400,
0.3717,-0.1067,-0.1620,0.5659,0.6041,-0.2034,0.0396,
0.3733,-0.1058,-0.1535,0.5711,0.5916,-0.1991,0.0399,
0.3750,-0.1048,-0.1442,0.5762,0.5798,-0.1943,0.0410,
0.3767,-0.1038,-0.1341,0.5809,0.5690,-0.1893,0.0425,
0.3783,-0.1029,-0.1235,0.5853,0.5594,-0.1843,0.0443,
0.3800,-0.1022,-0.1124,0.5893,0.5513,-0.1794,0.0460,
0.3817,-0.1018,-0.1011,0.5928,0.5448,-0.1750,0.0474,
0.3833,-0.1018,-0.0897,0.5958,0.5401,-0.1711,0.0482,
0.3850,-0.1022,-0.0784,0.5982,0.5375,-0.1679,0.0481,
0.3867,-0.1030,-0.0675,0.6001,0.5369,-0.1656,0.0469,
0.3883,-0.1043,-0.0570,0.6014,0.5383,-0.1642,0.0441,
0.3900,-0.1061,-0.0471,0.6022,0.5419,-0.1640,0.0397,
0.3917,-0.1085,-0.0381,0.6026,0.5474,-0.1649,0.0335,
0.3933,-0.1113,-0.0300,0.6026,0.5548,-0.1669,0.0252,
0.3950,-0.1145,-0.0229,0.6025,0.5640,-0.1702,0.0148,
0.3967,-0.1182,-0.0169,0.6024,0.5747,-0.1746,0.0023,
0.3983,-0.1221,-0.0121,0.6024,0.5867,-0.1802,-0.0122,
0.4000,-0.1263,-0.0085,0.6029,0.5999,-0.1869,-0.0288,
0.4017,-0.1306,-0.0060,0.6039,0.6138,-0.1946,-0.0471,
0.4033,-0.1349,-0.0048,0.6057,0.6283,-0.2032,-0.0671,
0.4050,-0.1390,-0.0048,0.6086,0.6431,-0.2126,-0.0884,
0.4067,-0.1429,-0.0058,0.6128,0.6580,-0.2227,-0.1106,
0.4083,-0.1463,-0.0079,0.6183,0.6726,-0.2334,-0.1335,
0.4100,-0.1492,-0.0110,0.6255,0.6867,-0.2445,-0.1565,
0.4117,-0.1513,-0.0149,0.6343,0.7001,-0.2559,-0.1794,
0.4133,-0.1526,-0.0195,0.6450,0.7127,-0.2676,-0.2016,
0.4150,-0.1528,-0.0248,0.6576,0.7242,-0.2792,-0.2229,
0.4167,-0.1520,-0.0307,0.6720,0.7346,-0.2908,-0.2428,
0.4183,-0.1499,-0.0370,0.6884,0.7437,-0.3022,-0.2610,
0.4200,-0.1466,-0.0435,0.7064,0.7515,-0.3133,-0.2772,
0.4217,-0.1420,-0.0503,0.7262,0.7579,-0.3239,-0.2913,
0.4233,-0.1361,-0.0572,0.7475,0.7630,-0.3340,-0.3031,
0.4250,-0.1289,-0.0640,0.7701,0.7667,-0.3434,-0.3125,
0.4267,-0.1206,-0.0708,0.7939,0.7691,-0.3521,-0.3195,
0.4283,-0.1112,-0.0773,0.8185,0.7703,-0.3599,-0.3242,
0.4300,-0.1009,-0.0836,0.8438,0.7703,-0.3668,-0.3267,
0.4317,-0.0899,-0.0895,0.8695,0.7691,-0.3727,-0.3271,
0.4333,-0.0783,-0.0951,0.8953,0.7670,-0.3775,-0.3256,
0.4350,-0.0664,-0.1002,0.9209,0.7640,-0.3812,-0.3226,
0.4367,-0.0545,-0.1048,0.9461,0.7602,-0.3836,-0.3182,
0.4383,-0.0427,-0.1089,0.9706,0.7556,-0.3848,-0.3127,
0.4400,-0.0314,-0.1125,0.9942,0.7504,-0.3847,-0.3064,
0.4417,-0.0208,-0.1155,1.0167,0.7447,-0.3832,-0.2995,
0.4433,-0.0112,-0.1179,1.0379,0.7386,-0.3803,-0.2923,
0.4450,-0.0027,-0.1197,1.0576,0.7321,-0.3760,-0.2850,
0.4467,0.0045,-0.1208,1.0757,0.7253,-0.3701,-0.2778,
0.4483,0.0100,-0.1213,1.0921,0.7184,-0.3628,-0.2707,
0.4500,0.0140,-0.1211,1.1066,0.7114,-0.3539,-0.2639,
0.4517,0.0161,-0.1201,1.1193,0.7044,-0.3436,-0.2575,
0.4533,0.0164,-0.1184,1.1300,0.6974,-0.3319,-0.2514,
0.4550,0.0149,-0.1160,1.1387,0.6907,-0.3187,-0.2457,
0.4567,0.0115,-0.1127,1.1455,0.6842,-0.3042,-0.2403,
0.4583,0.0063,-0.1087,1.1504,0.6780,-0.2885,-0.2353,
0.4600,-0.0005,-0.1039,1.1535,0.6723,-0.2718,-0.2304,
0.4617,-0.0089,-0.0983,1.1549,0.6671,-0.2541,-0.2258,
0.4633,-0.0187,-0.0920,1.1547,0.6626,-0.2357,-0.2212,
