time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,0.3113,-0.8194,83.1090,82.8932,115.8836,122.5842,61.1439,-1.2639,
0.0167,0.3965,-0.7589,83.3353,82.8245,115.6946,122.5955,61.4971,-1.2623,
0.0250,0.4695,-0.7001,83.5374,82.7645,89.0915,96.8970,88.0923,-1.0357,
0.0333,0.5199,-0.6432,83.7006,82.7192,88.9790,96.9361,88.2573,-1.0354,
0.0417,0.5442,-0.5874,83.8188,82.6918,88.8752,96.9521,88.4246,-1.0351,
0.0500,0.5469,-0.5325,83.8934,82.6819,88.7845,96.9459,88.5900,-1.0348,
0.0583,0.5351,-0.4792,83.9313,82.6863,88.7103,96.9220,88.7490,-1.0345,
0.0667,0.5095,-0.4286,83.9431,82.7013,88.6540,96.8857,88.8984,-1.0341,
0.0750,0.4620,-0.3812,83.9388,82.7232,88.6153,96.8417,89.0368,-1.0339,
0.0833,0.3874,-0.3378,83.9267,82.7488,88.5926,96.7938,89.1644,-1.0336,
0.0917,0.2921,-0.2989,83.9112,82.7757,88.5841,96.7449,89.2831,-1.0334,
0.1000,0.1918,-0.2645,83.8943,82.8022,88.5871,96.6965,89.3963,-1.0332,
0.1083,0.1002,-0.2334,83.8762,82.8275,88.5991,96.6494,89.5074,-1.0331,
0.1167,0.0240,-0.2020,83.8567,82.8519,88.6174,96.6031,89.6191,-1.0330,
0.1250,-0.0359,-0.1621,83.8357,82.8767,88.6393,96.5569,89.7323,-1.0329,
0.1333,-0.0820,-0.1039,83.8135,82.9038,88.6624,96.5099,89.8468,-1.0328,
0.1417,-0.1180,-0.0247,83.7908,82.9334,88.6843,96.4605,89.9612,-1.0327,
0.1500,-0.1479,0.0655,83.7685,82.9629,88.7032,96.4078,90.0733,-1.0326,
0.1583,-0.1753,0.1543,83.7476,82.9884,88.7174,96.3512,90.1805,-1.0324,
0.1667,-0.2032,0.2356,83.7293,83.0055,88.7262,96.2919,90.2801,-1.0322,
0.1750,-0.2331,0.3100,83.7142,83.0100,88.7289,96.2328,90.3701,-1.0320,
0.1833,-0.2659,0.3807,83.7027,82.9989,88.7257,96.1768,90.4495,-1.0317,
0.1917,-0.3015,0.4506,83.6947,82.9725,88.7168,96.1249,90.5193,-1.0314,
0.2000,-0.3383,0.5207,83.6896,82.9345,88.7030,96.0756,90.5820,-1.0311,
0.2083,-0.3730,0.5904,83.6861,82.8903,88.6853,96.0264,90.6409,-1.0307,
0.2167,-0.4006,0.6580,83.6840,82.8454,88.6650,95.9758,90.6998,-1.0304,
0.2250,-0.4171,0.7215,83.6850,82.8049,88.6443,95.9237,90.7617,-1.0301,
0.2333,-0.4210,0.7778,83.6924,82.7716,88.6256,95.8703,90.8279,-1.0298,
0.2417,-0.4127,0.8219,83.7085,82.7450,88.6120,95.8159,90.8979,-1.0295,
