time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-5.4053,-5.1665,75.9163,80.4945,80.8670,86.1029,98.9310,-1.0103,
0.0167,-5.4190,-5.1755,75.9446,80.5052,80.8097,86.0885,98.9510,-1.0102,
0.0250,-5.4310,-5.1826,75.9727,80.5149,80.7536,86.0753,98.9703,-1.0101,
0.0333,-5.4391,-5.1869,76.0003,80.5230,80.7002,86.0640,98.9881,-1.0101,
0.0417,-5.4406,-5.1880,76.0272,80.5291,80.6509,86.0550,99.0031,-1.0100,
0.0500,-5.4350,-5.1868,76.0532,80.5333,80.6069,86.0489,99.0145,-1.0100,
0.0583,-5.4242,-5.1839,76.0780,80.5358,80.5684,86.0461,99.0217,-1.0100,
0.0667,-5.4114,-5.1801,76.1010,80.5370,80.5354,86.0463,99.0247,-1.0099,
0.0750,-5.3991,-5.1761,76.1219,80.5377,80.5073,86.0491,99.0240,-1.0099,
0.0833,-5.3882,-5.1723,76.1400,80.5387,80.4837,86.0539,99.0200,-1.0100,
0.0917,-5.3784,-5.1688,76.1550,80.5403,80.4641,86.0602,99.0132,-1.0100,
0.1000,-5.3689,-5.1654,76.1669,80.5429,80.4480,86.0672,99.0043,-1.0100,
0.1083,-5.3597,-5.1621,76.1759,80.5466,80.4351,86.0745,98.9937,-1.0101,
0.1167,-5.3514,-5.1590,76.1820,80.5516,80.4252,86.0817,98.9820,-1.0101,
0.1250,-5.3447,-5.1566,76.1853,80.5580,80.4182,86.0885,98.9696,-1.0102,
0.1333,-5.3403,-5.1550,76.1857,80.5654,80.4139,86.0949,98.9571,-1.0102,
0.1417,-5.3386,-5.1537,76.1838,80.5737,80.4123,86.1010,98.9446,-1.0102,
0.1500,-5.3401,-5.1524,76.1797,80.5820,80.4130,86.1071,98.9325,-1.0103,
0.1583,-5.3450,-5.1511,76.1738,80.5900,80.4157,86.1136,98.9209,-1.0103,
0.1667,-5.3525,-5.1498,76.1664,80.5969,80.4202,86.1209,98.9098,-1.0104,
