time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0070,-0.0037,-0.2145,0.0020,-0.0144,0.0821,
0.0033,0.0070,-0.0037,-0.2145,0.0020,-0.0144,0.0821,
0.0050,0.0070,-0.0037,-0.2145,0.0020,-0.0144,0.0821,
0.0067,0.0070,-0.0037,-0.2145,0.0020,-0.0144,0.0821,
0.0083,0.0070,-0.0037,-0.2145,0.0020,-0.0144,0.0821,
0.0100,0.0070,-0.0037,-0.2146,0.0020,-0.0144,0.0821,
0.0117,0.0070,-0.0037,-0.2146,0.0020,-0.0144,0.0821,
0.0133,0.0070,-0.0037,-0.2146,0.0020,-0.0144,0.0821,
0.0150,0.0070,-0.0037,-0.2146,0.0020,-0.0145,0.0821,
0.0167,0.0070,-0.0037,-0.2147,0.0020,-0.0145,0.0821,
0.0183,0.0070,-0.0037,-0.2147,0.0020,-0.0145,0.0821,
0.0200,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0820,
0.0217,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0820,
0.0233,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0820,
0.0250,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0820,
0.0267,0.0070,-0.0038,-0.2148,0.0020,-0.0145,0.0819,
0.0283,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0819,
0.0300,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0818,
0.0317,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0818,
0.0333,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0817,
0.0350,0.0070,-0.0038,-0.2147,0.0020,-0.0145,0.0817,
0.0367,0.0070,-0.0037,-0.2146,0.0020,-0.0145,0.0817,
0.0383,0.0070,-0.0037,-0.2146,0.0020,-0.0145,0.0816,
0.0400,0.0070,-0.0037,-0.2145,0.0020,-0.0145,0.0816,
0.0417,0.0070,-0.0037,-0.2144,0.0020,-0.0144,0.0816,
0.0433,0.0070,-0.0037,-0.2144,0.0020,-0.0144,0.0815,
0.0450,0.0070,-0.0036,-0.2143,0.0020,-0.0144,0.0815,
0.0467,0.0070,-0.0036,-0.2142,0.0020,-0.0143,0.0815,
0.0483,0.0070,-0.0036,-0.2141,0.0020,-0.0143,0.0816,
0.0500,0.0070,-0.0035,-0.2140,0.0020,-0.0143,0.0816,
0.0517,0.0070,-0.0035,-0.2139,0.0020,-0.0142,0.0816,
0.0533,0.0070,-0.0035,-0.2138,0.0020,-0.0142,0.0817,
0.0550,0.0070,-0.0034,-0.2137,0.0020,-0.0141,0.0818,
0.0567,0.0070,-0.0034,-0.2137,0.0020,-0.0141,0.0819,
0.0583,0.0070,-0.0034,-0.2136,0.0020,-0.0140,0.0820,
0.0600,0.0070,-0.0034,-0.2136,0.0020,-0.0140,0.0821,
0.0617,0.0070,-0.0034,-0.2135,0.0020,-0.0140,0.0822,
0.0633,0.0070,-0.0033,-0.2135,0.0020,-0.0139,0.0824,
0.0650,0.0070,-0.0033,-0.2136,0.0020,-0.0139,0.0825,
0.0667,0.0070,-0.0034,-0.2136,0.0020,-0.0139,0.0827,
0.0683,0.0070,-0.0034,-0.2137,0.0020,-0.0139,0.0829,
0.0700,0.0070,-0.0034,-0.2138,0.0020,-0.0139,0.0830,
0.0717,0.0070,-0.0035,-0.2139,0.0020,-0.0140,0.0832,
0.0733,0.0070,-0.0035,-0.2141,0.0020,-0.0140,0.0833,
0.0750,0.0070,-0.0036,-0.2143,0.0020,-0.0141,0.0834,
0.0767,0.0070,-0.0036,-0.2146,0.0020,-0.0142,0.0836,
0.0783,0.0070,-0.0037,-0.2148,0.0020,-0.0143,0.0836,
0.0800,0.0070,-0.0038,-0.2151,0.0020,-0.0144,0.0837,
0.0817,0.0070,-0.0039,-0.2154,0.0020,-0.0145,0.0837,
0.0833,0.0070,-0.0041,-0.2158,0.0020,-0.0147,0.0837,
0.0850,0.0070,-0.0042,-0.2161,0.0021,-0.0149,0.0836,
0.0867,0.0070,-0.0043,-0.2164,0.0021,-0.0150,0.0835,
0.0883,0.0069,-0.0044,-0.2168,0.0021,-0.0152,0.0833,
0.0900,0.0069,-0.0045,-0.2171,0.0021,-0.0154,0.0830,
0.0917,0.0069,-0.0046,-0.2174,0.0021,-0.0155,0.0827,
0.0933,0.0069,-0.0047,-0.2176,0.0021,-0.0157,0.0824,
0.0950,0.0069,-0.0048,-0.2178,0.0021,-0.0159,0.0820,
0.0967,0.0069,-0.0049,-0.2179,0.0021,-0.0160,0.0815,
0.0983,0.0068,-0.0049,-0.2180,0.0021,-0.0161,0.0810,
0.1000,0.0068,-0.0049,-0.2180,0.0021,-0.0162,0.0805,
0.1017,0.0068,-0.0049,-0.2178,0.0021,-0.0162,0.0799,
0.1033,0.0068,-0.0049,-0.2176,0.0021,-0.0162,0.0793,
0.1050,0.0068,-0.0048,-0.2173,0.0021,-0.0162,0.0787,
0.1067,0.0068,-0.0046,-0.2169,0.0020,-0.0161,0.0781,
0.1083,0.0068,-0.0045,-0.2163,0.0020,-0.0159,0.0775,
0.1100,0.0068,-0.0043,-0.2156,0.0020,-0.0157,0.0770,
0.1117,0.0068,-0.0040,-0.2148,0.0020,-0.0154,0.0766,
0.1133,0.0068,-0.0037,-0.2139,0.0020,-0.0151,0.0762,
0.1150,0.0069,-0.0034,-0.2129,0.0020,-0.0147,0.0760,
0.1167,0.0069,-0.0030,-0.2119,0.0020,-0.0142,0.0759,
0.1183,0.0069,-0.0026,-0.2107,0.0020,-0.0137,0.0759,
0.1200,0.0070,-0.0022,-0.2095,0.0020,-0.0132,0.0761,
0.1217,0.0070,-0.0018,-0.2083,0.0019,-0.0126,0.0764,
0.1233,0.0071,-0.0013,-0.2071,0.0019,-0.0120,0.0770,
0.1250,0.0072,-0.0009,-0.2060,0.0019,-0.0113,0.0778,
0.1267,0.0072,-0.0005,-0.2049,0.0019,-0.0107,0.0787,
0.1283,0.0073,-0.0001,-0.2039,0.0019,-0.0101,0.0799,
0.1300,0.0074,0.0002,-0.2031,0.0019,-0.0095,0.0813,
0.1317,0.0074,0.0005,-0.2025,0.0019,-0.0090,0.0829,
0.1333,0.0075,0.0007,-0.2022,0.0019,-0.0085,0.0847,
0.1350,0.0075,0.0008,-0.2021,0.0019,-0.0082,0.0866,
0.1367,0.0076,0.0008,-0.2024,0.0019,-0.0080,0.0887,
0.1383,0.0076,0.0007,-0.2030,0.0019,-0.0079,0.0908,
0.1400,0.0077,0.0004,-0.2040,0.0019,-0.0079,0.0930,
0.1417,0.0077,0.0000,-0.2054,0.0020,-0.0082,0.0952,
0.1433,0.0077,-0.0005,-0.2072,0.0020,-0.0087,0.0973,
0.1450,0.0077,-0.0012,-0.2094,0.0020,-0.0093,0.0992,
0.1467,0.0076,-0.0020,-0.2121,0.0021,-0.0102,0.1010,
0.1483,0.0076,-0.0030,-0.2152,0.0021,-0.0113,0.1025,
0.1500,0.0075,-0.0042,-0.2186,0.0021,-0.0126,0.1036,
0.1517,0.0074,-0.0054,-0.2224,0.0022,-0.0142,0.1043,
0.1533,0.0073,-0.0068,-0.2264,0.0022,-0.0159,0.1044,
0.1550,0.0071,-0.0083,-0.2307,0.0023,-0.0179,0.1040,
0.1567,0.0069,-0.0098,-0.2350,0.0023,-0.0200,0.1029,
0.1583,0.0067,-0.0114,-0.2393,0.0024,-0.0222,0.1011,
0.1600,0.0065,-0.0129,-0.2435,0.0024,-0.0244,0.0985,
0.1617,0.0063,-0.0145,-0.2474,0.0025,-0.0268,0.0951,
0.1633,0.0060,-0.0159,-0.2509,0.0025,-0.0290,0.0909,
0.1650,0.0058,-0.0171,-0.2538,0.0025,-0.0312,0.0858,
0.1667,0.0056,-0.0182,-0.2559,0.0025,-0.0332,0.0798,
0.1683,0.0053,-0.0190,-0.2571,0.0025,-0.0349,0.0730,
0.1700,0.0051,-0.0194,-0.2572,0.0025,-0.0363,0.0655,
0.1717,0.0049,-0.0195,-0.2560,0.0024,-0.0373,0.0572,
0.1733,0.0047,-0.0191,-0.2533,0.0024,-0.0377,0.0483,
0.1750,0.0046,-0.0182,-0.2490,0.0023,-0.0376,0.0389,
0.1767,0.0045,-0.0168,-0.2429,0.0022,-0.0367,0.0292,
0.1783,0.0045,-0.0148,-0.2349,0.0021,-0.0352,0.0193,
0.1800,0.0045,-0.0122,-0.2249,0.0019,-0.0327,0.0093,
0.1817,0.0046,-0.0089,-0.2127,0.0018,-0.0294,-0.0004,
0.1833,0.0048,-0.0050,-0.1984,0.0016,-0.0252,-0.0098,
0.1850,0.0050,-0.0003,-0.1818,0.0014,-0.0200,-0.0186,
0.1867,0.0054,0.0050,-0.1631,0.0011,-0.0138,-0.0265,
0.1883,0.0058,0.0109,-0.1423,0.0009,-0.0067,-0.0334,
0.1900,0.0064,0.0174,-0.1194,0.0006,0.0014,-0.0391,
0.1917,0.0070,0.0245,-0.0946,0.0003,0.0104,-0.0434,
0.1933,0.0077,0.0320,-0.0681,0.0000,0.0203,-0.0461,
0.1950,0.0085,0.0398,-0.0401,-0.0003,0.0309,-0.0471,
0.1967,0.0093,0.0480,-0.0108,-0.0006,0.0420,-0.0463,
0.1983,0.0102,0.0562,0.0195,-0.0009,0.0537,-0.0437,
0.2000,0.0111,0.0645,0.0505,-0.0012,0.0657,-0.0393,
0.2017,0.0121,0.0726,0.0818,-0.0015,0.0777,-0.0332,
0.2033,0.0130,0.0804,0.1131,-0.0018,0.0897,-0.0254,
0.2050,0.0139,0.0878,0.1441,-0.0021,0.1014,-0.0163,
0.2067,0.0147,0.0946,0.1745,-0.0023,0.1127,-0.0061,
0.2083,0.0155,0.1006,0.2039,-0.0026,0.1231,0.0050,
0.2100,0.0161,0.1057,0.2320,-0.0028,0.1327,0.0165,
0.2117,0.0166,0.1097,0.2586,-0.0030,0.1410,0.0281,
0.2133,0.0169,0.1126,0.2833,-0.0032,0.1481,0.0394,
0.2150,0.0169,0.1142,0.3061,-0.0033,0.1536,0.0499,
0.2167,0.0167,0.1145,0.3267,-0.0034,0.1575,0.0591,
