time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,0.8485,48.4776,91.1124,87.3815,110.4928,107.6352,68.9061,-1.4525,
0.0167,0.8095,48.4774,91.1180,87.3874,110.4989,107.6483,68.9003,-1.4525,
0.0250,0.7687,48.4771,91.1218,87.3917,110.5051,107.6608,68.8949,-1.4525,
0.0333,0.7274,48.4769,91.1225,87.3930,110.5117,107.6717,68.8904,-1.4525,
0.0417,0.6901,48.4767,91.1195,87.3909,110.5181,107.6807,68.8871,-1.4525,
0.0500,0.6612,48.4766,91.1138,87.3856,110.5239,107.6875,68.8852,-1.4525,
0.0583,0.6421,48.4765,91.1064,87.3783,110.5290,107.6925,68.8849,-1.4525,
0.0667,0.6309,48.4765,91.0983,87.3701,110.5335,107.6960,68.8860,-1.4525,
0.0750,0.6247,48.4765,91.0898,87.3618,110.5377,107.6985,68.8884,-1.4525,
0.0833,0.6208,48.4765,91.0813,87.3539,110.5417,107.7004,68.8919,-1.4525,
0.0917,0.6173,48.4765,91.0731,87.3468,110.5457,107.7018,68.8965,-1.4525,
0.1000,0.6130,48.4765,91.0652,87.3405,110.5499,107.7029,68.9020,-1.4525,
0.1083,0.6075,48.4765,91.0574,87.3351,110.5543,107.7038,68.9084,-1.4524,
0.1167,0.6010,48.4765,91.0498,87.3305,86.6875,88.0493,94.4733,-1.2700,
0.1250,0.5949,48.4765,91.0423,87.3266,86.7091,88.0522,94.4601,-1.2701,
0.1333,0.5900,48.4764,91.0353,87.3230,86.7150,88.0612,94.4561,-1.2701,
0.1417,0.5864,48.4764,91.0291,87.3196,86.7123,88.0729,94.4569,-1.2701,
0.1500,0.5833,48.4764,91.0244,87.3165,86.7058,88.0849,94.4595,-1.2701,
0.1583,0.5801,48.4764,91.0222,87.3135,86.6979,88.0957,94.4623,-1.2701,
0.1667,0.5764,48.4764,91.0232,87.3108,86.6895,88.1043,94.4645,-1.2701,
0.1750,0.5720,48.4764,91.0286,87.3084,86.6803,88.1106,94.4660,-1.2701,
0.1833,0.5670,48.4764,91.0398,87.3062,86.6693,88.1145,94.4670,-1.2701,
0.1917,0.5616,48.4764,91.0568,87.3041,86.6558,88.1166,94.4674,-1.2701,
0.2000,0.5563,48.4764,91.0788,87.3021,86.6397,88.1174,94.4677,-1.2700,
0.2083,0.5516,48.4764,91.1026,87.3001,86.6226,88.1171,94.4677,-1.2700,
0.2167,0.5481,48.4764,91.1245,87.2984,86.6068,88.1162,94.4677,-1.2700,
0.2250,0.5461,48.4764,91.1402,87.2968,86.5950,88.1147,94.4677,-1.2700,
0.2333,0.5447,48.4764,91.1472,87.2956,86.5890,88.1127,94.4678,-1.2700,
0.2417,0.5427,48.4765,91.1442,87.2949,86.5899,88.1103,94.4681,-1.2700,
0.2500,0.5392,48.4765,91.1313,87.2945,86.5975,88.1074,94.4686,-1.2700,
0.2583,0.5354,48.4765,91.1096,87.2945,86.6116,88.1041,94.4693,-1.2699,
0.2667,0.5334,48.4765,91.0806,87.2948,86.6315,88.1003,94.4703,-1.2699,
0.2750,0.5352,48.4766,91.0462,87.2953,86.6561,88.0961,94.4715,-1.2699,
0.2833,0.5409,48.4766,91.0083,87.2956,86.6843,88.0915,94.4727,-1.2699,
0.2917,0.5497,48.4767,90.9684,87.2957,86.7152,88.0863,94.4739,-1.2699,
0.3000,0.5607,48.4767,90.9278,87.2956,86.7478,88.0806,94.4749,-1.2698,
0.3083,0.5739,48.4768,90.8865,87.2955,86.7820,88.0742,94.4757,-1.2698,
0.3167,0.5896,48.4768,90.8440,87.2956,86.8178,88.0669,94.4763,-1.2698,
0.3250,0.6080,48.4769,90.7988,87.2961,86.8558,88.0586,94.4766,-1.2697,
0.3333,0.6292,48.4770,90.7486,87.2970,86.8971,88.0492,94.4765,-1.2697,
0.3417,0.6534,48.4770,90.6903,87.2983,86.9431,88.0387,94.4761,-1.2696,
0.3500,0.6815,48.4771,90.6212,87.3000,86.9951,88.0272,94.4753,-1.2696,
0.3583,0.7151,48.4772,90.5395,87.3022,87.0540,88.0147,94.4741,-1.2695,
0.3667,0.7561,48.4772,90.4447,87.3045,87.1197,88.0012,94.4722,-1.2695,
0.3750,0.8062,48.4773,90.3386,87.3068,87.1912,87.9869,94.4697,-1.2694,
0.3833,0.8667,48.4773,90.2238,87.3085,87.2665,87.9720,94.4665,-1.2693,
0.3917,0.9373,48.4773,90.1036,87.3090,87.3437,87.9566,94.4624,-1.2693,
0.4000,1.0163,48.4773,89.9813,87.3079,87.4207,87.9409,94.4572,-1.2692,
0.4083,1.1015,48.4773,89.8598,87.3046,87.4960,87.9250,94.4508,-1.2691,
0.4167,1.1907,48.4773,89.7409,87.2986,87.5687,87.9091,94.4429,-1.2689,
0.4250,1.2821,48.4773,89.6251,87.2891,87.6390,87.8934,94.4334,-1.2688,
0.4333,1.3747,48.4772,89.5119,87.2755,87.7074,87.8783,94.4223,-1.2687,
0.4417,1.4674,48.4772,89.4003,87.2566,87.7746,87.8642,94.4101,-1.2685,
0.4500,1.5590,48.4771,89.2899,87.2314,87.8407,87.8516,94.3974,-1.2684,
0.4583,1.6490,48.4770,89.1807,87.1984,87.9048,87.8410,94.3851,-1.2682,
0.4667,1.7376,48.4768,89.0728,87.1562,87.9658,87.8331,94.3742,-1.2680,
0.4750,1.8269,48.4767,88.9661,87.1036,88.0227,87.8289,94.3658,-1.2677,
0.4833,1.9211,48.4765,88.8604,87.0398,88.0748,87.8289,94.3604,-1.2674,
0.4917,2.0246,48.4763,88.7553,86.9643,88.1222,87.8341,94.3581,-1.2671,
0.5000,2.1412,48.4761,88.6506,86.8771,88.1653,87.8453,94.3581,-1.2667,
0.5083,2.2710,48.4758,88.5462,86.7783,88.2050,87.8635,94.3588,-1.2663,
0.5167,2.4075,48.4755,88.4424,86.6676,88.2416,87.8895,94.3589,-1.2659,
0.5250,2.5392,48.4752,88.3405,86.5447,88.2744,87.9242,94.3571,-1.2655,
0.5333,2.6559,48.4748,88.2431,86.4089,88.3016,87.9685,94.3529,-1.2651,
0.5417,2.7534,48.4743,88.1529,86.2587,88.3212,88.0232,94.3460,-1.2646,
0.5500,2.8335,48.4738,88.0721,86.0919,88.3317,88.0898,94.3365,-1.2642,
0.5583,2.9013,48.4733,88.0011,85.9064,88.3331,88.1699,94.3241,-1.2637,
0.5667,2.9633,48.4727,87.9393,85.6992,88.3259,88.2665,94.3079,-1.2633,
0.5750,3.0259,48.4720,87.8851,85.4675,88.3114,88.3828,94.2867,-1.2628,
0.5833,3.0946,48.4712,87.8368,85.2083,88.2909,88.5226,94.2597,-1.2623,
0.5917,3.1739,48.4702,87.7925,84.9188,88.2659,88.6895,94.2271,-1.2618,
0.6000,3.2664,48.4691,87.7501,84.5971,88.2377,88.8864,94.1902,-1.2614,
0.6083,3.3728,48.4677,87.7082,84.2418,88.2077,89.1160,94.1501,-1.2609,
0.6167,3.4920,48.4661,87.6655,83.8522,88.1771,89.3805,94.1076,-1.2605,
0.6250,3.6210,48.4642,87.6214,83.4282,88.1468,89.6822,94.0623,-1.2600,
0.6333,3.7559,48.4619,87.5761,82.9696,88.1172,90.0231,94.0132,-1.2596,
0.6417,3.8935,48.4591,87.5307,82.4773,88.0881,90.4050,93.9594,-1.2592,
0.6500,4.0330,48.4559,87.4873,81.9528,88.0588,90.8292,93.9001,-1.2589,
0.6583,4.1761,48.4521,87.4479,81.3985,88.0278,91.2959,93.8348,-1.2585,
0.6667,4.3254,48.4478,87.4145,80.8183,87.9939,91.8039,93.7636,-1.2582,
0.6750,4.4820,48.4430,87.3883,80.2181,87.9553,92.3499,93.6868,-1.2579,
0.6833,4.6442,-6.8523,87.3692,75.1293,87.9108,92.9296,93.6052,-1.2576,
0.6917,4.8080,-7.9557,87.3560,74.4477,87.8597,93.5374,93.5199,-1.2574,
0.7000,4.9678,-9.0311,87.3462,73.7802,87.8021,94.1670,93.4319,-1.2571,
0.7083,5.1182,-10.1665,87.3361,73.1205,87.7386,94.8120,93.3424,-1.2568,
0.7167,5.2553,-11.4066,87.3226,72.4668,87.6698,95.4655,93.2521,-1.2566,
0.7250,5.3810,-12.7561,87.3041,71.8210,87.5959,96.1210,93.1618,-1.2563,
0.7333,5.5038,-14.1849,87.2813,71.1883,87.5166,96.7726,93.0722,-1.2560,
0.7417,5.6350,-15.6426,87.2564,70.5756,87.4320,97.4152,92.9842,-1.2556,
0.7500,5.7826,-17.0812,87.2322,69.9883,87.3423,98.0447,92.8986,-1.2552,
0.7583,5.9481,-18.4699,87.2093,69.4288,87.2482,98.6579,92.8172,-1.2548,
0.7667,6.1283,-19.7958,87.1872,68.8962,87.1509,99.2521,92.7419,-1.2544,
0.7750,6.3179,-21.0565,87.1637,68.3880,87.0516,99.8257,92.6751,-1.2539,
0.7833,6.5119,-22.2534,87.1369,67.9009,86.9509,100.3777,92.6192,-1.2533,
0.7917,6.7068,-23.3865,87.1054,67.4318,86.8492,100.9082,92.5757,-1.2527,
0.8000,6.9016,-24.4499,87.0685,66.9790,86.7462,101.4177,92.5445,-1.2521,
0.8083,7.0958,-25.4266,87.0263,66.5444,86.6414,101.9070,92.5243,-1.2514,
