time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0380,0.0393,-0.2155,-0.4327,-0.0607,0.0771,
0.0033,-0.0380,0.0393,-0.2155,-0.4327,-0.0607,0.0771,
0.0050,-0.0380,0.0393,-0.2155,-0.4328,-0.0607,0.0771,
0.0067,-0.0380,0.0393,-0.2155,-0.4328,-0.0607,0.0772,
0.0083,-0.0380,0.0393,-0.2155,-0.4328,-0.0607,0.0772,
0.0100,-0.0380,0.0393,-0.2156,-0.4329,-0.0607,0.0772,
0.0117,-0.0380,0.0393,-0.2156,-0.4329,-0.0607,0.0772,
0.0133,-0.0380,0.0393,-0.2156,-0.4329,-0.0607,0.0772,
0.0150,-0.0381,0.0394,-0.2156,-0.4330,-0.0607,0.0772,
0.0167,-0.0381,0.0394,-0.2156,-0.4330,-0.0607,0.0772,
0.0183,-0.0381,0.0394,-0.2156,-0.4331,-0.0607,0.0772,
0.0200,-0.0381,0.0394,-0.2157,-0.4331,-0.0607,0.0772,
0.0217,-0.0381,0.0394,-0.2157,-0.4331,-0.0607,0.0772,
0.0233,-0.0381,0.0394,-0.2157,-0.4331,-0.0606,0.0772,
0.0250,-0.0381,0.0394,-0.2157,-0.4332,-0.0606,0.0772,
0.0267,-0.0381,0.0394,-0.2157,-0.4332,-0.0606,0.0772,
0.0283,-0.0381,0.0394,-0.2157,-0.4332,-0.0606,0.0772,
0.0300,-0.0381,0.0394,-0.2156,-0.4331,-0.0605,0.0772,
0.0317,-0.0381,0.0394,-0.2156,-0.4331,-0.0605,0.0772,
0.0333,-0.0380,0.0393,-0.2156,-0.4331,-0.0605,0.0772,
0.0350,-0.0380,0.0393,-0.2155,-0.4330,-0.0605,0.0772,
0.0367,-0.0380,0.0393,-0.2155,-0.4330,-0.0605,0.0772,
0.0383,-0.0380,0.0393,-0.2155,-0.4329,-0.0604,0.0771,
0.0400,-0.0380,0.0393,-0.2154,-0.4328,-0.0604,0.0771,
0.0417,-0.0379,0.0392,-0.2153,-0.4327,-0.0604,0.0771,
0.0433,-0.0379,0.0392,-0.2153,-0.4326,-0.0604,0.0771,
0.0450,-0.0379,0.0392,-0.2152,-0.4325,-0.0604,0.0770,
0.0467,-0.0379,0.0391,-0.2151,-0.4323,-0.0604,0.0770,
0.0483,-0.0378,0.0391,-0.2151,-0.4322,-0.0604,0.0769,
0.0500,-0.0378,0.0391,-0.2150,-0.4320,-0.0604,0.0769,
0.0517,-0.0378,0.0390,-0.2149,-0.4319,-0.0605,0.0769,
0.0533,-0.0377,0.0390,-0.2149,-0.4318,-0.0605,0.0768,
0.0550,-0.0377,0.0390,-0.2148,-0.4316,-0.0606,0.0768,
0.0567,-0.0377,0.0390,-0.2148,-0.4315,-0.0606,0.0768,
0.0583,-0.0377,0.0389,-0.2147,-0.4314,-0.0607,0.0767,
0.0600,-0.0377,0.0389,-0.2147,-0.4314,-0.0608,0.0767,
0.0617,-0.0377,0.0389,-0.2147,-0.4313,-0.0608,0.0767,
0.0633,-0.0377,0.0389,-0.2148,-0.4313,-0.0609,0.0767,
0.0650,-0.0377,0.0390,-0.2148,-0.4313,-0.0610,0.0767,
0.0667,-0.0377,0.0390,-0.2149,-0.4314,-0.0611,0.0768,
0.0683,-0.0378,0.0390,-0.2150,-0.4315,-0.0612,0.0768,
0.0700,-0.0378,0.0391,-0.2151,-0.4317,-0.0613,0.0769,
0.0717,-0.0379,0.0392,-0.2152,-0.4319,-0.0614,0.0769,
0.0733,-0.0380,0.0392,-0.2154,-0.4321,-0.0615,0.0770,
0.0750,-0.0380,0.0393,-0.2156,-0.4324,-0.0615,0.0771,
0.0767,-0.0381,0.0394,-0.2158,-0.4328,-0.0616,0.0772,
0.0783,-0.0382,0.0395,-0.2161,-0.4332,-0.0616,0.0773,
0.0800,-0.0383,0.0397,-0.2163,-0.4336,-0.0616,0.0775,
0.0817,-0.0384,0.0398,-0.2166,-0.4341,-0.0616,0.0776,
0.0833,-0.0386,0.0399,-0.2168,-0.4346,-0.0616,0.0778,
0.0850,-0.0387,0.0400,-0.2171,-0.4351,-0.0615,0.0779,
0.0867,-0.0388,0.0401,-0.2173,-0.4356,-0.0614,0.0780,
0.0883,-0.0389,0.0403,-0.2176,-0.4361,-0.0613,0.0782,
0.0900,-0.0390,0.0404,-0.2178,-0.4366,-0.0611,0.0783,
0.0917,-0.0391,0.0405,-0.2180,-0.4370,-0.0610,0.0784,
0.0933,-0.0391,0.0405,-0.2181,-0.4374,-0.0607,0.0785,
0.0950,-0.0392,0.0406,-0.2182,-0.4377,-0.0605,0.0786,
0.0967,-0.0392,0.0406,-0.2182,-0.4380,-0.0602,0.0786,
0.0983,-0.0392,0.0406,-0.2182,-0.4381,-0.0599,0.0786,
0.1000,-0.0391,0.0405,-0.2180,-0.4381,-0.0596,0.0786,
0.1017,-0.0390,0.0405,-0.2178,-0.4380,-0.0592,0.0785,
0.1033,-0.0389,0.0403,-0.2175,-0.4377,-0.0589,0.0784,
0.1050,-0.0388,0.0402,-0.2172,-0.4372,-0.0585,0.0782,
0.1067,-0.0386,0.0399,-0.2167,-0.4366,-0.0582,0.0780,
0.1083,-0.0383,0.0397,-0.2161,-0.4358,-0.0579,0.0778,
0.1100,-0.0381,0.0394,-0.2155,-0.4348,-0.0576,0.0774,
0.1117,-0.0377,0.0390,-0.2147,-0.4336,-0.0574,0.0771,
0.1133,-0.0374,0.0387,-0.2139,-0.4323,-0.0572,0.0767,
0.1150,-0.0370,0.0383,-0.2131,-0.4308,-0.0571,0.0762,
