time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0138,0.0153,-0.2300,-0.3551,-0.0352,0.0138,
0.0033,0.0138,0.0153,-0.2300,-0.3551,-0.0352,0.0138,
0.0050,0.0138,0.0153,-0.2300,-0.3551,-0.0352,0.0138,
0.0067,0.0138,0.0153,-0.2300,-0.3552,-0.0352,0.0138,
0.0083,0.0138,0.0153,-0.2301,-0.3552,-0.0352,0.0138,
0.0100,0.0138,0.0153,-0.2301,-0.3552,-0.0352,0.0138,
0.0117,0.0138,0.0153,-0.2301,-0.3553,-0.0352,0.0138,
0.0133,0.0138,0.0153,-0.2301,-0.3553,-0.0352,0.0138,
0.0150,0.0138,0.0153,-0.2302,-0.3553,-0.0353,0.0138,
0.0167,0.0137,0.0153,-0.2302,-0.3554,-0.0353,0.0138,
0.0183,0.0137,0.0153,-0.2302,-0.3554,-0.0353,0.0138,
0.0200,0.0137,0.0153,-0.2302,-0.3554,-0.0353,0.0138,
0.0217,0.0137,0.0153,-0.2302,-0.3555,-0.0353,0.0139,
0.0233,0.0137,0.0153,-0.2302,-0.3555,-0.0354,0.0139,
0.0250,0.0137,0.0153,-0.2302,-0.3555,-0.0354,0.0139,
0.0267,0.0137,0.0153,-0.2302,-0.3555,-0.0354,0.0139,
0.0283,0.0137,0.0153,-0.2302,-0.3555,-0.0354,0.0140,
0.0300,0.0136,0.0153,-0.2302,-0.3555,-0.0354,0.0140,
0.0317,0.0136,0.0153,-0.2302,-0.3555,-0.0354,0.0140,
0.0333,0.0136,0.0153,-0.2301,-0.3554,-0.0354,0.0141,
0.0350,0.0136,0.0153,-0.2301,-0.3554,-0.0354,0.0141,
0.0367,0.0136,0.0153,-0.2300,-0.3553,-0.0353,0.0141,
0.0383,0.0136,0.0153,-0.2300,-0.3553,-0.0353,0.0142,
0.0400,0.0136,0.0153,-0.2299,-0.3552,-0.0353,0.0142,
0.0417,0.0136,0.0153,-0.2298,-0.3551,-0.0353,0.0142,
0.0433,0.0136,0.0153,-0.2297,-0.3550,-0.0352,0.0143,
0.0450,0.0136,0.0153,-0.2296,-0.3549,-0.0352,0.0143,
0.0467,0.0136,0.0153,-0.2295,-0.3548,-0.0351,0.0143,
0.0483,0.0136,0.0153,-0.2294,-0.3547,-0.0350,0.0143,
0.0500,0.0136,0.0153,-0.2293,-0.3545,-0.0350,0.0143,
0.0517,0.0136,0.0153,-0.2293,-0.3544,-0.0349,0.0143,
0.0533,0.0136,0.0153,-0.2292,-0.3543,-0.0348,0.0142,
0.0550,0.0137,0.0153,-0.2291,-0.3542,-0.0348,0.0142,
0.0567,0.0137,0.0153,-0.2291,-0.3541,-0.0347,0.0141,
0.0583,0.0137,0.0153,-0.2290,-0.3540,-0.0346,0.0141,
0.0600,0.0138,0.0153,-0.2290,-0.3539,-0.0346,0.0140,
0.0617,0.0138,0.0153,-0.2290,-0.3539,-0.0345,0.0139,
0.0633,0.0139,0.0153,-0.2291,-0.3538,-0.0345,0.0138,
0.0650,0.0140,0.0153,-0.2291,-0.3539,-0.0345,0.0137,
0.0667,0.0140,0.0152,-0.2292,-0.3539,-0.0345,0.0135,
0.0683,0.0141,0.0152,-0.2293,-0.3540,-0.0345,0.0134,
0.0700,0.0141,0.0152,-0.2295,-0.3541,-0.0345,0.0133,
0.0717,0.0142,0.0152,-0.2297,-0.3543,-0.0346,0.0131,
0.0733,0.0142,0.0152,-0.2299,-0.3545,-0.0347,0.0130,
0.0750,0.0143,0.0151,-0.2302,-0.3548,-0.0348,0.0129,
0.0767,0.0143,0.0151,-0.2305,-0.3551,-0.0349,0.0128,
0.0783,0.0143,0.0151,-0.2308,-0.3554,-0.0350,0.0127,
0.0800,0.0143,0.0151,-0.2311,-0.3558,-0.0352,0.0126,
0.0817,0.0143,0.0151,-0.2314,-0.3562,-0.0354,0.0125,
0.0833,0.0143,0.0151,-0.2318,-0.3567,-0.0356,0.0125,
0.0850,0.0142,0.0151,-0.2321,-0.3571,-0.0359,0.0125,
0.0867,0.0142,0.0151,-0.2324,-0.3576,-0.0361,0.0125,
0.0883,0.0141,0.0151,-0.2327,-0.3580,-0.0364,0.0126,
0.0900,0.0140,0.0151,-0.2330,-0.3585,-0.0366,0.0128,
0.0917,0.0139,0.0151,-0.2332,-0.3589,-0.0369,0.0129,
0.0933,0.0137,0.0151,-0.2334,-0.3592,-0.0371,0.0132,
0.0950,0.0136,0.0152,-0.2335,-0.3595,-0.0373,0.0134,
0.0967,0.0134,0.0152,-0.2335,-0.3598,-0.0375,0.0137,
0.0983,0.0132,0.0152,-0.2335,-0.3599,-0.0377,0.0141,
0.1000,0.0130,0.0153,-0.2333,-0.3599,-0.0378,0.0145,
0.1017,0.0128,0.0153,-0.2330,-0.3598,-0.0378,0.0150,
0.1033,0.0126,0.0154,-0.2326,-0.3596,-0.0378,0.0154,
0.1050,0.0124,0.0155,-0.2321,-0.3592,-0.0377,0.0159,
0.1067,0.0122,0.0155,-0.2315,-0.3587,-0.0376,0.0164,
0.1083,0.0120,0.0156,-0.2308,-0.3580,-0.0373,0.0169,
0.1100,0.0118,0.0157,-0.2299,-0.3572,-0.0370,0.0174,
0.1117,0.0117,0.0158,-0.2290,-0.3562,-0.0366,0.0178,
0.1133,0.0116,0.0158,-0.2279,-0.3550,-0.0361,0.0182,
0.1150,0.0115,0.0159,-0.2268,-0.3537,-0.0355,0.0186,
0.1167,0.0116,0.0159,-0.2256,-0.3523,-0.0349,0.0188,
0.1183,0.0116,0.0160,-0.2244,-0.3508,-0.0341,0.0190,
0.1200,0.0117,0.0160,-0.2231,-0.3492,-0.0333,0.0191,
0.1217,0.0119,0.0160,-0.2219,-0.3475,-0.0324,0.0190,
0.1233,0.0122,0.0160,-0.2208,-0.3459,-0.0315,0.0188,
0.1250,0.0125,0.0160,-0.2197,-0.3443,-0.0306,0.0184,
0.1267,0.0129,0.0159,-0.2188,-0.3427,-0.0297,0.0178,
0.1283,0.0134,0.0159,-0.2181,-0.3414,-0.0288,0.0171,
0.1300,0.0140,0.0158,-0.2176,-0.3401,-0.0280,0.0162,
0.1317,0.0146,0.0156,-0.2174,-0.3392,-0.0272,0.0151,
0.1333,0.0152,0.0155,-0.2174,-0.3385,-0.0266,0.0139,
0.1350,0.0160,0.0153,-0.2178,-0.3382,-0.0261,0.0125,
0.1367,0.0167,0.0151,-0.2186,-0.3384,-0.0258,0.0109,
0.1383,0.0175,0.0149,-0.2198,-0.3389,-0.0257,0.0093,
0.1400,0.0182,0.0147,-0.2214,-0.3400,-0.0259,0.0075,
0.1417,0.0190,0.0144,-0.2235,-0.3417,-0.0263,0.0057,
0.1433,0.0197,0.0142,-0.2260,-0.3439,-0.0270,0.0039,
0.1450,0.0203,0.0139,-0.2289,-0.3466,-0.0280,0.0021,
0.1467,0.0209,0.0137,-0.2322,-0.3500,-0.0293,0.0004,
0.1483,0.0213,0.0134,-0.2359,-0.3539,-0.0310,-0.0012,
0.1500,0.0215,0.0132,-0.2398,-0.3584,-0.0330,-0.0025,
0.1517,0.0216,0.0130,-0.2441,-0.3633,-0.0353,-0.0036,
0.1533,0.0215,0.0128,-0.2484,-0.3686,-0.0379,-0.0044,
0.1550,0.0212,0.0127,-0.2529,-0.3743,-0.0408,-0.0047,
0.1567,0.0206,0.0126,-0.2572,-0.3801,-0.0439,-0.0046,
0.1583,0.0197,0.0125,-0.2614,-0.3860,-0.0471,-0.0039,
0.1600,0.0186,0.0126,-0.2653,-0.3917,-0.0505,-0.0027,
0.1617,0.0172,0.0127,-0.2686,-0.3972,-0.0540,-0.0008,
0.1633,0.0155,0.0128,-0.2713,-0.4022,-0.0573,0.0018,
0.1650,0.0135,0.0131,-0.2731,-0.4064,-0.0606,0.0051,
0.1667,0.0112,0.0134,-0.2740,-0.4097,-0.0636,0.0092,
0.1683,0.0087,0.0139,-0.2736,-0.4118,-0.0662,0.0140,
0.1700,0.0059,0.0144,-0.2718,-0.4124,-0.0684,0.0195,
0.1717,0.0030,0.0150,-0.2685,-0.4113,-0.0699,0.0258,
0.1733,-0.0001,0.0156,-0.2635,-0.4083,-0.0708,0.0327,
0.1750,-0.0033,0.0163,-0.2566,-0.4031,-0.0708,0.0403,
0.1767,-0.0065,0.0171,-0.2478,-0.3954,-0.0698,0.0484,
0.1783,-0.0097,0.0178,-0.2368,-0.3851,-0.0678,0.0569,
0.1800,-0.0128,0.0186,-0.2238,-0.3719,-0.0647,0.0657,
0.1817,-0.0157,0.0194,-0.2085,-0.3557,-0.0603,0.0747,
0.1833,-0.0183,0.0201,-0.1910,-0.3365,-0.0546,0.0837,
0.1850,-0.0205,0.0207,-0.1714,-0.3140,-0.0477,0.0926,
0.1867,-0.0224,0.0212,-0.1496,-0.2884,-0.0393,0.1012,
0.1883,-0.0236,0.0216,-0.1260,-0.2595,-0.0297,0.1093,
0.1900,-0.0243,0.0218,-0.1005,-0.2275,-0.0187,0.1168,
0.1917,-0.0243,0.0218,-0.0734,-0.1925,-0.0066,0.1235,
0.1933,-0.0236,0.0215,-0.0450,-0.1547,0.0066,0.1293,
0.1950,-0.0221,0.0210,-0.0154,-0.1143,0.0207,0.1339,
0.1967,-0.0198,0.0201,0.0149,-0.0717,0.0356,0.1374,
0.1983,-0.0167,0.0189,0.0457,-0.0270,0.0511,0.1395,
0.2000,-0.0128,0.0172,0.0767,0.0192,0.0669,0.1403,
0.2017,-0.0082,0.0152,0.1074,0.0667,0.0827,0.1397,
0.2033,-0.0028,0.0128,0.1376,0.1149,0.0984,0.1378,
0.2050,0.0032,0.0100,0.1669,0.1635,0.1136,0.1346,
0.2067,0.0097,0.0068,0.1950,0.2120,0.1280,0.1303,
0.2083,0.0166,0.0032,0.2217,0.2599,0.1415,0.1249,
0.2100,0.0238,-0.0008,0.2466,0.3068,0.1537,0.1186,
0.2117,0.0310,-0.0050,0.2697,0.3523,0.1644,0.1118,
0.2133,0.0382,-0.0095,0.2906,0.3960,0.1734,0.1044,
0.2150,0.0451,-0.0142,0.3094,0.4375,0.1807,0.0969,
0.2167,0.0515,-0.0189,0.3258,0.4765,0.1862,0.0895,
0.2183,0.0573,-0.0235,0.3400,0.5128,0.1897,0.0823,
0.2200,0.0623,-0.0280,0.3518,0.5461,0.1914,0.0756,
0.2217,0.0663,-0.0321,0.3615,0.5762,0.1914,0.0696,
0.2233,0.0691,-0.0358,0.3690,0.6030,0.1897,0.0644,
0.2250,0.0707,-0.0389,0.3744,0.6265,0.1866,0.0602,
0.2267,0.0708,-0.0412,0.3780,0.6466,0.1821,0.0570,
0.2283,0.0696,-0.0427,0.3798,0.6633,0.1767,0.0549,
0.2300,0.0669,-0.0431,0.3801,0.6766,0.1704,0.0537,
0.2317,0.0627,-0.0425,0.3790,0.6868,0.1635,0.0536,
0.2333,0.0572,-0.0407,0.3768,0.6939,0.1561,0.0543,
0.2350,0.0505,-0.0377,0.3736,0.6982,0.1486,0.0558,
0.2367,0.0427,-0.0335,0.3695,0.6997,0.1409,0.0579,
0.2383,0.0340,-0.0281,0.3648,0.6986,0.1333,0.0604,
0.2400,0.0248,-0.0216,0.3597,0.6953,0.1258,0.0631,
0.2417,0.0151,-0.0142,0.3542,0.6899,0.1185,0.0659,
0.2433,0.0053,-0.0059,0.3485,0.6825,0.1114,0.0686,
0.2450,-0.0043,0.0030,0.3427,0.6735,0.1046,0.0710,
