time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,1.4063,6.1384,94.1850,83.6082,81.0677,85.2687,95.4143,-1.2318,
0.0167,1.4531,5.6996,94.1686,83.5634,81.0649,85.2887,95.4167,-1.2318,
0.0250,1.5007,5.1540,94.1516,83.5171,81.0624,85.3064,95.4190,-1.2317,
0.0333,1.5486,4.4684,94.1349,83.4705,81.0598,85.3201,95.4209,-1.2317,
0.0417,1.5939,3.6398,94.1199,83.4249,81.0562,85.3293,95.4221,-1.2316,
0.0500,1.6329,2.7044,94.1080,83.3824,81.0510,85.3344,95.4226,-1.2316,
0.0583,1.6628,1.7240,94.0999,83.3452,81.0438,85.3362,95.4221,-1.2315,
0.0667,1.6831,0.7582,94.0959,83.3148,81.0345,85.3360,95.4208,-1.2315,
0.0750,1.6955,-0.1519,94.0957,83.2920,81.0233,85.3347,95.4186,-1.2314,
0.0833,1.7022,-0.9837,94.0990,83.2769,81.0102,85.3332,95.4158,-1.2314,
0.0917,1.7056,-1.7287,94.1054,83.2689,80.9953,85.3318,95.4125,-1.2313,
0.1000,1.7070,-2.3845,94.1142,83.2675,80.9789,85.3310,95.4087,-1.2313,
0.1083,1.7075,-2.9517,94.1250,83.2722,80.9616,85.3309,95.4047,-1.2313,
0.1167,1.7077,-3.4321,94.1368,83.2824,80.9437,85.3316,95.4005,-1.2312,
0.1250,1.7082,-3.8299,94.1491,83.2976,80.9258,85.3332,95.3961,-1.2312,
0.1333,1.7091,-4.1512,94.1614,83.3171,80.9082,85.3358,95.3915,-1.2312,
0.1417,1.7108,-4.4022,94.1734,83.3405,80.8911,85.3396,95.3869,-1.2311,
0.1500,1.7129,-4.5899,94.1851,83.3672,80.8746,85.3444,95.3823,-1.2311,
0.1583,1.7150,-4.7206,94.1963,83.3968,80.8589,85.3501,95.3777,-1.2311,
0.1667,1.7164,-4.8007,94.2073,83.4294,80.8440,85.3562,95.3733,-1.2311,
0.1750,1.7167,-4.8363,94.2179,83.4653,80.8300,85.3622,95.3690,-1.2311,
0.1833,1.7159,-4.8325,94.2282,83.5049,80.8166,85.3675,95.3649,-1.2311,
0.1917,1.7144,-4.7947,94.2383,83.5483,80.8040,85.3716,95.3610,-1.2310,
0.2000,1.7130,-4.7281,94.2479,83.5948,80.7919,85.3746,95.3573,-1.2310,
0.2083,1.7120,-4.6379,94.2570,83.6438,80.7805,85.3770,95.3537,-1.2310,
0.2167,1.7117,-4.5298,94.2656,83.6945,80.7695,85.3790,95.3502,-1.2310,
0.2250,1.7121,-4.4091,94.2741,83.7467,80.7587,85.3807,95.3468,-1.2310,
0.2333,1.7130,-4.2814,94.2827,83.7995,80.7478,85.3826,95.3434,-1.2310,
0.2417,1.7145,-4.1510,94.2922,83.8514,80.7364,85.3857,95.3398,-1.2310,
0.2500,1.7168,-4.0215,94.3033,83.9004,80.7239,85.3915,95.3359,-1.2310,
0.2583,1.7200,-3.8955,94.3171,83.9439,80.7098,85.4016,95.3316,-1.2310,
