time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0169,0.0416,-0.1842,0.0084,0.0482,0.1069,
0.0033,-0.0169,0.0416,-0.1842,0.0084,0.0482,0.1069,
0.0050,-0.0169,0.0416,-0.1843,0.0084,0.0482,0.1069,
0.0067,-0.0169,0.0416,-0.1843,0.0084,0.0482,0.1069,
0.0083,-0.0169,0.0417,-0.1843,0.0084,0.0483,0.1069,
0.0100,-0.0169,0.0417,-0.1843,0.0084,0.0483,0.1069,
0.0117,-0.0169,0.0417,-0.1844,0.0084,0.0483,0.1070,
0.0133,-0.0169,0.0417,-0.1844,0.0084,0.0483,0.1070,
0.0150,-0.0169,0.0417,-0.1844,0.0084,0.0483,0.1070,
0.0167,-0.0169,0.0417,-0.1844,0.0084,0.0483,0.1070,
0.0183,-0.0169,0.0417,-0.1845,0.0084,0.0483,0.1070,
0.0200,-0.0169,0.0416,-0.1845,0.0084,0.0483,0.1071,
0.0217,-0.0169,0.0416,-0.1845,0.0083,0.0483,0.1071,
0.0233,-0.0168,0.0416,-0.1845,0.0083,0.0483,0.1071,
0.0250,-0.0168,0.0416,-0.1845,0.0083,0.0483,0.1071,
0.0267,-0.0168,0.0416,-0.1845,0.0083,0.0482,0.1071,
0.0283,-0.0168,0.0416,-0.1845,0.0083,0.0482,0.1072,
0.0300,-0.0168,0.0416,-0.1845,0.0083,0.0482,0.1072,
0.0317,-0.0168,0.0416,-0.1845,0.0083,0.0482,0.1072,
0.0333,-0.0168,0.0416,-0.1845,0.0083,0.0481,0.1072,
0.0350,-0.0168,0.0416,-0.1845,0.0083,0.0481,0.1072,
0.0367,-0.0167,0.0415,-0.1844,0.0083,0.0481,0.1071,
0.0383,-0.0167,0.0415,-0.1843,0.0083,0.0480,0.1071,
0.0400,-0.0167,0.0415,-0.1843,0.0083,0.0480,0.1071,
0.0417,-0.0167,0.0415,-0.1842,0.0083,0.0480,0.1070,
0.0433,-0.0167,0.0415,-0.1841,0.0083,0.0479,0.1070,
0.0450,-0.0167,0.0415,-0.1840,0.0083,0.0479,0.1069,
0.0467,-0.0167,0.0415,-0.1839,0.0083,0.0479,0.1069,
0.0483,-0.0167,0.0415,-0.1838,0.0083,0.0478,0.1068,
0.0500,-0.0167,0.0415,-0.1837,0.0083,0.0478,0.1067,
0.0517,-0.0167,0.0415,-0.1836,0.0083,0.0478,0.1066,
0.0533,-0.0167,0.0415,-0.1835,0.0084,0.0478,0.1065,
0.0550,-0.0167,0.0415,-0.1834,0.0084,0.0478,0.1064,
0.0567,-0.0167,0.0415,-0.1834,0.0084,0.0478,0.1064,
0.0583,-0.0167,0.0415,-0.1833,0.0084,0.0478,0.1063,
0.0600,-0.0168,0.0415,-0.1832,0.0084,0.0479,0.1062,
0.0617,-0.0168,0.0416,-0.1832,0.0085,0.0479,0.1061,
0.0633,-0.0169,0.0416,-0.1832,0.0085,0.0480,0.1061,
0.0650,-0.0169,0.0416,-0.1832,0.0085,0.0481,0.1060,
0.0667,-0.0170,0.0417,-0.1832,0.0085,0.0481,0.1060,
0.0683,-0.0170,0.0417,-0.1833,0.0086,0.0482,0.1060,
0.0700,-0.0171,0.0418,-0.1834,0.0086,0.0484,0.1061,
0.0717,-0.0171,0.0418,-0.1836,0.0086,0.0485,0.1061,
0.0733,-0.0172,0.0419,-0.1837,0.0086,0.0486,0.1062,
0.0750,-0.0172,0.0420,-0.1840,0.0086,0.0487,0.1063,
