time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.6202,0.1656,-1.9184,-0.3676,-0.0737,0.5890,
0.0033,-0.5574,0.1382,-1.9363,-0.3019,-0.0695,0.5861,
0.0050,-0.4959,0.1098,-1.9529,-0.2376,-0.0655,0.5845,
0.0067,-0.4364,0.0808,-1.9673,-0.1754,-0.0620,0.5844,
0.0083,-0.3793,0.0515,-1.9791,-0.1158,-0.0590,0.5862,
0.0100,-0.3251,0.0221,-1.9874,-0.0594,-0.0568,0.5900,
0.0117,-0.2741,-0.0069,-1.9916,-0.0065,-0.0553,0.5962,
0.0133,-0.2269,-0.0354,-1.9910,0.0423,-0.0547,0.6048,
0.0150,-0.1835,-0.0630,-1.9848,0.0868,-0.0551,0.6161,
0.0167,-0.1442,-0.0897,-1.9724,0.1269,-0.0566,0.6302,
0.0183,-0.1092,-0.1151,-1.9532,0.1624,-0.0591,0.6472,
0.0200,-0.0785,-0.1394,-1.9267,0.1933,-0.0628,0.6671,
0.0217,-0.0520,-0.1622,-1.8924,0.2196,-0.0675,0.6901,
0.0233,-0.0298,-0.1837,-1.8499,0.2416,-0.0734,0.7160,
0.0250,-0.0115,-0.2038,-1.7990,0.2593,-0.0803,0.7449,
0.0267,0.0030,-0.2224,-1.7396,0.2730,-0.0881,0.7767,
0.0283,0.0139,-0.2395,-1.6718,0.2830,-0.0966,0.8112,
0.0300,0.0215,-0.2553,-1.5958,0.2896,-0.1058,0.8482,
0.0317,0.0261,-0.2696,-1.5120,0.2932,-0.1154,0.8877,
0.0333,0.0281,-0.2826,-1.4208,0.2940,-0.1252,0.9293,
0.0350,0.0278,-0.2942,-1.3230,0.2925,-0.1350,0.9729,
0.0367,0.0256,-0.3045,-1.2194,0.2890,-0.1444,1.0180,
0.0383,0.0217,-0.3135,-1.1110,0.2838,-0.1533,1.0645,
0.0400,0.0166,-0.3212,-0.9988,0.2773,-0.1615,1.1120,
0.0417,0.0106,-0.3276,-0.8841,0.2698,-0.1686,1.1600,
0.0433,0.0039,-0.3329,-0.7681,0.2616,-0.1744,1.2083,
0.0450,-0.0031,-0.3369,-0.6520,0.2529,-0.1788,1.2563,
0.0467,-0.0103,-0.3397,-0.5371,0.2439,-0.1816,1.3037,
0.0483,-0.0174,-0.3414,-0.4248,0.2349,-0.1826,1.3500,
0.0500,-0.0242,-0.3420,-0.3161,0.2260,-0.1818,1.3947,
0.0517,-0.0306,-0.3414,-0.2121,0.2173,-0.1792,1.4374,
0.0533,-0.0364,-0.3399,-0.1139,0.2089,-0.1746,1.4775,
0.0550,-0.0415,-0.3374,-0.0222,0.2008,-0.1681,1.5144,
0.0567,-0.0458,-0.3340,0.0621,0.1931,-0.1600,1.5478,
0.0583,-0.0493,-0.3297,0.1387,0.1858,-0.1501,1.5770,
0.0600,-0.0520,-0.3247,0.2070,0.1787,-0.1387,1.6016,
0.0617,-0.0537,-0.3190,0.2669,0.1720,-0.1260,1.6211,
0.0633,-0.0546,-0.3126,0.3184,0.1653,-0.1122,1.6352,
0.0650,-0.0546,-0.3058,0.3614,0.1588,-0.0975,1.6433,
0.0667,-0.0537,-0.2985,0.3962,0.1524,-0.0820,1.6452,
0.0683,-0.0520,-0.2908,0.4232,0.1458,-0.0661,1.6406,
0.0700,-0.0495,-0.2828,0.4429,0.1392,-0.0499,1.6293,
0.0717,-0.0463,-0.2746,0.4557,0.1323,-0.0336,1.6113,
0.0733,-0.0424,-0.2661,0.4625,0.1253,-0.0175,1.5865,
0.0750,-0.0380,-0.2574,0.4638,0.1180,-0.0016,1.5549,
0.0767,-0.0331,-0.2486,0.4604,0.1104,0.0138,1.5167,
0.0783,-0.0278,-0.2397,0.4531,0.1027,0.0287,1.4720,
0.0800,-0.0222,-0.2307,0.4425,0.0948,0.0428,1.4212,
0.0817,-0.0165,-0.2217,0.4296,0.0868,0.0562,1.3647,
0.0833,-0.0106,-0.2126,0.4149,0.0787,0.0685,1.3027,
0.0850,-0.0047,-0.2034,0.3991,0.0707,0.0799,1.2358,
0.0867,0.0012,-0.1942,0.3829,0.0629,0.0901,1.1645,
0.0883,0.0068,-0.1850,0.3667,0.0554,0.0991,1.0893,
0.0900,0.0122,-0.1757,0.3511,0.0482,0.1068,1.0109,
0.0917,0.0174,-0.1664,0.3365,0.0415,0.1131,0.9299,
0.0933,0.0222,-0.1569,0.3231,0.0353,0.1179,0.8469,
0.0950,0.0266,-0.1474,0.3114,0.0299,0.1212,0.7625,
0.0967,0.0306,-0.1378,0.3013,0.0251,0.1229,0.6774,
0.0983,0.0341,-0.1279,0.2931,0.0213,0.1230,0.5921,
0.1000,0.0373,-0.1178,0.2869,0.0183,0.1214,0.5074,
0.1017,0.0401,-0.1073,0.2825,0.0163,0.1182,0.4238,
0.1033,0.0424,-0.0964,0.2801,0.0152,0.1133,0.3418,
0.1050,0.0444,-0.0849,0.2794,0.0152,0.1069,0.2621,
0.1067,0.0461,-0.0728,0.2804,0.0161,0.0990,0.1850,
0.1083,0.0475,-0.0599,0.2828,0.0181,0.0897,0.1110,
0.1100,0.0487,-0.0461,0.2866,0.0209,0.0792,0.0405,
0.1117,0.0497,-0.0314,0.2914,0.0247,0.0676,-0.0261,
0.1133,0.0505,-0.0155,0.2971,0.0292,0.0551,-0.0886,
0.1150,0.0512,0.0014,0.3034,0.0345,0.0419,-0.1469,
0.1167,0.0518,0.0196,0.3102,0.0403,0.0283,-0.2007,
0.1183,0.0523,0.0389,0.3172,0.0466,0.0145,-0.2501,
0.1200,0.0528,0.0594,0.3241,0.0532,0.0007,-0.2951,
0.1217,0.0532,0.0811,0.3309,0.0599,-0.0128,-0.3357,
0.1233,0.0535,0.1036,0.3372,0.0666,-0.0259,-0.3723,
0.1250,0.0538,0.1270,0.3430,0.0732,-0.0382,-0.4050,
0.1267,0.0540,0.1508,0.3481,0.0794,-0.0496,-0.4344,
0.1283,0.0541,0.1749,0.3523,0.0850,-0.0600,-0.4608,
0.1300,0.0541,0.1988,0.3557,0.0900,-0.0691,-0.4847,
0.1317,0.0541,0.2220,0.3580,0.0942,-0.0769,-0.5067,
0.1333,0.0540,0.2442,0.3593,0.0975,-0.0833,-0.5275,
0.1350,0.0538,0.2648,0.3595,0.0997,-0.0882,-0.5477,
0.1367,0.0536,0.2831,0.3587,0.1008,-0.0916,-0.5680,
0.1383,0.0533,0.2985,0.3569,0.1008,-0.0935,-0.5891,
0.1400,0.0530,0.3105,0.3542,0.0997,-0.0939,-0.6116,
0.1417,0.0527,0.3185,0.3505,0.0975,-0.0930,-0.6361,
0.1433,0.0525,0.3217,0.3461,0.0942,-0.0907,-0.6633,
0.1450,0.0524,0.3196,0.3411,0.0900,-0.0872,-0.6936,
0.1467,0.0524,0.3118,0.3355,0.0850,-0.0827,-0.7275,
0.1483,0.0527,0.2977,0.3296,0.0793,-0.0772,-0.7651,
0.1500,0.0532,0.2771,0.3235,0.0732,-0.0710,-0.8068,
0.1517,0.0540,0.2496,0.3174,0.0668,-0.0641,-0.8525,
0.1533,0.0551,0.2153,0.3113,0.0604,-0.0567,-0.9023,
0.1550,0.0567,0.1742,0.3055,0.0542,-0.0490,-0.9559,
0.1567,0.0587,0.1266,0.3001,0.0483,-0.0412,-1.0130,
0.1583,0.0612,0.0730,0.2952,0.0430,-0.0333,-1.0732,
0.1600,0.0641,0.0140,0.2910,0.0385,-0.0255,-1.1361,
0.1617,0.0676,-0.0495,0.2874,0.0349,-0.0180,-1.2010,
0.1633,0.0716,-0.1162,0.2846,0.0323,-0.0107,-1.2672,
0.1650,0.0760,-0.1849,0.2827,0.0307,-0.0039,-1.3340,
0.1667,0.0809,-0.2539,0.2815,0.0304,0.0023,-1.4007,
0.1683,0.0861,-0.3215,0.2812,0.0311,0.0080,-1.4662,
0.1700,0.0916,-0.3856,0.2816,0.0329,0.0131,-1.5299,
0.1717,0.0973,-0.4440,0.2828,0.0357,0.0174,-1.5907,
0.1733,0.1030,-0.4944,0.2847,0.0395,0.0211,-1.6476,
0.1750,0.1087,-0.5345,0.2872,0.0439,0.0240,-1.6996,
0.1767,0.1143,-0.5617,0.2902,0.0490,0.0261,-1.7457,
0.1783,0.1196,-0.5737,0.2936,0.0544,0.0274,-1.7848,
0.1800,0.1244,-0.5680,0.2974,0.0601,0.0281,-1.8159,
0.1817,0.1287,-0.5424,0.3013,0.0656,0.0281,-1.8378,
0.1833,0.1323,-0.4949,0.3054,0.0708,0.0274,-1.8494,
0.1850,0.1351,-0.4238,0.3095,0.0756,0.0262,-1.8496,
0.1867,0.1370,-0.3275,0.3135,0.0795,0.0245,-1.8373,
0.1883,0.1380,-0.2053,0.3174,0.0824,0.0224,-1.8115,
0.1900,0.1379,-0.0567,0.3210,0.0842,0.0202,-1.7714,
0.1917,0.1367,0.1182,0.3243,0.0845,0.0178,-1.7160,
0.1933,0.1345,0.3187,0.3272,0.0833,0.0155,-1.6447,
0.1950,0.1311,0.5431,0.3297,0.0803,0.0134,-1.5570,
0.1967,0.1267,0.7894,0.3318,0.0756,0.0117,-1.4528,
0.1983,0.1213,1.0545,0.3333,0.0689,0.0105,-1.3320,
0.2000,0.1149,1.3347,0.3344,0.0602,0.0099,-1.1950,
0.2017,0.1076,1.6255,0.3350,0.0497,0.0102,-1.0425,
0.2033,0.0996,1.9217,0.3352,0.0372,0.0113,-0.8756,
0.2050,0.0909,2.2174,0.3351,0.0229,0.0135,-0.6958,
0.2067,0.0818,2.5062,0.3345,0.0068,0.0168,-0.5051,
0.2083,0.0722,2.7811,0.3337,-0.0107,0.0212,-0.3059,
0.2100,0.0625,3.0348,0.3327,-0.0296,0.0268,-0.1010,
0.2117,0.0527,3.2601,0.3316,-0.0495,0.0334,0.1063,
0.2133,0.0431,3.4493,0.3303,-0.0702,0.0411,0.3124,
0.2150,0.0338,3.5955,0.3290,-0.0913,0.0498,0.5133,
0.2167,0.0248,3.6917,0.3277,-0.1123,0.0593,0.7046,
0.2183,0.0165,3.7320,0.3264,-0.1330,0.0695,0.8819,
0.2200,0.0090,3.7112,0.3251,-0.1527,0.0801,1.0406,
0.2217,0.0022,3.6253,0.3238,-0.1711,0.0910,1.1761,
0.2233,-0.0035,3.4718,0.3224,-0.1877,0.1020,1.2840,
0.2250,-0.0082,3.2496,0.3211,-0.2019,0.1128,1.3603,
0.2267,-0.0119,2.9596,0.3196,-0.2132,0.1231,1.4014,
0.2283,-0.0143,2.6045,0.3179,-0.2213,0.1327,1.4042,
0.2300,-0.0156,2.1892,0.3161,-0.2257,0.1415,1.3665,
0.2317,-0.0158,1.7205,0.3140,-0.2260,0.1490,1.2872,
0.2333,-0.0149,1.2070,0.3116,-0.2220,0.1552,1.1659,
0.2350,-0.0130,0.6593,0.3088,-0.2135,0.1599,1.0036,
0.2367,-0.0102,0.0895,0.3057,-0.2003,0.1628,0.8027,
0.2383,-0.0066,-0.4893,0.3022,-0.1825,0.1640,0.5665,
0.2400,-0.0023,-1.0637,0.2983,-0.1603,0.1632,0.2999,
0.2417,0.0025,-1.6200,0.2940,-0.1342,0.1606,0.0088,
0.2433,0.0077,-2.1454,0.2894,-0.1045,0.1560,-0.2995,
0.2450,0.0131,-2.6282,0.2845,-0.0721,0.1496,-0.6172,
0.2467,0.0185,-3.0587,0.2794,-0.0377,0.1414,-0.9356,
0.2483,0.0238,-3.4290,0.2741,-0.0024,0.1316,-1.2458,
0.2500,0.0288,-3.7337,0.2688,0.0328,0.1203,-1.5389,
0.2517,0.0334,-3.9693,0.2634,0.0667,0.1077,-1.8064,
0.2533,0.0374,-4.1348,0.2582,0.0982,0.0939,-2.0406,
0.2550,0.0407,-4.2306,0.2532,0.1261,0.0792,-2.2351,
0.2567,0.0432,-4.2591,0.2485,0.1493,0.0639,-2.3848,
0.2583,0.0448,-4.2241,0.2442,0.1667,0.0481,-2.4863,
0.2600,0.0455,-4.1304,0.2404,0.1775,0.0320,-2.5379,
0.2617,0.0452,-3.9839,0.2369,0.1809,0.0160,-2.5397,
0.2633,0.0439,-3.7915,0.2340,0.1763,0.0002,-2.4932,
0.2650,0.0417,-3.5606,0.2314,0.1635,-0.0151,-2.4018,
0.2667,0.0385,-3.2987,0.2293,0.1425,-0.0297,-2.2696,
0.2683,0.0344,-3.0138,0.2274,0.1137,-0.0432,-2.1022,
0.2700,0.0295,-2.7135,0.2257,0.0777,-0.0556,-1.9055,
0.2717,0.0240,-2.4052,0.2240,0.0352,-0.0666,-1.6861,
0.2733,0.0178,-2.0958,0.2222,-0.0127,-0.0760,-1.4505,
0.2750,0.0112,-1.7916,0.2202,-0.0650,-0.0835,-1.2054,
0.2767,0.0042,-1.4981,0.2177,-0.1207,-0.0890,-0.9571,
0.2783,-0.0030,-1.2202,0.2146,-0.1785,-0.0924,-0.7115,
0.2800,-0.0103,-0.9618,0.2107,-0.2374,-0.0935,-0.4739,
0.2817,-0.0176,-0.7261,0.2060,-0.2964,-0.0924,-0.2488,
0.2833,-0.0247,-0.5155,0.2003,-0.3544,-0.0889,-0.0402,
0.2850,-0.0316,-0.3315,0.1936,-0.4105,-0.0832,0.1491,
0.2867,-0.0381,-0.1751,0.1860,-0.4637,-0.0754,0.3170,
0.2883,-0.0442,-0.0464,0.1773,-0.5134,-0.0656,0.4623,
0.2900,-0.0498,0.0548,0.1677,-0.5588,-0.0540,0.5846,
0.2917,-0.0549,0.1296,0.1573,-0.5995,-0.0409,0.6842,
0.2933,-0.0594,0.1794,0.1463,-0.6352,-0.0267,0.7622,
0.2950,-0.0633,0.2061,0.1348,-0.6655,-0.0116,0.8197,
0.2967,-0.0665,0.2121,0.1231,-0.6905,0.0038,0.8587,
0.2983,-0.0690,0.1998,0.1114,-0.7102,0.0193,0.8812,
0.3000,-0.0709,0.1719,0.0999,-0.7247,0.0344,0.8891,
0.3017,-0.0721,0.1312,0.0890,-0.7344,0.0487,0.8850,
0.3033,-0.0727,0.0802,0.0789,-0.7396,0.0619,0.8709,
0.3050,-0.0727,0.0216,0.0697,-0.7407,0.0736,0.8492,
0.3067,-0.0721,-0.0420,0.0619,-0.7381,0.0835,0.8220,
0.3083,-0.0710,-0.1083,0.0555,-0.7323,0.0915,0.7912,
0.3100,-0.0696,-0.1751,0.0506,-0.7240,0.0973,0.7588,
0.3117,-0.0678,-0.2402,0.0476,-0.7136,0.1009,0.7262,
0.3133,-0.0657,-0.3020,0.0463,-0.7018,0.1023,0.6948,
0.3150,-0.0636,-0.3587,0.0469,-0.6890,0.1015,0.6657,
0.3167,-0.0614,-0.4093,0.0493,-0.6756,0.0986,0.6397,
0.3183,-0.0594,-0.4527,0.0535,-0.6623,0.0939,0.6175,
