time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0070,-0.2884,-0.1842,2.3356,0.0292,-0.5411,
0.0033,0.0070,-0.2884,-0.1843,2.3356,0.0292,-0.5411,
0.0050,0.0070,-0.2884,-0.1843,2.3356,0.0292,-0.5411,
0.0067,0.0070,-0.2884,-0.1843,2.3357,0.0292,-0.5411,
0.0083,0.0070,-0.2884,-0.1843,2.3358,0.0292,-0.5411,
0.0100,0.0070,-0.2884,-0.1844,2.3358,0.0292,-0.5411,
0.0117,0.0070,-0.2884,-0.1844,2.3359,0.0292,-0.5411,
0.0133,0.0070,-0.2884,-0.1844,2.3360,0.0292,-0.5412,
0.0150,0.0070,-0.2884,-0.1844,2.3361,0.0292,-0.5412,
0.0167,0.0070,-0.2884,-0.1844,2.3363,0.0292,-0.5412,
0.0183,0.0070,-0.2884,-0.1845,2.3364,0.0292,-0.5413,
0.0200,0.0070,-0.2884,-0.1845,2.3365,0.0293,-0.5413,
0.0217,0.0070,-0.2884,-0.1845,2.3366,0.0293,-0.5414,
0.0233,0.0070,-0.2884,-0.1845,2.3367,0.0293,-0.5414,
0.0250,0.0070,-0.2883,-0.1845,2.3369,0.0293,-0.5415,
0.0267,0.0070,-0.2883,-0.1845,2.3370,0.0293,-0.5415,
0.0283,0.0070,-0.2883,-0.1845,2.3371,0.0293,-0.5416,
0.0300,0.0070,-0.2882,-0.1844,2.3371,0.0293,-0.5416,
0.0317,0.0070,-0.2882,-0.1844,2.3372,0.0294,-0.5417,
0.0333,0.0070,-0.2882,-0.1844,2.3372,0.0294,-0.5417,
0.0350,0.0070,-0.2881,-0.1843,2.3372,0.0294,-0.5418,
0.0367,0.0070,-0.2881,-0.1843,2.3371,0.0294,-0.5418,
0.0383,0.0070,-0.2880,-0.1842,2.3370,0.0294,-0.5418,
0.0400,0.0070,-0.2880,-0.1841,2.3369,0.0294,-0.5418,
0.0417,0.0070,-0.2879,-0.1840,2.3367,0.0294,-0.5418,
0.0433,0.0070,-0.2879,-0.1840,2.3365,0.0294,-0.5417,
0.0450,0.0070,-0.2879,-0.1839,2.3363,0.0294,-0.5417,
