time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-7.2726,-4.2803,87.4930,95.1326,75.4244,81.5806,95.5592,-1.1633,
0.0167,-7.1003,-4.3575,87.4607,95.1267,75.4157,81.6020,95.5925,-1.1632,
0.0250,-6.9413,-4.4345,87.4339,95.1208,75.4033,81.6216,95.6224,-1.1631,
0.0333,-6.8081,-4.5068,87.4154,95.1147,75.3866,81.6378,95.6465,-1.1631,
0.0417,-6.7094,-4.5674,87.4046,95.1081,75.3678,81.6498,95.6636,-1.1630,
0.0500,-6.6461,-4.6121,87.3987,95.1009,75.3500,81.6574,95.6735,-1.1629,
0.0583,-6.6123,-4.6412,87.3941,95.0934,75.3359,81.6614,95.6769,-1.1628,
0.0667,-6.5993,-4.6584,87.3884,95.0860,75.3268,81.6627,95.6747,-1.1628,
0.0750,-6.5991,-4.6675,87.3807,95.0791,75.3226,81.6619,95.6683,-1.1627,
0.0833,-6.6047,-4.6714,87.3723,95.0729,75.3213,81.6596,95.6589,-1.1627,
0.0917,-6.6108,-4.6721,87.3659,95.0674,75.3196,81.6564,95.6478,-1.1626,
0.1000,-6.6132,-4.6713,87.3647,95.0623,75.3138,81.6527,95.6358,-1.1625,
0.1083,-6.6090,-4.6703,87.3705,95.0573,75.3017,81.6492,95.6237,-1.1625,
0.1167,-6.5970,-4.6696,87.3827,95.0522,75.2840,81.6457,95.6119,-1.1624,
0.1250,-6.5786,-4.6690,87.3991,95.0471,75.2626,81.6423,95.6006,-1.1623,
0.1333,-6.5572,-4.6685,87.4174,95.0422,75.2399,81.6385,95.5897,-1.1623,
0.1417,-6.5389,-4.6683,87.4356,95.0377,75.2179,81.6342,95.5794,-1.1622,
0.1500,-6.5307,-4.6682,87.4520,95.0340,75.1982,81.6288,95.5695,-1.1621,
0.1583,-6.5362,-4.6675,87.4652,95.0309,75.1818,81.6223,95.5600,-1.1621,
0.1667,-6.5536,-4.6655,87.4743,95.0285,75.1692,81.6146,95.5509,-1.1620,
