time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0011,0.0304,-0.1774,0.0323,-0.0744,-0.0390,
0.0033,-0.0011,0.0304,-0.1774,0.0323,-0.0744,-0.0390,
0.0050,-0.0011,0.0304,-0.1774,0.0323,-0.0744,-0.0391,
0.0067,-0.0011,0.0304,-0.1774,0.0324,-0.0744,-0.0391,
0.0083,-0.0011,0.0304,-0.1774,0.0324,-0.0744,-0.0391,
0.0100,-0.0011,0.0304,-0.1775,0.0324,-0.0744,-0.0391,
0.0117,-0.0011,0.0304,-0.1775,0.0324,-0.0744,-0.0391,
0.0133,-0.0011,0.0305,-0.1775,0.0324,-0.0744,-0.0391,
0.0150,-0.0011,0.0305,-0.1775,0.0324,-0.0744,-0.0391,
0.0167,-0.0011,0.0305,-0.1775,0.0324,-0.0744,-0.0391,
0.0183,-0.0011,0.0305,-0.1775,0.0324,-0.0744,-0.0391,
0.0200,-0.0011,0.0305,-0.1775,0.0324,-0.0744,-0.0391,
0.0217,-0.0011,0.0305,-0.1776,0.0324,-0.0744,-0.0391,
0.0233,-0.0011,0.0305,-0.1776,0.0324,-0.0744,-0.0391,
0.0250,-0.0011,0.0305,-0.1776,0.0324,-0.0745,-0.0391,
0.0267,-0.0011,0.0305,-0.1776,0.0324,-0.0745,-0.0391,
0.0283,-0.0011,0.0304,-0.1776,0.0324,-0.0745,-0.0391,
0.0300,-0.0011,0.0304,-0.1776,0.0324,-0.0745,-0.0391,
0.0317,-0.0011,0.0304,-0.1776,0.0324,-0.0746,-0.0391,
0.0333,-0.0011,0.0304,-0.1776,0.0324,-0.0746,-0.0390,
0.0350,-0.0011,0.0304,-0.1775,0.0324,-0.0747,-0.0390,
0.0367,-0.0011,0.0304,-0.1775,0.0324,-0.0747,-0.0389,
0.0383,-0.0012,0.0303,-0.1775,0.0324,-0.0747,-0.0389,
0.0400,-0.0012,0.0303,-0.1775,0.0324,-0.0748,-0.0389,
0.0417,-0.0012,0.0303,-0.1774,0.0324,-0.0748,-0.0388,
0.0433,-0.0012,0.0303,-0.1774,0.0323,-0.0748,-0.0388,
0.0450,-0.0012,0.0302,-0.1773,0.0323,-0.0748,-0.0387,
0.0467,-0.0012,0.0302,-0.1773,0.0323,-0.0748,-0.0387,
0.0483,-0.0012,0.0302,-0.1772,0.0323,-0.0749,-0.0386,
0.0500,-0.0013,0.0302,-0.1772,0.0323,-0.0748,-0.0386,
0.0517,-0.0013,0.0302,-0.1771,0.0323,-0.0748,-0.0385,
0.0533,-0.0013,0.0302,-0.1770,0.0323,-0.0748,-0.0385,
0.0550,-0.0013,0.0301,-0.1770,0.0323,-0.0748,-0.0385,
0.0567,-0.0013,0.0301,-0.1769,0.0322,-0.0747,-0.0385,
0.0583,-0.0013,0.0302,-0.1769,0.0322,-0.0747,-0.0385,
0.0600,-0.0013,0.0302,-0.1769,0.0322,-0.0746,-0.0385,
0.0617,-0.0013,0.0302,-0.1768,0.0322,-0.0745,-0.0386,
0.0633,-0.0013,0.0302,-0.1768,0.0322,-0.0744,-0.0386,
0.0650,-0.0013,0.0303,-0.1768,0.0322,-0.0743,-0.0387,
0.0667,-0.0013,0.0303,-0.1769,0.0322,-0.0742,-0.0388,
0.0683,-0.0013,0.0304,-0.1769,0.0322,-0.0740,-0.0389,
0.0700,-0.0012,0.0304,-0.1769,0.0322,-0.0739,-0.0390,
0.0717,-0.0012,0.0305,-0.1770,0.0322,-0.0738,-0.0391,
0.0733,-0.0012,0.0306,-0.1771,0.0322,-0.0736,-0.0393,
0.0750,-0.0011,0.0306,-0.1772,0.0323,-0.0735,-0.0394,
0.0767,-0.0011,0.0307,-0.1774,0.0323,-0.0734,-0.0396,
0.0783,-0.0010,0.0308,-0.1775,0.0323,-0.0733,-0.0398,
0.0800,-0.0010,0.0309,-0.1777,0.0324,-0.0732,-0.0400,
0.0817,-0.0009,0.0310,-0.1779,0.0324,-0.0731,-0.0402,
0.0833,-0.0008,0.0311,-0.1780,0.0325,-0.0731,-0.0403,
0.0850,-0.0008,0.0312,-0.1783,0.0325,-0.0731,-0.0405,
0.0867,-0.0007,0.0312,-0.1785,0.0326,-0.0731,-0.0406,
0.0883,-0.0007,0.0313,-0.1787,0.0326,-0.0732,-0.0407,
0.0900,-0.0006,0.0313,-0.1789,0.0327,-0.0733,-0.0408,
0.0917,-0.0006,0.0313,-0.1791,0.0327,-0.0735,-0.0409,
0.0933,-0.0006,0.0313,-0.1792,0.0328,-0.0737,-0.0409,
0.0950,-0.0005,0.0313,-0.1794,0.0328,-0.0739,-0.0408,
0.0967,-0.0005,0.0312,-0.1795,0.0329,-0.0742,-0.0407,
0.0983,-0.0005,0.0311,-0.1796,0.0329,-0.0745,-0.0406,
0.1000,-0.0006,0.0310,-0.1796,0.0329,-0.0749,-0.0404,
0.1017,-0.0006,0.0309,-0.1796,0.0329,-0.0753,-0.0401,
0.1033,-0.0007,0.0307,-0.1795,0.0329,-0.0758,-0.0398,
0.1050,-0.0008,0.0305,-0.1793,0.0329,-0.0763,-0.0394,
0.1067,-0.0009,0.0303,-0.1791,0.0329,-0.0767,-0.0389,
0.1083,-0.0010,0.0300,-0.1788,0.0328,-0.0772,-0.0384,
0.1100,-0.0012,0.0297,-0.1785,0.0327,-0.0777,-0.0378,
0.1117,-0.0013,0.0294,-0.1780,0.0326,-0.0781,-0.0372,
0.1133,-0.0015,0.0291,-0.1775,0.0325,-0.0785,-0.0366,
0.1150,-0.0017,0.0288,-0.1770,0.0324,-0.0789,-0.0359,
0.1167,-0.0019,0.0284,-0.1763,0.0322,-0.0792,-0.0353,
0.1183,-0.0021,0.0281,-0.1757,0.0320,-0.0794,-0.0346,
0.1200,-0.0023,0.0278,-0.1749,0.0319,-0.0795,-0.0340,
0.1217,-0.0026,0.0276,-0.1742,0.0317,-0.0794,-0.0335,
0.1233,-0.0028,0.0274,-0.1734,0.0315,-0.0793,-0.0330,
0.1250,-0.0029,0.0272,-0.1727,0.0313,-0.0790,-0.0326,
0.1267,-0.0031,0.0271,-0.1720,0.0311,-0.0785,-0.0324,
0.1283,-0.0032,0.0271,-0.1713,0.0309,-0.0778,-0.0323,
0.1300,-0.0033,0.0271,-0.1708,0.0307,-0.0770,-0.0324,
0.1317,-0.0034,0.0273,-0.1703,0.0306,-0.0761,-0.0326,
0.1333,-0.0033,0.0276,-0.1700,0.0305,-0.0749,-0.0330,
0.1350,-0.0033,0.0279,-0.1698,0.0304,-0.0736,-0.0337,
0.1367,-0.0031,0.0284,-0.1698,0.0303,-0.0721,-0.0346,
0.1383,-0.0029,0.0290,-0.1700,0.0303,-0.0706,-0.0357,
0.1400,-0.0027,0.0297,-0.1704,0.0304,-0.0689,-0.0371,
0.1417,-0.0023,0.0305,-0.1711,0.0305,-0.0672,-0.0386,
0.1433,-0.0019,0.0314,-0.1720,0.0307,-0.0654,-0.0404,
0.1450,-0.0014,0.0324,-0.1732,0.0310,-0.0637,-0.0424,
0.1467,-0.0008,0.0335,-0.1746,0.0313,-0.0620,-0.0445,
0.1483,-0.0002,0.0346,-0.1763,0.0317,-0.0604,-0.0468,
0.1500,0.0005,0.0358,-0.1783,0.0321,-0.0591,-0.0491,
