time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,40.3758,1.8147,49.1154,91.8191,104.6591,116.8507,71.3542,-1.3029,
0.0167,40.4265,1.8538,49.1155,91.8326,104.6550,116.8434,71.3487,-1.3029,
0.0250,40.4689,1.8905,49.1156,91.8469,104.6509,116.8356,71.3419,-1.3029,
0.0333,0.6899,1.9221,75.2272,91.8623,110.3388,116.8272,71.3333,-1.3029,
0.0417,0.7096,1.9469,75.3367,91.8781,110.3252,116.8184,71.3225,-1.3029,
0.0500,0.7264,1.9649,75.3980,91.8932,110.3163,116.8098,71.3098,-1.3028,
0.0583,0.7400,1.9772,75.4229,91.9067,110.3109,116.8021,71.2957,-1.3028,
0.0667,0.7501,1.9853,75.4239,91.9185,110.3080,116.7953,71.2807,-1.3028,
0.0750,0.7569,1.9902,75.4117,91.9289,110.3065,116.7891,71.2654,-1.3028,
0.0833,0.7603,1.9926,75.3943,91.9384,110.3057,116.7834,71.2505,-1.3027,
0.0917,0.7610,1.9936,75.3763,91.9476,110.3051,116.7778,71.2364,-1.3027,
0.1000,0.7600,1.9940,75.3604,91.9569,110.3044,116.7718,71.2239,-1.3027,
0.1083,0.7584,1.9945,75.3470,91.9670,110.3033,116.7654,71.2134,-1.3027,
0.1167,0.7571,1.9952,75.3360,91.9783,110.3019,116.7581,71.2054,-1.3027,
0.1250,0.7561,1.9957,75.3266,91.9908,110.3003,116.7498,71.2006,-1.3026,
0.1333,0.7546,1.9957,75.3184,92.0045,110.2984,116.7404,71.1992,-1.3026,
0.1417,0.7509,1.9949,75.3106,92.0188,110.2966,116.7300,71.2016,-1.3026,
0.1500,0.7429,1.9927,75.3033,92.0327,110.2951,116.7190,71.2073,-1.3025,
0.1583,0.7281,1.9894,75.2966,92.0444,110.2939,116.7080,71.2156,-1.3025,
0.1667,0.7047,1.9862,75.2912,92.0516,110.2929,116.6978,71.2252,-1.3024,
0.1750,0.6717,1.9855,75.2879,92.0512,110.2914,116.6898,71.2347,-1.3023,
0.1833,0.6311,1.9911,75.2876,92.0392,110.2880,116.6856,71.2435,-1.3022,
0.1917,0.5894,2.0064,75.2914,92.0113,110.2801,116.6874,71.2514,-1.3021,
0.2000,0.5575,2.0344,75.3009,91.9620,110.2641,116.6979,71.2588,-1.3020,
0.2083,0.5491,2.0768,75.3189,91.8858,110.2353,116.7204,71.2662,-1.3019,
0.2167,0.5776,2.1353,75.3494,91.7760,110.1884,116.7590,71.2739,-1.3017,
0.2250,0.6540,2.2115,75.3972,91.6258,110.1186,116.8182,71.2821,-1.3015,
0.2333,0.7851,2.3065,75.4677,91.4280,110.0215,116.9030,71.2904,-1.3012,
0.2417,0.9728,2.4218,75.5651,91.1756,109.8947,117.0181,71.2982,-1.3010,
0.2500,1.2141,2.5585,75.6913,90.8633,109.7374,117.1673,71.3042,-1.3007,
0.2583,1.5019,2.7168,75.8461,90.4876,109.5510,117.3526,71.3069,-1.3004,
0.2667,1.8259,2.8948,76.0277,90.0484,109.3380,117.5737,71.3042,-1.3000,
0.2750,2.1759,3.0874,76.2334,89.5501,109.1021,117.8279,71.2941,-1.2997,
0.2833,2.5441,3.2862,76.4593,89.0021,108.8476,118.1096,71.2750,-1.2993,
0.2917,2.9256,3.4821,76.7000,88.4180,108.5792,118.4107,71.2460,-1.2989,
0.3000,3.3171,3.6692,76.9482,87.8134,108.3020,118.7213,71.2078,-1.2984,
0.3083,3.7144,3.8453,77.1951,87.2039,89.8573,98.5271,91.4944,-1.1563,
0.3167,4.1114,4.0113,77.4321,86.6050,89.5009,98.8829,91.4347,-1.1559,
0.3250,4.4998,4.1693,77.6506,86.0306,89.2089,99.1476,91.3854,-1.1554,
0.3333,4.8693,4.3231,77.8428,85.4927,88.9592,99.3500,91.3376,-1.1547,
0.3417,5.2099,4.4776,78.0021,85.0001,88.7389,99.5092,91.2829,-1.1541,
0.3500,5.5117,4.6373,78.1231,84.5583,88.5429,99.6354,91.2144,-1.1534,
0.3583,5.7657,4.8039,78.2021,84.1697,88.3707,99.7332,91.1261,-1.1526,
0.3667,5.9633,4.9762,78.2365,83.8342,88.2250,99.8049,91.0139,-1.1519,
0.3750,6.0962,5.1510,78.2251,83.5497,88.1094,99.8511,90.8774,-1.1511,
0.3833,6.1570,5.3248,78.1678,83.3134,88.0273,99.8721,90.7220,-1.1503,
0.3917,6.1396,5.4932,78.0651,83.1220,87.9807,99.8679,90.5583,-1.1494,
0.4000,6.0410,5.6522,77.9181,82.9729,87.9702,99.8380,90.3998,-1.1485,
0.4083,5.8609,5.7983,77.7275,82.8645,87.9949,99.7821,90.2584,-1.1475,
0.4167,5.6033,5.9291,77.4936,82.7967,88.0535,99.6996,90.1391,-1.1465,
0.4250,5.2754,6.0439,77.2155,82.7706,88.1450,99.5891,90.0390,-1.1453,
0.4333,4.8875,6.1440,76.8912,82.7879,88.2692,99.4491,89.9510,-1.1441,
0.4417,4.4509,6.2317,76.5174,82.8483,88.4276,99.2790,89.8673,-1.1428,
0.4500,3.9765,6.3109,76.0899,82.9468,88.6233,99.0808,89.7818,-1.1415,
0.4583,3.4715,6.3852,75.6035,83.0711,88.8606,98.8606,89.6905,-1.1401,
0.4667,2.9389,6.4581,75.0518,83.2021,89.1449,98.6287,89.5908,-1.1387,
0.4750,2.3787,6.5320,74.4265,83.3208,89.4825,98.3961,89.4814,-1.1372,
0.4833,1.7879,6.6080,73.7191,83.4141,89.8796,98.1705,89.3609,-1.1357,
0.4917,1.1576,6.6854,72.9219,83.4762,90.3413,97.9565,89.2281,-1.1342,
0.5000,0.4685,6.7622,72.0292,83.5070,90.8716,97.7565,89.0813,-1.1327,
0.5083,-0.3083,6.8359,71.0372,83.5095,91.4731,97.5728,88.9186,-1.1312,
0.5167,-1.2070,6.9043,69.9435,83.4881,92.1474,97.4074,88.7377,-1.1297,
0.5250,-2.2607,6.9655,68.7456,83.4489,92.8963,97.2611,88.5377,-1.1283,
0.5333,-3.4946,7.0170,67.4419,83.3993,93.7209,97.1313,88.3193,-1.1270,
0.5417,-4.9196,7.0565,66.0319,83.3477,94.6217,97.0116,88.0851,-1.1257,
0.5500,-6.5314,7.0827,64.5186,83.3012,95.5986,96.8943,87.8380,-1.1245,
0.5583,-8.3157,7.0966,62.9134,83.2632,96.6495,96.7728,87.5793,-1.1232,
0.5667,-10.2526,7.1012,61.2387,83.2322,97.7707,96.6440,87.3087,-1.1220,
0.5750,-12.3113,7.1002,59.5254,83.2032,98.9549,96.5070,87.0249,-1.1208,
0.5833,-14.4433,7.0971,57.8100,83.1681,100.1912,96.3634,86.7266,-1.1195,
0.5917,-16.5817,7.0943,56.1347,83.1181,101.4646,96.2149,86.4132,-1.1181,
0.6000,-18.6408,7.0926,54.5431,83.0462,102.7574,96.0635,86.0855,-1.1167,
0.6083,-20.5237,7.0916,53.0762,82.9479,104.0492,95.9104,85.7466,-1.1153,
0.6167,-22.1400,7.0889,51.7739,82.8215,105.3199,95.7559,85.4019,-1.1137,
0.6250,-23.4241,7.0813,50.6754,82.6677,106.5512,95.6006,85.0588,-1.1120,
0.6333,-24.3456,7.0637,49.8158,82.4889,107.7296,95.4450,84.7243,-1.1102,
0.6417,-24.9101,7.0302,49.2191,82.2891,108.8496,95.2900,84.4034,-1.1083,
0.6500,-25.1501,6.9748,48.8957,82.0730,109.9116,95.1362,84.0979,-1.1063,
0.6583,-25.1092,6.8926,48.8448,81.8459,110.9179,94.9835,83.8079,-1.1042,
0.6667,-24.8259,6.7803,49.0567,81.6123,111.8685,94.8311,83.5316,-1.1019,
0.6750,-24.3282,6.6371,49.5158,81.3761,112.7624,94.6780,83.2659,-1.0996,
0.6833,-23.6365,6.4664,50.2031,81.1396,113.5991,94.5235,83.0071,-1.0972,
0.6917,-22.7674,6.2751,51.0998,80.9031,114.3786,94.3664,82.7513,-1.0946,
0.7000,-21.7345,6.0739,52.1878,80.6627,115.1013,94.2056,82.4955,-1.0920,
0.7083,-20.5502,5.8749,53.4481,80.4095,115.7694,94.0398,82.2370,-1.0893,
0.7167,-19.2287,5.6889,54.8595,80.1308,116.3881,93.8683,81.9736,-1.0864,
0.7250,-17.7872,5.5214,56.3996,79.8152,116.9653,93.6904,81.7035,-1.0835,
0.7333,-16.2457,5.3695,58.0503,79.4606,117.5088,93.5052,81.4259,-1.0804,
0.7417,-14.6239,5.2199,59.8002,79.0817,118.0240,93.3103,81.1421,-1.0773,
0.7500,-12.9352,5.0483,61.6404,78.7149,118.5129,93.1013,80.8560,-1.0739,
0.7583,-11.1847,4.8289,63.5597,78.4080,118.9742,92.8710,80.5747,-1.0704,
0.7667,-9.3832,4.5582,65.5485,78.1817,119.4045,92.6137,80.3068,-1.0668,
0.7750,-7.5601,4.2710,67.6049,78.0012,119.7986,92.3272,80.0601,-1.0629,
0.7833,-5.7425,4.0111,69.7280,77.8081,120.1499,92.0116,79.8395,-1.0588,
0.7917,-3.9243,3.7779,71.9073,77.5872,120.4501,91.6657,79.6466,-1.0545,
0.8000,-2.0715,3.5135,74.1269,77.3857,120.6915,91.2873,79.4786,-1.0500,
0.8083,-0.1583,3.1454,76.3745,77.2710,120.8691,90.8762,79.3302,-1.0452,
0.8167,1.8020,2.6389,78.6386,77.2767,120.9822,90.4358,79.1956,-1.0402,
0.8250,3.7481,2.0191,80.8978,77.3810,121.0353,89.9726,79.0708,-1.0351,
0.8333,5.5798,1.3548,83.1180,77.5205,121.0366,89.4948,78.9546,-1.0299,
0.8417,7.1747,0.7193,85.2620,77.6259,120.9957,89.0100,78.8474,-1.0245,
0.8500,8.4184,0.1579,87.3008,77.6528,120.9200,88.5231,78.7495,-1.0191,
0.8583,9.2555,-0.3163,89.2222,77.5870,120.8139,88.0352,78.6592,-1.0135,
0.8667,9.7471,-0.7121,91.0364,77.4350,120.6788,87.5454,78.5728,-1.0077,
0.8750,10.0850,-1.0501,92.7780,77.2143,120.5156,87.0514,78.4866,-1.0019,
0.8833,10.5314,-1.3569,94.4974,76.9475,120.3273,86.5512,78.3983,-0.9959,
0.8917,11.3226,-1.6609,96.2431,76.6580,120.1166,86.0435,78.3100,-0.9898,
0.9000,12.6060,-1.9896,98.0384,76.3664,119.8819,85.5280,78.2281,-0.9836,
0.9083,14.4199,-2.3662,99.8651,76.0887,119.6176,85.0046,78.1607,-0.9772,
0.9167,16.6911,-2.8069,101.6700,75.8351,119.3180,84.4738,78.1129,-0.9706,
0.9250,19.2417,-3.3197,103.3859,75.6104,118.9816,83.9366,78.0860,-0.9639,
0.9333,21.8221,-3.9042,104.9422,75.4146,118.6149,83.3946,78.0787,-0.9571,
0.9417,24.1624,-4.5539,106.2625,75.2448,118.2359,82.8496,78.0891,-0.9501,
0.9500,26.0227,-5.2588,107.2701,75.0962,117.8696,82.3040,78.1152,-0.9430,
0.9583,27.2282,-6.0085,107.9078,74.9625,117.5378,81.7612,78.1557,-0.9357,
0.9667,27.6926,-6.7956,108.1543,74.8374,117.2534,81.2246,78.2096,-0.9283,
0.9750,27.4312,-7.6214,108.0216,74.7146,117.0224,80.6968,78.2763,-0.9208,
0.9833,26.5603,-8.5037,107.5457,74.5873,116.8474,80.1793,78.3555,-0.9131,
0.9917,25.2667,-9.4772,106.7814,74.4475,116.7270,79.6723,78.4467,-0.9052,
1.0000,23.7488,-10.5764,105.7954,74.2873,116.6568,79.1767,78.5482,-0.8972,
1.0083,22.1642,-11.8103,104.6534,74.1020,116.6305,78.6950,78.6574,-0.8891,
1.0167,20.6137,-13.1575,103.4104,73.8905,116.6410,78.2326,78.7710,-0.8808,
1.0250,19.1526,-14.5864,102.1089,73.6505,116.6777,77.7975,78.8864,-0.8725,
1.0333,17.7994,-16.0760,100.7808,73.3744,116.7278,77.4003,79.0022,-0.8641,
1.0417,16.5378,-17.6216,99.4535,73.0487,116.7783,77.0530,79.1193,-0.8556,
1.0500,15.3254,-19.2295,98.1553,72.6561,116.8175,76.7677,79.2396,-0.8471,
1.0583,14.1171,-20.9118,96.9175,72.1780,116.8348,76.5563,79.3658,-0.8386,
1.0667,12.8901,-22.6828,95.7690,71.5974,116.8180,76.4295,79.4995,-0.8301,
1.0750,11.6561,-24.5561,94.7320,70.8997,116.7534,76.3973,79.6403,-0.8215,
1.0833,10.4553,-26.5435,93.8186,70.0715,116.6279,76.4702,79.7860,-0.8130,
1.0917,9.3418,-28.6546,93.0299,69.0983,116.4323,76.6605,79.9324,-0.8046,
1.1000,8.3652,-30.8986,92.3563,67.9653,116.1632,76.9814,80.0745,-0.7962,
1.1083,7.5557,-33.2877,91.7815,66.6608,115.8225,77.4438,80.2061,-0.7878,
1.1167,6.9195,-35.8378,91.2860,65.1817,115.4157,78.0524,80.3207,-0.7796,
1.1250,6.4467,-38.5625,90.8502,63.5390,114.9510,78.8037,80.4120,-0.7715,
1.1333,6.1210,-41.4612,90.4565,61.7603,114.4379,79.6860,80.4743,-0.7636,
1.1417,5.9235,-44.5051,90.0887,59.8885,113.8879,80.6823,80.5035,-0.7559,
1.1500,5.8340,-47.6287,89.7304,57.9780,113.3149,81.7730,80.4974,-0.7485,
1.1583,5.8345,-50.7306,89.3647,56.0878,112.7333,82.9388,80.4550,-0.7412,
1.1667,5.9128,-53.6748,88.9816,54.2739,112.1545,84.1628,80.3765,-0.7342,
1.1750,6.0642,-56.2981,88.5835,52.5845,111.5850,85.4308,80.2634,-0.7275,
1.1833,6.2937,-58.4340,88.1871,51.0567,111.0271,86.7301,80.1183,-0.7210,
1.1917,6.6191,-59.9490,87.8121,49.7155,110.4808,88.0508,79.9449,-0.7147,
1.2000,7.0706,-60.7766,87.4673,48.5754,109.9452,89.3844,79.7484,-0.7087,
1.2083,7.6804,-60.9296,87.1496,47.6431,109.4200,90.7245,79.5343,-0.7028,
1.2167,8.4718,-60.4875,86.8551,46.9202,108.9042,92.0653,79.3084,-0.6971,
1.2250,9.4579,-59.5656,86.5856,46.4038,108.3973,93.4015,79.0765,-0.6915,
1.2333,10.6426,-58.2842,86.3439,46.0867,107.8989,94.7273,78.8444,-0.6860,
1.2417,12.0120,-56.7456,86.1278,45.9585,107.4096,96.0373,78.6170,-0.6805,
1.2500,13.5092,-55.0235,85.9267,46.0060,106.9309,97.3262,78.3977,-0.6750,
1.2583,15.0039,-53.1608,85.7202,46.2116,106.4640,98.5911,78.1883,-0.6695,
1.2667,16.2739,-51.1739,85.4774,46.5544,106.0094,99.8311,77.9891,-0.6640,
1.2750,17.0325,-49.0631,85.1614,47.0117,105.5666,101.0470,77.7992,-0.6586,
1.2833,17.0224,-46.8270,84.7415,47.5649,105.1335,102.2393,77.6173,-0.6531,
1.2917,16.1402,-44.4717,84.2079,48.2052,104.7075,103.4055,77.4416,-0.6476,
1.3000,14.5008,-42.0114,83.5810,48.9372,104.2863,104.5396,77.2707,-0.6421,
1.3083,12.3969,-39.4686,82.9079,49.7769,103.8688,105.6340,77.1040,-0.6367,
1.3167,10.1914,-36.8763,82.2436,50.7469,103.4559,106.6805,76.9418,-0.6312,
1.3250,8.2039,-34.2785,81.6294,51.8733,103.0494,107.6715,76.7855,-0.6258,
1.3333,6.6294,-31.7158,81.0855,53.1862,102.6496,108.5987,76.6374,-0.6204,
1.3417,5.5120,-29.2005,80.6141,54.7202,102.2554,109.4517,76.5001,-0.6151,
1.3500,4.7800,-26.7107,80.2046,56.5095,101.8655,110.2183,76.3758,-0.6097,
1.3583,4.3146,-24.2142,79.8400,58.5757,101.4786,110.8856,76.2657,-0.6043,
