time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0053,0.0512,-0.1959,-0.4843,0.0323,0.0959,
0.0033,-0.0053,0.0512,-0.1959,-0.4844,0.0323,0.0959,
0.0050,-0.0053,0.0512,-0.1959,-0.4844,0.0323,0.0959,
0.0067,-0.0053,0.0512,-0.1959,-0.4845,0.0323,0.0959,
0.0083,-0.0053,0.0512,-0.1959,-0.4845,0.0323,0.0959,
0.0100,-0.0053,0.0512,-0.1959,-0.4846,0.0323,0.0959,
0.0117,-0.0053,0.0512,-0.1959,-0.4846,0.0324,0.0959,
0.0133,-0.0053,0.0512,-0.1959,-0.4847,0.0324,0.0959,
0.0150,-0.0053,0.0513,-0.1959,-0.4847,0.0324,0.0959,
0.0167,-0.0053,0.0513,-0.1960,-0.4848,0.0324,0.0959,
0.0183,-0.0053,0.0513,-0.1960,-0.4848,0.0324,0.0959,
0.0200,-0.0053,0.0513,-0.1960,-0.4848,0.0324,0.0959,
0.0217,-0.0053,0.0513,-0.1960,-0.4849,0.0324,0.0959,
0.0233,-0.0053,0.0513,-0.1960,-0.4849,0.0324,0.0959,
0.0250,-0.0053,0.0513,-0.1960,-0.4849,0.0324,0.0959,
0.0267,-0.0053,0.0513,-0.1960,-0.4849,0.0324,0.0959,
0.0283,-0.0053,0.0513,-0.1960,-0.4849,0.0324,0.0959,
0.0300,-0.0053,0.0513,-0.1960,-0.4849,0.0324,0.0959,
0.0317,-0.0053,0.0513,-0.1960,-0.4848,0.0323,0.0960,
0.0333,-0.0053,0.0512,-0.1960,-0.4847,0.0323,0.0960,
0.0350,-0.0053,0.0512,-0.1959,-0.4846,0.0322,0.0960,
0.0367,-0.0053,0.0512,-0.1959,-0.4845,0.0322,0.0960,
0.0383,-0.0053,0.0512,-0.1959,-0.4844,0.0321,0.0960,
0.0400,-0.0053,0.0512,-0.1959,-0.4843,0.0321,0.0961,
0.0417,-0.0053,0.0512,-0.1959,-0.4841,0.0320,0.0961,
0.0433,-0.0053,0.0512,-0.1958,-0.4840,0.0320,0.0961,
0.0450,-0.0053,0.0512,-0.1958,-0.4838,0.0319,0.0961,
0.0467,-0.0054,0.0512,-0.1958,-0.4836,0.0318,0.0961,
0.0483,-0.0054,0.0512,-0.1957,-0.4834,0.0318,0.0962,
0.0500,-0.0054,0.0511,-0.1957,-0.4832,0.0317,0.0962,
0.0517,-0.0054,0.0511,-0.1957,-0.4830,0.0317,0.0962,
0.0533,-0.0054,0.0511,-0.1956,-0.4829,0.0316,0.0962,
0.0550,-0.0054,0.0511,-0.1956,-0.4827,0.0316,0.0962,
0.0567,-0.0054,0.0511,-0.1956,-0.4826,0.0316,0.0962,
0.0583,-0.0054,0.0511,-0.1956,-0.4825,0.0316,0.0961,
0.0600,-0.0055,0.0511,-0.1956,-0.4824,0.0316,0.0961,
0.0617,-0.0055,0.0511,-0.1955,-0.4824,0.0316,0.0961,
0.0633,-0.0054,0.0511,-0.1955,-0.4824,0.0317,0.0960,
0.0650,-0.0054,0.0511,-0.1956,-0.4825,0.0318,0.0960,
0.0667,-0.0054,0.0511,-0.1956,-0.4827,0.0319,0.0959,
0.0683,-0.0054,0.0511,-0.1956,-0.4829,0.0320,0.0958,
0.0700,-0.0054,0.0512,-0.1957,-0.4831,0.0321,0.0958,
0.0717,-0.0054,0.0512,-0.1957,-0.4835,0.0323,0.0957,
0.0733,-0.0053,0.0512,-0.1958,-0.4839,0.0325,0.0956,
0.0750,-0.0053,0.0512,-0.1959,-0.4843,0.0327,0.0955,
0.0767,-0.0052,0.0513,-0.1960,-0.4849,0.0329,0.0954,
0.0783,-0.0052,0.0513,-0.1961,-0.4854,0.0331,0.0954,
0.0800,-0.0051,0.0514,-0.1962,-0.4861,0.0334,0.0953,
0.0817,-0.0051,0.0514,-0.1963,-0.4867,0.0336,0.0952,
0.0833,-0.0050,0.0515,-0.1964,-0.4874,0.0338,0.0951,
0.0850,-0.0050,0.0515,-0.1965,-0.4881,0.0340,0.0951,
0.0867,-0.0049,0.0515,-0.1966,-0.4888,0.0342,0.0951,
0.0883,-0.0049,0.0516,-0.1968,-0.4895,0.0344,0.0951,
0.0900,-0.0048,0.0516,-0.1969,-0.4901,0.0345,0.0951,
0.0917,-0.0048,0.0517,-0.1970,-0.4906,0.0346,0.0951,
0.0933,-0.0048,0.0517,-0.1970,-0.4910,0.0346,0.0952,
0.0950,-0.0047,0.0517,-0.1971,-0.4914,0.0346,0.0953,
0.0967,-0.0047,0.0517,-0.1971,-0.4915,0.0345,0.0954,
0.0983,-0.0047,0.0517,-0.1972,-0.4916,0.0344,0.0955,
0.1000,-0.0047,0.0517,-0.1971,-0.4914,0.0342,0.0957,
0.1017,-0.0048,0.0517,-0.1971,-0.4910,0.0339,0.0959,
0.1033,-0.0048,0.0516,-0.1970,-0.4904,0.0335,0.0961,
0.1050,-0.0049,0.0515,-0.1969,-0.4896,0.0330,0.0964,
0.1067,-0.0050,0.0515,-0.1967,-0.4885,0.0324,0.0967,
0.1083,-0.0051,0.0514,-0.1965,-0.4872,0.0318,0.0970,
0.1100,-0.0052,0.0513,-0.1962,-0.4857,0.0311,0.0973,
0.1117,-0.0054,0.0511,-0.1959,-0.4839,0.0304,0.0976,
0.1133,-0.0056,0.0510,-0.1956,-0.4819,0.0296,0.0979,
0.1150,-0.0057,0.0508,-0.1952,-0.4797,0.0288,0.0982,
0.1167,-0.0059,0.0507,-0.1948,-0.4774,0.0279,0.0985,
0.1183,-0.0061,0.0505,-0.1944,-0.4750,0.0271,0.0987,
0.1200,-0.0063,0.0503,-0.1940,-0.4725,0.0263,0.0989,
0.1217,-0.0065,0.0502,-0.1935,-0.4700,0.0255,0.0991,
0.1233,-0.0067,0.0500,-0.1931,-0.4676,0.0249,0.0992,
0.1250,-0.0069,0.0499,-0.1927,-0.4653,0.0243,0.0992,
0.1267,-0.0070,0.0497,-0.1923,-0.4632,0.0239,0.0991,
0.1283,-0.0072,0.0496,-0.1920,-0.4614,0.0237,0.0990,
0.1300,-0.0073,0.0496,-0.1917,-0.4601,0.0236,0.0987,
0.1317,-0.0073,0.0495,-0.1916,-0.4591,0.0238,0.0983,
0.1333,-0.0074,0.0495,-0.1915,-0.4588,0.0243,0.0979,
0.1350,-0.0073,0.0496,-0.1915,-0.4590,0.0249,0.0973,
0.1367,-0.0072,0.0497,-0.1916,-0.4600,0.0259,0.0966,
0.1383,-0.0071,0.0498,-0.1919,-0.4618,0.0272,0.0958,
0.1400,-0.0068,0.0500,-0.1923,-0.4644,0.0288,0.0950,
0.1417,-0.0066,0.0503,-0.1929,-0.4678,0.0306,0.0940,
0.1433,-0.0062,0.0506,-0.1936,-0.4721,0.0328,0.0929,
0.1450,-0.0058,0.0510,-0.1945,-0.4773,0.0352,0.0919,
0.1467,-0.0053,0.0514,-0.1955,-0.4834,0.0378,0.0907,
0.1483,-0.0047,0.0519,-0.1967,-0.4903,0.0406,0.0896,
0.1500,-0.0041,0.0525,-0.1980,-0.4978,0.0435,0.0885,
0.1517,-0.0034,0.0530,-0.1994,-0.5060,0.0466,0.0874,
0.1533,-0.0027,0.0536,-0.2009,-0.5146,0.0496,0.0865,
0.1550,-0.0020,0.0543,-0.2024,-0.5236,0.0525,0.0856,
0.1567,-0.0013,0.0549,-0.2040,-0.5325,0.0553,0.0850,
0.1583,-0.0006,0.0554,-0.2055,-0.5413,0.0578,0.0845,
0.1600,0.0001,0.0560,-0.2069,-0.5497,0.0599,0.0842,
0.1617,0.0007,0.0564,-0.2083,-0.5572,0.0615,0.0843,
0.1633,0.0012,0.0568,-0.2094,-0.5637,0.0624,0.0846,
