time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,1.5029,0.8836,87.3564,79.0256,84.7284,100.6120,91.7589,-1.1034,
0.0167,1.5177,0.8858,87.3445,79.2357,84.9108,100.4980,91.6928,-1.1040,
0.0250,1.5310,0.8899,87.3253,79.4435,85.0859,100.3817,91.6289,-1.1046,
0.0333,1.5414,0.8971,87.2945,79.6471,85.2476,100.2594,91.5710,-1.1051,
0.0417,1.5476,0.9074,87.2511,79.8472,85.3906,100.1273,91.5229,-1.1055,
0.0500,1.5485,0.9200,87.1964,80.0455,85.5123,99.9823,91.4871,-1.1058,
0.0583,1.5440,0.9337,87.1317,80.2439,85.6130,99.8231,91.4643,-1.1060,
0.0667,1.5340,0.9481,87.0575,80.4443,85.6963,99.6494,91.4541,-1.1061,
0.0750,1.5188,0.9630,86.9730,80.6482,85.7679,99.4612,91.4551,-1.1060,
0.0833,1.4989,0.9787,86.8768,80.8560,85.8343,99.2592,91.4656,-1.1059,
0.0917,1.4750,0.9957,86.7677,81.0677,85.9016,99.0445,91.4837,-1.1056,
0.1000,1.4477,1.0145,86.6448,81.2830,85.9749,98.8185,91.5075,-1.1053,
0.1083,1.4170,1.0353,86.5084,81.5012,86.0571,98.5832,91.5352,-1.1050,
0.1167,1.3825,1.0582,86.3598,81.7220,86.1495,98.3404,91.5652,-1.1046,
0.1250,1.3440,1.0833,86.2007,81.9447,86.2516,98.0922,91.5965,-1.1042,
0.1333,1.3019,1.1103,86.0318,82.1686,86.3631,97.8414,91.6280,-1.1038,
0.1417,1.2565,1.1391,85.8522,82.3928,86.4846,97.5907,91.6590,-1.1034,
0.1500,1.2070,1.1693,85.6589,82.6165,86.6181,97.3420,91.6891,-1.1030,
0.1583,1.1513,1.2007,85.4482,82.8393,86.7666,97.0964,91.7182,-1.1026,
0.1667,1.0870,1.2331,85.2153,83.0608,86.9337,96.8545,91.7463,-1.1023,
0.1750,1.0119,1.2665,84.9557,83.2806,87.1235,96.6167,91.7737,-1.1019,
0.1833,0.9243,1.3006,84.6656,83.4982,87.3400,96.3832,91.8005,-1.1015,
0.1917,0.8223,1.3356,84.3424,83.7131,87.5867,96.1537,91.8271,-1.1011,
0.2000,0.7049,1.3716,83.9856,83.9243,87.8661,95.9281,91.8536,-1.1008,
0.2083,0.5728,1.4095,83.5967,84.1310,88.1792,95.7065,91.8801,-1.1004,
0.2167,0.4300,1.4505,83.1800,84.3314,88.5245,95.4893,91.9066,-1.1000,
