time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0181,-0.0526,-0.1881,-0.4696,0.0754,0.1047,
0.0033,0.0181,-0.0526,-0.1881,-0.4696,0.0754,0.1047,
0.0050,0.0181,-0.0526,-0.1881,-0.4697,0.0754,0.1047,
0.0067,0.0181,-0.0526,-0.1881,-0.4697,0.0754,0.1048,
0.0083,0.0181,-0.0526,-0.1881,-0.4698,0.0755,0.1048,
0.0100,0.0181,-0.0526,-0.1882,-0.4698,0.0755,0.1048,
0.0117,0.0181,-0.0526,-0.1882,-0.4699,0.0755,0.1048,
0.0133,0.0181,-0.0526,-0.1882,-0.4699,0.0755,0.1048,
0.0150,0.0181,-0.0526,-0.1882,-0.4700,0.0755,0.1048,
0.0167,0.0181,-0.0527,-0.1882,-0.4700,0.0755,0.1049,
0.0183,0.0181,-0.0527,-0.1883,-0.4700,0.0755,0.1049,
0.0200,0.0181,-0.0527,-0.1883,-0.4701,0.0755,0.1049,
0.0217,0.0181,-0.0527,-0.1883,-0.4701,0.0755,0.1049,
0.0233,0.0181,-0.0527,-0.1883,-0.4701,0.0755,0.1049,
0.0250,0.0181,-0.0527,-0.1883,-0.4702,0.0756,0.1049,
0.0267,0.0181,-0.0526,-0.1883,-0.4702,0.0756,0.1049,
0.0283,0.0181,-0.0526,-0.1883,-0.4702,0.0756,0.1049,
0.0300,0.0181,-0.0526,-0.1883,-0.4701,0.0756,0.1049,
0.0317,0.0181,-0.0526,-0.1882,-0.4701,0.0756,0.1049,
0.0333,0.0181,-0.0526,-0.1882,-0.4700,0.0756,0.1049,
0.0350,0.0181,-0.0526,-0.1882,-0.4700,0.0755,0.1049,
0.0367,0.0181,-0.0526,-0.1881,-0.4699,0.0755,0.1049,
0.0383,0.0181,-0.0526,-0.1881,-0.4698,0.0755,0.1048,
0.0400,0.0181,-0.0526,-0.1880,-0.4696,0.0755,0.1048,
0.0417,0.0181,-0.0525,-0.1879,-0.4695,0.0755,0.1048,
0.0433,0.0181,-0.0525,-0.1879,-0.4693,0.0754,0.1047,
0.0450,0.0181,-0.0525,-0.1878,-0.4692,0.0754,0.1046,
0.0467,0.0181,-0.0525,-0.1877,-0.4690,0.0754,0.1046,
0.0483,0.0180,-0.0525,-0.1876,-0.4688,0.0753,0.1045,
0.0500,0.0180,-0.0525,-0.1875,-0.4686,0.0753,0.1045,
0.0517,0.0180,-0.0525,-0.1875,-0.4684,0.0753,0.1044,
0.0533,0.0180,-0.0524,-0.1874,-0.4683,0.0752,0.1043,
0.0550,0.0180,-0.0524,-0.1873,-0.4681,0.0752,0.1043,
0.0567,0.0180,-0.0524,-0.1873,-0.4680,0.0751,0.1042,
0.0583,0.0180,-0.0524,-0.1872,-0.4678,0.0751,0.1041,
0.0600,0.0180,-0.0524,-0.1872,-0.4678,0.0751,0.1041,
0.0617,0.0180,-0.0524,-0.1872,-0.4677,0.0751,0.1041,
0.0633,0.0180,-0.0525,-0.1872,-0.4677,0.0750,0.1040,
0.0650,0.0180,-0.0525,-0.1873,-0.4678,0.0750,0.1040,
0.0667,0.0180,-0.0525,-0.1874,-0.4679,0.0750,0.1041,
0.0683,0.0180,-0.0526,-0.1875,-0.4681,0.0750,0.1041,
0.0700,0.0180,-0.0526,-0.1876,-0.4683,0.0751,0.1042,
0.0717,0.0180,-0.0526,-0.1878,-0.4686,0.0751,0.1042,
0.0733,0.0180,-0.0527,-0.1879,-0.4689,0.0752,0.1043,
0.0750,0.0180,-0.0527,-0.1882,-0.4694,0.0752,0.1045,
0.0767,0.0180,-0.0528,-0.1884,-0.4699,0.0753,0.1046,
0.0783,0.0181,-0.0529,-0.1887,-0.4704,0.0754,0.1048,
0.0800,0.0181,-0.0529,-0.1889,-0.4710,0.0755,0.1050,
0.0817,0.0181,-0.0530,-0.1892,-0.4716,0.0756,0.1052,
0.0833,0.0181,-0.0530,-0.1895,-0.4723,0.0758,0.1054,
0.0850,0.0182,-0.0531,-0.1898,-0.4730,0.0759,0.1057,
0.0867,0.0182,-0.0532,-0.1901,-0.4736,0.0760,0.1059,
0.0883,0.0182,-0.0532,-0.1904,-0.4743,0.0762,0.1062,
0.0900,0.0183,-0.0532,-0.1906,-0.4749,0.0763,0.1064,
0.0917,0.0183,-0.0532,-0.1908,-0.4755,0.0765,0.1066,
0.0933,0.0183,-0.0533,-0.1910,-0.4760,0.0766,0.1068,
0.0950,0.0183,-0.0532,-0.1911,-0.4763,0.0767,0.1070,
0.0967,0.0184,-0.0532,-0.1911,-0.4766,0.0768,0.1072,
0.0983,0.0184,-0.0532,-0.1911,-0.4767,0.0769,0.1073,
0.1000,0.0184,-0.0531,-0.1910,-0.4766,0.0770,0.1073,
0.1017,0.0184,-0.0530,-0.1908,-0.4764,0.0770,0.1073,
0.1033,0.0184,-0.0529,-0.1905,-0.4759,0.0770,0.1072,
0.1050,0.0184,-0.0528,-0.1901,-0.4752,0.0769,0.1071,
0.1067,0.0183,-0.0526,-0.1896,-0.4743,0.0768,0.1068,
0.1083,0.0183,-0.0524,-0.1890,-0.4731,0.0766,0.1065,
0.1100,0.0183,-0.0523,-0.1883,-0.4717,0.0764,0.1061,
0.1117,0.0182,-0.0521,-0.1875,-0.4701,0.0762,0.1056,
0.1133,0.0181,-0.0518,-0.1866,-0.4683,0.0759,0.1050,
0.1150,0.0181,-0.0516,-0.1856,-0.4662,0.0755,0.1044,
0.1167,0.0180,-0.0514,-0.1846,-0.4640,0.0751,0.1036,
0.1183,0.0179,-0.0512,-0.1835,-0.4617,0.0746,0.1028,
0.1200,0.0178,-0.0510,-0.1825,-0.4593,0.0742,0.1020,
0.1217,0.0177,-0.0508,-0.1814,-0.4568,0.0737,0.1011,
0.1233,0.0176,-0.0506,-0.1804,-0.4544,0.0731,0.1002,
0.1250,0.0175,-0.0505,-0.1795,-0.4521,0.0726,0.0993,
0.1267,0.0173,-0.0504,-0.1786,-0.4500,0.0721,0.0985,
0.1283,0.0172,-0.0503,-0.1780,-0.4481,0.0716,0.0977,
0.1300,0.0172,-0.0503,-0.1775,-0.4465,0.0711,0.0969,
0.1317,0.0171,-0.0504,-0.1772,-0.4454,0.0707,0.0963,
0.1333,0.0170,-0.0505,-0.1772,-0.4447,0.0704,0.0959,
0.1350,0.0170,-0.0507,-0.1774,-0.4447,0.0702,0.0956,
0.1367,0.0170,-0.0510,-0.1780,-0.4452,0.0701,0.0955,
0.1383,0.0170,-0.0514,-0.1789,-0.4466,0.0701,0.0957,
0.1400,0.0170,-0.0518,-0.1802,-0.4487,0.0702,0.0962,
0.1417,0.0171,-0.0524,-0.1818,-0.4516,0.0706,0.0969,
0.1433,0.0172,-0.0530,-0.1839,-0.4554,0.0710,0.0979,
0.1450,0.0173,-0.0536,-0.1863,-0.4601,0.0717,0.0992,
0.1467,0.0175,-0.0543,-0.1890,-0.4656,0.0726,0.1009,
0.1483,0.0177,-0.0551,-0.1921,-0.4719,0.0736,0.1028,
0.1500,0.0180,-0.0559,-0.1955,-0.4789,0.0748,0.1051,
0.1517,0.0183,-0.0567,-0.1991,-0.4866,0.0762,0.1077,
0.1533,0.0186,-0.0576,-0.2028,-0.4949,0.0777,0.1105,
0.1550,0.0190,-0.0583,-0.2067,-0.5034,0.0794,0.1135,
0.1567,0.0194,-0.0591,-0.2105,-0.5122,0.0812,0.1167,
0.1583,0.0197,-0.0597,-0.2142,-0.5209,0.0830,0.1199,
0.1600,0.0201,-0.0602,-0.2176,-0.5293,0.0849,0.1232,
0.1617,0.0205,-0.0606,-0.2207,-0.5371,0.0867,0.1264,
0.1633,0.0209,-0.0608,-0.2232,-0.5440,0.0884,0.1294,
0.1650,0.0213,-0.0608,-0.2250,-0.5496,0.0900,0.1321,
0.1667,0.0216,-0.0605,-0.2261,-0.5537,0.0913,0.1344,
0.1683,0.0219,-0.0600,-0.2261,-0.5559,0.0923,0.1363,
0.1700,0.0221,-0.0592,-0.2250,-0.5557,0.0929,0.1374,
0.1717,0.0222,-0.0580,-0.2226,-0.5529,0.0931,0.1378,
0.1733,0.0222,-0.0565,-0.2187,-0.5471,0.0926,0.1373,
0.1750,0.0221,-0.0546,-0.2133,-0.5379,0.0916,0.1357,
0.1767,0.0219,-0.0523,-0.2062,-0.5251,0.0897,0.1331,
0.1783,0.0215,-0.0496,-0.1974,-0.5084,0.0871,0.1292,
0.1800,0.0210,-0.0465,-0.1867,-0.4875,0.0836,0.1239,
0.1817,0.0204,-0.0430,-0.1741,-0.4623,0.0791,0.1173,
0.1833,0.0195,-0.0391,-0.1596,-0.4326,0.0736,0.1091,
0.1850,0.0186,-0.0349,-0.1433,-0.3986,0.0670,0.0995,
0.1867,0.0174,-0.0303,-0.1251,-0.3601,0.0593,0.0884,
0.1883,0.0161,-0.0254,-0.1053,-0.3173,0.0504,0.0759,
0.1900,0.0147,-0.0203,-0.0838,-0.2704,0.0404,0.0619,
0.1917,0.0131,-0.0149,-0.0609,-0.2197,0.0292,0.0466,
0.1933,0.0114,-0.0094,-0.0368,-0.1655,0.0169,0.0301,
0.1950,0.0096,-0.0038,-0.0117,-0.1083,0.0035,0.0125,
0.1967,0.0078,0.0020,0.0142,-0.0486,-0.0109,-0.0060,
0.1983,0.0058,0.0077,0.0405,0.0131,-0.0263,-0.0252,
0.2000,0.0039,0.0134,0.0670,0.0760,-0.0426,-0.0448,
0.2017,0.0020,0.0190,0.0934,0.1397,-0.0597,-0.0647,
0.2033,0.0001,0.0245,0.1194,0.2033,-0.0774,-0.0846,
0.2050,-0.0017,0.0299,0.1446,0.2663,-0.0958,-0.1043,
0.2067,-0.0034,0.0350,0.1689,0.3279,-0.1145,-0.1234,
0.2083,-0.0049,0.0400,0.1920,0.3874,-0.1336,-0.1418,
0.2100,-0.0062,0.0448,0.2136,0.4444,-0.1528,-0.1593,
0.2117,-0.0074,0.0494,0.2336,0.4981,-0.1721,-0.1756,
0.2133,-0.0083,0.0538,0.2517,0.5482,-0.1912,-0.1907,
0.2150,-0.0090,0.0580,0.2680,0.5942,-0.2101,-0.2043,
0.2167,-0.0094,0.0621,0.2823,0.6357,-0.2287,-0.2164,
0.2183,-0.0095,0.0661,0.2945,0.6725,-0.2468,-0.2270,
0.2200,-0.0095,0.0700,0.3048,0.7043,-0.2642,-0.2361,
0.2217,-0.0092,0.0738,0.3130,0.7312,-0.2810,-0.2436,
0.2233,-0.0087,0.0774,0.3194,0.7530,-0.2969,-0.2497,
0.2250,-0.0081,0.0810,0.3240,0.7699,-0.3119,-0.2544,
0.2267,-0.0075,0.0845,0.3270,0.7820,-0.3259,-0.2579,
0.2283,-0.0067,0.0878,0.3285,0.7894,-0.3389,-0.2603,
0.2300,-0.0060,0.0910,0.3287,0.7925,-0.3507,-0.2617,
0.2317,-0.0055,0.0940,0.3278,0.7917,-0.3613,-0.2624,
0.2333,-0.0050,0.0968,0.3260,0.7871,-0.3707,-0.2623,
0.2350,-0.0048,0.0994,0.3235,0.7794,-0.3787,-0.2617,
0.2367,-0.0049,0.1017,0.3205,0.7690,-0.3854,-0.2607,
0.2383,-0.0052,0.1037,0.3171,0.7562,-0.3908,-0.2593,
0.2400,-0.0060,0.1054,0.3136,0.7417,-0.3947,-0.2576,
0.2417,-0.0071,0.1069,0.3101,0.7257,-0.3972,-0.2557,
0.2433,-0.0087,0.1081,0.3067,0.7089,-0.3982,-0.2535,
