time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0319,0.0079,-0.1537,-0.0252,0.0820,-0.0395,
0.0033,-0.0319,0.0079,-0.1537,-0.0252,0.0820,-0.0395,
0.0050,-0.0319,0.0079,-0.1538,-0.0252,0.0820,-0.0395,
0.0067,-0.0319,0.0079,-0.1538,-0.0252,0.0820,-0.0395,
0.0083,-0.0319,0.0079,-0.1538,-0.0252,0.0821,-0.0395,
0.0100,-0.0319,0.0079,-0.1538,-0.0252,0.0821,-0.0395,
0.0117,-0.0319,0.0079,-0.1538,-0.0252,0.0821,-0.0395,
0.0133,-0.0319,0.0079,-0.1539,-0.0252,0.0821,-0.0395,
0.0150,-0.0319,0.0079,-0.1539,-0.0252,0.0821,-0.0395,
0.0167,-0.0319,0.0079,-0.1539,-0.0252,0.0821,-0.0395,
0.0183,-0.0319,0.0079,-0.1539,-0.0252,0.0822,-0.0395,
0.0200,-0.0318,0.0079,-0.1540,-0.0252,0.0822,-0.0395,
0.0217,-0.0318,0.0079,-0.1540,-0.0252,0.0822,-0.0395,
0.0233,-0.0318,0.0079,-0.1540,-0.0252,0.0822,-0.0395,
0.0250,-0.0318,0.0079,-0.1540,-0.0252,0.0822,-0.0395,
0.0267,-0.0318,0.0079,-0.1540,-0.0252,0.0823,-0.0395,
0.0283,-0.0318,0.0079,-0.1540,-0.0252,0.0823,-0.0395,
0.0300,-0.0319,0.0079,-0.1540,-0.0252,0.0823,-0.0396,
0.0317,-0.0319,0.0079,-0.1540,-0.0251,0.0823,-0.0396,
0.0333,-0.0319,0.0079,-0.1540,-0.0251,0.0823,-0.0396,
0.0350,-0.0319,0.0079,-0.1540,-0.0251,0.0823,-0.0396,
0.0367,-0.0319,0.0079,-0.1540,-0.0251,0.0823,-0.0396,
0.0383,-0.0319,0.0079,-0.1539,-0.0251,0.0823,-0.0396,
0.0400,-0.0320,0.0079,-0.1539,-0.0251,0.0822,-0.0396,
0.0417,-0.0320,0.0080,-0.1538,-0.0251,0.0822,-0.0396,
0.0433,-0.0320,0.0080,-0.1538,-0.0252,0.0822,-0.0396,
0.0450,-0.0320,0.0080,-0.1537,-0.0252,0.0821,-0.0396,
0.0467,-0.0321,0.0080,-0.1536,-0.0252,0.0821,-0.0396,
0.0483,-0.0321,0.0080,-0.1536,-0.0252,0.0820,-0.0396,
0.0500,-0.0321,0.0080,-0.1535,-0.0252,0.0819,-0.0396,
0.0517,-0.0321,0.0080,-0.1534,-0.0252,0.0819,-0.0397,
0.0533,-0.0322,0.0080,-0.1533,-0.0252,0.0818,-0.0397,
0.0550,-0.0322,0.0080,-0.1532,-0.0252,0.0817,-0.0397,
0.0567,-0.0322,0.0080,-0.1531,-0.0252,0.0816,-0.0397,
0.0583,-0.0322,0.0080,-0.1531,-0.0252,0.0816,-0.0396,
0.0600,-0.0322,0.0080,-0.1530,-0.0252,0.0815,-0.0396,
0.0617,-0.0322,0.0081,-0.1529,-0.0253,0.0814,-0.0396,
0.0633,-0.0322,0.0081,-0.1529,-0.0253,0.0814,-0.0396,
0.0650,-0.0322,0.0081,-0.1529,-0.0253,0.0813,-0.0396,
0.0667,-0.0322,0.0080,-0.1529,-0.0253,0.0813,-0.0396,
0.0683,-0.0321,0.0080,-0.1529,-0.0253,0.0813,-0.0395,
0.0700,-0.0321,0.0080,-0.1530,-0.0253,0.0813,-0.0395,
0.0717,-0.0320,0.0080,-0.1530,-0.0253,0.0813,-0.0395,
0.0733,-0.0319,0.0080,-0.1532,-0.0253,0.0814,-0.0394,
0.0750,-0.0319,0.0080,-0.1533,-0.0253,0.0815,-0.0394,
0.0767,-0.0318,0.0079,-0.1535,-0.0253,0.0816,-0.0394,
0.0783,-0.0317,0.0079,-0.1537,-0.0253,0.0817,-0.0393,
0.0800,-0.0316,0.0079,-0.1539,-0.0253,0.0818,-0.0393,
0.0817,-0.0315,0.0078,-0.1542,-0.0253,0.0820,-0.0393,
0.0833,-0.0314,0.0078,-0.1544,-0.0252,0.0822,-0.0392,
0.0850,-0.0313,0.0078,-0.1547,-0.0252,0.0824,-0.0392,
0.0867,-0.0312,0.0077,-0.1550,-0.0252,0.0827,-0.0392,
0.0883,-0.0311,0.0077,-0.1554,-0.0251,0.0829,-0.0392,
0.0900,-0.0310,0.0077,-0.1557,-0.0251,0.0832,-0.0392,
0.0917,-0.0309,0.0076,-0.1560,-0.0251,0.0835,-0.0392,
0.0933,-0.0309,0.0076,-0.1563,-0.0250,0.0838,-0.0392,
0.0950,-0.0309,0.0076,-0.1565,-0.0250,0.0840,-0.0392,
0.0967,-0.0308,0.0076,-0.1568,-0.0249,0.0843,-0.0393,
0.0983,-0.0309,0.0076,-0.1569,-0.0249,0.0845,-0.0393,
0.1000,-0.0309,0.0076,-0.1570,-0.0248,0.0847,-0.0394,
0.1017,-0.0310,0.0076,-0.1571,-0.0248,0.0848,-0.0395,
0.1033,-0.0311,0.0076,-0.1570,-0.0248,0.0849,-0.0396,
0.1050,-0.0313,0.0076,-0.1569,-0.0247,0.0849,-0.0396,
0.1067,-0.0315,0.0077,-0.1567,-0.0247,0.0849,-0.0398,
0.1083,-0.0317,0.0077,-0.1564,-0.0247,0.0847,-0.0399,
0.1100,-0.0320,0.0078,-0.1559,-0.0247,0.0845,-0.0400,
0.1117,-0.0322,0.0079,-0.1554,-0.0247,0.0842,-0.0401,
0.1133,-0.0326,0.0080,-0.1547,-0.0247,0.0838,-0.0403,
0.1150,-0.0329,0.0081,-0.1539,-0.0248,0.0833,-0.0404,
0.1167,-0.0333,0.0082,-0.1531,-0.0248,0.0827,-0.0405,
0.1183,-0.0337,0.0083,-0.1521,-0.0249,0.0821,-0.0406,
0.1200,-0.0340,0.0085,-0.1511,-0.0250,0.0813,-0.0407,
0.1217,-0.0344,0.0086,-0.1500,-0.0251,0.0804,-0.0408,
0.1233,-0.0348,0.0088,-0.1488,-0.0252,0.0795,-0.0408,
0.1250,-0.0351,0.0089,-0.1477,-0.0254,0.0786,-0.0409,
0.1267,-0.0354,0.0090,-0.1466,-0.0255,0.0776,-0.0409,
0.1283,-0.0356,0.0091,-0.1455,-0.0257,0.0766,-0.0408,
