time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.0322,-3.5205,78.8391,84.1993,84.1958,89.4054,97.0164,-1.1218,
0.0167,48.0315,-3.4097,78.8481,84.1296,84.1876,89.3754,96.9251,-1.1216,
0.0250,48.0308,-3.3071,78.8561,84.0651,84.1786,89.3449,96.8362,-1.1214,
0.0333,48.0303,-3.2215,78.8617,84.0115,84.1684,89.3141,96.7532,-1.1212,
0.0417,48.0299,-3.1601,78.8644,83.9732,84.1564,89.2833,96.6796,-1.1210,
0.0500,48.0297,-3.1240,78.8654,83.9504,84.1416,89.2529,96.6173,-1.1208,
0.0583,48.0296,-3.1098,78.8661,83.9409,84.1232,89.2228,96.5668,-1.1206,
0.0667,48.0296,-3.1124,78.8681,83.9416,84.1009,89.1929,96.5275,-1.1204,
0.0750,48.0296,-3.1260,78.8726,83.9498,84.0744,89.1625,96.4978,-1.1202,
0.0833,48.0296,-3.1460,78.8802,83.9634,84.0434,89.1311,96.4764,-1.1200,
0.0917,48.0297,-3.1687,78.8915,83.9811,84.0078,89.0982,96.4616,-1.1198,
0.1000,48.0298,-3.1915,78.9062,84.0021,83.9678,89.0632,96.4518,-1.1196,
0.1083,48.0298,-3.2126,78.9237,84.0261,83.9242,89.0257,96.4458,-1.1194,
0.1167,48.0298,-3.2305,78.9433,84.0528,83.8779,88.9853,96.4424,-1.1192,
0.1250,48.0298,-3.2448,78.9641,84.0822,83.8306,88.9418,96.4403,-1.1191,
0.1333,48.0299,-3.2556,78.9853,84.1140,83.7836,88.8955,96.4389,-1.1189,
0.1417,48.0299,-3.2641,79.0063,84.1480,83.7383,88.8467,96.4373,-1.1187,
0.1500,48.0299,-3.2712,79.0266,84.1832,83.6958,88.7962,96.4353,-1.1185,
0.1583,48.0299,-3.2772,79.0459,84.2184,83.6565,88.7449,96.4323,-1.1184,
0.1667,48.0299,-3.2821,79.0639,84.2520,83.6207,88.6945,96.4283,-1.1182,
0.1750,48.0299,-3.2855,79.0803,84.2815,83.5877,88.6472,96.4232,-1.1180,
0.1833,48.0299,-3.2870,79.0950,84.3040,83.5569,88.6059,96.4170,-1.1179,
0.1917,48.0299,-3.2864,79.1079,84.3158,83.5275,88.5736,96.4097,-1.1177,
0.2000,48.0298,-3.2828,79.1189,84.3135,83.4993,88.5536,96.4009,-1.1176,
0.2083,48.0298,-3.2757,79.1279,84.2945,83.4724,88.5486,96.3904,-1.1175,
0.2167,48.0298,-3.2651,79.1347,84.2568,83.4473,88.5608,96.3777,-1.1173,
0.2250,48.0297,-3.2519,79.1393,84.1991,83.4245,88.5917,96.3624,-1.1172,
0.2333,48.0297,-3.2374,79.1418,84.1208,83.4045,88.6424,96.3440,-1.1171,
0.2417,48.0296,-3.2228,79.1423,84.0217,83.3876,88.7134,96.3221,-1.1169,
0.2500,48.0296,-3.2083,79.1412,83.9020,83.3733,88.8045,96.2960,-1.1169,
0.2583,48.0295,-3.1942,79.1393,83.7622,83.3610,88.9154,96.2654,-1.1168,
0.2667,48.0295,-3.1802,79.1376,83.6022,83.3499,89.0462,96.2296,-1.1167,
0.2750,48.0294,-3.1662,79.1371,83.4206,83.3389,89.1978,96.1883,-1.1167,
0.2833,48.0294,-3.1513,79.1387,83.2152,83.3269,89.3722,96.1411,-1.1167,
0.2917,48.0293,-3.1348,79.1431,82.9827,83.3135,89.5720,96.0878,-1.1167,
0.3000,48.0293,-3.1172,79.1505,82.7200,83.2980,89.8000,96.0284,-1.1167,
0.3083,48.0292,-3.0996,79.1609,82.4241,83.2803,90.0589,95.9633,-1.1168,
0.3167,48.0291,-3.0824,79.1739,82.0934,83.2608,90.3506,95.8926,-1.1169,
0.3250,48.0289,-3.0649,79.1885,81.7279,83.2400,90.6754,95.8169,-1.1170,
0.3333,48.0287,-3.0469,79.2033,81.3297,83.2188,91.0317,95.7365,-1.1171,
0.3417,48.0285,-3.0292,79.2164,80.9033,83.1985,91.4158,95.6515,-1.1172,
0.3500,48.0282,-3.0133,79.2259,80.4553,83.1806,91.8218,95.5619,-1.1174,
0.3583,48.0278,-3.0007,79.2297,79.9948,83.1671,92.2413,95.4667,-1.1176,
0.3667,48.0275,-2.9923,79.2260,79.5329,83.1594,92.6645,95.3648,-1.1177,
0.3750,48.0272,-2.9880,79.2138,79.0812,83.1590,93.0804,95.2548,-1.1179,
0.3833,48.0269,-2.9866,79.1926,78.6510,83.1666,93.4776,95.1359,-1.1181,
0.3917,48.0267,-2.9858,79.1623,78.2513,83.1822,93.8457,95.0080,-1.1182,
0.4000,48.0265,-2.9824,79.1234,77.8879,83.2050,94.1760,94.8719,-1.1184,
0.4083,48.0264,-2.9727,79.0772,77.5638,83.2336,94.4622,94.7286,-1.1185,
0.4167,48.0264,-2.9529,79.0251,77.2798,83.2661,94.7005,94.5800,-1.1185,
0.4250,48.0264,-2.9204,78.9692,77.0349,83.2999,94.8897,94.4282,-1.1184,
0.4333,48.0265,-2.8746,78.9111,76.8272,83.3322,95.0304,94.2761,-1.1183,
0.4417,48.0267,-2.8168,78.8528,76.6545,83.3599,95.1247,94.1274,-1.1181,
0.4500,48.0273,-2.7499,78.7964,76.5139,83.3794,95.1759,93.9858,-1.1179,
0.4583,48.0281,-2.6772,78.7439,76.4025,83.3869,95.1879,93.8543,-1.1175,
0.4667,48.0293,-2.6023,78.6968,76.3174,83.3789,95.1646,93.7348,-1.1170,
0.4750,48.0309,-2.5283,78.6559,76.2560,83.3523,95.1100,93.6282,-1.1164,
0.4833,48.0327,-2.4581,78.6212,76.2160,83.3051,95.0272,93.5342,-1.1158,
0.4917,48.0343,-2.3940,78.5916,76.1952,83.2368,94.9192,93.4515,-1.1150,
0.5000,48.0358,-2.3382,78.5656,76.1920,83.1479,94.7882,93.3782,-1.1141,
0.5083,48.0369,-2.2925,78.5407,76.2047,83.0403,94.6358,93.3119,-1.1131,
0.5167,48.0378,-2.2578,78.5127,76.2324,82.9176,94.4631,93.2500,-1.1120,
0.5250,48.0385,-2.2340,78.4768,76.2744,82.7841,94.2705,93.1899,-1.1108,
0.5333,48.0390,-2.2194,78.4280,76.3298,82.6459,94.0585,93.1291,-1.1095,
0.5417,48.0394,-2.2110,78.3622,76.3973,82.5095,93.8280,93.0664,-1.1081,
0.5500,48.0398,-2.2054,78.2747,76.4743,82.3825,93.5807,93.0023,-1.1065,
0.5583,48.0403,-2.1982,78.1599,76.5576,82.2730,93.3189,92.9395,-1.1049,
0.5667,48.0407,-2.1851,78.0120,76.6438,82.1890,93.0454,92.8820,-1.1033,
0.5750,48.0412,-2.1621,77.8258,76.7298,82.1378,92.7629,92.8330,-1.1015,
0.5833,48.0417,-2.1265,77.5973,76.8134,82.1257,92.4745,92.7937,-1.0997,
0.5917,48.0423,-2.0780,77.3240,76.8927,82.1579,92.1830,92.7636,-1.0979,
0.6000,48.0429,-2.0185,77.0045,76.9663,82.2385,91.8916,92.7406,-1.0960,
0.6083,48.0437,-1.9513,76.6382,77.0327,82.3712,91.6037,92.7218,-1.0941,
0.6167,48.0447,-1.8784,76.2238,77.0896,82.5599,91.3231,92.7039,-1.0922,
0.6250,48.0462,-1.8003,75.7585,77.1341,82.8091,91.0535,92.6836,-1.0903,
0.6333,48.0483,-1.7163,75.2374,77.1629,83.1243,90.7980,92.6579,-1.0885,
0.6417,48.0513,-1.6266,74.6542,77.1734,83.5113,90.5595,92.6239,-1.0867,
0.6500,48.0553,-1.5330,74.0036,77.1639,83.9758,90.3401,92.5791,-1.0849,
0.6583,48.0605,-1.4381,73.2851,77.1331,84.5226,90.1414,92.5215,-1.0832,
0.6667,48.0668,-1.3447,72.5034,77.0805,85.1554,89.9646,92.4492,-1.0815,
0.6750,48.0742,-1.2543,71.6668,77.0051,85.8761,89.8102,92.3609,-1.0799,
0.6833,48.0827,-1.1674,70.7847,76.9065,86.6840,89.6782,92.2560,-1.0783,
0.6917,48.0923,-1.0839,69.8664,76.7841,87.5743,89.5681,92.1343,-1.0767,
0.7000,-1.4697,-1.0029,70.6259,76.6387,88.5383,89.4781,91.9958,-1.0751,
0.7083,-2.8325,-0.9240,69.7170,76.4725,89.5635,89.4051,91.8410,-1.0736,
0.7167,-4.4039,-0.8471,68.8249,76.2900,90.6347,89.3443,91.6704,-1.0721,
0.7250,-6.0777,-0.7724,67.9691,76.0971,91.7352,89.2892,91.4847,-1.0706,
0.7333,-7.7425,-0.7006,67.1710,75.9009,92.8475,89.2325,91.2853,-1.0691,
0.7417,-9.2832,-0.6317,66.4536,75.7083,93.9533,89.1676,91.0742,-1.0675,
0.7500,-10.5876,-0.5661,65.8419,75.5252,95.0348,89.0888,90.8551,-1.0659,
0.7583,-11.5616,-0.5038,65.3611,75.3559,96.0765,88.9920,90.6321,-1.0643,
0.7667,-12.1498,-0.4449,65.0348,75.2034,97.0672,88.8740,90.4098,-1.0625,
0.7750,-12.3469,-0.3894,64.8818,75.0690,98.0008,88.7328,90.1915,-1.0607,
0.7833,-12.1944,-0.3370,64.9150,74.9530,98.8754,88.5674,89.9793,-1.0588,
0.7917,-11.7604,-0.2874,65.1414,74.8549,99.6907,88.3779,89.7731,-1.0568,
0.8000,-11.1138,-0.2405,65.5655,74.7735,100.4456,88.1651,89.5717,-1.0546,
0.8083,-10.3057,-0.1963,66.1894,74.7070,101.1387,87.9312,89.3726,-1.0524,
0.8167,-9.3644,-0.1556,67.0107,74.6538,101.7710,87.6787,89.1724,-1.0501,
0.8250,-8.3027,-0.1192,68.0198,74.6118,102.3470,87.4102,88.9680,-1.0478,
0.8333,-7.1306,-0.0880,69.2020,74.5790,102.8716,87.1279,88.7581,-1.0454,
0.8417,-5.8682,-0.0633,70.5420,74.5531,103.3489,86.8334,88.5425,-1.0430,
0.8500,-4.5518,-0.0459,72.0244,74.5315,103.7847,86.5285,88.3215,-1.0405,
0.8583,-3.2294,-0.0363,73.6324,74.5118,104.1873,86.2153,88.0949,-1.0380,
0.8667,-1.9486,-0.0346,75.3437,74.4920,104.5655,85.8957,87.8629,-1.0354,
0.8750,-0.7467,-0.0411,77.1314,74.4703,104.9251,85.5699,87.6270,-1.0328,
0.8833,0.3561,-0.0561,78.9696,74.4456,105.2673,85.2377,87.3893,-1.0301,
0.8917,1.3593,-0.0802,80.8390,74.4171,105.5883,84.8982,87.1522,-1.0273,
0.9000,2.2790,-0.1137,82.7277,74.3844,105.8810,84.5506,86.9175,-1.0243,
0.9083,3.1390,-0.1560,84.6297,74.3474,106.1387,84.1940,86.6863,-1.0213,
0.9167,3.9694,-0.2057,86.5413,74.3059,106.3583,83.8272,86.4591,-1.0181,
0.9250,4.8114,-0.2608,88.4557,74.2603,106.5405,83.4494,86.2361,-1.0148,
0.9333,5.7091,-0.3199,90.3586,74.2109,106.6882,83.0595,86.0176,-1.0113,
0.9417,6.6949,-0.3822,92.2291,74.1580,106.8058,82.6568,85.8043,-1.0077,
0.9500,7.7907,-0.4474,94.0432,74.1018,106.8986,82.2412,85.5966,-1.0040,
0.9583,9.0156,-0.5159,95.7749,74.0419,106.9728,81.8132,85.3952,-1.0002,
0.9667,10.3815,-0.5883,97.3988,73.9768,107.0338,81.3742,85.2010,-0.9963,
0.9750,11.8814,-0.6656,98.8927,73.9040,107.0845,80.9265,85.0152,-0.9922,
0.9833,13.4766,-0.7483,100.2372,73.8201,107.1237,80.4722,84.8406,-0.9880,
0.9917,15.0860,-0.8367,101.4143,73.7210,107.1468,80.0134,84.6803,-0.9836,
1.0000,16.5882,-0.9311,102.4058,73.6022,107.1486,79.5526,84.5375,-0.9790,
1.0083,17.8427,-1.0326,103.1954,73.4594,107.1271,79.0928,84.4139,-0.9743,
1.0167,18.7278,-1.1433,103.7707,73.2884,107.0836,78.6376,84.3097,-0.9693,
1.0250,19.1700,-1.2654,104.1257,73.0853,107.0215,78.1904,84.2247,-0.9641,
1.0333,19.1530,-1.4010,104.2626,72.8472,106.9452,77.7550,84.1581,-0.9587,
1.0417,18.7119,-1.5517,104.1955,72.5715,106.8611,77.3354,84.1088,-0.9532,
1.0500,17.9241,-1.7186,103.9498,72.2565,106.7769,76.9349,84.0762,-0.9475,
1.0583,16.8993,-1.9028,103.5565,71.9012,106.7011,76.5555,84.0604,-0.9416,
1.0667,15.7578,-2.1050,103.0439,71.5061,106.6419,76.1978,84.0621,-0.9357,
1.0750,14.6045,-2.3253,102.4319,71.0724,106.6071,75.8609,84.0816,-0.9296,
1.0833,13.5144,-2.5641,101.7307,70.6024,106.6020,75.5429,84.1186,-0.9234,
1.0917,12.5338,-2.8230,100.9447,70.0991,106.6283,75.2415,84.1720,-0.9170,
1.1000,11.6886,-3.1062,100.0780,69.5652,106.6847,74.9554,84.2396,-0.9105,
1.1083,10.9873,-3.4220,99.1403,69.0034,106.7668,74.6849,84.3181,-0.9039,
1.1167,10.4207,-3.7834,98.1481,68.4152,106.8672,74.4316,84.4038,-0.8972,
1.1250,9.9659,-4.2091,97.1238,67.8021,106.9754,74.1989,84.4929,-0.8905,
1.1333,9.5961,-4.7223,96.0921,67.1654,107.0781,73.9910,84.5823,-0.8836,
1.1417,9.2903,-5.3483,95.0768,66.5063,107.1595,73.8127,84.6706,-0.8768,
1.1500,9.0365,-6.1109,94.0977,65.8254,107.2037,73.6693,84.7577,-0.8700,
1.1583,8.8294,-7.0285,93.1685,65.1230,107.1989,73.5665,84.8451,-0.8632,
1.1667,8.6671,-8.1118,92.2974,64.3988,107.1391,73.5108,84.9339,-0.8564,
1.1750,8.5485,-9.3633,91.4884,63.6505,107.0231,73.5091,85.0246,-0.8497,
1.1833,8.4708,-10.7790,90.7442,62.8730,106.8506,73.5681,85.1170,-0.8430,
1.1917,8.4289,-12.3477,90.0672,62.0567,106.6215,73.6943,85.2103,-0.8364,
1.2000,8.4137,-14.0496,89.4588,61.1855,106.3373,73.8950,85.3026,-0.8299,
1.2083,8.4109,-15.8571,88.9174,60.2382,106.0021,74.1789,85.3913,-0.8234,
1.2167,8.4005,-17.7414,88.4363,59.1930,105.6215,74.5547,85.4739,-0.8170,
1.2250,8.3603,-19.6852,88.0023,58.0357,105.2017,75.0302,85.5491,-0.8108,
1.2333,8.2749,-21.6977,87.5992,56.7687,104.7489,75.6106,85.6162,-0.8045,
1.2417,8.1457,-23.8210,87.2131,55.4163,104.2675,76.2975,85.6753,-0.7984,
1.2500,7.9967,-26.1102,86.8396,54.0176,103.7594,77.0872,85.7268,-0.7923,
1.2583,7.8633,-28.6006,86.4849,52.6089,103.2237,77.9704,85.7719,-0.7862,
1.2667,7.7702,-31.2876,86.1606,51.2132,102.6590,78.9336,85.8115,-0.7802,
1.2750,7.7160,-34.1264,85.8737,49.8409,102.0651,79.9609,85.8468,-0.7742,
1.2833,7.6794,-37.0410,85.6225,48.4975,101.4456,81.0359,85.8789,-0.7682,
1.2917,7.6311,-39.9384,85.3953,47.1933,100.8097,82.1420,85.9088,-0.7622,
1.3000,7.5389,-42.7173,85.1747,45.9485,100.1703,83.2632,85.9374,-0.7562,
1.3083,7.3704,-45.2682,84.9437,44.7913,99.5400,84.3857,85.9653,-0.7503,
