time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0336,0.0419,-0.1079,-0.4926,-0.0446,0.0751,
0.0033,0.0336,0.0419,-0.1079,-0.4926,-0.0446,0.0751,
0.0050,0.0336,0.0419,-0.1079,-0.4927,-0.0447,0.0751,
0.0067,0.0336,0.0419,-0.1079,-0.4927,-0.0447,0.0752,
0.0083,0.0336,0.0419,-0.1079,-0.4927,-0.0447,0.0752,
0.0100,0.0336,0.0419,-0.1079,-0.4928,-0.0447,0.0752,
0.0117,0.0336,0.0419,-0.1079,-0.4928,-0.0447,0.0752,
0.0133,0.0336,0.0419,-0.1080,-0.4929,-0.0447,0.0752,
0.0150,0.0337,0.0419,-0.1080,-0.4929,-0.0447,0.0752,
0.0167,0.0337,0.0420,-0.1080,-0.4930,-0.0447,0.0752,
0.0183,0.0337,0.0420,-0.1080,-0.4930,-0.0447,0.0752,
0.0200,0.0337,0.0420,-0.1080,-0.4930,-0.0447,0.0751,
0.0217,0.0337,0.0420,-0.1080,-0.4931,-0.0447,0.0751,
0.0233,0.0337,0.0420,-0.1080,-0.4931,-0.0446,0.0751,
0.0250,0.0337,0.0420,-0.1080,-0.4931,-0.0446,0.0751,
0.0267,0.0337,0.0420,-0.1080,-0.4931,-0.0446,0.0751,
0.0283,0.0337,0.0420,-0.1080,-0.4931,-0.0446,0.0751,
0.0300,0.0337,0.0420,-0.1080,-0.4931,-0.0446,0.0751,
0.0317,0.0337,0.0420,-0.1080,-0.4930,-0.0445,0.0750,
0.0333,0.0337,0.0420,-0.1079,-0.4930,-0.0445,0.0750,
0.0350,0.0336,0.0420,-0.1079,-0.4929,-0.0445,0.0750,
0.0367,0.0336,0.0420,-0.1079,-0.4928,-0.0445,0.0750,
0.0383,0.0336,0.0420,-0.1078,-0.4927,-0.0444,0.0749,
0.0400,0.0336,0.0420,-0.1078,-0.4926,-0.0444,0.0749,
0.0417,0.0335,0.0420,-0.1078,-0.4925,-0.0444,0.0749,
0.0433,0.0335,0.0419,-0.1077,-0.4923,-0.0444,0.0749,
0.0450,0.0335,0.0419,-0.1077,-0.4922,-0.0443,0.0749,
0.0467,0.0334,0.0419,-0.1076,-0.4920,-0.0443,0.0749,
0.0483,0.0334,0.0419,-0.1076,-0.4918,-0.0443,0.0749,
0.0500,0.0334,0.0419,-0.1075,-0.4917,-0.0443,0.0749,
0.0517,0.0333,0.0419,-0.1075,-0.4915,-0.0443,0.0749,
0.0533,0.0333,0.0419,-0.1075,-0.4913,-0.0443,0.0749,
0.0550,0.0333,0.0418,-0.1074,-0.4912,-0.0443,0.0749,
0.0567,0.0332,0.0418,-0.1074,-0.4911,-0.0444,0.0749,
0.0583,0.0332,0.0418,-0.1074,-0.4910,-0.0444,0.0750,
0.0600,0.0332,0.0418,-0.1074,-0.4909,-0.0445,0.0750,
0.0617,0.0332,0.0418,-0.1074,-0.4909,-0.0445,0.0751,
0.0633,0.0332,0.0418,-0.1074,-0.4909,-0.0446,0.0751,
0.0650,0.0332,0.0418,-0.1075,-0.4910,-0.0446,0.0752,
0.0667,0.0333,0.0418,-0.1075,-0.4911,-0.0447,0.0753,
0.0683,0.0333,0.0418,-0.1076,-0.4912,-0.0448,0.0754,
0.0700,0.0334,0.0418,-0.1077,-0.4915,-0.0449,0.0754,
0.0717,0.0334,0.0418,-0.1078,-0.4917,-0.0450,0.0755,
0.0733,0.0335,0.0418,-0.1079,-0.4921,-0.0451,0.0756,
0.0750,0.0336,0.0418,-0.1080,-0.4925,-0.0452,0.0757,
0.0767,0.0337,0.0418,-0.1082,-0.4929,-0.0453,0.0758,
0.0783,0.0338,0.0419,-0.1083,-0.4934,-0.0454,0.0758,
0.0800,0.0339,0.0419,-0.1085,-0.4940,-0.0455,0.0759,
0.0817,0.0341,0.0420,-0.1087,-0.4946,-0.0455,0.0759,
0.0833,0.0342,0.0420,-0.1088,-0.4952,-0.0456,0.0760,
0.0850,0.0343,0.0421,-0.1090,-0.4958,-0.0456,0.0760,
0.0867,0.0345,0.0421,-0.1091,-0.4964,-0.0456,0.0760,
