time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0568,0.0509,-0.2185,-0.4410,-0.0831,0.0617,
0.0033,0.0568,0.0510,-0.2185,-0.4410,-0.0831,0.0617,
0.0050,0.0568,0.0510,-0.2185,-0.4410,-0.0832,0.0617,
0.0067,0.0568,0.0510,-0.2185,-0.4411,-0.0832,0.0617,
0.0083,0.0568,0.0510,-0.2186,-0.4411,-0.0832,0.0617,
0.0100,0.0568,0.0510,-0.2186,-0.4411,-0.0833,0.0617,
0.0117,0.0568,0.0510,-0.2186,-0.4412,-0.0833,0.0618,
0.0133,0.0568,0.0510,-0.2186,-0.4412,-0.0833,0.0618,
0.0150,0.0568,0.0510,-0.2186,-0.4413,-0.0834,0.0618,
0.0167,0.0569,0.0510,-0.2187,-0.4413,-0.0834,0.0618,
0.0183,0.0569,0.0510,-0.2187,-0.4413,-0.0834,0.0618,
0.0200,0.0569,0.0510,-0.2187,-0.4414,-0.0834,0.0618,
0.0217,0.0569,0.0510,-0.2187,-0.4414,-0.0834,0.0618,
0.0233,0.0569,0.0510,-0.2187,-0.4414,-0.0835,0.0618,
0.0250,0.0569,0.0510,-0.2187,-0.4414,-0.0834,0.0618,
0.0267,0.0569,0.0510,-0.2187,-0.4414,-0.0834,0.0618,
0.0283,0.0569,0.0510,-0.2187,-0.4413,-0.0834,0.0618,
0.0300,0.0569,0.0510,-0.2187,-0.4413,-0.0834,0.0618,
0.0317,0.0569,0.0510,-0.2187,-0.4413,-0.0833,0.0618,
0.0333,0.0569,0.0510,-0.2187,-0.4412,-0.0833,0.0617,
0.0350,0.0568,0.0509,-0.2187,-0.4411,-0.0832,0.0617,
0.0367,0.0568,0.0509,-0.2187,-0.4410,-0.0831,0.0617,
0.0383,0.0568,0.0509,-0.2186,-0.4409,-0.0830,0.0616,
0.0400,0.0568,0.0509,-0.2186,-0.4408,-0.0829,0.0616,
0.0417,0.0567,0.0509,-0.2185,-0.4407,-0.0828,0.0615,
0.0433,0.0567,0.0508,-0.2185,-0.4405,-0.0827,0.0615,
0.0450,0.0567,0.0508,-0.2184,-0.4404,-0.0826,0.0614,
0.0467,0.0566,0.0508,-0.2184,-0.4402,-0.0824,0.0613,
0.0483,0.0566,0.0508,-0.2183,-0.4401,-0.0823,0.0613,
0.0500,0.0565,0.0507,-0.2182,-0.4399,-0.0822,0.0612,
0.0517,0.0565,0.0507,-0.2181,-0.4398,-0.0821,0.0612,
0.0533,0.0565,0.0507,-0.2181,-0.4397,-0.0820,0.0611,
0.0550,0.0564,0.0507,-0.2180,-0.4396,-0.0819,0.0611,
0.0567,0.0564,0.0507,-0.2179,-0.4395,-0.0818,0.0610,
0.0583,0.0564,0.0507,-0.2179,-0.4395,-0.0818,0.0610,
0.0600,0.0564,0.0507,-0.2179,-0.4394,-0.0818,0.0610,
0.0617,0.0564,0.0507,-0.2178,-0.4395,-0.0818,0.0610,
0.0633,0.0564,0.0507,-0.2178,-0.4395,-0.0819,0.0611,
0.0650,0.0564,0.0508,-0.2178,-0.4396,-0.0820,0.0611,
0.0667,0.0564,0.0508,-0.2178,-0.4398,-0.0821,0.0612,
0.0683,0.0565,0.0508,-0.2179,-0.4400,-0.0823,0.0613,
0.0700,0.0565,0.0509,-0.2179,-0.4402,-0.0825,0.0614,
0.0717,0.0566,0.0510,-0.2180,-0.4405,-0.0828,0.0615,
0.0733,0.0567,0.0510,-0.2181,-0.4409,-0.0831,0.0617,
0.0750,0.0568,0.0511,-0.2183,-0.4413,-0.0835,0.0619,
0.0767,0.0569,0.0512,-0.2184,-0.4418,-0.0839,0.0621,
0.0783,0.0570,0.0513,-0.2186,-0.4422,-0.0843,0.0623,
0.0800,0.0571,0.0514,-0.2188,-0.4428,-0.0848,0.0625,
0.0817,0.0572,0.0514,-0.2191,-0.4433,-0.0852,0.0627,
0.0833,0.0574,0.0515,-0.2193,-0.4438,-0.0857,0.0629,
0.0850,0.0575,0.0516,-0.2196,-0.4444,-0.0862,0.0632,
0.0867,0.0577,0.0517,-0.2198,-0.4449,-0.0866,0.0634,
0.0883,0.0578,0.0517,-0.2201,-0.4454,-0.0870,0.0636,
0.0900,0.0579,0.0518,-0.2203,-0.4458,-0.0873,0.0637,
0.0917,0.0580,0.0518,-0.2206,-0.4461,-0.0876,0.0639,
0.0933,0.0581,0.0518,-0.2208,-0.4464,-0.0878,0.0640,
0.0950,0.0582,0.0518,-0.2210,-0.4465,-0.0879,0.0640,
0.0967,0.0582,0.0518,-0.2211,-0.4466,-0.0879,0.0640,
0.0983,0.0582,0.0517,-0.2212,-0.4464,-0.0878,0.0639,
0.1000,0.0582,0.0517,-0.2212,-0.4462,-0.0875,0.0638,
0.1017,0.0581,0.0515,-0.2212,-0.4457,-0.0871,0.0636,
0.1033,0.0580,0.0514,-0.2211,-0.4451,-0.0865,0.0633,
0.1050,0.0579,0.0512,-0.2209,-0.4443,-0.0857,0.0629,
0.1067,0.0577,0.0510,-0.2206,-0.4433,-0.0848,0.0625,
0.1083,0.0574,0.0508,-0.2203,-0.4421,-0.0838,0.0620,
0.1100,0.0571,0.0505,-0.2198,-0.4408,-0.0825,0.0614,
0.1117,0.0567,0.0502,-0.2193,-0.4392,-0.0812,0.0607,
0.1133,0.0563,0.0500,-0.2187,-0.4376,-0.0797,0.0600,
0.1150,0.0559,0.0496,-0.2180,-0.4358,-0.0781,0.0592,
0.1167,0.0554,0.0493,-0.2172,-0.4339,-0.0764,0.0584,
0.1183,0.0549,0.0490,-0.2164,-0.4320,-0.0748,0.0576,
0.1200,0.0544,0.0487,-0.2155,-0.4300,-0.0731,0.0568,
0.1217,0.0539,0.0484,-0.2146,-0.4281,-0.0715,0.0560,
0.1233,0.0534,0.0482,-0.2136,-0.4263,-0.0699,0.0552,
0.1250,0.0529,0.0480,-0.2127,-0.4247,-0.0686,0.0546,
0.1267,0.0525,0.0478,-0.2118,-0.4233,-0.0674,0.0540,
0.1283,0.0521,0.0478,-0.2110,-0.4222,-0.0665,0.0536,
0.1300,0.0518,0.0477,-0.2103,-0.4215,-0.0659,0.0533,
0.1317,0.0516,0.0478,-0.2098,-0.4211,-0.0658,0.0532,
0.1333,0.0516,0.0480,-0.2093,-0.4213,-0.0660,0.0534,
0.1350,0.0516,0.0482,-0.2091,-0.4220,-0.0667,0.0537,
0.1367,0.0518,0.0486,-0.2091,-0.4233,-0.0680,0.0544,
0.1383,0.0521,0.0490,-0.2094,-0.4253,-0.0698,0.0553,
0.1400,0.0526,0.0496,-0.2099,-0.4279,-0.0722,0.0564,
0.1417,0.0533,0.0503,-0.2107,-0.4312,-0.0752,0.0579,
0.1433,0.0542,0.0511,-0.2118,-0.4352,-0.0788,0.0597,
0.1450,0.0552,0.0520,-0.2133,-0.4398,-0.0830,0.0617,
0.1467,0.0565,0.0530,-0.2151,-0.4451,-0.0877,0.0640,
0.1483,0.0578,0.0540,-0.2172,-0.4509,-0.0929,0.0665,
0.1500,0.0594,0.0551,-0.2196,-0.4572,-0.0985,0.0692,
0.1517,0.0610,0.0563,-0.2223,-0.4639,-0.1044,0.0721,
0.1533,0.0628,0.0574,-0.2252,-0.4707,-0.1104,0.0750,
0.1550,0.0646,0.0585,-0.2283,-0.4777,-0.1165,0.0780,
0.1567,0.0664,0.0596,-0.2316,-0.4845,-0.1224,0.0809,
0.1583,0.0682,0.0605,-0.2348,-0.4909,-0.1281,0.0836,
0.1600,0.0699,0.0613,-0.2381,-0.4968,-0.1332,0.0860,
0.1617,0.0715,0.0620,-0.2412,-0.5019,-0.1376,0.0882,
0.1633,0.0728,0.0624,-0.2440,-0.5058,-0.1410,0.0898,
0.1650,0.0739,0.0625,-0.2465,-0.5084,-0.1433,0.0908,
0.1667,0.0746,0.0624,-0.2484,-0.5093,-0.1441,0.0912,
0.1683,0.0749,0.0619,-0.2498,-0.5082,-0.1432,0.0907,
0.1700,0.0747,0.0610,-0.2503,-0.5048,-0.1405,0.0893,
0.1717,0.0738,0.0597,-0.2499,-0.4989,-0.1356,0.0869,
0.1733,0.0724,0.0579,-0.2484,-0.4902,-0.1285,0.0834,
0.1750,0.0702,0.0557,-0.2457,-0.4784,-0.1188,0.0786,
0.1767,0.0672,0.0530,-0.2417,-0.4634,-0.1065,0.0726,
0.1783,0.0634,0.0498,-0.2362,-0.4449,-0.0916,0.0652,
0.1800,0.0587,0.0461,-0.2291,-0.4229,-0.0738,0.0565,
0.1817,0.0531,0.0419,-0.2203,-0.3972,-0.0533,0.0464,
