time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.7179,48.6190,80.3192,98.9928,101.4787,111.0103,71.0683,-1.5787,
0.0167,48.7137,48.6187,80.4325,98.9642,101.1487,110.9920,71.1214,-1.5783,
0.0250,48.7099,48.6184,80.4979,98.9379,100.8673,110.9726,71.1717,-1.5779,
0.0333,48.7067,48.6183,80.5272,98.9158,100.6404,110.9517,71.2162,-1.5776,
0.0417,48.7042,48.6181,80.5350,98.8995,100.4699,110.9295,71.2529,-1.5772,
0.0500,48.7025,48.6181,80.5340,98.8886,100.3503,110.9069,71.2819,-1.5770,
0.0583,48.7012,48.6181,80.5326,98.8818,100.2713,110.8855,71.3046,-1.5767,
0.0667,48.7005,48.6182,80.5348,98.8774,100.2210,110.8666,71.3227,-1.5765,
0.0750,48.7000,48.6182,80.5427,98.8743,100.1884,110.8508,71.3375,-1.5763,
0.0833,48.6999,48.6182,80.5564,98.8716,100.1650,110.8386,71.3500,-1.5762,
0.0917,48.6998,48.6182,80.5735,98.8688,100.1466,110.8296,71.3607,-1.5761,
0.1000,48.6999,48.6182,80.5908,98.8657,100.1318,110.8236,71.3696,-1.5760,
0.1083,48.7001,48.6182,80.6050,98.8624,100.1206,110.8200,71.3761,-1.5760,
0.1167,48.7002,48.6182,80.6143,98.8589,100.1133,110.8181,71.3801,-1.5759,
0.1250,48.7004,48.6181,80.6182,98.8552,100.1099,110.8177,71.3827,-1.5759,
0.1333,48.7006,48.6181,80.6172,98.8516,100.1097,110.8180,71.3849,-1.5758,
0.1417,48.7009,48.6181,80.6130,98.8481,100.1114,110.8189,71.3872,-1.5758,
0.1500,48.7011,48.6180,80.6070,98.8448,100.1140,110.8199,71.3896,-1.5758,
0.1583,48.7014,48.6180,80.6004,98.8417,100.1167,110.8209,71.3919,-1.5758,
0.1667,48.7016,48.6180,80.5941,98.8389,100.1192,110.8219,71.3947,-1.5758,
0.1750,48.7017,48.6180,80.5887,98.8364,100.1213,110.8229,71.3984,-1.5757,
0.1833,48.7017,48.6179,80.5848,98.8346,100.1227,110.8238,71.4026,-1.5757,
0.1917,48.7017,48.6179,80.5830,98.8338,100.1227,110.8245,71.4058,-1.5757,
0.2000,48.7015,48.6179,80.5845,98.8342,100.1207,110.8251,71.4062,-1.5757,
0.2083,48.7014,48.6179,80.5902,98.8354,100.1158,110.8254,71.4020,-1.5757,
0.2167,48.7013,48.6178,80.5993,98.8372,100.1090,110.8256,71.3925,-1.5757,
0.2250,48.7011,48.6178,80.6094,98.8388,100.1024,110.8260,71.3787,-1.5757,
0.2333,48.7009,48.6178,80.6166,98.8391,100.0991,110.8270,71.3622,-1.5757,
0.2417,48.7008,48.6179,80.6182,98.8366,100.1013,110.8293,71.3451,-1.5757,
0.2500,48.7006,48.6180,80.6170,98.8294,100.1066,110.8342,71.3288,-1.5757,
0.2583,48.7004,48.6182,80.6193,98.8147,100.1088,110.8436,71.3140,-1.5757,
0.2667,48.7002,48.6185,80.6317,98.7888,100.1016,110.8599,71.3009,-1.5757,
0.2750,48.7000,48.6188,80.6589,98.7474,100.0797,110.8863,71.2889,-1.5757,
0.2833,48.6997,48.6193,80.7037,98.6853,100.0390,110.9265,71.2776,-1.5757,
0.2917,48.6995,48.6199,80.7686,98.5961,99.9755,110.9851,71.2660,-1.5757,
0.3000,48.6993,48.6207,80.8530,98.4726,99.8881,111.0674,71.2535,-1.5757,
0.3083,48.6992,48.6215,80.9521,98.3078,99.7795,111.1787,71.2392,-1.5757,
0.3167,48.6993,48.6225,81.0578,98.0964,99.6559,111.3232,71.2222,-1.5757,
0.3250,48.6996,48.6235,81.1622,97.8355,99.5243,111.5032,71.2015,-1.5757,
0.3333,48.7002,48.6245,81.2588,97.5240,99.3916,111.7199,71.1764,-1.5758,
0.3417,48.7009,48.6255,81.3433,97.1609,99.2639,111.9741,71.1461,-1.5758,
0.3500,48.7017,48.6264,81.4130,96.7455,99.1458,112.2664,71.1099,-1.5758,
0.3583,48.7023,48.6273,81.4684,96.2771,99.0399,112.5971,71.0677,-1.5758,
0.3667,48.7026,48.6280,81.5099,95.7567,98.9475,112.9654,71.0195,-1.5758,
0.3750,48.7028,48.6286,81.5370,95.1876,98.8694,113.3683,70.9657,-1.5758,
0.3833,48.7029,48.6290,81.5493,94.5748,98.8057,113.8016,70.9064,-1.5758,
0.3917,48.7032,48.6292,81.5476,93.9252,98.7549,114.2594,70.8417,-1.5758,
0.4000,48.7035,48.6294,81.5346,93.2471,98.7144,114.7347,70.7720,-1.5758,
0.4083,48.7039,48.6294,81.5143,92.5511,98.6802,115.2189,70.6972,-1.5758,
0.4167,48.7040,48.6294,81.4904,91.8489,98.6487,115.7023,70.6175,-1.5757,
0.4250,48.7038,48.6293,81.4665,91.1530,98.6168,116.1749,70.5329,-1.5756,
0.4333,48.7031,48.6291,81.4443,90.4756,98.5818,116.6271,70.4440,-1.5754,
0.4417,48.7019,48.6289,81.4239,89.8281,98.5421,117.0502,70.3518,-1.5752,
0.4500,48.7005,48.6286,81.4025,89.2205,98.4978,117.4371,70.2576,-1.5749,
0.4583,48.6993,48.6282,81.3762,88.6607,98.4497,117.7823,70.1628,-1.5745,
0.4667,48.6983,48.6278,81.3410,88.1535,98.3993,118.0819,70.0687,-1.5741,
0.4750,48.6976,48.6274,81.2953,87.7015,98.3468,118.3335,69.9763,-1.5735,
0.4833,48.6973,48.6270,81.2389,87.3053,98.2912,118.5353,69.8861,-1.5729,
0.4917,48.6971,48.6266,81.1728,86.9642,98.2300,118.6856,69.7984,-1.5721,
0.5000,48.6970,48.6263,81.0988,86.6758,98.1605,118.7837,69.7132,-1.5712,
0.5083,48.6969,48.6262,81.0185,86.4363,98.0798,118.8298,69.6293,-1.5701,
0.5167,48.6969,48.6262,80.9333,86.2405,97.9864,118.8261,69.5446,-1.5689,
0.5250,48.6969,48.6263,80.8421,86.0831,97.8821,118.7766,69.4555,-1.5675,
0.5333,48.6970,48.6265,80.7421,85.9579,97.7711,118.6870,69.3589,-1.5659,
0.5417,48.6971,48.6268,80.6301,85.8588,97.6587,118.5640,69.2530,-1.5643,
0.5500,48.6975,48.6272,80.5033,85.7794,97.5500,118.4146,69.1399,-1.5625,
0.5583,48.6979,48.6277,80.3594,85.7138,97.4499,118.2456,69.0255,-1.5606,
0.5667,48.6983,48.6282,80.1959,85.6565,97.3633,118.0625,68.9169,-1.5587,
0.5750,48.6987,48.6286,80.0078,85.6031,97.2971,117.8702,68.8187,-1.5567,
0.5833,48.6989,48.6291,79.7872,85.5505,97.2601,117.6725,68.7319,-1.5547,
0.5917,48.6990,48.6295,79.5248,85.4975,97.2623,117.4714,68.6544,-1.5526,
0.6000,48.6990,48.6299,79.2133,85.4445,97.3112,117.2678,68.5825,-1.5505,
0.6083,48.6990,48.6303,78.8486,85.3939,97.4112,117.0612,68.5119,-1.5484,
0.6167,48.6992,48.6307,78.4275,85.3487,97.5653,116.8502,68.4382,-1.5462,
0.6250,48.6998,48.6311,77.9464,85.3119,97.7774,116.6329,68.3571,-1.5441,
0.6333,48.7009,48.6316,77.3981,85.2851,98.0540,116.4067,68.2652,-1.5419,
0.6417,48.7022,48.6322,76.7725,85.2680,98.4037,116.1689,68.1603,-1.5397,
0.6500,48.7035,48.6330,76.0599,85.2591,98.8346,115.9176,68.0411,-1.5375,
0.6583,48.7047,48.6340,75.2538,85.2565,99.3513,115.6533,67.9073,-1.5353,
0.6667,48.7055,48.6350,74.3507,85.2581,99.9557,115.3786,67.7590,-1.5331,
0.6750,48.7066,48.6361,73.3504,85.2615,82.6769,84.5629,91.0790,-1.3307,
0.6833,48.7083,48.6372,72.2556,85.2644,83.4902,84.2706,90.8734,-1.3286,
0.6917,48.7113,48.6381,71.0682,85.2652,84.3827,83.9447,90.6728,-1.3263,
0.7000,48.7163,48.6389,69.7906,85.2630,85.3538,83.6033,90.4688,-1.3239,
0.7083,48.7239,48.6397,68.4335,85.2584,86.3976,83.2574,90.2571,-1.3214,
0.7167,48.7342,48.6403,67.0201,85.2532,87.5009,82.9115,90.0374,-1.3190,
0.7250,48.7468,48.6408,65.5831,85.2499,88.6462,82.5661,89.8113,-1.3166,
0.7333,48.7607,48.6411,64.1619,85.2512,89.8145,82.2191,89.5818,-1.3141,
0.7417,48.7748,48.6415,62.7968,85.2592,90.9885,81.8676,89.3517,-1.3117,
0.7500,48.7877,48.6417,61.5208,85.2754,92.1575,81.5092,89.1235,-1.3091,
0.7583,48.7989,48.6418,60.3521,85.3005,93.3208,81.1421,88.8989,-1.3066,
0.7667,48.8079,48.6418,59.2986,85.3345,94.4841,80.7658,88.6792,-1.3039,
0.7750,48.8142,48.6418,58.3706,85.3772,95.6516,80.3801,88.4652,-1.3012,
0.7833,48.8172,48.6416,57.5891,85.4284,96.8204,79.9842,88.2570,-1.2983,
0.7917,48.8159,48.6414,56.9869,85.4882,97.9798,79.5764,88.0544,-1.2954,
0.8000,48.8091,48.6410,56.6022,85.5562,99.1132,79.1528,87.8576,-1.2923,
0.8083,48.7955,48.6407,56.4691,85.6324,100.2034,78.7086,87.6664,-1.2891,
0.8167,48.7742,48.6403,56.6063,85.7164,101.2372,78.2409,87.4794,-1.2858,
0.8250,48.7443,48.6400,57.0088,85.8076,102.2105,77.7498,87.2939,-1.2823,
0.8333,48.7055,48.6396,57.6491,85.9052,103.1273,77.2379,87.1071,-1.2787,
0.8417,48.6579,48.6393,58.4874,86.0075,103.9949,76.7074,86.9183,-1.2749,
0.8500,48.6020,48.6390,59.4816,86.1122,104.8208,76.1601,86.7282,-1.2710,
0.8583,48.5384,48.6386,60.5929,86.2158,105.6137,75.5985,86.5376,-1.2669,
0.8667,48.4683,48.6383,61.7871,86.3134,106.3860,75.0274,86.3454,-1.2627,
0.8750,48.3926,48.6379,63.0344,86.3988,107.1536,74.4544,86.1492,-1.2584,
0.8833,48.3123,48.6375,64.3069,86.4645,107.9324,73.8887,85.9464,-1.2541,
0.8917,48.2285,48.6369,65.5801,86.5036,108.7346,73.3387,85.7362,-1.2496,
0.9000,48.1424,48.6362,66.8439,86.5119,109.5625,72.8090,85.5182,-1.2451,
0.9083,48.0550,48.6353,68.1142,86.4879,110.4024,72.3002,85.2921,-1.2405,
0.9167,47.9670,48.6343,69.4288,86.4329,111.2270,71.8100,85.0579,-1.2359,
0.9250,-10.3950,48.6331,69.0929,86.3489,112.0064,71.3344,84.8161,-1.2312,
0.9333,-8.6006,48.6319,70.6619,86.2387,112.7178,70.8691,84.5689,-1.2264,
0.9417,-6.5710,48.6306,72.4047,86.1041,113.3474,70.4105,84.3188,-1.2214,
0.9500,-4.4321,48.6293,74.2901,85.9464,113.8909,69.9569,84.0687,-1.2164,
0.9583,-2.2821,48.6279,76.2888,85.7659,114.3490,69.5076,83.8209,-1.2113,
0.9667,-0.1922,48.6265,78.3746,85.5635,114.7240,69.0620,83.5784,-1.2062,
0.9750,1.7953,48.6250,80.5257,85.3396,115.0177,68.6198,83.3447,-1.2009,
0.9833,3.6620,48.6235,82.7211,85.0946,115.2319,68.1810,83.1228,-1.1955,
0.9917,5.4010,48.6219,84.9344,84.8279,115.3744,67.7463,82.9146,-1.1900,
1.0000,7.0091,48.6203,87.1271,84.5392,115.4647,67.3167,82.7201,-1.1844,
1.0083,8.4859,48.6185,89.2473,84.2282,115.5348,66.8928,82.5377,-1.1787,
1.0167,9.8362,48.6166,91.2377,83.8963,115.6238,66.4738,82.3653,-1.1728,
1.0250,11.0696,48.6146,93.0485,83.5455,115.7661,66.0580,82.2006,-1.1668,
1.0333,12.1975,48.6124,94.6496,83.1787,115.9818,65.6420,82.0418,-1.1607,
1.0417,13.2285,48.6100,96.0327,82.7983,116.2734,65.2220,81.8884,-1.1545,
1.0500,14.1645,48.6076,97.2054,82.4061,116.6281,64.7947,81.7414,-1.1481,
1.0583,14.9987,48.6052,98.1825,82.0020,117.0201,64.3604,81.6042,-1.1416,
1.0667,15.7137,48.6025,98.9805,81.5841,117.4131,63.9216,81.4819,-1.1349,
1.0750,16.2750,48.5997,99.6115,81.1500,117.7684,63.4820,81.3798,-1.1281,
1.0833,16.6241,48.5967,100.0770,80.6961,118.0567,63.0449,81.3029,-1.1210,
