time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-1.7651,-6.1344,77.3140,83.5570,83.1751,91.4924,88.4318,-0.9661,
0.0167,-1.8284,-6.1565,77.3408,83.5776,83.1793,91.4497,88.4021,-0.9661,
0.0250,-1.8806,-6.1745,77.3715,83.5965,83.1757,91.4110,88.3723,-0.9662,
0.0333,-1.9153,-6.1865,77.4052,83.6122,83.1628,91.3794,88.3426,-0.9662,
0.0417,-1.9319,-6.1927,77.4377,83.6239,83.1435,91.3553,88.3134,-0.9662,
0.0500,-1.9338,-6.1945,77.4660,83.6317,83.1213,91.3382,88.2853,-0.9662,
0.0583,-1.9262,-6.1936,77.4889,83.6353,83.0986,91.3269,88.2582,-0.9662,
0.0667,-1.9140,-6.1917,77.5065,83.6352,83.0770,91.3204,88.2323,-0.9661,
0.0750,-1.9014,-6.1903,77.5192,83.6316,83.0574,91.3175,88.2073,-0.9661,
0.0833,-1.8907,-6.1907,77.5276,83.6254,83.0404,91.3171,88.1831,-0.9660,
0.0917,-1.8835,-6.1930,77.5321,83.6170,83.0265,91.3182,88.1596,-0.9659,
0.1000,-1.8801,-6.1970,77.5329,83.6073,83.0161,91.3200,88.1366,-0.9659,
0.1083,-1.8804,-6.2023,77.5302,83.5969,83.0092,91.3219,88.1143,-0.9658,
0.1167,-1.8840,-6.2084,77.5243,83.5860,83.0057,91.3237,88.0928,-0.9657,
0.1250,-1.8900,-6.2152,77.5156,83.5747,83.0050,91.3254,88.0722,-0.9656,
0.1333,-1.8980,-6.2221,77.5044,83.5626,83.0067,91.3273,88.0530,-0.9655,
0.1417,-1.9075,-6.2291,77.4908,83.5488,83.0103,91.3300,88.0354,-0.9654,
0.1500,-1.9183,-6.2361,77.4751,83.5321,83.0153,91.3346,88.0199,-0.9653,
0.1583,-1.9302,-6.2437,77.4576,83.5110,83.0211,91.3421,88.0070,-0.9652,
0.1667,-1.9428,-6.2528,77.4387,83.4852,83.0269,91.3529,87.9971,-0.9651,
0.1750,-1.9555,-6.2639,77.4190,83.4549,83.0318,91.3666,87.9905,-0.9649,
0.1833,-1.9676,-6.2776,77.3993,83.4211,83.0347,91.3824,87.9876,-0.9648,
