time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0051,0.0281,-0.2027,-0.4331,-0.0056,0.1456,
0.0033,-0.0051,0.0281,-0.2027,-0.4331,-0.0056,0.1456,
0.0050,-0.0051,0.0280,-0.2027,-0.4331,-0.0056,0.1456,
0.0067,-0.0051,0.0280,-0.2027,-0.4332,-0.0056,0.1456,
0.0083,-0.0051,0.0280,-0.2027,-0.4332,-0.0056,0.1456,
0.0100,-0.0051,0.0280,-0.2027,-0.4332,-0.0056,0.1456,
0.0117,-0.0051,0.0280,-0.2027,-0.4333,-0.0056,0.1456,
0.0133,-0.0051,0.0280,-0.2027,-0.4333,-0.0056,0.1456,
0.0150,-0.0051,0.0280,-0.2027,-0.4334,-0.0057,0.1457,
0.0167,-0.0051,0.0280,-0.2027,-0.4334,-0.0057,0.1457,
0.0183,-0.0051,0.0280,-0.2027,-0.4334,-0.0057,0.1457,
0.0200,-0.0051,0.0280,-0.2027,-0.4335,-0.0057,0.1457,
0.0217,-0.0051,0.0280,-0.2028,-0.4335,-0.0056,0.1457,
0.0233,-0.0051,0.0280,-0.2028,-0.4335,-0.0056,0.1457,
0.0250,-0.0051,0.0280,-0.2028,-0.4335,-0.0056,0.1457,
0.0267,-0.0051,0.0280,-0.2028,-0.4335,-0.0056,0.1457,
0.0283,-0.0051,0.0280,-0.2028,-0.4335,-0.0056,0.1457,
0.0300,-0.0051,0.0281,-0.2028,-0.4335,-0.0056,0.1457,
0.0317,-0.0051,0.0281,-0.2028,-0.4334,-0.0056,0.1456,
0.0333,-0.0050,0.0281,-0.2028,-0.4333,-0.0056,0.1456,
0.0350,-0.0050,0.0281,-0.2028,-0.4333,-0.0056,0.1456,
0.0367,-0.0050,0.0281,-0.2027,-0.4332,-0.0056,0.1456,
0.0383,-0.0050,0.0281,-0.2027,-0.4331,-0.0056,0.1455,
0.0400,-0.0050,0.0282,-0.2027,-0.4329,-0.0056,0.1455,
0.0417,-0.0050,0.0282,-0.2027,-0.4328,-0.0056,0.1455,
0.0433,-0.0050,0.0282,-0.2027,-0.4327,-0.0056,0.1454,
0.0450,-0.0050,0.0282,-0.2027,-0.4325,-0.0056,0.1454,
0.0467,-0.0050,0.0283,-0.2027,-0.4324,-0.0056,0.1454,
0.0483,-0.0050,0.0283,-0.2026,-0.4322,-0.0056,0.1453,
0.0500,-0.0050,0.0283,-0.2026,-0.4320,-0.0056,0.1453,
0.0517,-0.0050,0.0283,-0.2026,-0.4319,-0.0056,0.1453,
0.0533,-0.0050,0.0283,-0.2026,-0.4318,-0.0056,0.1452,
0.0550,-0.0050,0.0283,-0.2025,-0.4316,-0.0056,0.1452,
0.0567,-0.0050,0.0283,-0.2025,-0.4315,-0.0056,0.1452,
