time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0564,0.0069,-0.2232,0.0269,0.0381,0.0747,
0.0033,-0.0564,0.0069,-0.2232,0.0269,0.0381,0.0747,
0.0050,-0.0564,0.0069,-0.2233,0.0269,0.0381,0.0747,
0.0067,-0.0564,0.0069,-0.2233,0.0269,0.0381,0.0747,
0.0083,-0.0564,0.0069,-0.2233,0.0269,0.0382,0.0747,
0.0100,-0.0564,0.0070,-0.2233,0.0269,0.0382,0.0747,
0.0117,-0.0565,0.0070,-0.2234,0.0269,0.0382,0.0747,
0.0133,-0.0565,0.0070,-0.2234,0.0269,0.0382,0.0747,
0.0150,-0.0565,0.0070,-0.2234,0.0269,0.0382,0.0747,
0.0167,-0.0565,0.0070,-0.2234,0.0269,0.0382,0.0747,
0.0183,-0.0565,0.0070,-0.2235,0.0269,0.0382,0.0747,
0.0200,-0.0565,0.0070,-0.2235,0.0269,0.0382,0.0748,
0.0217,-0.0565,0.0070,-0.2235,0.0269,0.0382,0.0748,
0.0233,-0.0564,0.0069,-0.2235,0.0269,0.0382,0.0748,
0.0250,-0.0564,0.0069,-0.2235,0.0269,0.0382,0.0748,
0.0267,-0.0564,0.0069,-0.2236,0.0269,0.0382,0.0748,
0.0283,-0.0564,0.0069,-0.2235,0.0269,0.0382,0.0748,
0.0300,-0.0564,0.0069,-0.2235,0.0269,0.0382,0.0749,
0.0317,-0.0564,0.0068,-0.2235,0.0270,0.0382,0.0749,
0.0333,-0.0563,0.0068,-0.2235,0.0270,0.0382,0.0749,
0.0350,-0.0563,0.0068,-0.2234,0.0270,0.0382,0.0749,
0.0367,-0.0563,0.0068,-0.2234,0.0270,0.0382,0.0749,
0.0383,-0.0562,0.0067,-0.2233,0.0270,0.0382,0.0749,
0.0400,-0.0562,0.0067,-0.2233,0.0270,0.0382,0.0749,
0.0417,-0.0562,0.0066,-0.2232,0.0270,0.0382,0.0749,
0.0433,-0.0561,0.0066,-0.2231,0.0270,0.0382,0.0749,
0.0450,-0.0561,0.0066,-0.2230,0.0270,0.0382,0.0749,
0.0467,-0.0561,0.0066,-0.2229,0.0270,0.0382,0.0748,
0.0483,-0.0561,0.0065,-0.2228,0.0270,0.0382,0.0748,
0.0500,-0.0560,0.0065,-0.2227,0.0269,0.0382,0.0748,
0.0517,-0.0560,0.0065,-0.2225,0.0269,0.0381,0.0747,
0.0533,-0.0560,0.0065,-0.2224,0.0269,0.0381,0.0747,
0.0550,-0.0560,0.0065,-0.2223,0.0269,0.0381,0.0746,
0.0567,-0.0561,0.0065,-0.2223,0.0269,0.0381,0.0745,
0.0583,-0.0561,0.0066,-0.2222,0.0269,0.0381,0.0745,
0.0600,-0.0561,0.0066,-0.2221,0.0269,0.0381,0.0744,
