time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0015,-0.0160,-0.2222,-0.0231,0.0068,-0.0654,
0.0033,-0.0015,-0.0160,-0.2222,-0.0231,0.0068,-0.0654,
0.0050,-0.0015,-0.0160,-0.2222,-0.0231,0.0068,-0.0654,
0.0067,-0.0015,-0.0160,-0.2222,-0.0231,0.0068,-0.0654,
0.0083,-0.0015,-0.0161,-0.2222,-0.0231,0.0068,-0.0654,
0.0100,-0.0015,-0.0161,-0.2222,-0.0231,0.0068,-0.0654,
0.0117,-0.0015,-0.0161,-0.2223,-0.0231,0.0068,-0.0654,
0.0133,-0.0015,-0.0161,-0.2223,-0.0231,0.0068,-0.0654,
0.0150,-0.0015,-0.0161,-0.2223,-0.0231,0.0068,-0.0654,
0.0167,-0.0015,-0.0161,-0.2223,-0.0231,0.0068,-0.0654,
0.0183,-0.0015,-0.0161,-0.2224,-0.0231,0.0068,-0.0655,
0.0200,-0.0015,-0.0161,-0.2224,-0.0231,0.0068,-0.0655,
0.0217,-0.0015,-0.0161,-0.2224,-0.0231,0.0069,-0.0655,
0.0233,-0.0015,-0.0161,-0.2224,-0.0232,0.0069,-0.0655,
0.0250,-0.0015,-0.0161,-0.2224,-0.0232,0.0069,-0.0655,
0.0267,-0.0015,-0.0161,-0.2224,-0.0232,0.0069,-0.0656,
0.0283,-0.0015,-0.0161,-0.2224,-0.0232,0.0069,-0.0656,
0.0300,-0.0015,-0.0161,-0.2224,-0.0232,0.0070,-0.0656,
0.0317,-0.0015,-0.0161,-0.2224,-0.0232,0.0070,-0.0656,
0.0333,-0.0015,-0.0161,-0.2224,-0.0232,0.0070,-0.0656,
0.0350,-0.0015,-0.0161,-0.2224,-0.0232,0.0070,-0.0656,
0.0367,-0.0015,-0.0161,-0.2223,-0.0232,0.0071,-0.0656,
0.0383,-0.0015,-0.0161,-0.2223,-0.0232,0.0071,-0.0656,
0.0400,-0.0015,-0.0161,-0.2222,-0.0232,0.0071,-0.0656,
0.0417,-0.0015,-0.0161,-0.2222,-0.0232,0.0071,-0.0656,
0.0433,-0.0015,-0.0160,-0.2221,-0.0232,0.0071,-0.0656,
0.0450,-0.0015,-0.0160,-0.2221,-0.0232,0.0071,-0.0655,
0.0467,-0.0015,-0.0160,-0.2220,-0.0232,0.0071,-0.0655,
0.0483,-0.0015,-0.0160,-0.2219,-0.0231,0.0071,-0.0655,
0.0500,-0.0015,-0.0160,-0.2218,-0.0231,0.0071,-0.0654,
0.0517,-0.0015,-0.0160,-0.2218,-0.0231,0.0071,-0.0654,
0.0533,-0.0015,-0.0160,-0.2217,-0.0230,0.0070,-0.0653,
0.0550,-0.0015,-0.0159,-0.2216,-0.0230,0.0070,-0.0652,
0.0567,-0.0015,-0.0159,-0.2216,-0.0229,0.0069,-0.0652,
0.0583,-0.0015,-0.0159,-0.2215,-0.0229,0.0069,-0.0651,
0.0600,-0.0015,-0.0159,-0.2215,-0.0228,0.0068,-0.0650,
