time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0169,0.0037,-0.1767,-0.0289,0.0772,0.0151,
0.0033,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0151,
0.0050,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0151,
0.0067,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0150,
0.0083,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0150,
0.0100,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0150,
0.0117,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0150,
0.0133,-0.0169,0.0037,-0.1768,-0.0289,0.0772,0.0150,
0.0150,-0.0170,0.0037,-0.1769,-0.0289,0.0772,0.0150,
0.0167,-0.0170,0.0037,-0.1769,-0.0289,0.0772,0.0150,
0.0183,-0.0170,0.0037,-0.1769,-0.0289,0.0772,0.0150,
0.0200,-0.0170,0.0037,-0.1769,-0.0289,0.0772,0.0150,
0.0217,-0.0170,0.0037,-0.1769,-0.0289,0.0772,0.0150,
0.0233,-0.0170,0.0037,-0.1769,-0.0290,0.0772,0.0150,
0.0250,-0.0170,0.0037,-0.1769,-0.0290,0.0771,0.0150,
0.0267,-0.0170,0.0037,-0.1769,-0.0290,0.0771,0.0150,
0.0283,-0.0170,0.0037,-0.1769,-0.0290,0.0771,0.0150,
0.0300,-0.0170,0.0037,-0.1768,-0.0290,0.0771,0.0150,
0.0317,-0.0170,0.0038,-0.1768,-0.0290,0.0771,0.0151,
0.0333,-0.0170,0.0038,-0.1768,-0.0290,0.0770,0.0151,
0.0350,-0.0170,0.0038,-0.1768,-0.0290,0.0770,0.0151,
0.0367,-0.0170,0.0038,-0.1767,-0.0290,0.0770,0.0151,
0.0383,-0.0170,0.0038,-0.1767,-0.0289,0.0770,0.0152,
0.0400,-0.0170,0.0038,-0.1766,-0.0289,0.0770,0.0152,
0.0417,-0.0170,0.0038,-0.1766,-0.0289,0.0770,0.0152,
0.0433,-0.0170,0.0038,-0.1765,-0.0289,0.0770,0.0153,
0.0450,-0.0170,0.0038,-0.1764,-0.0289,0.0770,0.0153,
0.0467,-0.0170,0.0038,-0.1764,-0.0288,0.0770,0.0153,
0.0483,-0.0170,0.0038,-0.1763,-0.0288,0.0770,0.0154,
0.0500,-0.0170,0.0038,-0.1763,-0.0288,0.0770,0.0154,
0.0517,-0.0169,0.0038,-0.1762,-0.0287,0.0770,0.0154,
0.0533,-0.0169,0.0038,-0.1762,-0.0287,0.0771,0.0154,
0.0550,-0.0169,0.0038,-0.1761,-0.0287,0.0771,0.0154,
0.0567,-0.0168,0.0038,-0.1761,-0.0286,0.0772,0.0154,
0.0583,-0.0168,0.0038,-0.1761,-0.0286,0.0772,0.0154,
0.0600,-0.0168,0.0038,-0.1761,-0.0286,0.0773,0.0154,
0.0617,-0.0167,0.0038,-0.1761,-0.0285,0.0774,0.0154,
0.0633,-0.0167,0.0038,-0.1762,-0.0285,0.0774,0.0154,
0.0650,-0.0167,0.0037,-0.1762,-0.0285,0.0775,0.0153,
0.0667,-0.0166,0.0037,-0.1763,-0.0285,0.0776,0.0153,
0.0683,-0.0166,0.0037,-0.1764,-0.0285,0.0777,0.0152,
0.0700,-0.0166,0.0036,-0.1765,-0.0285,0.0778,0.0151,
0.0717,-0.0166,0.0036,-0.1767,-0.0286,0.0778,0.0150,
0.0733,-0.0166,0.0036,-0.1768,-0.0286,0.0779,0.0149,
0.0750,-0.0166,0.0035,-0.1770,-0.0286,0.0779,0.0148,
0.0767,-0.0166,0.0035,-0.1772,-0.0287,0.0780,0.0147,
0.0783,-0.0167,0.0034,-0.1774,-0.0288,0.0780,0.0145,
0.0800,-0.0167,0.0034,-0.1776,-0.0289,0.0780,0.0144,
0.0817,-0.0167,0.0034,-0.1778,-0.0290,0.0780,0.0143,
0.0833,-0.0168,0.0034,-0.1781,-0.0291,0.0779,0.0142,
0.0850,-0.0169,0.0033,-0.1783,-0.0292,0.0779,0.0141,
0.0867,-0.0170,0.0033,-0.1785,-0.0293,0.0778,0.0140,
0.0883,-0.0171,0.0033,-0.1786,-0.0294,0.0777,0.0139,
0.0900,-0.0172,0.0034,-0.1788,-0.0296,0.0775,0.0138,
0.0917,-0.0173,0.0034,-0.1789,-0.0297,0.0773,0.0138,
0.0933,-0.0174,0.0034,-0.1790,-0.0298,0.0771,0.0138,
0.0950,-0.0175,0.0035,-0.1790,-0.0299,0.0769,0.0138,
0.0967,-0.0177,0.0035,-0.1790,-0.0300,0.0767,0.0139,
0.0983,-0.0178,0.0036,-0.1789,-0.0301,0.0764,0.0140,
0.1000,-0.0179,0.0037,-0.1787,-0.0302,0.0761,0.0141,
0.1017,-0.0180,0.0038,-0.1784,-0.0302,0.0758,0.0143,
0.1033,-0.0181,0.0039,-0.1781,-0.0302,0.0755,0.0146,
0.1050,-0.0182,0.0041,-0.1777,-0.0302,0.0753,0.0149,
0.1067,-0.0182,0.0042,-0.1773,-0.0301,0.0750,0.0152,
0.1083,-0.0182,0.0043,-0.1767,-0.0300,0.0748,0.0155,
0.1100,-0.0182,0.0045,-0.1761,-0.0298,0.0745,0.0159,
0.1117,-0.0182,0.0046,-0.1755,-0.0296,0.0744,0.0164,
0.1133,-0.0181,0.0047,-0.1747,-0.0294,0.0743,0.0168,
0.1150,-0.0180,0.0049,-0.1740,-0.0291,0.0742,0.0173,
0.1167,-0.0178,0.0050,-0.1732,-0.0287,0.0742,0.0177,
0.1183,-0.0176,0.0051,-0.1724,-0.0284,0.0743,0.0182,
0.1200,-0.0174,0.0051,-0.1717,-0.0280,0.0745,0.0186,
0.1217,-0.0171,0.0052,-0.1709,-0.0275,0.0748,0.0190,
0.1233,-0.0167,0.0052,-0.1703,-0.0271,0.0752,0.0193,
0.1250,-0.0164,0.0051,-0.1697,-0.0266,0.0756,0.0196,
